t_s,x,y,x_left,y_left,x_right,y_right
0.12,0.983015,-0.32768499999999806,1.31069,-9.9999999960687e-06,0.65534,-0.65536
0.14,1.31069,-0.655365,1.31069,-0.65537,1.31069,-0.65536
0.16,1.3106849999999999,-0.655365,1.31068,-0.65537,1.31069,-0.65536
0.2,1.31068,0.32768499999999806,1.31068,0.65536,1.31068,9.9999999960687e-06
0.22,-1.310785,4.58757,-0.65543,3.27683,-1.96614,5.89831
0.24,-1.310785,7.86439,-1.31079,7.86439,-1.31078,7.86439
0.26,-0.9831099999999999,7.53671,-1.31079,7.86439,-0.65543,7.20903
0.28,-0.983105,7.2090250000000005,-0.65543,7.20902,-1.31078,7.20903
0.3,-0.983105,6.5536650000000005,-0.65543,6.55366,-1.31078,6.55367
0.32,-0.6554249999999999,5.57062,-0.65543,5.8983,-0.65542,5.24294
0.34,-0.983105,5.570615,-0.65543,5.89829,-1.31078,5.24294
0.36,-0.9831,4.91525,-0.65543,5.24293,-1.31077,4.58757
0.38,-0.9831,4.587565,-0.65543,4.58756,-1.31077,4.58757
0.4,-0.9831,3.9322049999999997,-0.65543,3.9322,-1.31077,3.93221
0.42,-0.9831,2.94916,-0.65543,3.27684,-1.31077,2.62148
0.44,-1.310775,2.949155,-1.31078,3.27683,-1.31077,2.62148
0.46,-1.310775,2.621475,-1.31078,2.62147,-1.31077,2.62148
0.48,-0.6554150000000001,3.276835,-0.65542,3.27683,-0.65541,3.27684
0.5,-1.310775,2.62147,-1.31078,2.62147,-1.31077,2.62147
0.52,1.63837,2.6214649999999997,-0.65542,2.62147,3.93216,2.62146
0.54,3.932155,3.93218,4.58751,3.93217,3.2768,3.93219
0.56,3.27679,3.6045,3.27678,3.93218,3.2768,3.27682
0.58,3.2767850000000003,3.93218,3.27678,3.93217,3.27679,3.93219
0.6,2.9491050000000003,4.25986,3.27678,4.58754,2.62143,3.93218
0.62,2.62142,3.6045,2.62141,3.93218,2.62143,3.27682
0.64,1.966065,2.293775,1.96606,2.62145,1.96607,1.9661
0.66,1.96607,2.293765,1.96607,2.62144,1.96607,1.96609
0.68,1.638395,1.6384,1.31071,1.96608,1.96608,1.31072
0.7,1.3107199999999999,0.9830300000000001,1.31071,1.31071,1.31073,0.65535
0.72,1.3107199999999999,0.32766499999999843,1.31071,0.65534,1.31073,-1.0000000003174e-05
0.74,1.3107250000000001,0.32766499999999843,1.31072,0.65534,1.31073,-1.0000000003174e-05
0.76,1.310735,-1.9999999999243e-05,1.31073,-1.9999999999243e-05,1.31074,-1.9999999999243e-05
0.78,1.310735,-0.32770499999999764,1.31073,-2.9999999995312e-05,1.31074,-0.65538
0.8,0.983055,-0.655385,1.31073,-0.65539,0.65538,-0.65538
0.86,11.141215,1.9660300000000002,5.89827,0.65532,16.38416,3.27674
0.88,20.316360000000003,5.5705,20.97172,5.24281,19.661,5.89819
0.9,19.98866,6.55355,19.66098,6.55355,20.31634,6.55355
0.92,20.31633,6.553545,20.31633,6.55354,20.31633,6.55355
0.94,20.316325,6.5535499999999995,20.31632,7.20891,20.31633,5.89819
0.96,19.66096,5.898185,19.66095,5.89818,19.66097,5.89819
0.98,19.66096,5.570495,19.66096,5.89817,19.66096,5.24282
1.0,19.660955,5.24281,19.66095,5.89817,19.66096,4.58745
1.02,19.333275,4.25976,19.66095,4.58744,19.0056,3.93208
1.04,19.33327,3.6044,19.66094,3.93208,19.0056,3.27672
1.06,19.005589999999998,3.2767150000000003,19.00558,3.27671,19.0056,3.27672
1.08,18.022550000000003,2.94903,18.35022,3.27671,17.69488,2.62135
1.1,18.022550000000003,2.621345,18.35022,2.62134,17.69488,2.62135
1.12,18.022555,2.293665,18.35023,2.62134,17.69488,1.96599
1.14,18.022555,1.6383,18.35023,1.96598,17.69488,1.31062
1.16,17.694875000000003,1.3106149999999999,17.69487,1.31061,17.69488,1.31062
1.18,17.367195000000002,1.3106149999999999,17.69487,1.96597,17.03952,0.65526
1.2,17.039515,0.982935,17.03951,1.31061,17.03952,0.65526
1.22,16.711845,0.6552549999999999,17.03952,0.65525,16.38417,0.65526
1.24,16.384165000000003,0.32757000000000036,16.38416,0.65525,16.38417,-0.0001099999999993
1.26,16.38417,-0.0001099999999993,16.38416,-0.0001099999999993,16.38418,-0.0001099999999993
1.28,16.38417,-0.0001050000000013,16.38416,-0.0001099999999993,16.38418,-0.0001000000000033
1.3,15.728810000000001,-0.32779499999999767,16.38416,-0.0001199999999954,15.07346,-0.65547
1.32,15.401135,-0.32779499999999767,15.72881,-0.0001199999999954,15.07346,-0.65547
1.34,15.073455,-0.983155,15.07345,-0.65548,15.07346,-1.31083
1.36,17.69492,-0.3278000000000012,15.07345,-0.65548,20.31639,-0.0001200000000025
1.38,35.717535,4.25968,32.113,3.27664,39.32207,5.24272
1.4,40.306405,6.55345,40.63536,6.55344,39.97745,6.55346
1.42,39.977445,7.208825,39.97744,7.20882,39.97745,7.20883
1.44,40.305125000000004,7.864185,40.6328,7.86418,39.97745,7.86419
1.46,39.64976,7.86419,39.97744,7.86419,39.32208,7.86419
1.48,39.649765,7.536505,39.97744,7.86418,39.32209,7.20883
1.5,39.322085,7.20883,39.32208,7.20883,39.32209,7.20883
1.52,36.045249999999996,6.225795,38.66671,6.55347,33.42379,5.89812
1.54,31.78538,6.553485,32.11305,6.55348,31.45771,6.55349
1.56,31.785375000000002,6.553495,32.11305,6.55349,31.4577,6.5535
1.58,31.457695,6.55349,31.45769,6.55349,31.4577,6.55349
1.6,30.802345000000003,6.225805,30.80234,6.55348,30.80235,5.89813
1.62,30.47466,5.570444999999999,30.80233,5.89812,30.14699,5.24277
1.64,30.474665,5.24276,30.14698,5.24276,30.80235,5.24276
1.66,46.858900000000006,11.140979999999999,41.28824,9.83027,52.42956,12.45169
1.68,56.361779999999996,13.76241,57.01714,13.7624,55.70642,13.76242
1.7,56.034095,13.10705,55.70641,13.76241,56.36178,12.45169
1.72,56.361765,12.779364999999999,56.36176,13.10704,56.36177,12.45169
1.74,56.034075,11.796325,56.36175,11.79632,55.7064,11.79633
1.76,56.68943,11.140955,56.36174,11.14095,57.01712,11.14096
1.78,56.68943,10.485595,56.36174,11.14095,57.01712,9.83024
1.8,58.32782,9.50254,58.32782,9.83022,58.32782,9.17486
1.82,58.98317,9.174855,59.63853,9.83021,58.32781,8.5195
1.84,51.446435,7.2087900000000005,52.42949,7.20878,50.46338,7.2088
1.86,51.118745000000004,7.864155,51.11874,7.86415,51.11875,7.86416
1.88,50.791045,7.536475,51.11872,7.86415,50.46337,7.2088
1.9,50.791045,6.881105,51.11872,7.20878,50.46337,6.55343
1.92,50.463355,6.225745,50.46335,6.55342,50.46336,5.89807
1.94,50.463355,5.898065,50.46335,5.89806,50.46336,5.89807
1.96,50.79102,5.570385,50.46334,5.89806,51.1187,5.24271
1.98,51.118695,4.915015,51.11869,5.24269,51.1187,4.58734
2.0,51.118695,4.5873349999999995,51.11869,4.58733,51.1187,4.58734
2.02,51.446375,4.259645,51.77405,4.58732,51.1187,3.93197
2.04,51.118695,4.259645,51.11869,4.58732,51.1187,3.93197
