t_s,x,y,x_left,y_left,x_right,y_right
0.02,-0.983039999999995,1.31073,-0.65535999999999,1.31074,-1.31072,1.31072
0.04,-1.30944,0.98305,-1.31071,1.31074,-1.30817,0.65536
0.06,-1.6384050000000001,0.98305,-1.96608,1.31074,-1.31073,0.65536
0.08,-6.8815100000000005,-7.208959999999999,-8.5198,-4.58752,-5.24322,-9.8304
0.1,-4.2602150000000005,-10.158065,-4.5879,-9.83038,-3.93253,-10.48575
0.12,-3.604865,-11.141115,-3.93254,-10.48575,-3.27719,-11.79648
0.14,-3.277195,-11.4688,-3.27719,-11.14111,-3.2772,-11.79649
0.16,-3.2772050000000004,-12.12417,-3.2772,-11.79648,-3.27721,-12.45186
0.18,-2.94953,-12.77955,-2.62185,-12.45186,-3.27721,-13.10724
0.2,-3.27721,-13.434935,-3.27721,-13.10724,-3.27721,-13.76263
0.22,-3.277215,-13.76262,-3.27721,-13.76261,-3.27722,-13.76263
0.24,-3.93258,-13.762635,-3.93258,-13.76262,-3.93258,-13.76265
0.26,-4.2602649999999995,-13.76265,-4.58794,-13.76264,-3.93259,-13.76266
0.28,-4.26027,-14.745705000000001,-4.58795,-14.41801,-3.93259,-15.0734
0.3,-4.260275,-15.72876,-4.58795,-15.07339,-3.9326,-16.38413
0.32,-4.58796,-16.711824999999997,-4.58796,-16.38413,-4.58796,-17.03952
0.34,-4.260285,-17.3672,-3.9326,-17.03951,-4.58797,-17.69489
0.36,-4.58797,-17.03952,-4.58797,-17.03951,-4.58797,-17.03953
0.38,-4.915645,-17.36721,-4.58796,-17.03952,-5.24333,-17.6949
0.4,-5.2433250000000005,-17.694899999999997,-5.24332,-17.03953,-5.24333,-18.35027
0.42,-5.2433250000000005,-18.67795,-5.24332,-18.35026,-5.24333,-19.00564
0.44,-5.24333,-19.005645,-5.24333,-19.00563,-5.24333,-19.00566
0.46,-4.91557,-19.005650000000003,-5.24325,-18.35029,-4.58789,-19.66101
0.48,-5.24326,-19.661015,-5.24326,-19.66101,-5.24326,-19.66102
0.5,-5.2432549999999996,-19.66101,-5.24325,-19.661,-5.24326,-19.66102
0.52,-5.570935,-19.66101,-5.24325,-19.661,-5.89862,-19.66102
0.54,-6.226295,-19.66103,-6.55397,-19.66102,-5.89862,-19.66104
0.56,-6.55397,-19.98872,-6.55397,-19.66103,-6.55397,-20.31641
0.58,-6.55397,-20.316405000000003,-6.55397,-20.3164,-6.55397,-20.31641
0.6,-6.553974999999999,-21.299455000000002,-6.55397,-20.97177,-6.55398,-21.62714
0.62,-6.881655,-21.62714,-7.20933,-21.62713,-6.55398,-21.62715
0.64,-6.226295,-22.282510000000002,-6.55397,-21.62714,-5.89862,-22.93788
0.66,-6.55397,-22.61019,-6.55397,-22.2825,-6.55397,-22.93788
0.68,-6.881665,-24.57629,-7.20932,-22.93787,-6.55401,-26.21471
0.7,-6.881715,-25.55934,-7.20941,-25.55934,-6.55402,-25.55934
0.72,-6.554015,-25.88702,-6.55401,-25.55933,-6.55402,-26.21471
0.74,-6.55401,-25.88702,-6.55401,-25.55933,-6.55401,-26.21471
0.76,-6.88169,-26.54238,-7.20937,-26.21469,-6.55401,-26.87007
