t_s,x,y,x_left,y_left,x_right,y_right
0.08,16.05657,2.94916,13.1074,2.62147,19.00574,3.27685
0.1,18.67804,4.587585000000001,19.00572,3.93222,18.35036,5.24295
0.12,18.678024999999998,4.58758,18.35034,4.58758,19.00571,4.58758
0.14,19.0057,3.60453,19.0057,3.27685,19.0057,3.93221
0.16,19.00569,2.94916,19.00569,2.62148,19.00569,3.27684
0.18,19.333370000000002,2.621475,19.00569,2.62148,19.66105,2.62147
0.2,19.005695000000003,2.949155,19.00569,2.62147,19.0057,3.27684
0.22,19.005695000000003,2.949155,19.00569,2.62147,19.0057,3.27684
0.24,19.005695000000003,2.94915,19.00569,2.62147,19.0057,3.27683
0.26,18.35033,2.94948,18.35032,2.62212,18.35034,3.27684
0.28,18.350335,3.27684,18.35033,2.62148,18.35034,3.9322
0.3,17.694975,2.94916,17.69497,2.62148,17.69498,3.27684
0.32,17.69498,3.604515,17.69497,3.27683,17.69499,3.9322
0.34,17.03962,2.62147,17.03962,2.62147,17.03962,2.62147
0.36,28.508575,4.587575,20.97181,3.27683,36.04534,5.89832
0.38,43.58212,6.553694999999999,43.9098,5.89832,43.25444,7.20907
0.4,42.926745,7.53676,42.59906,7.20908,43.25443,7.86444
0.42,43.58211,7.20907,43.25443,7.20907,43.90979,7.20907
0.44,44.23746,6.88137,43.90978,6.55369,44.56514,7.20905
0.46,45.548159999999996,5.89831,45.22048,5.89831,45.87584,5.89831
0.48,46.2035,4.91526,45.87582,5.24294,46.53118,4.58758
0.5,47.18653,3.93221,47.18653,3.93221,47.18653,3.93221
0.52,47.186525,3.93221,47.18652,3.93221,47.18653,3.93221
0.54,47.5142,3.6045350000000003,47.18652,3.93221,47.84188,3.27686
0.56,47.84188,2.94917,47.84188,2.62149,47.84188,3.27685
0.58,47.514205000000004,2.94917,47.18652,2.62149,47.84189,3.27685
0.6,47.84189,2.621485,47.84189,2.62148,47.84189,2.62149
0.62,47.84189000000001,2.293805,47.84188,1.96612,47.8419,2.62149
0.64,47.841885000000005,2.293805,47.84188,1.96613,47.84189,2.62148
0.66,36.700665,0.6554349999999997,47.18653,1.31076,26.2148,0.0001099999999993
0.68,-41.28798,-4.25962,-27.5252,-4.58734,-55.05076,-3.9319
0.7,-55.050875000000005,-1.3105000000000002,-55.05088,-2.6212,-55.05087,0.0001999999999995
0.72,-55.050875000000005,0.00014499999999980002,-55.05088,0.000160000000001,-55.05087,0.0001299999999986
0.74,-55.050875000000005,-2.293685,-55.05088,-1.96599,-55.05087,-2.62138
0.76,-55.050875000000005,-3.27677,-55.05088,-3.27677,-55.05087,-3.27677
0.78,-55.050875000000005,-4.25983,-55.05088,-4.58751,-55.05087,-3.93215
0.8,-55.050875000000005,-5.57056,-55.05088,-5.89824,-55.05087,-5.24288
0.82,-55.050875000000005,-5.898255,-55.05088,-5.89825,-55.05087,-5.89826
0.84,-55.050875000000005,-6.55362,-55.05088,-6.55362,-55.05087,-6.55362
0.86,-55.050875000000005,-6.88131,-55.05088,-7.20899,-55.05087,-6.55363
0.88,-55.050875000000005,-6.88131,-55.05088,-7.20899,-55.05087,-6.55363
0.9,-55.050875000000005,-7.53668,-55.05088,-7.86436,-55.05087,-7.209
0.92,-55.050875000000005,-8.192039999999999,-55.05088,-8.51972,-55.05087,-7.86436
0.94,-55.050875000000005,-8.19205,-55.05088,-8.51973,-55.05087,-7.86437
0.96,-55.050875000000005,-8.51973,-55.05088,-8.51973,-55.05087,-8.51973
0.98,-55.050875000000005,-8.84742,-55.05088,-9.1751,-55.05087,-8.51974
1.0,-55.050875000000005,-8.847425000000001,-55.05088,-9.17511,-55.05087,-8.51974
1.02,-55.050875000000005,-8.19206,-55.05088,-8.51974,-55.05087,-7.86438
1.04,-55.050875000000005,-8.192070000000001,-55.05088,-7.86439,-55.05087,-8.51975
1.06,-55.050875000000005,-8.519755,-55.05088,-8.51976,-55.05087,-8.51975
1.08,-55.050875000000005,-9.175115,-55.05088,-9.17512,-55.05087,-9.17511
1.1,-55.050875000000005,-9.830485,-55.05088,-10.48585,-55.05087,-9.17512
1.12,-55.050875000000005,-9.17512,-55.05088,-9.17512,-55.05087,-9.17512
1.14,-55.050875000000005,-10.485845,-55.05088,-10.48584,-55.05087,-10.48585
1.16,-55.050875000000005,-10.81354,-55.05088,-11.14122,-55.05087,-10.48586
1.18,-55.050875000000005,-11.14122,-55.05088,-11.14122,-55.05087,-11.14122
1.2,-55.050875000000005,-11.79659,-55.05088,-11.79659,-55.05087,-11.79659
1.22,-55.050875000000005,-12.124275,-55.05088,-12.45196,-55.05087,-11.79659
1.24,-55.050875000000005,-12.124279999999999,-55.05088,-12.45196,-55.05087,-11.7966
1.26,-55.050875000000005,-13.10733,-55.05088,-13.10733,-55.05087,-13.10733
1.28,-55.050875000000005,-12.45198,-55.05088,-13.10734,-55.05087,-11.79662
1.3,-51.77395,-11.141259999999999,-52.42932,-11.14127,-51.11858,-11.14125
1.32,-51.77397,-11.14125,-51.77397,-11.14125,-51.77397,-11.14125
1.34,-51.11862,-12.77966,-51.11862,-12.45198,-51.11862,-13.10734
1.36,-50.79095,-13.762725,-51.11863,-13.76272,-50.46327,-13.76273
1.38,-50.79096,-14.41809,-51.11864,-14.41809,-50.46328,-14.41809
1.4,-50.46329,-15.073455,-50.46329,-15.07346,-50.46329,-15.07345
1.42,-50.79098,-15.073465,-51.11866,-15.07347,-50.4633,-15.07346
