t_s,x,y,x_left,y_left,x_right,y_right
0.16,-5.000000001587e-06,-2.293745,-1.0000000003174e-05,-1.96606,0.0,-2.62143
0.18,0.327675,-2.293745,0.65535,-1.96606,0.0,-2.62143
0.2,-5.000000001587e-06,-2.62143,-1.0000000003174e-05,-1.96607,0.0,-3.27679
0.22,0.327679999999995,-2.6214250000000003,0.65535999999999,-2.62142,0.0,-2.62143
0.24,0.65535999999999,-2.9491050000000003,0.65535999999999,-2.62142,0.65535999999999,-3.27679
0.26,-5.000000001587e-06,-3.6044650000000003,-1.0000000003174e-05,-3.27678,0.0,-3.93215
0.28,-0.32768,-3.6044650000000003,0.0,-3.27678,-0.65536,-3.93215
0.3,-0.32768,-3.6044650000000003,0.0,-3.27678,-0.65536,-3.93215
0.32,-1.0000000003174e-05,-3.9321450000000002,-1.0000000003174e-05,-3.27678,-1.0000000003174e-05,-4.58751
0.34,0.32765999999999684,-3.60446,-2.0000000006348e-05,-3.27678,0.65534,-3.93214
0.36,0.65534,-3.2767850000000003,0.65534,-3.27678,0.65534,-3.27679
0.38,0.65533,-2.6214250000000003,0.65533,-2.62142,0.65533,-2.62143
0.4,0.983005,-2.293745,1.31068,-1.96606,0.65533,-2.62143
0.42,0.9830000000000001,-2.293745,0.65532,-1.96606,1.31068,-2.62143
0.44,0.65532,-1.966065,0.65532,-1.3107,0.65532,-2.62143
0.46,0.9829950000000001,-2.293745,0.65531,-1.96606,1.31068,-2.62143
0.48,1.310675,-2.29374,1.31067,-1.96606,1.31068,-2.62142
0.5,1.638355,-2.2937250000000002,1.31067,-1.96605,1.96604,-2.6214
0.52,2.2937149999999997,-1.63836,1.96603,-1.31068,2.6214,-1.96604
0.54,2.94908,-1.638365,3.27676,-1.31068,2.6214,-1.96605
0.56,2.6214,-1.63837,2.6214,-1.31069,2.6214,-1.96605
0.58,2.6213949999999997,-2.293735,2.62139,-1.96605,2.6214,-2.62142
0.6,2.2937149999999997,-2.293735,2.62139,-1.96605,1.96604,-2.62142
0.62,2.6214,-2.293735,2.6214,-1.96605,2.6214,-2.62142
0.64,2.29371,-2.29374,2.62139,-1.96606,1.96603,-2.62142
0.66,2.6213949999999997,-2.29374,2.62139,-1.96606,2.6214,-2.62142
0.68,2.29371,-2.293745,2.62138,-1.96606,1.96604,-2.62143
0.7,2.621385,-2.621425,2.62138,-1.96606,2.62139,-3.27679
0.72,2.29371,-2.94911,2.62138,-2.62143,1.96604,-3.27679
0.74,2.6213949999999997,-3.2767850000000003,1.96603,-3.27678,3.27676,-3.27679
0.76,17.03953,0.32770499999999964,13.76268,0.65539,20.31638,1.9999999999243e-05
0.78,18.350295,-0.9830300000000001,19.00565,-0.65534,17.69494,-1.31072
0.8,16.38422,-1.31074,16.38422,-0.65537,16.38422,-1.96611
0.82,15.40117,-0.983084999999995,15.72885,-0.65539999999999,15.07349,-1.31077
0.84,14.745809999999999,-1.63845,15.07349,-1.31076,14.41813,-1.96614
0.86,14.09045,-1.966135,14.41813,-1.31077,13.76277,-2.6215
0.88,13.76276,-2.621515,13.76276,-1.96615,13.76276,-3.27688
0.9,13.76274,-3.276885,13.76274,-2.62152,13.76274,-3.93225
0.92,13.762695,-4.587625,13.76271,-3.93226,13.76268,-5.24299
0.94,13.762605,-5.898375,13.76263,-5.243,13.76258,-6.55375
0.96,14.745545,-8.19217,14.41788,-7.20912,15.07321,-9.17522
0.98,15.400825000000001,-11.141315,15.07316,-9.83059,15.72849,-12.45204
1.0,16.05613,-14.41813,15.72846,-13.1074,16.3838,-15.72886
1.02,16.383764999999997,-17.694935,16.38377,-17.03957,16.38376,-18.3503
1.04,17.69444,-20.316380000000002,17.69445,-19.66102,17.69443,-20.97174
1.06,18.022105,-21.299415,17.69442,-20.97173,18.34979,-21.6271
1.08,18.34977,-21.29941,18.34977,-20.97173,18.34977,-21.62709
1.1,18.349764999999998,-20.644035000000002,18.34976,-20.31635,18.34977,-20.97172
1.12,18.677435000000003,-19.66098,18.34975,-19.66098,19.00512,-19.66098
1.14,18.677419999999998,-18.67793,18.34974,-18.35025,19.0051,-19.00561
1.16,19.005074999999998,-18.022565,19.00508,-17.69488,19.00507,-18.35025
1.18,18.67737,-17.3672,19.00505,-17.03952,18.34969,-17.69488
1.2,19.00502,-17.0395,19.00502,-17.0395,19.00502,-17.0395
1.22,19.005004999999997,-16.7118,19.00501,-16.38412,19.005,-17.03948
1.24,19.00499,-15.72875,19.00499,-15.72875,19.00499,-15.72875
1.26,19.004984999999998,-14.41802,19.00498,-14.41802,19.00499,-14.41802
1.28,21.298775,-12.45192,19.00498,-13.10728,23.59257,-11.79656
1.3,33.423125,-9.502759999999999,32.11238,-9.17508,34.73387,-9.83044
1.32,33.750835,-9.175055,34.07851,-9.17505,33.42316,-9.17506
1.34,34.078535,-8.847370000000002,34.07853,-8.51969,34.07854,-9.17505
1.36,34.07855,-8.19199,34.07854,-7.86431,34.07856,-8.51967
1.38,34.40624,-8.191984999999999,34.07856,-7.8643,34.73392,-8.51967
