t_s,x,y,x_left,y_left,x_right,y_right
0.06,-0.32768,-0.9830300000000001,0.0,-1.31071,-0.65536,-0.65535
0.08,-0.32768,-1.63839,0.0,-1.31071,-0.65536,-1.96607
0.1,0.32768,-1.966065,0.65536,-1.96606,0.0,-1.96607
0.12,5.000000001587e-06,-2.293745,1.0000000003174e-05,-1.96606,0.0,-2.62143
0.14,0.655375,-2.94911,0.65537,-3.27679,0.65538,-2.62143
0.16,1.31075,-2.94911,1.31075,-3.27679,1.31075,-2.62143
0.18,2.621485,-3.27679,2.62148,-3.27679,2.62149,-3.27679
0.2,3.60455,-2.94911,3.93223,-3.27679,3.27687,-2.62143
0.22,4.25992,-3.27679,4.5876,-3.27679,3.93224,-3.27679
0.24,4.259925,-3.60447,4.58761,-3.27679,3.93224,-3.93215
0.26,4.25992,-3.932155,4.5876,-3.93215,3.93224,-3.93216
0.28,4.25992,-4.915195,4.5876,-5.24287,3.93224,-4.58752
0.3,4.91528,-5.242875,4.5876,-5.24287,5.24296,-5.24288
0.32,7.2091,-5.570555000000001,7.2091,-5.24287,7.2091,-5.89824
0.34,6.8814150000000005,-5.57056,7.20909,-5.89824,6.55374,-5.24288
0.36,6.55374,-4.587515,6.55374,-4.58751,6.55374,-4.58752
0.38,6.55374,-4.259435,7.2091,-3.93215,5.89838,-4.58672
0.4,6.881425,-5.24287,7.20911,-5.24287,6.55374,-5.24287
0.42,6.55374,-6.2259,7.2091,-5.89822,5.89838,-6.55358
0.44,6.22606,-6.55357,6.55374,-6.55357,5.89838,-6.55357
0.46,5.8983799999999995,-7.20894,6.55374,-7.20894,5.24302,-7.20894
0.48,10.48597,-6.881265,6.55375,-7.8643,14.41819,-5.89823
0.5,20.64427,-7.53664,20.97195,-7.20895,20.31659,-7.86433
0.52,18.678185,-6.225935,19.00586,-6.55361,18.35051,-5.89826
0.54,18.678195000000002,-6.881304999999999,19.00588,-6.55362,18.35051,-7.20899
0.56,18.022815,-6.881304999999999,18.3505,-6.55362,17.69513,-7.20899
