t_s,x,y,x_left,y_left,x_right,y_right
0.06,-1.310745,0.3276600000000004,-1.31075,-1.9999999999243e-05,-1.31074,0.65534
0.08,-1.310755,0.65534,-1.31076,0.65534,-1.31075,0.65534
0.1,-1.966115,0.983015,-1.96612,1.31069,-1.96611,0.65534
0.12,-1.966125,0.9830099999999999,-1.96613,1.31069,-1.96612,0.65533
0.14,-2.293805,0.983005,-2.62149,1.31068,-1.96612,0.65533
0.16,-2.62149,0.983,-2.6215,1.31067,-2.62148,0.65533
0.18,-2.29381,0.6553249999999999,-2.6215,0.65532,-1.96612,0.65533
0.2,-1.966135,1.3106849999999999,-1.96614,1.31068,-1.96613,1.31069
0.22,-1.96614,0.9830099999999999,-1.96615,1.31069,-1.96613,0.65533
0.24,-2.2938199999999997,1.31069,-2.62151,1.31069,-1.96613,1.31069
0.26,-1.966135,1.3106849999999999,-1.96614,1.31068,-1.96613,1.31069
0.28,-2.6215,1.63836,-2.62151,1.31068,-2.62149,1.96604
0.3,-2.6214950000000004,1.310675,-2.6215,1.31067,-2.62149,1.31068
0.32,-2.6214950000000004,1.96604,-2.6215,1.96604,-2.62149,1.96604
0.34,0.3276549999999999,2.949085,-1.96614,2.62139,2.62145,3.27678
0.36,3.276835,2.9490749999999997,3.27683,2.62139,3.27684,3.27676
0.38,2.62148,3.93213,2.62147,3.93213,2.62149,3.93213
0.4,1.96612,3.932125,1.96611,3.93212,1.96613,3.93213
0.42,1.63845,3.604445,1.31076,3.27676,1.96614,3.93213
0.44,1.6384500000000002,3.932125,1.96612,3.93212,1.31078,3.93213
0.46,0.65541,4.25981,0.6554,3.93213,0.65542,4.58749
0.48,0.65542,4.587485,0.65541,4.58748,0.65543,4.58749
0.5,-0.3276199999999992,4.5874950000000005,5.000000000166e-05,4.58749,-0.65529,4.5875
0.52,-1.3106550000000001,5.24286,-1.31066,5.24285,-1.31065,5.24287
0.54,-1.63833,5.898225,-1.96602,5.89822,-1.31064,5.89823
0.56,-2.6213699999999998,6.553585,-2.62138,6.55358,-2.62136,6.55359
0.58,-2.94904,7.208955,-3.27673,7.20895,-2.62135,7.20896
0.6,-3.27672,7.53664,-3.27673,7.86432,-3.27671,7.20896
0.62,3.9323200000000016,8.84737,0.0001000000000033,8.51968,7.86454,9.17506
0.64,9.830665,10.158085,9.83066,10.48576,9.83067,9.83041
0.66,10.158339999999999,10.48577,9.83066,10.48577,10.48602,10.48577
0.68,11.469055,10.48576,11.14137,10.48576,11.79674,10.48576
0.7,12.124414999999999,10.485765,12.45209,10.48576,11.79674,10.48577
0.72,12.779765000000001,10.158090000000001,12.45208,10.48576,13.10745,9.83042
0.74,12.77976,9.83042,12.45207,9.83042,13.10745,9.83042
0.76,13.107435,9.50274,13.10743,9.83042,13.10744,9.17506
0.78,12.452075,8.847370000000002,12.45207,9.17505,12.45208,8.51969
0.8,12.452069999999999,8.847375,12.45206,9.17505,12.45208,8.5197
0.82,12.452075,8.847375,12.45207,8.51969,12.45208,9.17506
0.84,11.796705,9.175065,11.7967,9.17506,11.79671,9.17507
0.86,12.124385,9.502745,11.7967,9.17506,12.45207,9.83043
0.88,20.644170000000003,9.17506,16.38426,9.17506,24.90408,9.17506
0.9,31.13008,9.175045,29.49165,9.17502,32.76851,9.17507
0.92,32.11314,9.17506,32.11314,9.17505,32.11314,9.17507
0.94,32.7685,9.175065,32.76849,9.17506,32.76851,9.17507
0.96,33.423860000000005,8.5197,33.42385,8.51969,33.42387,8.51971
0.98,33.751535000000004,8.19202,33.42385,8.5197,34.07922,7.86434
1.0,33.751535000000004,8.192025000000001,33.42385,8.5197,34.07922,7.86435
1.02,34.406895000000006,7.536665,34.07921,7.86434,34.73458,7.20899
1.04,34.734570000000005,7.208985,34.73456,7.20898,34.73458,7.20899
1.06,34.734579999999994,6.5536200000000004,34.73457,7.20898,34.73459,5.89826
1.08,34.734575,5.570575,34.73457,5.89825,34.73458,5.2429
1.1,35.38995,5.242895,34.07921,5.24289,36.70069,5.2429
1.12,40.960589999999996,5.242915,39.97753,5.24291,41.94365,5.24292
1.14,41.615965,5.242925,41.94364,5.24292,41.28829,5.24293
1.16,40.63292,4.915255,40.63291,5.24293,40.63293,4.58758
1.18,40.632915,4.259895,40.63291,4.58757,40.63292,3.93222
1.2,39.977549999999994,3.60453,39.97754,3.93221,39.97756,3.27685
1.22,39.649875,2.949165,39.97755,3.27684,39.3222,2.62149
1.24,39.322190000000006,2.62149,39.32218,2.62148,39.3222,2.6215
1.26,38.994510000000005,2.6214950000000004,39.32218,2.62149,38.66684,2.6215
1.28,38.666830000000004,2.29382,38.66682,2.6215,38.66684,1.96614
1.3,38.666830000000004,1.966135,38.66682,1.96613,38.66684,1.96614
1.32,38.339155000000005,1.638455,38.01147,1.96613,38.66684,1.31078
1.34,38.994519999999994,0.32773000000000085,38.66683,0.65541,39.32221,5.000000000166e-05
1.36,38.994515,-0.3273199999999988,38.66683,3.0000000002417e-05,39.3222,-0.65467
1.38,40.305220000000006,-0.65533,39.97753,-0.65533,40.63291,-0.65533
1.4,-0.9824649999999977,-1.3107,-43.25319,-1.3107,41.28826,-1.3107
1.42,41.288255,-0.98302,41.28825,-0.65534,41.28826,-1.3107
1.44,53.412555,0.6553999999999996,45.87581,1.9999999999243e-05,60.9493,1.31078
1.46,76.02284,2.293845,73.40134,1.96615,78.64434,2.62154
1.48,79.299695,1.96618,79.29969,1.96617,79.2997,1.96619
1.5,80.282725,0.983140000000005,79.95504,1.31082,80.61041,0.65546000000001
1.52,80.61167499999999,0.3277800000000017,80.61294,0.65546,80.61041,0.0001000000000033
1.54,81.265755,9.9999999999757e-05,81.26575,9.9999999996214e-05,81.26576,0.0001000000000033
1.56,80.938065,9.9999999999757e-05,80.61038,9.9999999996214e-05,81.26575,0.0001000000000033
1.58,81.26574500000001,-0.32758000000000187,80.61038,9.9999999996214e-05,81.92111,-0.65526
1.6,81.59342000000001,-0.9829399999999999,81.26573,-0.65526,81.92111,-1.31062
1.62,82.248775,-0.98295,81.92109,-0.65527,82.57646,-1.31063
1.64,82.576455,-1.31064,82.57645,-1.31064,82.57646,-1.31064
1.66,80.28267,-1.9660199999999999,82.57645,-1.96601,77.98889,-1.96603
1.68,68.81372999999999,-0.6553149999999992,70.77983,-1.31068,66.84763,5.000000000166e-05
1.7,66.192255,6.0000000001281495e-05,65.53689,5.9999999997729e-05,66.84762,6.0000000004834e-05
1.72,66.847615,5.5000000003247e-05,66.84761,5.000000000166e-05,66.84762,6.0000000004834e-05
1.74,67.175285,-0.6553100000000001,66.8476,-0.65532,67.50297,-0.6553
1.76,67.830645,-0.98299,67.50296,-0.65531,68.15833,-1.31067
1.78,67.83064999999999,-0.9829950000000001,67.50296,-0.65532,68.15834,-1.31067
1.8,67.830645,-1.310675,67.50296,-1.31068,68.15833,-1.31067
1.82,68.158325,-1.310675,68.15832,-1.31068,68.15833,-1.31067
