t_s,x,y,x_left,y_left,x_right,y_right
0.02,-8.19211,-0.9830450000000001,-3.9322,-1.31072,-12.45202,-0.65537
0.04,-9.502855,0.0,-11.14127,-1.31072,-7.86444,1.31072
0.06,-9.17516,2.621455,-9.17516,2.62146,-9.17516,2.62145
0.08,-9.17515,3.276815,-9.17515,3.27682,-9.17515,3.27681
0.1,-8.847470000000001,2.949135,-9.17515,2.62146,-8.51979,3.27681
0.12,-8.51978,2.621445,-8.51978,2.62145,-8.51978,2.62144
0.14,-8.1921,2.293755,-8.51978,2.62144,-7.86442,1.96607
0.16,-7.86442,1.638385,-7.86442,1.31071,-7.86442,1.96606
0.18,-7.864435,1.638385,-7.86443,1.31071,-7.86444,1.96606
0.2,-7.53676,1.310705,-7.86444,1.31071,-7.20908,1.3107
0.22,-6.226039999999999,0.983015,-7.20909,0.65534,-5.24299,1.31069
0.24,-0.32770999999999767,1.6383800000000002,-2.9999999995312e-05,1.31071,-0.65539,1.96605
0.26,-0.983085,1.96605,-1.31076,1.31069,-0.65541,2.62141
0.28,-0.65541,2.62141,-0.65541,2.62142,-0.65541,2.6214
0.3,-0.98309,2.2937250000000002,-0.65541,1.96605,-1.31077,2.6214
0.32,-0.98309,2.621405,-0.65541,2.62141,-1.31077,2.6214
0.34,-0.98309,2.94909,-0.65541,2.62141,-1.31077,3.27677
0.36,-0.65541,3.276765,-0.65541,3.27677,-0.65541,3.27676
0.38,-1.31077,2.94908,-1.31077,2.6214,-1.31077,3.27676
0.4,-0.983085,2.94908,-1.31077,2.6214,-0.6554,3.27676
0.42,-0.98308,2.29371,-1.31076,2.62139,-0.6554,1.96603
0.44,-0.6554,1.310665,-0.6554,1.31067,-0.6554,1.31066
0.48,-0.6554,1.3106550000000001,-0.6554,1.31066,-0.6554,1.31065
0.5,-0.32771999999999923,1.31065,-0.6554,1.31065,-3.9999999998486e-05,1.31065
0.52,-0.6554,1.310645,-0.6554,1.31065,-0.6554,1.31064
0.56,-3.4999999996899e-05,1.63832,-2.9999999995312e-05,1.31064,-3.9999999998486e-05,1.966
0.58,-3.999999999998449e-05,1.310635,-0.6554,1.31064,0.65532,1.31063
0.6,-3.9999999998486e-05,1.965995,-3.9999999998486e-05,1.966,-3.9999999998486e-05,1.96599
0.62,-3.4999999996899e-05,1.9659849999999999,-2.9999999995312e-05,1.96599,-3.9999999998486e-05,1.96598
0.64,0.32764000000000076,1.96598,-3.9999999998486e-05,1.96598,0.65532,1.96598
0.66,0.65532,1.96598,0.65532,1.96598,0.65532,1.96598
0.68,0.9830000000000001,1.965975,0.65532,1.96598,1.31068,1.96597
0.7,1.31068,1.96597,1.31068,1.96597,1.31068,1.96597
0.72,1.63836,1.965965,1.31068,1.96597,1.96604,1.96596
0.74,2.6214,1.96596,2.6214,1.96596,2.6214,1.96596
0.76,2.949085,2.293635,2.6214,1.96596,3.27677,2.62131
0.78,3.27677,2.293625,3.27677,1.96595,3.27677,2.6213
0.8,3.60446,2.94898,3.27678,2.6213,3.93214,3.27666
0.82,3.6044650000000003,3.276655,3.27678,3.27666,3.93215,3.27665
0.84,4.25983,3.6043250000000002,3.93215,3.27665,4.58751,3.932
0.86,4.915185,2.9489549999999998,4.58751,3.27664,5.24286,2.62127
0.88,4.91518,2.621265,4.5875,2.62127,5.24286,2.62126
0.9,5.57054,2.6212549999999997,5.24286,2.62126,5.89822,2.62125
0.92,5.57053,2.293565,5.24285,1.96589,5.89821,2.62124
0.94,5.570525,2.948915,5.24285,2.62124,5.8982,3.27659
0.96,5.8982,2.621225,5.8982,2.62123,5.8982,2.62122
0.98,5.898205,2.6212150000000003,5.8982,2.62122,5.89821,2.62121
1.0,6.22589,1.96586,5.89821,1.96586,6.55357,1.96586
1.02,6.55357,1.965855,6.55357,1.96586,6.55357,1.96585
1.04,6.553565,1.31049,6.55357,1.31049,6.55356,1.31049
1.06,6.88125,1.31049,6.55357,1.31049,7.20893,1.31049
1.08,6.88125,1.3104900000000002,6.55357,1.3105,7.20893,1.31048
1.1,6.55357,0.65513,6.55357,0.65513,6.55357,0.65513
1.12,6.553575,0.655125,6.55358,0.65513,6.55357,0.65512
1.14,6.553575,-0.327919999999999,6.55358,-0.000239999999998,6.55357,-0.6556
1.16,4.587465,-0.655604999999999,6.55357,-1.31097,2.62136,-0.000239999999998
1.18,3.27673,0.98282,2.62136,0.65514,3.9321,1.3105
1.2,3.93211,1.96586,3.93211,1.96586,3.93211,1.96586
1.22,3.93212,1.965865,3.93212,1.96587,3.93212,1.96586
1.24,3.60444,4.259650000000001,3.93212,3.2766,3.27676,5.2427
1.26,2.94908,9.830255000000001,3.27676,7.86416,2.6214,11.79635
1.28,1.9660250000000001,17.366975,1.96603,15.72856,1.96602,19.00539
1.3,1.63835,22.93759,1.31067,21.62686,1.96603,24.24832
1.32,1.96603,25.88675,1.96603,24.9037,1.96603,26.8698
1.34,2.2937149999999997,27.85286,1.96603,28.18054,2.6214,27.52518
1.36,4.587485,25.559105000000002,3.93212,25.55911,5.24285,25.5591
1.38,5.57053,23.26533,5.24285,23.59302,5.89821,22.93764
1.4,6.22589,20.971555,5.89821,21.62692,6.55357,20.31619
1.42,5.89822,19.33314,5.89822,19.66082,5.89822,19.00546
1.44,6.225910000000001,18.022405,5.24286,18.35009,7.20896,17.69472
1.46,16.056465000000003,16.38399,15.72877,16.384,16.38416,16.38398
1.48,14.09038,18.022395,14.41806,17.69472,13.7627,18.35007
1.5,12.77966,18.350065,13.10734,18.35007,12.45198,18.35006
1.52,9.17518,18.022375,9.83054,17.6947,8.51982,18.35005
1.54,7.20909,17.367,7.20909,17.69469,7.20909,17.03931
1.56,6.881405,16.056255,6.55373,16.38394,7.20908,15.72857
1.58,13.10738,12.779425,7.86444,14.41784,18.35032,11.14101
1.6,25.23169,9.502604999999999,25.55938,9.17493,24.904,9.83028
1.62,24.576315,9.830275,24.24864,9.83028,24.90399,9.83027
1.64,25.887025,8.84723,25.55935,9.17491,26.2147,8.51955
1.66,26.54238,7.864185,26.2147,7.86419,26.87006,7.86418
1.68,26.21469,7.20883,26.21469,7.20883,26.21469,7.20883
1.7,25.559325,6.55347,25.55932,6.55347,25.55933,6.55347
1.72,25.23164,5.898105,25.55932,5.89811,24.90396,5.8981
1.74,30.474585,4.915075,24.24859,4.58739,36.70058,5.24276
1.76,53.41256,5.24278,51.77413,5.24278,55.05099,5.24278
1.78,51.11878,4.9150849999999995,51.11878,4.58741,51.11878,5.24276
1.8,49.80807,4.91545,50.46343,5.2435,49.15271,4.5874
1.82,47.841989999999996,2.9489850000000004,48.49735,3.27667,47.18663,2.6213
1.84,44.23752,1.6382450000000015,45.22056,3.27666,43.25448,-0.0001699999999971
1.86,39.977689999999996,-6.881475,40.63305,-3.93234,39.32233,-9.83061
1.88,40.305375,-32.440685,39.9777,-25.55935,40.63305,-39.32202
1.9,35.062470000000005,-42.926505000000006,37.35624,-43.90955,32.7687,-41.94346
1.92,27.198124999999997,-41.94345,28.83653,-42.59881,25.55972,-41.28809
