t_s,x,y,x_left,y_left,x_right,y_right
0.14,0.65536,5.000000001587e-06,1.31072,0.0,0.0,1.0000000003174e-05
0.24,3.604555,2.621475,3.93223,2.62147,3.27688,2.62148
0.26,2.9491899999999998,3.276835,3.27687,3.27683,2.62151,3.27684
0.28,2.621515,3.9322,3.27687,3.93219,1.96616,3.93221
0.3,2.949195,4.587565,3.27687,4.58756,2.62152,4.58757
0.32,2.29384,4.587575,2.62152,4.58757,1.96616,4.58758
0.34,2.293845,5.242935,2.62152,5.24293,1.96617,5.24294
0.36,1.966165,5.898300000000001,2.62152,5.89829,1.31081,5.89831
0.38,1.63849,6.5536650000000005,1.96617,6.55366,1.31081,6.55367
0.4,0.983129999999995,6.5536650000000005,1.31081,6.55366,0.65544999999999,6.55367
0.42,0.983129999999995,6.881349999999999,1.31081,6.55366,0.65544999999999,7.20904
0.44,0.32777999999999813,7.209035,0.65546,7.20903,9.9999999996214e-05,7.20904
0.46,9.499999999501574e-05,7.864395,0.65545,7.86439,-0.65526000000001,7.8644
0.48,-0.32758000000000687,7.864405,9.9999999996214e-05,7.8644,-0.65526000000001,7.86441
0.5,-0.6552550000000019,8.519765,9.9999999996214e-05,8.51976,-1.31061,8.51977
0.52,-0.982935,8.51977,-0.65526,8.51977,-1.31061,8.51977
0.54,-1.31061,9.175135000000001,-0.65525,9.17513,-1.96597,9.17514
0.56,-0.9829300000000001,9.175135000000001,-0.65525,9.17513,-1.31061,9.17514
0.58,-0.32758000000000687,8.847445,9.9999999996214e-05,9.17512,-0.65526000000001,8.51977
0.6,0.32777999999999813,8.847445,0.65546,9.17512,9.9999999996214e-05,8.51977
0.62,0.9831350000000001,9.17512,1.31081,9.17512,0.65546,9.17512
0.64,1.638495,8.847439999999999,1.96617,8.51975,1.31082,9.17513
0.66,13.10744,11.46889,8.51985,11.1412,17.69503,11.79658
0.68,21.299565,11.796565,22.28261,11.79656,20.31652,11.79657
0.7,20.644195,12.451925,20.97187,12.45192,20.31652,12.45193
0.72,20.97187,12.779610000000002,20.97187,13.10729,20.97187,12.45193
0.74,20.644190000000002,12.451935,20.97187,12.45193,20.31651,12.45194
0.76,20.644190000000002,12.45193,20.97187,12.45193,20.31651,12.45193
0.78,20.644185,12.451925,20.97186,12.45192,20.31651,12.45193
0.8,20.644190000000002,12.451935,20.97187,12.45193,20.31651,12.45194
0.82,19.98883,12.451935,20.31651,12.45193,19.66115,12.45194
0.84,19.988825,12.45193,20.3165,12.45193,19.66115,12.45193
0.86,19.98883,12.124244999999998,20.31651,12.45192,19.66115,11.79657
0.88,19.66115,11.79656,20.31651,12.45192,19.00579,11.1412
0.9,19.661140000000003,11.141195,20.3165,11.14119,19.00578,11.1412
0.92,19.333460000000002,10.81352,19.66114,11.1412,19.00578,10.48584
0.94,19.988825,10.813514999999999,20.3165,10.48583,19.66115,11.1412
0.96,32.44084,15.401065,28.83629,15.07337,36.04539,15.72876
0.98,37.683825,15.40107,38.66687,15.72875,36.70078,15.07339
1.0,37.028455,15.073385,37.35613,15.07338,36.70078,15.07339
1.02,36.70077,15.07338,37.35613,15.07338,36.04541,15.07338
1.04,36.37309,14.745695000000001,36.70077,15.07337,36.04541,14.41802
1.06,35.71773,14.418015,36.04541,14.41801,35.39005,14.41802
1.08,35.71773,14.090335,36.04541,14.41801,35.39005,13.76266
1.1,35.71773,14.090335,36.04541,14.41801,35.39005,13.76266
1.12,35.39005,13.762655,36.04541,13.76265,34.73469,13.76266
