t_s,x,y,x_left,y_left,x_right,y_right
0.0,0.0,0.0,0.31785548602080493,0.8544130165992317,0.32014214371600414,0.8578176634006591
0.02,4.99999999803435e-06,-4.999999999977245e-06,0.3178555405155981,0.8567996514441005,0.32014214371600414,0.8554479589959456
0.04,4.99999999803435e-06,0.32767000000000696,0.3178555405155981,0.8567996150269428,0.32014214371600414,0.8578176272423912
0.06,-0.327675000000002,0.32767000000000696,0.3178555405155981,0.8567996150269428,0.3165450804468029,0.8578176272423912
0.08,-0.32768,0.9830300000000001,0.31785548602080493,0.8591862498718116,0.3165450804468029,0.8601872954888367
0.1,-0.65536,1.31072,0.314284115252782,0.861572921133838,0.3165450804468029,0.8601873316471046
0.12,-0.65536,1.31072,0.314284115252782,0.861572921133838,0.3165450804468029,0.8601873316471046
0.14,-0.655365,0.65536,0.314284115252782,0.8591862862889692,0.31654502555997327,0.8578176634006591
0.16,-0.655365,0.65536,0.314284115252782,0.8591862862889692,0.31654502555997327,0.8578176634006591
0.18,-0.65537,0.9830400000000001,0.3142840607579888,0.8591862862889692,0.31654502555997327,0.8601873316471046
0.2,-0.98305,0.9830400000000001,0.3107126899899659,0.8591862862889692,0.31654502555997327,0.8601873316471046
0.22,-0.655365,0.9830400000000001,0.314284115252782,0.8591862862889692,0.31654502555997327,0.8601873316471046
0.24,-0.655365,0.65536,0.314284115252782,0.8591862862889692,0.31654502555997327,0.8578176634006591
0.26,-0.655375,0.65536,0.3142840607579888,0.8591862862889692,0.3165449706731436,0.8578176634006591
0.28,-0.655375,0.32768,0.3142840607579888,0.8567996514441005,0.3165449706731436,0.8578176634006591
0.3,-1.310735,0.98305,0.3107126899899659,0.8591863227061269,0.3129479074039424,0.8601873678053725
0.32,-1.638415,1.63841,0.3107126899899659,0.8615729575509956,0.30935084413474123,0.862557036051818
0.34,-1.31074,2.29378,0.31071263549517264,0.863959628813022,0.3129479074039424,0.8649267404565315
0.36,-1.31074,2.9491449999999997,0.31071263549517264,0.8663463000750484,0.3129479074039424,0.867296408702977
0.38,-1.966095,3.60451,0.30714131922194293,0.8687329349199171,0.30935084413474123,0.8696661131076903
0.4,-1.96608,4.259875,0.30714137371673617,0.8711196061819435,0.30935095390840056,0.8720357813541358
0.42,-1.966085,4.91524,0.30714137371673617,0.8735062410268123,0.30935089902157087,0.8744054857588492
0.44,-2.2937600000000002,4.91524,0.3035700029487133,0.8735062410268123,0.30935095390840056,0.8744054857588492
0.46,-3.604495,5.242925,0.3035700029487133,0.8735062410268123,0.29496253617110685,0.8767751901635626
0.48,-8.19207,6.5536650000000005,0.27142723007816133,0.8782796199680228,0.2769770551646119,0.8815145628147216
0.5,-8.192045,8.192085,0.2749988188253571,0.8854395609197866,0.2733800467822404,0.8862540077824164
0.52,-8.51974,8.192084999999999,0.2714273390677478,0.887826232181813,0.27337999189541073,0.8838843033777029
0.54,-9.17509,7.53673,0.2678560227945181,0.8830529624920755,0.26978298351303925,0.8838843395359708
0.56,-9.1751,7.536725000000001,0.26785596829972486,0.8830529624920755,0.26978292862620956,0.8838843033777029
0.58,-8.84742,7.209035,0.26785596829972486,0.8830529260749178,0.27337999189541073,0.8815145989729896
0.6,-8.84743,6.5536650000000005,0.2678559138049316,0.8806662548128915,0.27337993700858104,0.8791448945682762
0.62,-8.84742,6.881345,0.26785596829972486,0.8806662548128915,0.27337999189541073,0.8815145628147216
0.64,-9.175105,7.53671,0.26785596829972486,0.8830528896577602,0.26978287373937987,0.883884267219435
0.66,-8.519745,8.192070000000001,0.27142728457295456,0.885439524502629,0.27337999189541073,0.8862539354658805
0.68,-8.519745,7.20902,0.2714273390677478,0.8830528532406026,0.27337993700858104,0.8815145628147216
0.7,-8.519745,7.5367,0.2714273390677478,0.8830528532406026,0.27337993700858104,0.8838842310611671
0.72,-8.51975,7.20902,0.27142728457295456,0.8830528532406026,0.27337993700858104,0.8815145628147216
0.74,-8.51975,7.536695,0.27142728457295456,0.8830528532406026,0.27337993700858104,0.8838841949028992
0.76,-2.94911,7.536669999999999,0.2928557816550581,0.885439415251156,0.31294823672492045,0.8815144181816499
0.78,-2.29374,7.536675,0.3071415372011158,0.8806661091442608,0.305753945526029,0.8862538269910768
0.8,-2.62142,9.17508,0.3035701119382997,0.8902126849408935,0.3057540004128587,0.8886234952375223
0.82,-2.62142,8.192035,0.3035701119382997,0.885439415251156,0.3057540004128587,0.8862537908328089
0.84,-2.9491,7.864355,0.29999874117027675,0.885439415251156,0.3057540004128587,0.8838841225863633
0.86,-2.6214250000000003,7.53668,0.3035701119382997,0.8830527804062872,0.305753945526029,0.8838841587446312
0.88,-2.6214250000000003,7.209,0.3035701119382997,0.8830527804062872,0.305753945526029,0.8815144904981858
0.9,-3.2767850000000003,6.881315,0.2999986866754836,0.8806661455614185,0.30215693714365754,0.8815144543399178
0.92,-2.9491,6.553625,0.29999874117027675,0.8806661091442608,0.3057540004128587,0.8791447499352044
0.94,-3.27678,5.898265,0.29999874117027675,0.8782794742993921,0.30215693714365754,0.876775081688759
0.96,-3.27678,5.57058,0.29999874117027675,0.8758928030373657,0.30215693714365754,0.876775081688759
0.98,-3.27677,5.242895,0.29999879566507,0.8758928030373657,0.30215699203048724,0.8744053772840454
1.0,-3.60445,4.587535,0.29642742489704704,0.8735061681924969,0.30215699203048724,0.8720357090376001
1.02,-3.27676,3.93217,0.29999885015986316,0.8711194969304705,0.3021570469173169,0.8696660407911545
1.04,-3.27676,3.2768050000000004,0.29999885015986316,0.8687328620856019,0.3021570469173169,0.8672963363864411
1.06,-2.94907,2.621445,0.30357027542267934,0.8663462272407332,0.30215710180414657,0.8649266681399956
1.08,-2.62139,1.96609,0.30357027542267934,0.8639595923958644,0.30575416507334774,0.862557036051818
1.1,-2.94907,1.6384050000000001,0.2999989046546564,0.8615729575509956,0.30575416507334774,0.8625569998935501
1.12,-2.9490749999999997,1.31072,0.2999989046546564,0.861572921133838,0.30575411018651805,0.8601873316471046
1.14,-2.6214,0.32768,0.3035702209278861,0.8567996514441005,0.30575411018651805,0.8578176634006591
1.16,-3.27674,0.32768,0.29999895914944963,0.8567996514441005,0.3021571566909762,0.8578176634006591
1.18,-3.27674,0.0,0.29999895914944963,0.8567996514441005,0.3021571566909762,0.8554479951542135
1.2,-3.27674,0.0,0.29999895914944963,0.8567996514441005,0.3021571566909762,0.8554479951542135
1.22,0.6554850000000001,0.655365,0.29999906813903604,0.8567996878612582,0.3453225196765168,0.8601873316471046
1.24,13.435189999999999,-0.983055,0.3857132199518299,0.8520263453372053,0.39927923713014984,0.8530782545912322
1.26,13.1075,1.3110300000000001,0.3892845362250596,0.8591862862889692,0.39208505570491786,0.8625592417061612
1.28,12.45215,1.63841,0.3857132199518299,0.8615729575509956,0.3884880473225464,0.862557036051818
1.3,12.452145,0.655365,0.3857132199518299,0.8591863227061269,0.3884879924357167,0.8578176634006591
1.32,12.12446,0.327685,0.38571316545703666,0.8567996878612582,0.38489092916651546,0.8578176634006591
1.34,11.79678,-0.32767499999999844,0.3821417946890137,0.8544130530163894,0.38489092916651546,0.8554479951542135
1.36,12.124445000000001,-0.983044999999995,0.3821417401942205,0.852026381754363,0.3884878826620573,0.8530782907495001
