t_s,x,y,x_left,y_left,x_right,y_right
0.02,-0.32767499999999844,1.9661,1.0000000003174e-05,2.62146,-0.65536,1.31074
0.04,-1.310715,2.29379,-1.31071,3.27683,-1.31072,1.31075
0.06,-1.63839,3.276845,-1.31071,3.93221,-1.96607,2.62148
0.08,-2.293745,4.259905,-1.96606,4.58759,-2.62143,3.93222
0.1,-2.9491,4.5876,-2.62142,5.24296,-3.27678,3.93224
0.12,-3.27678,5.570645,-3.27677,5.89833,-3.27679,5.24296
0.14,-2.29375,6.88137,-2.62142,7.20906,-1.96608,6.55368
0.16,-1.9660799999999998,7.536735,-1.96607,7.86442,-1.96609,7.20905
0.18,-1.3107250000000001,8.192105,-1.31072,9.17515,-1.31073,7.20906
0.2,-7.53671,8.847470000000001,-1.96608,9.17515,-13.10734,8.51979
0.22,-31.129960000000004,11.141265,-28.1808,11.14126,-34.07912,11.14127
0.24,-33.09605,13.435055,-33.42373,13.76274,-32.76837,13.10737
0.26,-32.76836,15.07347,-32.76836,15.72883,-32.76836,14.41811
0.28,-32.440675,16.384195000000002,-32.76835,17.03956,-32.113,15.72883
0.3,-32.112995,17.367240000000002,-32.11299,17.69492,-32.113,17.03956
0.32,-32.76835,18.677965,-32.76834,19.00565,-32.76836,18.35028
0.34,-32.76835,19.988695,-32.76835,20.31638,-32.76835,19.66101
0.36,-33.096014999999994,21.954794999999997,-32.76833,22.28248,-33.4237,21.62711
0.38,-33.423694999999995,23.593205,-33.42369,24.24857,-33.4237,22.93784
0.4,-34.079055,25.559305000000002,-34.07905,25.55931,-34.07906,25.5593
0.42,-34.406735,27.197715000000002,-34.07905,27.5254,-34.73442,26.87003
0.44,-34.079045,28.83613,-34.07904,28.83614,-34.07905,28.83612
0.46,-35.062084999999996,29.819184999999997,-34.7344,30.14687,-35.38977,29.4915
0.48,-35.389755,30.146875,-35.38975,30.80224,-35.38976,29.49151
0.5,-35.389755,30.802239999999998,-35.38975,31.45761,-35.38976,30.14687
0.52,-36.045105,31.457605,-36.0451,32.11297,-36.04511,30.80224
0.54,-36.045095,31.457605,-36.04509,32.11297,-36.0451,30.80224
0.56,-36.045095,32.112970000000004,-36.04509,32.76834,-36.0451,31.4576
0.58,-36.700445,32.440655,-36.70044,33.4237,-36.70045,31.45761
0.6,-36.70044,32.44066,-36.70044,33.42371,-36.70044,31.45761
0.62,-36.372755,32.112975,-36.70043,32.76834,-36.04508,31.45761
0.64,-36.372755,31.457610000000003,-36.70043,32.11298,-36.04508,30.80224
0.66,-36.045075,30.80225,-36.04507,31.45762,-36.04508,30.14688
0.68,-36.045065,30.474565,-36.04506,31.45761,-36.04507,29.49152
0.7,-36.04506000000001,30.146880000000003,-36.04505,30.80225,-36.04507,29.49151
0.72,-36.045055000000005,29.819195,-36.04505,30.80224,-36.04506,28.83615
0.74,-36.04505,29.491515,-36.04505,30.14688,-36.04505,28.83615
0.76,-25.55919,28.836154999999998,-33.42359,29.49152,-17.69479,28.18079
0.78,-5.89813,29.16384,-7.20887,29.49153,-4.58739,28.83615
0.8,-4.25971,30.146880000000003,-4.58738,30.80225,-3.93204,29.49151
0.82,-3.27669,30.146880000000003,-3.27668,30.80225,-3.2767,29.49151
0.84,-2.949015,30.474555000000002,-3.27669,30.80224,-2.62134,30.14687
0.86,-2.94902,30.802235,-3.27669,31.4576,-2.62135,30.14687
0.88,-2.949025,29.819195,-3.2767,30.80224,-2.62135,28.83615
0.9,-3.27671,30.146875,-3.2767,30.80224,-3.27672,29.49151
0.92,-3.2767150000000003,29.491515,-3.27671,30.14688,-3.27672,28.83615
0.94,-3.604405,29.491509999999998,-3.93208,30.14688,-3.27673,28.83614
0.96,-3.276725,29.163829999999997,-3.27672,30.14688,-3.27673,28.18078
0.98,-3.60441,28.836145000000002,-3.93208,29.49152,-3.27674,28.18077
1.0,-3.276725,28.83614,-3.27672,29.49151,-3.27673,28.18077
1.02,-3.276725,28.508454999999998,-3.27672,29.4915,-3.27673,27.52541
1.04,-3.6044,27.85309,-3.93207,28.83614,-3.27673,26.87004
1.06,-3.2767150000000003,27.52541,-3.27671,28.18078,-3.27672,26.87004
1.08,-3.276725,27.19773,-3.27672,28.18078,-3.27673,26.21468
1.1,-3.276725,26.870045,-3.27672,27.52541,-3.27673,26.21468
1.12,-3.276725,26.870045,-3.27672,27.52541,-3.27673,26.21468
1.14,-2.62136,26.542365,-2.62136,27.52541,-2.62136,25.55932
1.16,-2.9490350000000003,26.542365,-3.27671,27.52541,-2.62136,25.55932
1.18,2.62161,26.542365,-0.65524,26.87005,5.89846,26.21468
1.2,10.486085,26.870055,9.83072,27.52542,11.14145,26.21469
1.22,10.15841,26.870065,10.4861,27.52543,9.83072,26.2147
1.24,10.486105,26.870065,10.48611,27.52543,10.4861,26.2147
1.26,10.486115,26.54238,10.48612,27.52543,10.48611,25.55933
1.28,10.158435,26.214695,9.83076,26.87006,10.48611,25.55933
1.3,10.158439999999999,25.887014999999998,9.83077,26.87006,10.48611,24.90397
1.32,17.695205,24.903975,14.41835,25.55934,20.97206,24.24861
1.34,22.282835,24.5763,22.28285,24.90398,22.28282,24.24862
1.36,22.282835,25.231665,22.28284,26.21471,22.28283,24.24862
1.38,21.62747,24.903979999999997,21.62748,25.55935,21.62746,24.24861
1.4,21.299795,24.5763,20.97212,25.55935,21.62747,23.59325
1.42,21.627474999999997,23.920935,21.62748,24.90398,21.62747,22.93789
1.44,21.299805,23.920935,20.97213,24.24862,21.62748,23.59325
1.46,21.299799999999998,23.59326,20.97213,24.24863,21.62747,22.93789
1.48,22.938185,23.92093,22.28283,24.90398,23.59354,22.93788
1.5,23.921210000000002,23.920925,23.59354,24.90397,24.24888,22.93788
1.52,24.248885,23.920925,24.24889,24.90397,24.24888,22.93788
1.54,24.248885,24.248605,24.24889,24.90397,24.24888,23.59324
1.56,24.576565000000002,23.920920000000002,24.24889,24.90397,24.90424,22.93787
1.58,24.57657,23.920925,24.2489,24.24861,24.90424,23.59324
1.6,32.768679999999996,24.5763,26.87035,24.90397,38.66701,24.24863
1.62,56.034364999999994,25.55939,53.08519,26.21475,58.98354,24.90403
1.64,58.655855,26.54244,58.98355,27.52549,58.32816,25.55939
1.66,58.32817,26.870125,58.32818,27.52549,58.32816,26.21476
1.68,58.32816,26.542435,58.32817,27.52548,58.32815,25.55939
1.7,58.328165,26.870115,58.32817,27.52548,58.32816,26.21475
1.72,58.000479999999996,27.197795,57.67281,27.52548,58.32815,26.87011
1.74,58.32816,27.52548,58.32817,28.18085,58.32815,26.87011
1.76,58.98352,27.525485,58.32816,28.18085,59.63888,26.87012
1.78,67.175645,27.525495,65.53722,28.18086,68.81407,26.87013
1.8,69.46945,27.525505,69.46946,28.18087,69.46944,26.87014
1.82,69.46944500000001,28.18087,69.46945,28.83624,69.46944,27.5255
1.84,68.814085,28.18087,68.81409,28.83624,68.81408,27.5255
1.86,68.4864,27.525509999999997,68.15873,28.18088,68.81407,26.87014
1.88,68.81407999999999,27.525505,68.81409,28.18087,68.81407,26.87014
1.9,68.15999500000001,26.870145,68.15873,27.52551,68.16126,26.21478
1.92,68.15872,26.870145,68.15873,27.52551,68.15871,26.21478
1.94,67.503365,27.197825,67.50337,28.18087,67.50336,26.21478
1.96,67.831045,27.525505,67.50337,28.18087,68.15872,26.87014
1.98,74.384735,26.870175,68.81411,27.52552,79.95536,26.21483
2.0,98.305755,27.853279999999998,95.02891,28.18096,101.5826,27.5256
2.02,100.92725,28.83633,100.92726,29.4917,100.92724,28.18096
2.04,100.271885,28.836335,100.27189,29.4917,100.27188,28.18097
2.06,99.944205,28.508650000000003,100.27189,29.4917,99.61652,27.5256
2.08,99.28884,28.180970000000002,99.61653,28.83634,98.96115,27.5256
2.1,98.96116,28.180975,98.96117,28.83634,98.96115,27.52561
2.12,98.63348500000001,27.853295,98.96117,28.83634,98.3058,26.87025
2.14,98.305805,27.525615000000002,97.65045,28.18098,98.96116,26.87025
2.16,98.96116,28.180975,98.30581,28.83634,99.61651,27.52561
2.18,100.27186499999999,28.180975,100.27188,28.83634,100.27185,27.52561
2.2,101.254895,28.50865,100.92722,29.49169,101.58257,27.52561
2.22,101.254895,28.83633,100.92722,29.4917,101.58257,28.18096
2.24,101.58257,28.836335,101.58258,29.4917,101.58256,28.18097
2.26,101.254885,28.836335,101.58257,29.4917,100.9272,28.18097
2.28,76.67856499999999,29.491675,90.44133,30.14706,62.9158,28.83629
