t_s,x,y,x_left,y_left,x_right,y_right
0.04,5.000000001587e-06,-0.9830450000000001,1.0000000003174e-05,-1.31072,0.0,-0.65537
0.06,-0.32767499999999844,-0.9830450000000001,1.0000000003174e-05,-1.31072,-0.65536,-0.65537
0.08,-0.655355,-1.3107250000000001,-0.65535,-1.31072,-0.65536,-1.31073
0.1,5.000000001587e-06,-1.31072,1.0000000003174e-05,-1.31072,0.0,-1.31072
0.12,0.3276800000000016,-1.96609,1.0000000003174e-05,-1.96609,0.65535,-1.96609
0.14,0.655355,-2.293765,0.65536,-2.62144,0.65535,-1.96609
0.16,0.32767499999999844,-2.293765,0.65536,-2.62144,-1.0000000003174e-05,-1.96609
0.18,0.655355,-2.2937600000000002,0.65536,-2.62144,0.65535,-1.96608
0.2,0.32767499999999844,-2.2937600000000002,0.65536,-2.62144,-1.0000000003174e-05,-1.96608
0.22,-0.655355,-2.62144,-0.65535,-2.62144,-0.65536,-2.62144
0.24,-0.655355,-3.276805,-0.65535,-3.2768,-0.65536,-3.27681
0.26,-0.655355,-3.60449,-0.65535,-3.93217,-0.65536,-3.27681
0.28,-0.3276799999999984,-3.93217,1.0000000003174e-05,-3.93217,-0.65537,-3.93217
0.3,-0.32768499999999656,-4.25985,-0.65535999999999,-4.58753,-1.0000000003174e-05,-3.93217
0.32,-0.655355,-3.932175,-0.65535,-4.58753,-0.65536,-3.27682
0.34,-0.6553599999999999,-4.259855,-0.65535,-4.58753,-0.65537,-3.93218
0.36,-0.655355,-4.91522,-0.65535,-5.2429,-0.65536,-4.58754
0.38,-0.9830450000000001,-4.91522,-1.31072,-5.2429,-0.65537,-4.58754
0.4,-0.655364999999995,-4.91522,-0.65535999999999,-5.2429,-0.65537,-4.58754
0.42,-0.98305,-4.915215,-1.31072,-5.2429,-0.65538,-4.58753
0.44,-1.3107250000000001,-4.915215,-1.31072,-5.24289,-1.31073,-4.58754
0.46,-1.6384050000000001,-5.24289,-1.96608,-5.89825,-1.31073,-4.58753
0.48,-1.3107250000000001,-3.9321649999999995,-1.31072,-4.58752,-1.31073,-3.27681
0.5,-1.966085,-3.60448,-1.96608,-3.93216,-1.96609,-3.2768
0.52,-1.966085,-2.94912,-1.96608,-3.2768,-1.96609,-2.62144
0.54,-1.96608,-2.621435,-1.96608,-3.2768,-1.96608,-1.96607
0.56,-2.6214399999999998,-2.29375,-2.62143,-2.62143,-2.62145,-1.96607
0.58,-3.2768,-1.9660600000000001,-3.2768,-2.62142,-3.2768,-1.3107
0.6,-3.276795,-1.638375,-3.27679,-1.96606,-3.2768,-1.31069
0.62,-3.276795,-1.3106900000000001,-3.27679,-1.96605,-3.2768,-0.65533
0.64,-3.27552,-0.9830000000000001,-3.27679,-1.31068,-3.27425,-0.65532
0.66,-3.27679,-0.9830000000000001,-3.27678,-1.31068,-3.2768,-0.65532
0.68,-2.9491050000000003,-0.983005,-3.27678,-1.31068,-2.62143,-0.65533
0.7,-2.9491050000000003,-1.31069,-3.27678,-1.31069,-2.62143,-1.31069
