t_s,x,y,x_left,y_left,x_right,y_right
0.0,130.15,144.125,134.07,137.64,126.23,150.61
0.003997,133.74,144.175,137.19,136.15,130.29,152.2
0.007994,133.185,143.465,136.09,136.1,130.28,150.83
0.011991,133.805,143.79000000000002,139.42,134.72,128.19,152.86
0.015989,133.85,144.095,139.99,135.16,127.71,153.03
0.019991,134.38,144.495,140.98,135.66,127.78,153.33
0.023994,134.575,144.395,143.99,135.86,125.16,152.93
0.027997,131.9,143.89,142.09,136.59,121.71,151.19
0.031999,132.425,143.285,142.61,136.42,122.24,150.15
0.036002,130.22,144.07,142.72,136.48,117.72,151.66
0.040005,130.26,142.6,143.82,136.1,116.7,149.1
0.044007,127.045,141.24,139.46,134.79,114.63,147.69
0.04801,122.57,140.0,135.2,133.39,109.94,146.61
0.052014,120.055,137.28,132.43,129.97,107.68,144.59
0.056019,115.33000000000001,136.615,126.87,129.33,103.79,143.9
0.060023,109.395,134.075,119.02,126.61,99.77,141.54
0.064028,110.52000000000001,132.79500000000002,122.34,124.18,98.7,141.41
0.068032,109.14,131.595,123.5,122.98,94.78,140.21
0.072037,103.005,131.06,116.64,121.92,89.37,140.2
0.076041,105.97999999999999,128.82999999999998,120.44,119.93,91.52,137.73
0.080046,100.88999999999999,126.74000000000001,116.57,118.05,85.21,135.43
0.08405,101.305,125.525,116.17,117.72,86.44,133.33
0.088055,99.985,123.715,116.82,116.87,83.15,130.56
0.092059,101.2,123.725,120.12,119.25,82.28,128.2
0.096064,101.36,122.77,121.55,119.3,81.17,126.24
0.100068,107.015,124.445,127.19,125.07,86.84,123.82
0.104073,112.05000000000001,125.665,131.9,126.9,92.2,124.43
0.108077,110.32499999999999,125.655,133.67,128.25,86.98,123.06
0.112082,115.83500000000001,127.38,142.05,131.76,89.62,123.0
0.116086,115.74,128.88,139.42,134.61,92.06,123.15
0.120091,119.305,131.675,143.84,139.68,94.77,123.67
0.124095,120.395,137.0,150.79,148.19,90.0,125.81
0.1281,124.93,139.475,156.69,150.94,93.17,128.01
0.132104,128.875,142.52499999999998,158.92,153.66,98.83,131.39
0.136109,130.025,146.48,159.05,157.92,101.0,135.04
0.140113,136.505,150.53,168.03,162.63,104.98,138.43
0.144118,138.905,152.08499999999998,167.16,165.25,110.65,138.92
0.148122,142.095,152.01,171.91,166.38,112.28,137.64
0.152127,147.515,154.125,177.18,168.89,117.85,139.36
0.156131,149.315,155.385,177.02,172.41,121.61,138.36
0.160136,151.10000000000002,157.865,178.52,177.0,123.68,138.73
0.16414,154.27499999999998,159.87,179.79,179.34,128.76,140.4
0.168145,155.81,159.47,181.56,178.76,130.06,140.18
0.172149,157.275,160.95999999999998,182.36,180.51,132.19,141.41
0.176154,159.11,161.945,182.86,182.67,135.36,141.22
0.180158,160.595,163.015,183.38,182.5,137.81,143.53
0.184163,159.755,162.95499999999998,179.32,182.12,140.19,143.79
0.188167,156.765,162.59,172.39,180.6,141.14,144.58
0.192172,153.82,161.935,167.15,177.08,140.49,146.79
0.196176,149.485,160.75,159.18,172.84,139.79,148.66
0.200181,154.315,155.575,168.36,162.02,140.27,149.13
0.204185,166.76,152.495,178.83,153.2,154.69,151.79
0.20819,236.55,160.445,215.42,167.26,257.68,153.63
0.212194,340.86,163.97500000000002,330.82,170.08,350.9,157.87
0.216199,380.21500000000003,182.38,366.49,179.65,393.94,185.11
0.220203,438.55,203.82999999999998,434.16,194.81,442.94,212.85
0.224207,487.61,248.83,492.6,250.61,482.62,247.05
0.228211,501.885,278.28499999999997,506.49,275.62,497.28,280.95
0.232215,520.4200000000001,284.46500000000003,531.22,279.55,509.62,289.38
0.236218,517.265,289.79499999999996,526.02,285.58,508.51,294.01
0.240222,521.105,286.63,529.05,281.11,513.16,292.15
0.244226,521.9100000000001,289.95,527.34,279.46,516.48,300.44
0.24823,524.775,289.105,530.31,279.04,519.24,299.17
0.252229,529.135,289.435,536.35,276.61,521.92,302.26
0.256228,530.6700000000001,288.405,538.83,274.32,522.51,302.49
0.260228,531.6700000000001,287.39,539.24,273.46,524.1,301.32
0.264227,532.94,287.565,540.3,272.69,525.58,302.44
