t_s,x,y,x_left,y_left,x_right,y_right
0.02,-0.65536,-1.3107250000000001,-0.65536,-1.31072,-0.65536,-1.31073
0.04,-0.65537,-2.293765,-0.65537,-1.96608,-0.65537,-2.62145
0.06,-1.310735,-3.276805,-1.31074,-3.2768,-1.31073,-3.27681
0.08,-1.310735,-4.259855,-1.31074,-3.93217,-1.31073,-4.58754
0.1,-1.310735,-5.2429,-1.31074,-5.2429,-1.31073,-5.2429
0.12,-1.638415,-5.89826,-1.31074,-5.89826,-1.96609,-5.89826
0.14,-2.621455,-6.2256,-2.62146,-6.55362,-2.62145,-5.89758
0.16,-2.62146,-6.553625,-2.62146,-6.55362,-2.62146,-6.55363
0.18,-0.9830449999999984,-5.898265,-1.9661,-6.55363,1.0000000003174e-05,-5.2429
0.2,9.99999999962135e-06,-5.242885,9.9999999960687e-06,-5.24288,1.0000000003174e-05,-5.24289
0.22,5.000000001587e-06,-5.57057,0.0,-5.89825,1.0000000003174e-05,-5.24289
0.24,-0.3276699999999984,-4.915205,-0.65535,-5.24288,1.0000000003174e-05,-4.58753
0.26,-0.6553500000000001,-4.9152000000000005,-0.65536,-5.24288,-0.65534,-4.58752
0.28,-0.6553450000000001,-4.587525,-0.65535,-5.24288,-0.65534,-3.93217
0.3,-1.310705,-4.587524999999999,-1.31071,-4.58752,-1.3107,-4.58753
0.32,-0.9830300000000001,-4.259845,-0.65535,-4.58752,-1.31071,-3.93217
0.34,-1.31071,-4.587535,-1.31071,-4.58753,-1.31071,-4.58754
0.36,-0.9830300000000001,-4.915215,-1.31072,-5.24289,-0.65534,-4.58754
0.38,4.259905,-4.91522,3.93221,-5.2429,4.5876,-4.58754
0.4,4.91527,-4.91522,4.58759,-5.2429,5.24295,-4.58754
0.42,4.58759,-4.91521,4.58759,-5.24289,4.58759,-4.58753
0.44,3.932225,-4.25985,3.93222,-4.58753,3.93223,-3.93217
0.46,4.2599,-4.25984,3.93222,-4.58752,4.58758,-3.93216
0.48,3.93221,-4.915195000000001,3.93221,-4.58751,3.93221,-5.24288
0.5,3.93221,-6.88127,3.93221,-6.55359,3.93221,-7.20895
0.52,3.93221,-8.847345,3.93221,-8.51966,3.93221,-9.17503
0.54,3.9322,-11.468779999999999,3.9322,-11.1411,3.9322,-11.79646
0.56,3.6045,-13.43485,3.93218,-13.10717,3.27682,-13.76253
0.58,3.276815,-15.07324,3.27681,-15.07324,3.27682,-15.07324
0.6,3.276805,-15.400915000000001,3.2768,-15.72859,3.27681,-15.07324
