t_s,x,y,x_left,y_left,x_right,y_right
0.06,-0.983030000000005,0.983045,-1.31071,1.31073,-0.65535000000001,0.65536
0.08,-0.9830350000000001,1.3107250000000001,-1.31071,1.31073,-0.65536,1.31072
0.1,-0.655345000000005,1.6384050000000001,-0.65534,1.96609,-0.65535000000001,1.31072
0.12,-0.655345000000005,1.3107250000000001,-0.65534,1.31073,-0.65535000000001,1.31072
0.14,-1.310715,1.96609,-1.31071,1.96609,-1.31072,1.96609
0.16,-1.966075,1.63841,-1.96607,1.96609,-1.96608,1.31073
0.18,-1.966075,1.96609,-1.96607,1.96609,-1.96608,1.96609
0.2,-1.966075,2.29377,-1.96607,2.62146,-1.96608,1.96608
0.22,-1.966075,2.29377,-1.96607,2.62146,-1.96608,1.96608
0.24,-2.293755,2.293775,-2.62143,2.62146,-1.96608,1.96609
0.26,-2.2937600000000002,2.621455,-2.62144,2.62146,-1.96608,2.62145
0.28,-2.293765,2.949135,-2.62144,3.27682,-1.96609,2.62145
0.3,-2.2937600000000002,3.276815,-2.62144,3.27682,-1.96608,3.27681
0.32,-1.966075,3.276815,-1.96607,3.27682,-1.96608,3.27681
0.34,-2.29375,3.6044850000000004,-2.62143,3.93217,-1.96607,3.2768
0.36,-1.96607,3.932175,-1.96607,3.93218,-1.96607,3.93217
0.38,-1.966065,4.259845,-2.62142,4.58753,-1.31071,3.93216
0.4,-1.638385,3.60449,-1.96606,3.93217,-1.31071,3.27681
0.42,-1.966065,4.587524999999999,-1.96606,4.58753,-1.96607,4.58752
0.44,-1.966065,4.587524999999999,-1.96606,4.58753,-1.96607,4.58752
0.46,-1.638385,4.915205,-1.3107,5.24289,-1.96607,4.58752
0.48,-1.638385,4.91521,-1.96606,5.24289,-1.31071,4.58753
0.5,-1.638385,4.91521,-1.96606,5.24289,-1.31071,4.58753
0.52,-1.31071,4.915205,-1.3107,5.24289,-1.31072,4.58752
0.54,-1.3107,4.587524999999999,-1.3107,4.58753,-1.3107,4.58752
0.56,-1.310695,4.915205,-1.31069,5.24289,-1.3107,4.58752
0.58,-0.983015,4.587524999999999,-1.31069,4.58753,-0.65534,4.58752
0.6,-0.983015,4.915215,-1.31069,5.2429,-0.65534,4.58753
0.62,-0.98302,5.24289,-1.3107,5.24289,-0.65534,5.24289
0.64,-0.32765000000000233,5.242895,-0.65533,5.89826,2.9999999995312e-05,4.58753
0.66,-0.6553350000000003,5.57057,-1.31069,5.89825,1.9999999999243e-05,5.24289
0.68,-0.9830200000000049,5.570575,-1.31069,5.89826,-0.65535000000001,5.24289
0.7,-1.3107,5.89826,-1.3107,5.89826,-1.3107,5.89826
0.72,4.2598899999999995,4.91523,1.9999999999243e-05,5.89827,8.51976,3.93219
0.74,10.158185,5.24293,10.48588,5.24293,9.83049,5.24293
0.76,9.830494999999999,5.570615,9.8305,5.8983,9.83049,5.24293
0.78,10.158175,5.898300000000001,9.8305,5.89831,10.48585,5.89829
0.8,9.502815,5.570615,9.17514,5.8983,9.83049,5.24293
0.82,9.502804999999999,5.57061,9.17513,5.89829,9.83048,5.24293
0.84,9.830485,5.24293,9.83049,5.89829,9.83048,4.58757
0.86,9.830485,4.9152450000000005,9.83049,5.24293,9.83048,4.58756
0.88,16.71182,3.604525,10.48586,4.58757,22.93778,2.62148
0.9,27.525395000000003,3.60453,27.5254,3.27685,27.52539,3.93221
0.92,27.19771,5.242945000000001,26.87003,5.24295,27.52539,5.24294
0.94,26.54235,5.242945000000001,26.21467,5.24295,26.87003,5.24294
0.96,26.870035,5.57062,26.87004,5.8983,26.87003,5.24294
0.98,27.197715000000002,5.570615,26.87004,5.8983,27.52539,5.24293
1.0,26.542355,5.898295,26.21468,6.55366,26.87003,5.24293
1.02,27.19772,5.5706050000000005,26.87004,5.89829,27.5254,5.24292
1.04,27.197725,5.24293,26.87005,5.89829,27.5254,4.58757
1.06,27.19773,5.24293,26.87005,5.89829,27.52541,4.58757
1.08,27.197725,4.58757,26.87005,5.24293,27.5254,3.93221
1.1,27.85308,4.58757,27.5254,5.24293,28.18076,3.93221
1.12,27.52541,4.25989,27.52541,4.58757,27.52541,3.93221
1.14,27.525415000000002,4.259885000000001,27.52542,4.58757,27.52541,3.9322
1.16,37.028235,1.96614,30.80224,3.27686,43.25423,0.65542
1.18,47.18647,1.966155,47.18647,1.96616,47.18647,1.96615
1.2,46.203424999999996,2.62152,46.53111,2.62152,45.87574,2.62152
1.22,45.875735,2.621525,45.87574,2.62153,45.87573,2.62152
1.24,45.220375000000004,2.29384,45.22038,2.62152,45.22037,1.96616
1.26,44.892685,1.966165,44.56501,2.62153,45.22036,1.3108
1.28,44.892675,1.638485,44.565,1.96617,45.22035,1.3108
1.3,44.892675,1.638485,44.565,1.96617,45.22035,1.3108
1.32,44.892675,1.966165,44.565,1.96617,45.22035,1.96616
1.34,44.892675,2.293835,44.565,2.62152,45.22035,1.96615
1.36,44.892675,1.310795,44.565,1.96616,45.22035,0.65543
1.38,58.000035,-1.310645,51.77404,-0.65529,64.22603,-1.966
1.4,64.22606999999999,9.0000000000146e-05,64.22608,9.0000000000146e-05,64.22606,9.0000000000146e-05
1.42,63.570695,0.9831350000000001,63.5707,0.65546,63.57069,1.31081
1.44,63.898375,1.96618,63.5707,1.96618,64.22605,1.96618
1.46,63.570695,2.6215349999999997,62.91534,2.62154,64.22605,2.62153
1.48,63.24301,2.94921,62.91534,3.27689,63.57068,2.62153
1.5,63.24301,2.94921,62.91533,3.27689,63.57069,2.62153
1.52,63.89836,2.621525,63.57068,2.62153,64.22604,2.62152
1.54,63.57068,2.62153,63.57068,3.27689,63.57068,1.96617
1.56,63.570685,2.949205,63.57069,3.27689,63.57068,2.62152
1.58,63.898365,2.29385,63.57069,2.62153,64.22604,1.96617
1.6,64.226045,1.96617,64.22605,2.62153,64.22604,1.31081
1.62,63.898375,1.638485,63.5707,1.96617,64.22605,1.3108
1.64,64.226055,0.9831300000000001,64.22606,1.31082,64.22605,0.65544
1.66,66.51983,-0.327595,63.57069,0.65545,69.46897,-1.31064
1.68,92.734505,-2.2936449999999997,87.81924,-1.96597,97.64977,-2.62132
1.7,95.356015,0.0001400000000018,95.6837,0.0001400000000018,95.02833,0.0001400000000018
1.72,94.37298,0.9831799999999999,94.37298,0.6555,94.37298,1.31086
1.74,94.372985,1.9662250000000001,93.71763,1.96623,95.02834,1.96622
1.76,94.700665,2.293905,94.37299,2.62159,95.02834,1.96622
1.78,94.700665,2.2939,94.37299,2.62158,95.02834,1.96622
