t_s,x,y,x_left,y_left,x_right,y_right
0.08,1.63839,-2.29379,1.31071,-1.96611,1.96607,-2.62147
0.1,-2.6214649999999997,-2.94915,1.96607,-2.62148,-7.209,-3.27682
0.12,-18.677880000000002,0.3276900000000016,-17.69482,1.0000000003174e-05,-19.66094,0.65537
0.14,-17.694845,3.604495,-17.69485,3.2768,-17.69484,3.93219
0.16,-18.022525,4.915235,-17.69484,5.24291,-18.35021,4.58756
0.18,-18.350215,5.242925,-18.35021,5.89828,-18.35022,4.58757
0.2,-18.6779,4.25988,-19.00558,4.58756,-18.35022,3.9322
0.22,-18.6779,4.587565,-19.00558,5.24292,-18.35022,3.93221
0.24,-18.35023,5.242929999999999,-18.35023,5.24292,-18.35023,5.24294
0.26,-18.35022,6.22598,-18.35022,6.55365,-18.35022,5.89831
0.28,-17.367179999999998,7.5367049999999995,-17.69486,7.86438,-17.0395,7.20903
0.3,-16.71182,8.519745,-17.0395,8.51974,-16.38414,8.51975
0.32,-16.056449999999998,10.485835,-16.38413,10.48583,-15.72877,10.48584
0.34,-14.745725,11.141195,-15.0734,11.14119,-14.41805,11.1412
0.36,-14.09036,12.451925,-14.41804,12.45192,-13.76268,12.45193
0.38,-13.76268,13.434965,-13.76268,13.76264,-13.76268,13.10729
0.4,-13.10732,14.090345,-13.10732,14.41802,-13.10732,13.76267
0.42,-13.434999999999999,15.401060000000001,-13.76268,15.72873,-13.10732,15.07339
0.44,-14.09036,16.384115,-13.76268,16.38411,-14.41804,16.38412
0.46,-14.745715,16.71179,-14.41803,17.03947,-15.0734,16.38411
0.48,-15.073395,16.71179,-15.07339,17.03947,-15.0734,16.38411
0.5,-15.72876,17.367155,-15.72876,17.69483,-15.72876,17.03948
0.52,-16.38412,18.022515,-16.38412,18.35019,-16.38412,17.69484
0.54,-17.367155,19.005564999999997,-17.03947,19.00556,-17.69484,19.00557
0.56,-18.022515,19.33325,-17.69483,19.66093,-18.3502,19.00557
0.58,-18.350195,20.643974999999998,-18.3502,20.97165,-18.35019,20.3163
0.6,-18.67787,20.3163,-19.00555,20.31629,-18.35019,20.31631
0.62,-18.35019,21.95471,-18.35019,22.28239,-18.35019,21.62703
0.64,-18.350185000000003,22.937755000000003,-18.35018,22.93775,-18.35019,22.93776
0.66,-18.35018,23.265435,-18.35018,23.59311,-18.35018,22.93776
0.68,-18.0225,23.265435,-18.35018,23.59311,-17.69482,22.93776
0.7,-18.35018,23.593125,-18.35018,23.59312,-18.35018,23.59313
0.72,-19.005544999999998,23.593125,-19.00554,24.24848,-19.00555,22.93777
0.74,-19.00555,23.265445,-19.00555,23.59312,-19.00555,22.93777
0.76,-19.005555,23.265445,-19.00555,23.59312,-19.00556,22.93777
0.78,-18.677889999999998,23.920805,-19.00557,24.24848,-18.35021,23.59313
0.8,-19.00558,24.248485,-19.00558,24.90384,-19.00558,23.59313
0.82,-18.6779,24.576165,-19.00558,24.90384,-18.35022,24.24849
0.84,-21.62704,22.61008,-18.35023,24.90384,-24.90385,20.31632
0.86,-29.8191,19.988644999999998,-30.14678,19.66096,-29.49142,20.31633
0.88,-29.163735000000003,21.627055,-28.83605,22.28241,-29.49142,20.9717
0.9,-30.146785,20.971685,-30.14678,21.62704,-30.14679,20.31633
0.92,-30.14679,20.644005,-30.14679,20.97168,-30.14679,20.31633
0.94,-30.474474999999998,20.64401,-30.80215,20.97169,-30.1468,20.31633
0.96,-30.80216,20.644015,-30.80216,20.97169,-30.80216,20.31634
0.98,-31.785199999999996,20.316335,-31.45752,20.97169,-32.11288,19.66098
1.0,-31.45752,18.677915,-31.45752,19.66096,-31.45752,17.69487
1.02,-31.785199999999996,19.005585,-31.45752,19.00558,-32.11288,19.00559
1.04,-31.785199999999996,19.005585,-31.45752,19.66094,-32.11288,18.35023
1.06,-32.11288,19.333265,-32.11288,19.66094,-32.11288,19.00559
