t_s,x,y,x_left,y_left,x_right,y_right
0.18,0.9829950000000001,-0.32766500000000537,1.31068,-0.65535000000001,0.65531,1.9999999999243e-05
0.2,1.310675,-0.32766500000000537,1.31067,-0.65535000000001,1.31068,1.9999999999243e-05
0.48,1.31067,0.3277100000000012,1.31067,0.65539,1.31067,3.0000000002417e-05
0.5,1.96603,-0.32766500000000537,1.96603,-0.65535000000001,1.96603,1.9999999999243e-05
0.52,2.29371,0.327694999999998,1.96603,9.9999999960687e-06,2.62139,0.65538
0.54,2.29371,0.327694999999998,2.62139,9.9999999960687e-06,1.96603,0.65538
0.56,1.96603,0.655379999999995,1.96603,0.65537999999999,1.96603,0.65538
0.58,2.621385,0.327694999999998,2.62138,9.9999999960687e-06,2.62139,0.65538
0.6,1.96602,0.327694999999998,1.96602,9.9999999960687e-06,1.96602,0.65538
0.62,1.96602,0.327694999999998,1.96602,9.9999999960687e-06,1.96602,0.65538
0.64,1.9660250000000001,0.9830599999999949,1.96603,0.65537999999999,1.96602,1.31074
0.66,1.31066,0.983064999999995,1.31066,0.65537999999999,1.31066,1.31075
0.68,1.310665,1.310744999999995,1.31066,0.65537999999999,1.31067,1.96611
0.7,0.65531,1.96611,0.65531,1.31075,0.65531,2.62147
0.72,0.32762999999999914,2.2937950000000003,0.65531,1.96611,-5.000000000166e-05,2.62148
0.74,-0.32771499999999926,3.604515,-3.9999999998486e-05,2.62147,-0.65539,4.58756
0.76,-1.6382700000000001,11.46883,-2.62136,10.48579,-0.65518,12.45187
0.78,-2.94894,12.451875,-2.62125,11.79651,-3.27663,13.10724
0.8,-3.276625,12.779554999999998,-3.27662,12.45187,-3.27663,13.10724
0.82,-3.604305,13.7626,-3.27662,13.7626,-3.93199,13.7626
0.84,-3.276625,14.090275,-3.27662,13.76259,-3.27663,14.41796
0.86,-3.27662,14.090275,-3.27662,13.76259,-3.27662,14.41796
0.88,-2.94893,14.745629999999998,-3.27661,14.41795,-2.62125,15.07331
0.9,-2.948965,12.124195,-2.62125,13.76259,-3.27668,10.4858
0.92,-2.9491,9.175094999999999,-3.27678,8.51973,-2.62142,9.83046
0.94,-2.621385,9.830455,-2.62138,9.83045,-2.62139,9.83046
0.96,-2.62138,9.502770000000002,-2.62138,9.17509,-2.62138,9.83045
0.98,-2.62138,8.847405,-2.62138,8.51972,-2.62138,9.17509
1.0,-2.62139,8.51972,-2.62139,8.51972,-2.62139,8.51972
1.02,-1.96604,8.192035,-1.96604,7.86435,-1.96604,8.51972
1.04,-1.638375,7.536675,-1.96605,7.20899,-1.3107,7.86436
1.06,-1.310705,6.88131,-1.3107,6.55363,-1.31071,7.20899
1.08,0.3278399999999999,14.745615,-3.93209,11.7965,4.58777,17.69473
1.1,4.260135,17.039365,5.89855,17.03936,2.62172,17.03937
1.12,2.94939,16.38402,2.62171,16.38402,3.27707,16.38402
1.14,2.94938,15.72865,2.6217,15.72865,3.27706,15.72865
1.16,2.949375,15.400965,2.6217,15.07328,3.27705,15.72865
1.18,3.27705,15.400965,3.27705,15.07329,3.27705,15.72864
1.2,3.27705,14.745605000000001,3.27705,14.41792,3.27705,15.07329
1.22,3.60473,14.41792,3.27705,14.41792,3.93241,14.41792
1.24,4.26009,14.090235,3.93241,13.76255,4.58777,14.41792
1.26,4.260095,13.43487,3.93241,13.10719,4.58778,13.76255
1.28,4.2601,12.779509999999998,3.93242,12.45183,4.58778,13.10719
1.3,4.91546,12.779505,4.58778,12.45182,5.24314,13.10719
1.32,4.91546,12.779499999999999,4.58778,12.45182,5.24314,13.10718
1.34,5.2431350000000005,12.779495,5.24314,12.45181,5.24313,13.10718
1.36,5.57082,12.779495,5.24314,12.45181,5.8985,13.10718
1.38,5.24314,12.12414,5.24314,11.79645,5.24314,12.45183
1.4,5.24314,12.451825,5.24314,12.45182,5.24314,12.45183
1.42,9.175329999999999,15.073260000000001,5.24314,12.45182,13.10752,17.6947
1.44,41.28827,19.333085,36.70068,19.66077,45.87586,19.0054
1.46,43.90978,19.988445,44.56515,19.66076,43.25441,20.31613
1.48,43.5821,19.988445,43.90978,19.66076,43.25442,20.31613
1.5,43.909774999999996,19.333080000000002,43.90978,19.0054,43.90977,19.66076
1.52,43.909774999999996,19.333075,43.90978,19.00539,43.90977,19.66076
1.54,43.90977,19.005395,43.90977,19.00539,43.90977,19.0054
1.56,43.25441,18.35003,43.25441,18.35003,43.25441,18.35003
1.58,42.92673,18.02235,42.59905,17.69467,43.25441,18.35003
1.6,43.25441,18.350029999999997,43.25441,17.69467,43.25441,19.00539
1.62,43.25441,18.6777,43.25441,18.35002,43.25441,19.00538
1.64,43.25442,18.350015,43.25442,18.35001,43.25442,18.35002
1.66,43.25442,18.350015,43.25442,18.35001,43.25442,18.35002
1.68,43.909774999999996,17.69465,43.90978,17.69465,43.90977,17.69465
1.7,44.892815,16.38392,43.90977,16.38392,45.87586,16.38392
1.72,55.378805,10.81335,53.08497,11.79639,57.67264,9.83031
1.74,58.000344999999996,9.50263,58.32803,9.17494,57.67266,9.83032
1.76,57.672664999999995,9.50263,57.67266,9.17495,57.67267,9.83031
1.78,57.67266,8.847265,57.67266,8.51958,57.67266,9.17495
1.8,58.000344999999996,8.847265,58.32803,8.51958,57.67266,9.17495
1.82,57.67267,8.847265,57.67267,8.51958,57.67267,9.17495
1.84,58.00035,8.847265,58.32803,8.51958,57.67267,9.17495
1.86,58.32803,8.519585,58.32803,8.51958,58.32803,8.51959
1.88,58.328025,7.86422,58.32803,7.86422,58.32802,7.86422
1.9,58.32803,7.5365400000000005,58.32803,7.20886,58.32803,7.86422
1.92,58.328035,7.208855,58.32803,7.20885,58.32804,7.20886
1.94,58.32804,7.208855,58.32804,7.20885,58.32804,7.20886
1.96,58.32804,6.881175,58.32804,6.55349,58.32804,7.20886
1.98,58.32804,7.20886,58.32804,7.20886,58.32804,7.20886
2.0,59.63882,7.208864999999999,58.9834,6.55349,60.29424,7.86424
2.02,62.91588,9.174965,62.91585,8.5196,62.91591,9.83033
2.04,62.26055,10.15802,62.26055,9.83034,62.26055,10.4857
2.06,61.93287,9.83033,62.26055,9.83033,61.60519,9.83033
2.08,61.932875,9.174965,62.26055,9.17496,61.6052,9.17497
2.1,61.93288,9.174965,61.6052,9.17496,62.26056,9.17497
2.12,61.605205,9.174965,61.6052,9.17496,61.60521,9.17497
2.14,61.60521,9.502645000000001,61.60521,9.17496,61.60521,9.83033
2.16,61.60522,9.83032,61.60522,9.83032,61.60522,9.83032
2.18,61.27754,9.50264,60.94986,9.17496,61.60522,9.83032
2.2,61.27755,10.158005,61.60523,9.83032,60.94987,10.48569
2.22,60.94987,10.158000000000001,60.94987,9.83032,60.94987,10.48568
2.24,61.27755,9.830315,60.94987,9.83031,61.60523,9.83032
2.26,62.26058,8.847270000000002,62.26058,8.51959,62.26058,9.17495
2.28,65.53744499999999,7.86422,62.2606,7.86422,68.81429,7.86422
2.3,71.10807,7.536545,71.43576,7.20886,70.78038,7.86423
2.32,70.78038,7.20886,70.78038,7.20886,70.78038,7.20886
2.34,70.78038,6.88118,70.78038,7.20886,70.78038,6.5535
2.36,70.78037499999999,6.22582,70.78037,5.89814,70.78038,6.5535
2.38,70.78038,5.898135,70.78038,5.89813,70.78038,5.89814
2.4,70.78037499999999,4.915095,70.78038,4.58741,70.78037,5.24278
2.42,70.78037,4.587415,70.78037,4.58741,70.78037,4.58742
2.44,71.10805,3.93205,71.43573,3.93205,70.78037,3.93205
2.46,70.78037,3.6043649999999996,70.78037,3.27668,70.78037,3.93205
2.48,71.10805,3.2766849999999996,71.43573,3.27668,70.78037,3.27669
2.5,71.10805,2.62132,70.78037,2.62132,71.43573,2.62132
2.52,71.763415,2.293635,71.43574,1.96595,72.09109,2.62132
2.54,72.09109,1.96595,72.09109,1.96595,72.09109,1.96595
2.56,72.09109,1.63827,72.09109,1.31059,72.09109,1.96595
2.58,72.09108499999999,1.310585,72.09109,1.31058,72.09108,1.31059
2.6,71.76341,0.9829000000000001,71.43573,0.65522,72.09109,1.31058
2.62,72.09108499999999,0.9828950000000001,72.09108,0.65521,72.09109,1.31058
2.64,71.76341,0.3275399999999991,72.09109,-0.0001400000000018,71.43573,0.65522
2.66,72.09109,0.32752999999999755,72.09109,-0.0001500000000049,72.09109,0.65521
2.68,72.74645,0.32752999999999755,72.74645,-0.0001500000000049,72.74645,0.65521
2.7,72.41877,0.6552099999999975,72.09109,-0.0001500000000049,72.74645,1.31057
2.72,72.09109,-0.00014500000000335002,72.09109,-0.0001500000000049,72.09109,-0.0001400000000018
2.74,71.43573,0.3275349999999976,71.43573,-0.0001500000000049,71.43573,0.65522
2.76,71.43573,0.3275349999999976,71.43573,-0.0001500000000049,71.43573,0.65522
2.78,71.43573,0.655215,71.43573,0.65521,71.43573,0.65522
2.8,71.43573,0.655215,71.43573,0.65521,71.43573,0.65522
2.82,71.10805,0.655215,71.43573,0.65521,70.78037,0.65522
2.84,71.7634,0.655215,71.43572,0.65521,72.09108,0.65522
2.86,71.763395,-0.00014500000000335002,72.09108,-0.0001500000000049,71.43571,-0.0001400000000018
2.88,72.091075,-0.00015000000000135,72.09108,-0.0001500000000049,72.09107,-0.0001499999999978
2.9,71.43571,-0.3278250000000059,71.43571,-0.65551000000001,71.43571,-0.0001400000000018
2.92,71.43571,-0.3278250000000059,71.43571,-0.65551000000001,71.43571,-0.0001400000000018
2.94,71.43571,-0.655505000000005,71.43571,-0.65551000000001,71.43571,-0.6555
2.96,71.10803,-0.655505000000005,71.43571,-0.65551000000001,70.78035,-0.6555
2.98,71.43571,-0.983185,71.43571,-1.31087,71.43571,-0.6555
3.0,71.43571,-0.6555050000000009,71.43571,-1.31087,71.43571,-0.0001400000000018
3.02,71.108035,-0.3278250000000059,71.43571,-0.65551000000001,70.78036,-0.0001400000000018
3.04,71.43572,-0.655505000000005,71.43572,-0.65551000000001,71.43572,-0.6555
3.06,71.10804,-0.3278250000000059,71.43572,-0.65551000000001,70.78036,-0.0001400000000018
3.08,71.43572,-0.655505000000005,71.43572,-0.65551000000001,71.43572,-0.6555
3.1,71.7634,-0.6555150000000001,71.43572,-0.65552,72.09108,-0.65551
3.12,71.43572,-0.655510000000005,71.43572,-0.65551000000001,71.43572,-0.65551
3.14,71.43572,-0.655510000000005,71.43572,-0.65551000000001,71.43572,-0.65551
3.16,71.763405,-0.3278300000000039,71.43572,-0.65551000000001,72.09109,-0.0001499999999978
3.18,71.435725,-0.3278349999999989,71.43572,-0.65552,71.43573,-0.0001499999999978
3.2,71.43573,-0.00014500000000335002,71.43573,-0.0001500000000049,71.43573,-0.0001400000000018
3.22,71.10805,0.3275349999999976,71.43573,-0.0001500000000049,70.78037,0.65522
3.24,71.10805,0.655215,71.43573,0.65521,70.78037,0.65522
3.26,70.78037,0.9829049999999999,70.78037,0.65522,70.78037,1.31059
3.28,70.78037,1.638265,70.78037,1.31058,70.78037,1.96595
3.3,70.78037,1.63826,70.78037,1.31057,70.78037,1.96595
3.32,70.78037,1.9659400000000002,70.78037,1.31058,70.78037,2.6213
3.34,70.780365,2.9489850000000004,70.78036,2.6213,70.78037,3.27667
3.36,70.78036,2.9489850000000004,70.78036,2.6213,70.78036,3.27667
3.38,70.78036,3.6043450000000004,70.78036,3.27666,70.78036,3.93203
3.4,70.125,3.93203,70.125,3.27667,70.125,4.58739
3.42,65.20973,3.93203,66.84817,3.27667,63.57129,4.58739
3.44,64.554375,4.91507,63.57131,4.58738,65.53744,5.24276
3.46,65.537435,5.570444999999999,65.53744,5.24276,65.53743,5.89813
3.48,65.8651,5.242765,65.53742,5.24276,66.19278,5.24277
3.5,66.848135,4.5874,66.84814,4.5874,66.84813,4.5874
3.52,67.17581,4.259715,66.84813,3.93203,67.50349,4.5874
3.54,67.503485,3.932035,67.50349,3.93203,67.50348,3.93204
3.56,67.1758,3.604355,67.50348,3.27667,66.84812,3.93204
3.58,67.1758,3.604355,66.84812,3.27667,67.50348,3.93204
3.6,67.50348,3.604355,67.50348,3.27667,67.50348,3.93204
3.62,67.50348,3.604355,67.50348,3.27667,67.50348,3.93204
3.64,67.83116,3.276675,67.50348,3.27667,68.15884,3.27668
3.66,68.15884,3.604355,68.15884,3.27667,68.15884,3.93204
3.68,68.15884,3.276675,68.15884,3.27667,68.15884,3.27668
3.7,67.50348,2.948995,67.50348,2.62131,67.50348,3.27668
3.72,67.83116,2.948995,67.50348,2.62131,68.15884,3.27668
3.74,67.50348,2.621315,67.50348,2.62131,67.50348,2.62132
