t_s,x,y,x_left,y_left,x_right,y_right
0.04,-0.65536,-1.310755,-0.65536,-1.31075,-0.65536,-1.31076
0.06,-0.65536,-2.293815,-0.65536,-1.96613,-0.65536,-2.6215
0.08,-1.31071,-3.276875,-1.31071,-3.27687,-1.31071,-3.27688
0.1,-1.310695,-3.9322549999999996,-1.3107,-3.93225,-1.31069,-3.93226
0.12,-1.63837,-4.25995,-1.31069,-4.58763,-1.96605,-3.93227
0.14,-1.31068,-5.243,-1.31068,-5.243,-1.31068,-5.243
0.16,-1.310675,-5.5707,-1.31067,-5.24302,-1.31068,-5.89838
0.18,-3.60446,-6.881435,-3.93214,-7.20912,-3.27678,-6.55375
0.2,-2.94908,-6.55374,-2.6214,-6.55374,-3.27676,-6.55374
0.22,-3.27676,-6.226065,-3.27676,-6.55375,-3.27676,-5.89838
0.24,-3.60444,-6.55375,-3.27676,-6.55375,-3.93212,-6.55375
0.26,-3.93213,-6.55375,-3.93213,-6.55375,-3.93213,-6.55375
0.28,-3.93213,-6.88143,-3.93213,-7.20911,-3.93213,-6.55375
0.3,-3.93212,-7.20911,-3.93212,-7.20911,-3.93212,-7.20911
0.32,-4.58748,-7.20911,-4.58748,-7.20911,-4.58748,-7.20911
0.34,-4.91516,-7.5368,-5.24284,-7.86448,-4.58748,-7.20912
0.36,-4.58748,-7.86448,-4.58748,-7.86448,-4.58748,-7.86448
0.38,-5.24284,-7.86448,-5.24284,-7.86448,-5.24284,-7.86448
0.4,-5.57052,-7.5368,-5.24284,-7.86448,-5.8982,-7.20912
0.42,-5.57052,-7.209115000000001,-5.8982,-7.20912,-5.24284,-7.20911
0.44,-5.8982,-7.20911,-5.8982,-7.20911,-5.8982,-7.20911
0.46,-6.55356,-6.55375,-6.55356,-6.55375,-6.55356,-6.55375
0.48,-6.55356,-6.55375,-6.55356,-6.55375,-6.55356,-6.55375
0.5,-6.881245,-6.55375,-7.20892,-6.55375,-6.55357,-6.55375
0.52,-4.259785,-6.881435,-5.24284,-7.20912,-3.27673,-6.55375
0.54,-2.6213800000000003,-6.226065,-2.62137,-6.55375,-2.62139,-5.89838
0.56,-2.293705,-5.243015,-2.62138,-5.24302,-1.96603,-5.24301
0.58,-2.29371,-4.58765,-2.62139,-5.24301,-1.96603,-3.93229
0.6,-1.6383450000000002,-4.259965,-1.96602,-4.58765,-1.31067,-3.93228
0.62,-1.31067,-3.9322850000000003,-1.31067,-3.93229,-1.31067,-3.93228
0.64,-1.31067,-3.93229,-1.31067,-3.93229,-1.31067,-3.93229
0.66,-1.31067,-3.93229,-1.31067,-3.93229,-1.31067,-3.93229
0.68,-1.31067,-3.93229,-1.31067,-3.93229,-1.31067,-3.93229
0.7,-1.310675,-3.604615,-1.31067,-3.93229,-1.31068,-3.27694
0.72,-1.96604,-3.9323,-1.96604,-3.9323,-1.96604,-3.9323
0.74,-1.96604,-3.932295,-1.96604,-3.9323,-1.96604,-3.93229
0.76,-1.966045,-3.932295,-1.96604,-3.9323,-1.96605,-3.93229
0.78,-1.966045,-3.27694,-1.96604,-3.27694,-1.96605,-3.27694
0.8,-1.966045,-3.27693,-1.96604,-3.27693,-1.96605,-3.27693
0.82,-1.63837,-2.94925,-1.31069,-3.27693,-1.96605,-2.62157
0.84,-1.638375,-2.9492450000000003,-1.3107,-3.27693,-1.96605,-2.62156
0.86,-1.310695,-2.94924,-1.31069,-3.27692,-1.3107,-2.62156
0.88,-1.3107,-2.62156,-1.3107,-2.62156,-1.3107,-2.62156
0.9,-0.65535,-3.27692,-0.65535,-3.27692,-0.65535,-3.27692
0.92,-0.3276699999999984,-3.6046,-0.65535,-3.93228,1.0000000003174e-05,-3.27692
0.94,1.31072,-4.58765,0.65536,-4.58765,1.96608,-4.58765
0.96,2.29375,-5.24301,1.96607,-5.24301,2.62143,-5.24301
0.98,3.6044549999999997,-6.55376,3.27678,-6.55376,3.93213,-6.55376
1.0,3.932125,-7.53682,3.93213,-7.20914,3.93212,-7.8645
1.02,3.60444,-8.847565,3.27676,-8.51988,3.93212,-9.17525
1.04,15.728729999999999,-7.864555,11.14116,-7.86456,20.3163,-7.86455
1.06,15.728745,-7.8645499999999995,17.03948,-7.86456,14.41801,-7.86454
1.08,14.41801,-7.86455,14.41801,-7.86455,14.41801,-7.86455
1.1,13.762645,-8.51992,13.76265,-8.51992,13.76264,-8.51992
1.12,13.434965,-8.51992,13.10729,-8.51992,13.76264,-8.51992
1.14,13.43497,-8.519925,13.76265,-8.51992,13.10729,-8.51993
1.16,13.10728,-8.84761,13.10728,-8.51993,13.10728,-9.17529
1.18,13.10728,-8.847615000000001,13.10728,-8.51994,13.10728,-9.17529
1.2,13.762635,-8.51993,13.76264,-8.51993,13.76263,-8.51993
1.22,13.76263,-8.51993,13.76263,-8.51993,13.76263,-8.51993
1.24,13.762615,-8.519925,13.76262,-8.51993,13.76261,-8.51992
1.26,14.41798,-8.847605000000001,14.41798,-9.17529,14.41798,-8.51992
1.28,14.417975,-8.51992,14.41798,-8.51992,14.41797,-8.51992
1.3,15.07334,-8.19224,15.07334,-8.51992,15.07334,-7.86456
1.32,15.07334,-7.864560000000001,15.07334,-8.51992,15.07334,-7.2092
1.34,18.350189999999998,-6.88152,17.69482,-7.2092,19.00556,-6.55384
1.36,18.02251,-5.243105,18.35019,-5.89847,17.69483,-4.58774
1.38,17.03948,-4.260065,17.03948,-4.58775,17.03948,-3.93238
1.4,16.05644,-3.604705,16.38412,-3.93239,15.72876,-3.27702
1.42,15.401085,-2.9493349999999996,15.72877,-3.27702,15.0734,-2.62165
1.44,14.74573,-2.621645,15.07341,-3.27701,14.41805,-1.96628
1.46,14.745735,-1.9662800000000002,14.41805,-2.62164,15.07342,-1.31092
1.48,21.95489,3.60428,17.03962,3.27659,26.87016,3.93197
1.5,22.93799,5.242705,24.24872,4.58734,21.62726,5.89807
1.52,20.644225,6.881125,20.97191,6.55344,20.31654,7.20881
1.54,19.661185000000003,7.20922,19.66119,7.20882,19.66118,7.20962
1.56,19.66118,7.208825,19.66118,7.20882,19.66118,7.20883
1.58,19.005815,7.20883,19.00582,7.20883,19.00581,7.20883
1.6,19.333495,7.20882,19.00582,7.20882,19.66117,7.20882
1.62,19.00581,7.5365,19.00581,7.20882,19.00581,7.86418
1.64,17.36741,6.553465,18.35046,7.20882,16.38436,5.89811
1.66,14.418245,5.8981200000000005,14.41824,5.24275,14.41825,6.55349
1.68,15.07362,6.881175,15.07362,6.55349,15.07362,7.20886
1.7,15.07362,7.864225,15.07362,7.20886,15.07362,8.51959
1.72,15.07362,8.19191,15.07362,7.86423,15.07362,8.51959
1.74,15.07363,8.519595,15.07363,7.86423,15.07363,9.17496
1.76,14.41827,9.174965,14.41827,9.17496,14.41827,9.17497
1.78,13.43524,9.502655,13.76292,9.17497,13.10756,9.83034
1.8,12.779879999999999,9.83034,13.10756,9.83034,12.4522,9.83034
1.82,12.779895,10.4857,11.79685,9.83034,13.76294,11.14106
1.84,37.683775,14.0902,32.76853,13.76251,42.59902,14.41789
1.86,39.32222,15.07326,39.97759,15.07326,38.66685,15.07326
1.88,40.30525,14.090215,39.97757,14.41789,40.63293,13.76254
1.9,42.92668,12.45182,42.599,12.45182,43.25436,12.45182
1.92,43.90971,11.141095,43.90971,11.79645,43.90971,10.48574
1.94,45.22042,9.83037,45.22042,9.83037,45.22042,9.83037
1.96,43.582015,10.158059999999999,43.9097,9.83038,43.25433,10.48574
1.98,43.254335,10.48574,43.25434,10.48574,43.25433,10.48574
2.0,42.926655,10.81342,43.25433,10.48574,42.59898,11.1411
2.02,42.926655,11.1411,42.59897,11.1411,43.25434,11.1411
2.04,42.598974999999996,11.468775,42.59898,11.14109,42.59897,11.79646
2.06,57.672349999999994,13.43487,51.77406,12.45182,63.57064,14.41792
2.08,64.22602,15.07329,64.88139,15.07329,63.57065,15.07329
2.1,62.91529,15.073295,62.91529,15.07329,62.91529,15.0733
2.12,62.587604999999996,15.073295,62.25993,15.0733,62.91528,15.07329
2.14,62.5876,13.76256,62.25992,13.76256,62.91528,13.76256
2.16,63.242955,12.779509999999998,62.91528,13.10719,63.57063,12.45183
2.18,63.57063,11.1411,63.57063,11.1411,63.57063,11.1411
2.2,63.57061,9.175,63.57061,9.83036,63.57061,8.51964
2.22,62.587575,7.86428,62.2599,7.86428,62.91525,7.86428
