t_s,x,y,x_left,y_left,x_right,y_right
0.04,-1.310735,-0.32768499999999995,-1.31073,0.65536,-1.31074,-1.31073
0.06,-1.310745,-0.3276999999999996,-1.31074,-1.9999999999243e-05,-1.31075,-0.65538
0.08,-1.966105,-1.310735,-1.9661,-0.65537,-1.96611,-1.9661
0.1,-2.29379,-1.31074,-1.96611,-1.31074,-2.62147,-1.31074
0.12,-2.949155,-0.3276850000000016,-3.27683,-1.0000000003174e-05,-2.62148,-0.65536
0.14,-3.27684,-0.32768,-3.27684,0.0,-3.27684,-0.65536
0.16,-4.25988,0.32768,-3.9322,0.65536,-4.58756,0.0
0.18,-4.91524,0.32768499999999806,-4.58756,0.65536,-5.24292,9.9999999960687e-06
0.2,-5.242925,0.3276949999999996,-5.24292,0.65537,-5.24293,1.9999999999243e-05
0.22,-5.570615,0.32768999999999804,-5.89829,0.65537,-5.24294,9.9999999960687e-06
0.24,-5.898295,0.3276949999999996,-5.89829,0.65537,-5.8983,1.9999999999243e-05
0.26,-6.553655,0.3277,-6.55365,1.31074,-6.55366,-0.65534
0.28,-6.88134,0.3276999999999996,-6.55366,0.65538,-7.20902,1.9999999999243e-05
0.3,-7.20902,0.6553949999999993,-7.20902,1.31075,-7.20902,3.9999999998486e-05
0.32,-7.2090250000000005,0.983075,-7.20903,1.31075,-7.20902,0.6554
0.34,-7.20903,0.6553999999999992,-7.86439,1.31076,-6.55367,3.9999999998486e-05
0.36,-5.57062,-0.9830200000000003,-6.55367,1.9999999999243e-05,-4.58757,-1.96606
0.38,2.62152,-4.25979,1.31078,-3.93211,3.93226,-4.58747
0.4,3.276875,-0.6552749999999999,3.93224,-1.31064,2.62151,9.0000000000146e-05
0.42,3.604545,1.310825,3.27687,1.31082,3.93222,1.31083
0.44,3.93222,2.293885,3.93222,2.62156,3.93222,1.96621
0.46,4.587585,1.966215,4.58759,2.62157,4.58758,1.31086
0.48,4.58758,1.966225,4.58758,2.62158,4.58758,1.31087
0.5,4.587575,1.6385450000000001,4.58757,1.96622,4.58758,1.31087
0.52,4.587575,0.655519999999997,4.58758,1.31088,4.58757,0.0001599999999939
0.54,4.58757,0.9832149999999951,4.58757,1.31089,4.58757,0.65553999999999
0.56,4.259885,2.2939350000000003,3.93221,2.62162,4.58756,1.96625
0.58,4.587565,2.2939350000000003,4.58757,2.62162,4.58756,1.96625
0.6,4.25988,2.29393,3.9322,2.62161,4.58756,1.96625
0.62,4.25988,2.2939249999999998,3.9322,2.62161,4.58756,1.96624
0.64,4.58757,1.966235,4.58757,1.96624,4.58757,1.96623
0.66,3.93222,2.6216049999999997,3.93222,3.27696,3.93222,1.96625
0.68,-4.587555,0.6554499999999999,2.62149,3.27695,-11.7966,-1.96605
0.7,-32.440735000000004,-5.89827,-28.8362,-5.24292,-36.04527,-6.55362
0.72,-33.423820000000006,2.29387,-34.73454,0.65544,-32.1131,3.9323
0.74,-32.44079,5.243035,-32.1131,5.24303,-32.76848,5.24304
0.76,-32.113115,6.22608,-32.11311,6.55376,-32.11312,5.8984
0.78,-32.44081,6.22608,-32.11313,6.55376,-32.76849,5.8984
0.8,-33.423855,6.881444999999999,-33.42385,7.20913,-33.42386,6.55376
0.82,-33.751545,7.5368,-33.42386,7.86448,-34.07923,7.20912
0.84,-34.079225,7.86447,-34.07922,7.86447,-34.07923,7.86447
0.86,-34.734595,7.864470000000001,-34.73459,8.51983,-34.7346,7.20911
0.88,-35.71764,7.209099999999999,-36.04532,7.86447,-35.38996,6.55373
0.9,-35.717635,7.209095,-35.38995,7.2091,-36.04532,7.20909
0.92,-36.700685,7.53676,-36.70068,7.86444,-36.70069,7.20908
0.94,-36.373015,6.8813949999999995,-36.70069,7.20908,-36.04534,6.55371
0.96,-36.7007,5.89835,-36.7007,5.89835,-36.7007,5.89835
0.98,-36.7007,5.570665,-36.7007,5.89834,-36.7007,5.24299
1.0,-37.35607,4.915295,-37.35607,5.24298,-37.35607,4.58761
1.02,-37.683745,4.259925,-38.01142,4.58761,-37.35607,3.93224
1.04,-38.011425,4.259915,-38.01142,4.5876,-38.01143,3.93223
1.06,-38.01143,4.25991,-38.01143,4.58759,-38.01143,3.93223
1.08,-37.356055,2.9492000000000003,-38.66679,3.93224,-36.04532,1.96616
1.1,-28.508525,0.0001000000000000445,-30.14695,-0.65526,-26.8701,0.65546
1.12,-29.49156,4.2599800000000005,-29.49156,3.27693,-29.49156,5.24303
1.14,-29.163885,6.22608,-29.49156,6.55376,-28.83621,5.8984
1.16,-29.819255,5.898384999999999,-29.49157,6.55375,-30.14694,5.24302
1.18,-30.146935,6.22606,-30.14693,6.55374,-30.14694,5.89838
1.2,-30.14694,6.8814150000000005,-30.14694,7.86446,-30.14694,5.89837
1.22,-29.819265,5.2429749999999995,-30.14694,5.89834,-29.49159,4.58761
1.24,-30.146965,4.5876,-30.14696,5.24296,-30.14697,3.93224
1.26,-30.14698,3.60456,-30.14697,3.93224,-30.14699,3.27688
1.28,-29.49162,3.93224,-29.49162,3.93224,-29.49162,3.93224
1.3,-29.8193,4.587605,-29.49162,4.58761,-30.14698,4.5876
1.32,-29.819290000000002,5.242965,-30.14697,5.24297,-29.49161,5.24296
1.34,-29.4916,5.57064,-29.4916,5.89832,-29.4916,5.24296
1.36,-29.81927,5.57065,-30.14695,5.89833,-29.49159,5.24297
1.38,-29.163899999999998,6.553675,-29.49158,7.20904,-28.83622,5.89831
1.4,-27.853160000000003,6.22598,-28.18084,6.55366,-27.52548,5.8983
1.42,-21.954825,3.6045499999999997,-26.8701,6.55366,-17.03955,0.65544
1.44,-7.53667,1.6384949999999985,-7.86436,7.9999999996971e-05,-7.20898,3.27691
1.46,-7.20898,9.502885,-7.86435,9.1752,-6.55361,9.83057
1.48,-4.915185,10.813625,-5.24287,11.1413,-4.5875,10.48595
1.5,-2.621405,10.158259999999999,-3.27677,10.48594,-1.96604,9.83058
1.52,-0.982985,10.485925,-1.31067,10.48593,-0.6553,10.48592
1.54,-0.32760500000000153,10.813575,-0.65529,11.14126,7.9999999996971e-05,10.48589
1.56,7.9999999996971e-05,10.1582,7.9999999996971e-05,10.48589,7.9999999996971e-05,9.83051
1.58,-0.655285,9.83051,-0.65528,10.48587,-0.65529,9.17515
1.6,-0.9829749999999999,9.50282,-0.65529,9.8305,-1.31066,9.17514
1.62,-2.2937,8.847470000000001,-1.96602,9.17515,-2.62138,8.51979
1.64,-2.9490749999999997,8.847470000000001,-3.27675,9.17515,-2.6214,8.51979
1.66,-2.94909,8.847480000000001,-2.6214,9.17515,-3.27678,8.51981
1.68,-3.6044549999999997,8.847475,-3.93213,9.17515,-3.27678,8.5198
1.7,-3.932155,9.175165,-3.93215,9.83052,-3.93216,8.51981
1.72,-4.5875200000000005,9.175165,-5.24288,9.83053,-3.93216,8.5198
1.74,-4.58752,8.847484999999999,-4.58752,9.17516,-4.58752,8.51981
1.76,-4.91519,9.17516,-4.58751,9.83052,-5.24287,8.5198
1.78,-31.457275,9.83051,-57.67167,9.83051,-5.24288,9.83051
1.8,-6.88131,11.796595,-7.20899,11.79659,-6.55363,11.7966
1.82,-5.89825,13.107334999999999,-5.89825,13.10733,-5.89825,13.10734
1.84,-5.57057,13.435020000000002,-5.89825,13.7627,-5.24289,13.10734
1.86,-5.242885,13.107325,-5.24289,13.76269,-5.24288,12.45196
1.88,-5.24288,13.434999999999999,-5.24288,13.76268,-5.24288,13.10732
1.9,-5.898235,13.10731,-5.89823,13.76267,-5.89824,12.45195
1.92,-6.22591,12.779630000000001,-5.89823,13.10731,-6.55359,12.45195
1.94,-5.89823,10.813545000000001,-6.55359,11.79659,-5.24287,9.8305
1.96,4.26007,3.276905,1.31089,4.58763,7.20925,1.96618
1.98,6.226190000000001,7.536785,7.20924,6.55373,5.24314,8.51984
2.0,5.24314,8.84752,5.24314,9.1752,5.24314,8.51984
2.02,4.587775000000001,9.17522,4.58778,9.83058,4.58777,8.51986
2.04,4.260085,8.847545,3.93241,9.17523,4.58776,8.51986
2.06,3.93239,8.19217,3.9324,8.51985,3.93238,7.86449
2.08,3.93236,7.20912,3.93236,7.86448,3.93236,6.55376
2.1,3.604665,5.5707,3.93235,6.55374,3.27698,4.58766
2.12,3.2769649999999997,4.259975,3.27697,4.58765,3.27696,3.9323
2.14,2.9492599999999998,4.25996,2.62158,4.58764,3.27694,3.93228
2.16,2.9492450000000003,3.276915,2.62157,3.93228,3.27692,2.62155
2.18,2.62156,3.276915,2.62156,3.93227,2.62156,2.62156
2.2,1.966195,2.94924,1.96619,3.27692,1.9662,2.62156
2.22,1.310835,3.6045949999999998,1.31084,3.93228,1.31083,3.27691
2.24,0.98315,2.62154,0.65547,3.2769,1.31083,1.96618
2.26,0.32778500000000166,1.966175,0.65547,2.62154,0.0001000000000033,1.31081
2.28,0.3277750000000001,2.29385,0.65546,2.62153,9.0000000000146e-05,1.96617
2.3,9.500000000172299e-05,1.31081,0.0001000000000033,1.31081,9.0000000000146e-05,1.31081
2.32,0.32777000000000006,0.32776,9.0000000000146e-05,1.3108,0.65545,-0.65528
2.34,11.14268,-7.20889,9.17783,-5.89816,13.10753,-8.51962
2.36,11.469095,-2.621335,12.45215,-3.93207,10.48604,-1.3106
2.38,10.158370000000001,-0.982905,10.48605,-0.65523,9.83069,-1.31058
2.4,8.847660000000001,-0.6552300000000006,9.17534,0.0001299999999986,8.51998,-1.31059
2.42,6.88161,-2.62133,7.20929,-1.96597,6.55393,-3.27669
2.44,5.89858,-3.2767049999999998,6.55394,-2.62134,5.24322,-3.93207
2.46,4.58786,-3.9320950000000003,4.58786,-3.27673,4.58786,-4.58746
2.48,4.58787,-5.2428349999999995,4.58787,-4.58747,4.58787,-5.8982
2.5,4.2602,-6.22591,3.93252,-5.89823,4.58788,-6.55359
2.52,4.58787,-7.208965,4.58787,-6.5536,4.58787,-7.86433
2.54,4.58788,-8.519705,4.58788,-7.86434,4.58788,-9.17507
2.56,3.932515,-9.830435,3.93252,-9.17507,3.93251,-10.4858
2.58,3.9325099999999997,-10.813485,3.27715,-10.4858,4.58787,-11.14117
