t_s,x,y,x_left,y_left,x_right,y_right
0.12,-1.31072,0.655375,-1.31072,0.65538,-1.31072,0.65537
0.16,-1.31072,0.98305,-1.31072,0.65537,-1.31072,1.31073
0.18,-1.31072,0.983055,-1.31072,0.65538,-1.31072,1.31073
0.2,5.499999999991623e-05,9.9999999960687e-06,-1.31072,9.9999999960687e-06,1.31083,9.9999999960687e-06
0.22,9.83067,-0.327665000000002,9.1753,-0.65534,10.48604,9.9999999960687e-06
0.24,9.1753,1.4999999997655852e-05,9.1753,1.9999999999243e-05,9.1753,9.9999999960687e-06
0.26,9.1753,9.9999999960687e-06,9.1753,9.9999999960687e-06,9.1753,9.9999999960687e-06
0.28,9.83066,4.99999999803435e-06,9.83066,9.9999999960687e-06,9.83066,0.0
0.3,9.830655,9.9999999960687e-06,9.83066,9.9999999960687e-06,9.83065,9.9999999960687e-06
0.32,9.50298,-0.327675000000005,9.1753,-0.65535000000001,9.83066,0.0
0.34,9.1753,-0.327675000000005,9.1753,-0.65535000000001,9.1753,0.0
0.36,9.1753,-0.327675000000005,9.1753,-0.65535000000001,9.1753,0.0
0.38,9.50298,-0.32768,9.1753,-0.65536,9.83066,0.0
0.4,9.502965,-0.32768,9.17529,-0.65536,9.83064,0.0
0.42,10.15832,-0.32768,9.83064,-0.65536,10.486,0.0
0.44,11.141355,0.0,11.14136,0.0,11.14135,0.0
0.46,11.46903,0.32768,11.14135,0.0,11.79671,0.65536
0.48,12.77976,0.32768,12.45208,0.0,13.10744,0.65536
0.5,14.090489999999999,0.98305,13.76281,0.65537,14.41817,1.31073
0.52,15.07354,0.9830450000000001,14.41818,0.65537,15.7289,1.31072
0.54,16.38426,0.32768499999999806,16.38426,9.9999999960687e-06,16.38426,0.65536
0.56,16.71194,0.32768499999999806,16.38426,9.9999999960687e-06,17.03962,0.65536
0.58,16.711935,0.32768499999999806,17.03962,9.9999999960687e-06,16.38425,0.65536
0.6,16.711930000000002,0.327685,16.38425,0.65537,17.03961,0.0
0.62,5.243015,2.293775,9.17524,1.31073,1.31079,3.27682
0.64,0.3277150000000012,4.25987,3.0000000002417e-05,3.93219,0.6554,4.58755
0.66,0.6554,4.259875,0.6554,3.9322,0.6554,4.58755
