t_s,x,y,x_left,y_left,x_right,y_right
0.06,-0.655364999999995,-0.983044999999995,-0.65535999999999,-1.31073,-0.65537,-0.65535999999999
0.08,-0.65535999999999,-0.983044999999995,-0.65535999999999,-1.31073,-0.65535999999999,-0.65535999999999
0.1,-0.655364999999995,-1.3107250000000001,-0.65535999999999,-1.31073,-0.65537,-1.31072
0.12,-1.31072,-1.6384050000000001,-1.31072,-1.96609,-1.31072,-1.31072
0.14,-1.31072,-0.983044999999995,-1.31072,-1.31073,-1.31072,-0.65535999999999
0.16,-1.310715,-1.31072,-1.31072,-1.31072,-1.31071,-1.31072
0.18,-1.638395,-0.9830350000000001,-1.31072,-1.31072,-1.96607,-0.65535
0.2,-1.96607,-0.655355,-1.96607,-0.65536,-1.96607,-0.65535
0.22,-1.63839,-1.310715,-1.31071,-1.31072,-1.96607,-1.31071
0.24,-1.96607,-0.9830350000000001,-1.96607,-1.31072,-1.96607,-0.65535
0.26,-1.966065,-0.9830350000000001,-1.96606,-1.31072,-1.96607,-0.65535
0.28,-1.966065,-0.9830350000000001,-1.96606,-1.31072,-1.96607,-0.65535
0.3,-1.96606,-1.310715,-1.96606,-1.31072,-1.96606,-1.31071
0.32,-1.96606,-1.310715,-1.96606,-1.96608,-1.96606,-0.65535
0.34,-2.29374,-1.310715,-2.62142,-1.31072,-1.96606,-1.31071
0.36,-1.9660549999999999,-1.31072,-1.96606,-1.31072,-1.96605,-1.31072
0.38,-2.62141,-0.9830350000000001,-3.27677,-1.31072,-1.96605,-0.65535
0.4,-2.949095,-0.9830350000000001,-2.62141,-1.31072,-3.27678,-0.65535
0.42,-0.982985,-1.310715,-3.27677,-1.31072,1.3108,-1.31071
0.44,5.898415,-2.293755,5.24304,-2.62144,6.55379,-1.96607
0.46,6.22611,-1.638395,5.89843,-1.96608,6.55379,-1.31071
0.48,6.55379,-0.3276549999999988,6.55379,-0.65534,6.55379,3.0000000002417e-05
0.5,6.553795,-0.3276649999999968,6.55379,-0.65535,6.5538,2.0000000006348e-05
0.52,5.89844,0.32770499999999964,5.89844,1.9999999999243e-05,5.89844,0.65539
0.54,5.89844,0.32770499999999964,5.89844,1.9999999999243e-05,5.89844,0.65539
0.56,5.57076,0.32770499999999964,5.89844,1.9999999999243e-05,5.24308,0.65539
0.58,5.570765,0.32770499999999964,5.24309,1.9999999999243e-05,5.89844,0.65539
0.6,5.898445000000001,2.5000000000830002e-05,5.89845,1.9999999999243e-05,5.89844,3.0000000002417e-05
0.62,6.226125,-0.32765999999999684,5.89845,-0.65534,6.5538,2.0000000006348e-05
0.64,6.88148,-0.65534,6.5538,-0.65534,7.20916,-0.65534
0.66,12.12444,-1.63839,11.14138,-1.96607,13.1075,-1.31071
0.68,12.452135,-0.6553449999999968,12.45214,-1.31071,12.45213,2.0000000006348e-05
0.7,12.779810000000001,2.5000000000830002e-05,13.10749,1.9999999999243e-05,12.45213,3.0000000002417e-05
0.72,12.45213,-0.3276649999999968,12.45213,-0.65535,12.45213,2.0000000006348e-05
0.74,12.779810000000001,-0.983025,12.45213,-1.31071,13.10749,-0.65534
0.76,13.1075,-1.31071,13.1075,-1.96607,13.1075,-0.65535
0.78,13.435189999999999,-1.638385,13.10751,-1.96607,13.76287,-1.3107
0.8,-22.93728,-1.638385,13.76288,-1.96607,-59.63744,-1.3107
0.82,13.76289,-1.638385,13.76289,-1.96607,13.76289,-1.3107
0.84,13.76289,-1.3107,13.76289,-1.3107,13.76289,-1.3107
0.86,13.76289,-1.638375,13.76289,-1.96606,13.76289,-1.31069
0.88,14.090565,-1.63838,14.41825,-1.96606,13.76288,-1.3107
0.9,13.76289,-1.966065,13.76289,-1.96607,13.76289,-1.96606
0.92,13.76289,-2.293745,13.76289,-2.62143,13.76289,-1.96606
0.94,13.76289,-1.966065,13.76289,-1.96607,13.76289,-1.96606
0.96,15.073644999999999,-2.9491,13.7629,-3.27679,16.38439,-2.62141
0.98,15.40136,-2.6214250000000003,15.72905,-2.62143,15.07367,-2.62142
1.0,14.41832,-1.638375,14.41832,-1.96606,14.41832,-1.31069
1.02,13.76297,-1.638375,13.76297,-1.96606,13.76297,-1.31069
1.04,13.107615,-1.638375,13.10761,-1.96606,13.10762,-1.31069
1.06,12.124580000000002,-1.638375,12.45226,-1.96606,11.7969,-1.31069
1.08,11.469225000000002,-1.63837,11.14155,-1.96605,11.7969,-1.31069
1.1,11.79691,-1.9660549999999999,11.79691,-1.96606,11.79691,-1.96605
1.12,11.79691,-2.293735,11.79691,-2.62142,11.79691,-1.96605
1.14,12.124590000000001,-2.621415,11.79691,-2.62142,12.45227,-2.62141
1.16,12.452265,-2.62142,12.45227,-2.62142,12.45226,-2.62142
1.18,13.10762,-2.621415,13.10762,-3.27678,13.10762,-1.96605
1.2,13.10762,-2.9491050000000003,13.10762,-3.27679,13.10762,-2.62142
1.22,13.10761,-2.9491050000000003,13.10761,-3.27679,13.10761,-2.62142
1.24,12.45225,-2.9491050000000003,12.45225,-3.27679,12.45225,-2.62142
1.26,12.779935,-3.27678,12.45225,-3.27678,13.10762,-3.27678
1.28,22.282835,-3.93215,20.97208,-3.93215,23.59359,-3.93215
1.3,22.93822,-3.932155,22.93823,-4.58752,22.93821,-3.27679
1.32,23.593564999999998,-2.9491050000000003,23.59357,-3.27679,23.59356,-2.62142
1.34,23.92123,-3.27679,23.59355,-3.27679,24.24891,-3.27679
1.36,24.248905,-3.604475,24.24891,-3.93216,24.2489,-3.27679
1.38,23.921215,-3.60448,23.59354,-3.93216,24.24889,-3.2768
1.4,23.593525,-4.25984,23.59353,-4.58752,23.59352,-3.93216
1.42,22.938155000000002,-3.9321650000000004,22.93816,-3.93217,22.93815,-3.93216
1.44,22.93815,-3.93216,22.93815,-3.93216,22.93815,-3.93216
1.46,22.28279,-3.60448,22.28279,-3.93216,22.28279,-3.2768
1.48,21.955109999999998,-3.604475,22.28279,-3.93216,21.62743,-3.27679
1.5,21.62743,-3.6044850000000004,21.62743,-3.93217,21.62743,-3.2768
1.52,20.972074999999997,-3.6044850000000004,20.97208,-3.93217,20.97207,-3.2768
1.54,20.97207,-2.949125,20.97207,-3.27681,20.97207,-2.62144
1.56,20.97207,-3.2768,20.97207,-3.2768,20.97207,-3.2768
1.58,20.644385,-2.94912,20.97206,-3.2768,20.31671,-2.62144
1.6,21.62744,-2.949115,20.3167,-3.2768,22.93818,-2.62143
1.62,32.11344,-3.9321650000000004,30.80268,-3.93217,33.4242,-3.93216
1.64,33.424185,-2.621435,33.42419,-3.2768,33.42418,-1.96607
1.66,33.424175,-1.638395,33.42418,-1.96608,33.42417,-1.31071
1.68,33.42417,-0.9830300000000001,33.42417,-1.31071,33.42417,-0.65535
1.7,33.424165,-0.6553449999999968,33.42417,-1.31071,33.42416,2.0000000006348e-05
1.72,33.09648,-0.6553449999999968,33.42416,-1.31071,32.7688,2.0000000006348e-05
1.74,32.768795,-0.6553450000000001,32.7688,-0.65535,32.76879,-0.65534
1.76,32.44111,-0.32766999999999685,32.76879,-0.65536,32.11343,2.0000000006348e-05
1.78,31.785745,-0.3276649999999968,32.11343,-0.65535,31.45806,2.0000000006348e-05
1.8,31.458055,-0.32765999999999684,31.45806,-0.65534,31.45805,2.0000000006348e-05
1.82,30.8027,1.4999999999987246e-05,30.8027,-0.65535,30.8027,0.65538
1.84,30.475009999999997,-0.3276549999999988,30.80269,-0.65534,30.14733,3.0000000002417e-05
1.86,29.49197,1.999999999924285e-05,29.49197,9.9999999960687e-06,29.49197,3.0000000002417e-05
1.88,28.836605,2.5000000000830002e-05,28.83661,1.9999999999243e-05,28.8366,3.0000000002417e-05
1.9,28.181244999999997,0.32770999999999767,28.18125,2.9999999995312e-05,28.18124,0.65539
1.92,27.52588,0.6553949999999976,27.52588,2.9999999995312e-05,27.52588,1.31076
1.94,27.853575,0.655395,26.87052,0.65539,28.83663,0.6554
1.96,31.13045,0.3277199999999977,31.45813,2.9999999995312e-05,30.80277,0.65541
1.98,30.802754999999998,1.638445,30.80275,1.31076,30.80276,1.96613
2.0,30.475070000000002,2.293815,30.14739,1.96613,30.80275,2.6215
2.02,30.802745,2.293815,30.80275,1.96613,30.80274,2.6215
2.04,30.80274,2.293815,30.80274,1.96613,30.80274,2.6215
2.06,29.819695,2.6214950000000004,30.14738,2.62149,29.49201,2.6215
2.08,29.49202,2.949185,29.49202,2.6215,29.49202,3.27687
2.1,28.50899,2.949185,28.83667,2.6215,28.18131,3.27687
2.12,26.87059,3.2768800000000002,26.87059,2.62152,26.87059,3.93224
2.14,25.55988,3.604565,26.21524,3.27688,24.90452,3.93225
2.16,24.57685,3.932245,24.90453,3.93224,24.24917,3.93225
2.18,23.59382,4.2599350000000005,23.59382,3.93225,23.59382,4.58762
2.2,22.938474999999997,4.2599350000000005,22.93847,3.93225,22.93848,4.58762
2.22,24.904605,3.60457,23.59385,3.93225,26.21536,3.27689
2.24,25.560005,2.949205,26.21537,2.62152,24.90464,3.27689
2.26,25.560004999999997,3.932245,25.56001,3.93224,25.56,3.93225
2.28,25.88768,3.60457,26.21536,3.93225,25.56,3.27689
2.3,25.56,2.949205,25.56,2.62152,25.56,3.27689
2.32,25.887675,2.949205,25.56,2.62152,26.21535,3.27689
2.34,26.21535,2.621525,26.21535,2.62152,26.21535,2.62153
2.36,26.21535,2.29384,26.21535,1.96616,26.21535,2.62152
2.38,-16.710729999999998,2.29384,26.21535,1.96616,-59.63681,2.62152
2.4,26.54303,1.638475,26.21535,1.31079,26.87071,1.96616
2.42,24.24924,2.29384,24.90461,1.96616,23.59387,2.62152
2.44,23.92154,2.29384,23.59386,1.96616,24.24922,2.62152
2.46,24.24922,2.9492,24.24922,2.62152,24.24922,3.27688
