t_s,x,y,x_left,y_left,x_right,y_right
0.14,1.3107250000000001,0.9830300000000001,1.31072,0.65535,1.31073,1.31071
0.16,1.6384,1.31071,1.31072,1.31071,1.96608,1.31071
0.18,1.31073,1.6384,1.31073,1.31072,1.31073,1.96608
0.2,1.310735,1.966075,1.31074,1.96607,1.31073,1.96608
0.22,1.31074,2.2937600000000002,1.31074,1.96608,1.31074,2.62144
0.24,1.31074,2.94911,1.31074,2.62143,1.31074,3.27679
0.26,1.31074,2.9491,1.31074,2.62142,1.31074,3.27678
0.28,1.31074,3.27678,1.31074,3.27678,1.31074,3.27678
0.3,1.63842,3.27678,1.31074,3.27678,1.9661,3.27678
0.32,1.310745,3.93214,1.31075,3.93214,1.31074,3.93214
0.34,1.31075,4.25981,1.31075,3.93213,1.31075,4.58749
0.36,1.31075,4.915165,1.31075,4.58748,1.31075,5.24285
0.38,1.310755,5.57053,1.31075,5.24285,1.31076,5.89821
0.4,1.31076,5.89821,1.31076,5.89821,1.31076,5.89821
0.42,1.310755,6.2258949999999995,1.31075,5.89821,1.31076,6.55358
0.44,0.98308,6.88126,0.6554,7.20894,1.31076,6.55358
0.46,0.98308,6.88125,0.6554,6.55357,1.31076,7.20893
0.48,1.310755,7.208925,1.31076,7.20892,1.31075,7.20893
0.5,1.31076,7.20893,1.31076,7.20893,1.31076,7.20893
0.52,1.310755,7.208925,1.31076,7.20892,1.31075,7.20893
0.54,1.31075,7.20892,1.31075,7.20892,1.31075,7.20892
0.56,1.63843,7.5366,1.96611,7.20892,1.31075,7.86428
0.58,1.31075,7.536605,1.31075,7.20892,1.31075,7.86429
0.6,1.31075,8.519655,1.31075,8.51965,1.31075,8.51966
0.62,0.98308,9.175025,1.31076,9.17502,0.6554,9.17503
0.64,0.6554,10.158075,0.6554,9.83039,0.6554,10.48576
0.66,0.3277250000000008,11.468810000000001,0.6554,11.14113,5.000000000166e-05,11.79649
0.68,5.4999999999694494e-05,12.779544999999999,5.000000000166e-05,12.45186,5.9999999997729e-05,13.10723
0.7,-0.65529,14.090275,-0.65529,13.76259,-0.65529,14.41796
0.72,-0.9829650000000001,15.728695000000002,-0.65529,15.07333,-1.31064,16.38406
0.74,-1.63832,17.039430000000003,-1.966,16.38407,-1.31064,17.69479
0.76,-1.96599,17.694795,-1.96599,17.69479,-1.96599,17.6948
0.78,-2.293665,18.677844999999998,-1.96599,18.35016,-2.62134,19.00553
0.8,-2.949015,19.66089,-2.62134,19.66089,-3.27669,19.66089
0.82,-2.62133,20.316254999999998,-2.62133,20.31625,-2.62133,20.31626
0.84,-3.2766849999999996,21.299305,-3.27669,20.97162,-3.27668,21.62699
0.86,-3.27668,21.627,-3.27668,21.627,-3.27668,21.627
0.88,-3.275405,21.954684999999998,-3.27668,21.627,-3.27413,22.28237
0.9,-3.60436,22.610055000000003,-3.27668,22.28237,-3.93204,22.93774
0.92,-3.60436,22.937745,-3.93204,22.93774,-3.27668,22.93775
0.94,-3.60436,23.265430000000002,-3.93204,22.93775,-3.27668,23.59311
0.96,-3.60435,23.920795,-3.27667,23.59311,-3.93203,24.24848
0.98,-3.93203,23.92081,-3.93203,23.59313,-3.93203,24.24849
1.0,-3.93203,24.576169999999998,-3.93203,24.24849,-3.93203,24.90385
1.02,-3.9320250000000003,25.231535,-3.93203,24.90385,-3.93202,25.55922
1.04,-3.9320250000000003,25.231545,-3.93202,24.90386,-3.93203,25.55923
1.06,-3.9320250000000003,25.55923,-3.93202,25.55923,-3.93203,25.55923
1.08,-3.9320250000000003,25.886905,-3.93202,25.55922,-3.93203,26.21459
1.1,-3.9320250000000003,25.55923,-3.93202,25.55923,-3.93203,25.55923
1.12,-3.276655,25.559224999999998,-3.93202,25.55922,-2.62129,25.55923
1.14,5.89862,25.88691,3.93247,26.21459,7.86477,25.55923
1.16,7.537089999999999,26.542275,7.86478,26.21459,7.2094,26.86996
1.18,7.53709,27.852995,7.86477,27.52531,7.20941,28.18068
1.2,7.53709,28.508355,7.20941,28.18067,7.86477,28.83604
1.22,7.86477,28.180675,7.86477,28.18067,7.86477,28.18068
1.24,7.53709,28.83604,7.86477,28.83604,7.20941,28.83604
1.26,7.537084999999999,28.836035000000003,7.86477,28.83603,7.2094,28.83604
1.28,6.88172,29.163719999999998,7.2094,28.83604,6.55404,29.4914
1.3,6.2263649999999995,28.508345,6.55405,28.18066,5.89868,28.83603
1.32,6.55405,27.197615,6.55405,27.5253,6.55405,26.86993
1.34,5.89869,26.542234999999998,5.89869,26.86992,5.89869,26.21455
1.36,-0.3273250000000001,26.214579999999998,3.93257,25.5592,-4.58722,26.86996
1.38,-8.84715,26.86996,-9.17483,26.86996,-8.51947,26.86996
1.4,-8.519465,27.197645,-8.51946,27.52532,-8.51947,26.86997
1.42,-8.51947,27.525325000000002,-8.51947,27.52532,-8.51947,27.52533
1.44,-8.519475,27.853015,-8.51947,27.52533,-8.51948,28.1807
1.46,-9.17484,28.83607,-9.17484,28.83607,-9.17484,28.83607
1.48,-8.847159999999999,29.491435000000003,-8.51948,29.49143,-9.17484,29.49144
1.5,-9.174845,30.474485,-9.17484,30.1468,-9.17485,30.80217
1.52,-9.174845,30.80217,-9.17485,30.80217,-9.17484,30.80217
1.54,-9.17485,31.129855,-9.17485,30.80217,-9.17485,31.45754
1.56,-9.17485,31.785225,-9.17485,31.45754,-9.17485,32.11291
1.58,-9.17485,32.11291,-9.17485,32.11291,-9.17485,32.11291
1.6,-9.17485,32.44059,-9.17485,32.11291,-9.17485,32.76827
1.62,-9.17486,33.095965,-9.17486,32.76828,-9.17486,33.42365
1.64,-9.17486,33.42365,-9.17486,33.42365,-9.17486,33.42365
1.66,-9.17486,34.079015,-9.17486,34.07901,-9.17486,34.07902
1.68,-9.17487,34.406695,-9.17487,34.07901,-9.17487,34.73438
1.7,-9.174865,34.07902,-9.17486,34.07902,-9.17487,34.07902
1.72,-9.174875,34.079025,-9.17487,34.07902,-9.17488,34.07903
1.74,-8.519515,34.4067,-8.51951,34.73438,-8.51952,34.07902
1.76,-8.51952,34.4067,-8.51952,34.07902,-8.51952,34.73438
1.78,-2.621175,33.751329999999996,-5.89805,34.07901,0.6557,33.42365
1.8,3.277215,33.75132,3.27722,33.42363,3.27721,34.07901
1.82,2.94952,35.062055,3.2772,34.73437,2.62184,35.38974
1.84,2.29417,36.0451,2.62185,36.0451,1.96649,36.0451
1.86,1.96649,35.717425000000006,1.96649,35.38974,1.96649,36.04511
1.88,1.6388099999999999,36.04511,1.31113,36.04511,1.96649,36.04511
1.9,1.31112,36.045105,1.31112,36.0451,1.31112,36.04511
1.92,1.31113,36.37279,1.31113,36.04511,1.31113,36.70047
1.94,1.31113,36.045114999999996,1.31113,36.04511,1.31113,36.04512
1.96,0.65577,36.04512,0.65577,36.04512,0.65577,36.04512
1.98,0.65577,36.04512,0.65577,36.04512,0.65577,36.04512
2.0,0.3280900000000011,35.71743,0.65577,35.38975,0.0004100000000022,36.04511
2.02,0.0004100000000022,36.045114999999996,0.0004100000000022,36.04511,0.0004100000000022,36.04512
2.04,0.3280900000000011,36.045114999999996,0.0004100000000022,36.04511,0.65577,36.04512
2.06,0.65577,35.38975,0.65577,35.38975,0.65577,35.38975
2.08,0.3280900000000011,35.38975,0.0004100000000022,35.38975,0.65577,35.38975
2.1,0.0004050000000006,36.04511,0.0004100000000022,36.04511,0.000399999999999,36.04511
2.12,7.53725,35.717405,4.58804,35.38973,10.48646,36.04508
2.14,14.091035000000002,36.045075,14.41872,35.38971,13.76335,36.70044
2.16,14.418705,37.683485000000005,14.41871,37.3558,14.4187,38.01117
2.18,14.746390000000002,37.3558,14.41871,37.3558,15.07407,37.3558
2.2,15.40175,37.355805000000004,15.07407,37.3558,15.72943,37.35581
2.22,15.729424999999999,37.35581,15.72943,37.35581,15.72942,37.35581
2.24,15.40174,37.028125,15.72942,36.70044,15.07406,37.35581
2.26,15.72942,37.3558,15.72942,37.3558,15.72942,37.3558
2.28,15.72942,37.3558,15.72942,37.3558,15.72942,37.3558
2.3,15.72942,36.70044,15.72942,36.70044,15.72942,36.70044
2.32,15.730695,36.372755,15.73197,36.70043,15.72942,36.04508
2.34,16.057095,36.372749999999996,15.72942,36.04507,16.38477,36.70043
2.36,16.384774999999998,36.04506,16.38478,36.04506,16.38477,36.04506
2.38,16.38477,35.389695,16.38477,35.3897,16.38477,35.38969
2.4,17.04013,34.73433,17.04013,34.73433,17.04013,34.73433
2.42,17.04013,35.06201,17.04013,34.73433,17.04013,35.38969
2.44,17.04012,35.062005,17.04012,34.73433,17.04012,35.38968
2.46,17.367795,32.44055,17.04012,34.07896,17.69547,30.80214
2.48,19.333840000000002,26.214585,19.00616,26.21458,19.66152,26.21459
2.5,19.006165000000003,26.869955,19.00616,26.21459,19.00617,27.52532
2.52,24.249145,29.819094999999997,20.3169,28.18068,28.18139,31.45751
2.54,40.30577,34.078965,38.66734,33.4236,41.9442,34.73433
2.56,41.94419,36.045055000000005,41.94419,35.38969,41.94419,36.70042
2.58,41.616515,37.68346,41.28883,37.35578,41.9442,38.01114
2.6,41.9442,38.666505,41.9442,38.6665,41.9442,38.66651
2.62,41.944205,38.994185,41.94421,38.6665,41.9442,39.32187
2.64,41.94421,39.321875,41.94421,39.32187,41.94421,39.32188
2.66,42.27189,39.32188,41.94421,39.32188,42.59957,39.32188
2.68,42.599575,39.321885,42.59957,39.32188,42.59958,39.32189
2.7,42.59958,39.32188,42.59958,39.32188,42.59958,39.32188
2.72,42.927260000000004,38.994205,42.59958,38.66652,43.25494,39.32189
2.74,42.927255,39.32189,42.59958,39.32189,43.25493,39.32189
2.76,43.25494,38.666525,43.25494,38.66652,43.25494,38.66653
2.78,43.25494,38.666525,43.25494,38.66652,43.25494,38.66653
2.8,43.25494,38.994215,43.25494,38.66653,43.25494,39.3219
2.82,43.25494,38.666534999999996,43.25494,38.66653,43.25494,38.66654
2.84,40.96116000000001,38.33886,42.59958,38.66654,39.32274,38.01118
2.86,38.66737,38.66653,38.66737,38.01117,38.66737,39.32189
2.88,38.3397,39.321905,38.01202,38.66654,38.66738,39.97727
2.9,38.01202,39.321905,38.01202,39.3219,38.01202,39.32191
2.92,37.684345,39.649595000000005,38.01203,39.32191,37.35666,39.97728
2.94,37.35666,39.321915000000004,37.35666,39.32191,37.35666,39.32192
2.96,37.028980000000004,39.97728,37.35666,39.97728,36.7013,39.97728
2.98,36.7013,39.977285,36.7013,39.97728,36.7013,39.97729
3.0,36.373625000000004,40.30497,36.70131,39.97729,36.04594,40.63265
3.02,35.39058,39.9773,35.39058,39.9773,35.39058,39.9773
3.04,-3.275649999999999,40.30498,35.39059,39.9773,-41.94189,40.63266
3.06,35.39059,40.63266,35.39059,40.63266,35.39059,40.63266
