t_s,x,y,x_left,y_left,x_right,y_right
0.12,-1.310705,-0.655375,-1.3107,-0.65538,-1.31071,-0.65537
0.14,-1.966065,-0.65537,-1.96606,-0.65537,-1.96607,-0.65537
0.16,-2.29374,-1.31073,-2.62142,-1.31073,-1.96606,-1.31073
0.18,-2.62142,-1.310735,-2.62142,-1.31074,-2.62142,-1.31073
0.2,-2.621415,-1.310735,-2.62141,-1.31074,-2.62142,-1.31073
0.22,-2.621415,-1.63842,-2.62141,-1.31074,-2.62142,-1.9661
0.24,-2.621415,-1.9661,-2.62141,-1.9661,-2.62142,-1.9661
0.26,-2.949095,-1.9661,-2.62141,-1.9661,-3.27678,-1.9661
0.28,-2.949095,-2.2937849999999997,-2.62141,-1.96611,-3.27678,-2.62146
0.3,-2.94909,-1.966105,-2.62141,-1.96611,-3.27677,-1.9661
0.32,-3.60445,-2.62147,-3.93213,-2.62147,-3.27677,-2.62147
0.34,-3.604445,-2.6214649999999997,-3.27676,-2.62147,-3.93213,-2.62146
0.36,-3.60445,-2.2937950000000003,-3.27677,-2.62148,-3.93213,-1.96611
0.38,-3.604445,-1.96612,-3.93212,-1.96612,-3.27677,-1.96612
0.4,-3.27677,-2.94917,-3.27677,-2.62149,-3.27677,-3.27685
0.42,-3.27677,-3.60453,-3.27677,-3.27685,-3.27677,-3.93221
0.44,-2.62141,-4.587575,-2.62141,-4.58758,-2.62141,-4.58757
0.46,-2.621405,-4.58758,-2.6214,-4.58758,-2.62141,-4.58758
0.48,-2.62141,-5.24294,-2.62141,-5.24294,-2.62141,-5.24294
0.5,-2.949085,-5.242945000000001,-2.6214,-5.24295,-3.27677,-5.24294
0.52,-3.27677,-5.242945000000001,-3.27677,-5.24295,-3.27677,-5.24294
0.54,-2.62141,-5.242945000000001,-2.62141,-5.24295,-2.62141,-5.24294
0.56,-2.621415,-5.570625,-2.62141,-5.24295,-2.62142,-5.8983
0.58,-2.621415,-5.242945000000001,-2.62141,-5.24295,-2.62142,-5.24294
0.6,-2.62141,-5.570625,-2.62141,-5.24295,-2.62141,-5.8983
0.62,-2.621405,-5.242945000000001,-2.6214,-5.24295,-2.62141,-5.24294
0.64,-2.2937250000000002,-5.24294,-2.6214,-5.24294,-1.96605,-5.24294
0.66,-2.29372,-4.58758,-2.6214,-4.58758,-1.96604,-4.58758
0.68,-1.96604,-4.915265,-1.96604,-4.58759,-1.96604,-5.24294
0.7,-1.638365,-4.58758,-1.31068,-4.58758,-1.96605,-4.58758
0.72,-1.638365,-4.587575,-1.31068,-4.58758,-1.96605,-4.58757
0.74,-1.9660549999999999,-5.242935,-1.96605,-5.24294,-1.96606,-5.24293
0.76,-1.96605,-5.570615,-1.96605,-5.8983,-1.96605,-5.24293
0.78,-2.62141,-6.55366,-2.62141,-5.8983,-2.62141,-7.20902
0.8,-2.94909,-8.19208,-2.62141,-7.8644,-3.27677,-8.51976
0.82,1.310805,-9.175105,-1.96604,-9.17512,4.58765,-9.17509
0.84,8.192225,-8.519735,8.51991,-9.1751,7.86454,-7.86437
0.86,8.192215000000001,-5.89828,8.51989,-6.55365,7.86454,-5.24291
0.88,7.864545,-4.915235,7.86455,-5.24292,7.86454,-4.58755
0.9,7.864545,-4.91523,7.86455,-5.24291,7.86454,-4.58755
0.92,7.536865000000001,-4.587545,7.86455,-4.58755,7.20918,-4.58754
0.94,7.20919,-4.259855,7.20919,-4.58754,7.20919,-3.93217
0.96,7.20919,-3.6044850000000004,7.20919,-3.93217,7.20919,-3.2768
0.98,7.209195,-2.949115,7.2092,-2.62144,7.20919,-3.27679
1.0,7.2092,-2.9491050000000003,7.2092,-3.27679,7.2092,-2.62142
1.02,8.192235,-1.638375,7.86456,-1.96606,8.51991,-1.31069
1.04,8.519915000000001,2.99999999988645e-05,8.51992,3.0000000002417e-05,8.51991,2.9999999995312e-05
1.06,8.51992,0.9830749999999999,8.51992,0.65539,8.51992,1.31076
1.08,9.502960000000002,1.638435,9.83064,1.31075,9.17528,1.96612
1.1,10.485994999999999,1.9661149999999998,10.486,2.62147,10.48599,1.31076
1.12,13.762830000000001,-0.655315,11.79672,0.6554,15.72894,-1.96603
1.14,16.712015,-1.310675,17.0397,-1.96604,16.38433,-0.65531
1.16,16.056649999999998,-0.655305,16.38433,-0.65531,15.72897,-0.6553
1.18,14.745930000000001,-1.3106550000000001,15.07362,-1.31066,14.41824,-1.31065
1.2,14.090585,-1.966015,14.41827,-1.96602,13.7629,-1.96601
1.22,12.779869999999999,-2.2936900000000002,13.10755,-1.96601,12.45219,-2.62137
1.24,12.4522,-2.949045,12.4522,-3.27673,12.4522,-2.62136
1.26,11.796845,-2.621365,11.79685,-2.62137,11.79684,-2.62136
1.28,11.79685,-3.2767150000000003,11.79686,-3.27672,11.79684,-3.27671
1.3,11.14149,-3.6043849999999997,11.14149,-3.27671,11.14149,-3.93206
1.32,17.367505,-4.915075,15.72908,-4.58741,19.00593,-5.24274
1.34,18.02289,-4.259399999999999,18.35058,-4.58738,17.6952,-3.93142
1.36,17.367525,-3.6043250000000002,17.69521,-3.93201,17.03984,-3.27664
1.38,16.056795,-3.93199,16.38448,-3.932,15.72911,-3.93198
1.4,15.401425,-3.9319800000000003,15.72911,-3.93199,15.07374,-3.93197
1.42,14.746065000000002,-3.93197,15.07375,-3.93197,14.41838,-3.93197
1.44,14.74606,-4.915005,15.07374,-4.58733,14.41838,-5.24268
1.46,15.073745,-5.242675,15.07375,-5.24268,15.07374,-5.24267
1.48,15.07375,-5.242685,15.72911,-5.24269,14.41839,-5.24268
1.5,17.03986,-6.553395,15.07376,-5.89805,19.00596,-7.20874
1.52,24.576625,-7.8640799999999995,24.24894,-7.86409,24.90431,-7.86407
1.54,24.904314999999997,-7.536395000000001,24.90432,-7.86408,24.90431,-7.20871
1.56,24.576639999999998,-7.53639,24.90432,-7.20872,24.24896,-7.86406
1.58,24.904325,-8.847104999999999,24.90433,-8.51943,24.90432,-9.17478
1.6,24.24896,-9.830145,24.24896,-9.83015,24.24896,-9.83014
1.62,23.92128,-11.14087,24.24896,-11.14088,23.5936,-11.14086
1.64,23.921275,-11.796225,24.24896,-11.79623,23.59359,-11.79622
1.66,23.5936,-12.451575,23.5936,-12.45158,23.5936,-12.45157
1.68,23.26592,-13.106935,23.5936,-13.10694,22.93824,-13.10693
1.7,22.282874999999997,-13.762295,22.28288,-13.7623,22.28287,-13.76229
1.72,21.955195,-14.41765,22.28288,-14.41765,21.62751,-14.41765
1.74,21.627515000000002,-14.089965,21.62752,-13.76229,21.62751,-14.41764
1.76,21.299835,-14.417645,21.62752,-14.41765,20.97215,-14.41764
1.78,27.19816,-16.3837,24.24899,-15.07299,30.14733,-17.69441
1.8,32.441145000000006,-17.69442,32.76883,-18.34978,32.11346,-17.03906
1.82,31.785775,-17.039054999999998,32.11346,-17.03906,31.45809,-17.03905
1.84,31.458084999999997,-17.694425000000003,31.45809,-17.69443,31.45808,-17.69442
1.86,31.1304,-18.34978,31.45809,-18.34978,30.80271,-18.34978
1.88,31.130395,-18.677455000000002,31.45808,-19.00514,30.80271,-18.34977
1.9,30.802715,-18.677445,30.80272,-19.00513,30.80271,-18.34976
1.92,30.80271,-18.022080000000003,30.80271,-17.6944,30.80271,-18.34976
1.94,30.80271,-17.6944,30.80271,-17.6944,30.80271,-17.6944
1.96,30.802715,-17.366725000000002,30.80272,-17.69441,30.80271,-17.03904
1.98,33.42418,-17.039035,31.45808,-17.03905,35.39028,-17.03902
2.0,35.71799,-16.711345,36.04568,-17.03903,35.3903,-16.38366
2.02,35.390305,-15.72831,35.39031,-15.72831,35.3903,-15.72831
2.04,35.390315,-15.400635000000001,35.39032,-15.72832,35.39031,-15.07295
2.06,35.390315,-14.089915000000001,35.39032,-14.4176,35.39031,-13.76223
2.08,36.045685,-13.762245,36.04568,-13.76225,36.04569,-13.76224
2.1,23.921355,-11.796205,30.80274,-12.45155,17.03997,-11.14086
2.12,12.452345000000001,-10.485535,11.79698,-11.1409,13.10771,-9.83017
2.14,13.763085,-8.191765,13.76309,-8.51945,13.76308,-7.86408
2.16,14.418445,-7.536390000000001,14.41845,-7.86408,14.41844,-7.2087
2.18,14.746125,-7.536385,15.07381,-7.20871,14.41844,-7.86406
2.2,14.418455,-7.208705,14.41846,-7.20871,14.41845,-7.2087
2.22,14.41845,-8.191745000000001,14.41846,-7.86407,14.41844,-8.51942
2.24,14.090765000000001,-9.502465,14.41845,-9.17479,13.76308,-9.83014
2.26,13.763085,-10.157824999999999,13.76309,-9.83015,13.76308,-10.4855
2.28,13.763069999999999,-11.14086,13.76308,-11.14086,13.76306,-11.14086
2.3,13.107705,-10.81318,13.10771,-10.48551,13.1077,-11.14085
2.32,14.746125000000001,-11.79621,13.10771,-11.14086,16.38454,-12.45156
2.34,23.921305,-13.76226,22.93825,-13.76227,24.90436,-13.76225
2.36,25.88741,-13.106885,26.2151,-13.10689,25.55972,-13.10688
2.38,25.232045,-12.123840000000001,25.55973,-12.45153,24.90436,-11.79615
2.4,25.559725,-11.79616,25.55973,-11.79616,25.55972,-11.79616
2.42,24.90437,-11.79616,24.90437,-11.79617,24.90437,-11.79615
2.44,24.90437,-11.468475000000002,24.90437,-11.1408,24.90437,-11.79615
2.46,24.57669,-11.1408,24.90437,-11.14081,24.24901,-11.14079
2.48,24.576705,-10.485445,24.24902,-10.48545,24.90439,-10.48544
2.5,24.90439,-9.830085,24.90439,-9.83009,24.90439,-9.83008
2.52,24.57671,-9.502405,24.90439,-9.83009,24.24903,-9.17472
2.54,24.24903,-9.830085,24.24903,-9.83009,24.24903,-9.83008
2.56,24.576715,-9.502405,24.9044,-9.83009,24.24903,-9.17472
2.58,24.57671,-9.830085,24.24903,-9.83009,24.90439,-9.83008
2.6,25.232065,-10.157765000000001,25.55975,-9.83009,24.90438,-10.48544
2.62,24.904384999999998,-10.485455,24.90439,-10.48546,24.90438,-10.48545
2.64,24.90439,-11.140815,24.90439,-10.48546,24.90439,-11.79617
2.66,24.576715,-11.796175,24.9044,-11.79618,24.24903,-11.79617
2.68,24.57672,-11.468499999999999,24.9044,-11.79618,24.24904,-11.14082
2.7,23.266015,-11.79618,23.5937,-11.79618,22.93833,-11.79618
2.72,22.282995,-13.106905000000001,21.62762,-12.45156,22.93837,-13.76225
2.74,32.113585,-17.366705,32.11355,-16.38367,32.11362,-18.34974
2.76,28.509135,-18.022055,29.49218,-17.69438,27.52609,-18.34973
2.78,25.560035,-19.33277,26.21539,-19.66046,24.90468,-19.00508
2.8,23.266285,-19.33276,23.59396,-19.00509,22.93861,-19.66043
2.82,22.93862,-18.67739,22.93862,-19.00508,22.93862,-18.3497
2.84,23.593975,-17.694345,23.59398,-17.69435,23.59397,-17.69434
2.86,24.577015,-17.038984999999997,24.24934,-17.03899,24.90469,-17.03898
2.88,26.21541,-16.055955,25.56005,-16.38364,26.87077,-15.72827
2.9,27.526125,-15.728275,27.52613,-15.72828,27.52612,-15.72827
2.92,28.181475,-15.72827,28.18148,-15.72827,28.18147,-15.72827
2.94,29.164515,-15.728275,29.4922,-15.72828,28.83683,-15.72827
2.96,29.492195000000002,-16.05596,29.4922,-15.72828,29.49219,-16.38364
2.98,30.80293,-18.349719999999998,29.49219,-17.69437,32.11367,-19.00507
3.0,32.76905,-19.332745000000003,33.42442,-19.66043,32.11368,-19.00506
3.02,31.786009999999997,-18.022015,32.11369,-18.3497,31.45833,-17.69433
3.04,31.458325,-17.69433,32.11369,-17.69433,30.80296,-17.69433
3.06,31.45833,-17.69433,31.45833,-17.69433,31.45833,-17.69433
3.08,31.458334999999998,-18.349694999999997,31.45834,-18.3497,31.45833,-18.34969
3.1,32.1137,-17.694335000000002,32.1137,-17.69434,32.1137,-17.69433
3.12,32.76907,-17.366655,32.76907,-17.69434,32.76907,-17.03897
3.14,-6.552524999999999,-17.69434,32.76908,-17.69434,-45.87413,-17.69434
3.16,32.441395,-17.69434,32.76908,-17.69434,32.11371,-17.69434
3.18,32.11372,-17.69434,32.11372,-17.69434,32.11372,-17.69434
3.2,31.458365,-19.005070000000003,31.45837,-18.34971,31.45836,-19.66043
3.22,31.130685,-20.971159999999998,31.45837,-20.3158,30.803,-21.62652
3.24,30.47532,-21.9542,30.803,-21.62652,30.14764,-22.28188
3.26,31.13069,-24.57564,29.49228,-23.59261,32.7691,-25.55867
3.28,46.204145,-27.197045,43.91034,-26.21401,48.49795,-28.18008
3.3,47.514905,-27.524725,47.8426,-27.52473,47.18721,-27.52472
3.32,47.84258,-27.52473,47.84258,-27.52473,47.84258,-27.52473
3.34,48.825615,-28.1801,48.49794,-28.1801,49.15329,-28.1801
3.36,50.464020000000005,-27.197065000000002,49.80866,-27.52475,51.11938,-26.86938
