t_s,x,y,x_left,y_left,x_right,y_right
0.04,0.9830350000000001,-0.655375,1.31071,-0.65537,0.65536,-0.65538
0.06,1.31072,-0.98305,1.31072,-0.65537,1.31072,-1.31073
0.08,1.96608,-1.9661,1.96608,-1.9661,1.96608,-1.9661
0.1,1.966085,-2.2937849999999997,1.96608,-2.62146,1.96609,-1.96611
0.12,2.621445,-2.6214649999999997,2.62144,-1.9661,2.62145,-3.27683
0.14,2.949125,-3.604515,3.2768,-3.27683,2.62145,-3.9322
0.16,3.27681,-4.25988,3.27681,-3.9322,3.27681,-4.58756
0.18,3.60449,-4.58756,3.93217,-4.58756,3.27681,-4.58756
0.2,3.6045,-4.91525,3.93218,-4.58757,3.27682,-5.24293
0.22,3.6045049999999996,-4.915255,3.93218,-4.58757,3.27683,-5.24294
0.24,3.604515,-5.242935,3.93219,-5.24293,3.27684,-5.24294
0.26,3.6045249999999998,-5.57062,3.9322,-5.24294,3.27685,-5.8983
0.28,3.60453,-5.57062,3.9322,-5.24294,3.27686,-5.8983
0.3,3.93222,-6.88134,3.93222,-6.55366,3.93222,-7.20902
0.32,3.9322150000000002,-7.864374999999999,3.93221,-7.20902,3.93222,-8.51973
0.34,4.58757,-10.15812,4.58757,-9.83045,4.58757,-10.48579
0.36,5.5706050000000005,-10.81345,5.89828,-10.48578,5.24293,-11.14112
0.38,5.89828,-10.48573,5.89828,-10.48574,5.89828,-10.48572
0.4,6.5536200000000004,-8.519615,7.20898,-9.17497,5.89826,-7.86426
0.42,5.898245,-4.587435,6.5536,-5.89816,5.24289,-3.27671
0.44,4.25983,-0.6552599999999983,4.58751,-1.31062,3.93215,0.0001000000000033
0.46,2.621415,1.966185,3.27678,1.31082,1.96605,2.62155
0.48,1.63836,1.966195,1.96604,1.96619,1.31068,1.9662
0.5,0.9829950000000001,0.6554800000000013,1.31068,1.31084,0.65531,0.0001200000000025
