t_s,x,y,x_left,y_left,x_right,y_right
0.04,-0.983005,0.983055,-0.6553,1.31074,-1.31071,0.65537
0.06,-0.65533,0.983055,-0.65531,1.31074,-0.65535,0.65537
0.08,-0.983,0.983055,-0.6553,1.31074,-1.3107,0.65537
0.1,-1.31068,0.983055,-0.6553,1.31074,-1.96606,0.65537
0.12,-1.31068,0.983055,-0.6553,1.31074,-1.96606,0.65537
0.14,-0.983,0.983055,-0.6553,1.31074,-1.3107,0.65537
0.2,0.9830450000000001,-0.655365,1.31075,0.0,0.65534,-1.31073
0.22,0.983035000000005,-0.655365,1.31074,0.0,0.65533000000001,-1.31073
0.24,0.983030000000005,-0.655365,1.31073,0.0,0.65533000000001,-1.31073
0.26,0.983030000000005,-0.65537,1.31073,0.0,0.65533000000001,-1.31074
0.28,0.98304,-0.983049999999995,1.31074,-0.65535999999999,0.65534,-1.31074
0.3,14.74586,-0.327685,11.79669,0.0,17.69503,-0.65537
0.32,15.728955000000001,0.655365,16.38434,0.65537,15.07357,0.65536
0.34,15.073585000000001,0.983055,15.72897,1.31074,14.4182,0.65537
0.36,14.7459,1.63841,15.0736,1.9661,14.4182,1.31072
0.38,14.418209999999998,1.31073,15.07359,1.9661,13.76283,0.65536
0.4,14.745885,0.98305,15.07359,1.31073,14.41818,0.65537
0.42,14.09052,0.983045,14.41822,1.31073,13.76282,0.65536
0.44,14.09051,0.327685,14.41821,0.65537,13.76281,0.0
0.46,12.77978,4.999999999977245e-06,13.10748,0.65537,12.45208,-0.65536
0.48,12.77977,-0.32767499999999844,13.10748,1.0000000003174e-05,12.45206,-0.65536
0.5,12.779765,-0.655355,13.10747,-0.65535,12.45206,-0.65536
0.52,12.77976,-0.9830399999999999,13.10746,-0.65535,12.45206,-1.31073
0.54,12.779765000000001,-0.983044999999995,13.10746,-0.65535999999999,12.45207,-1.31073
0.56,12.452089999999998,-1.3107250000000001,13.10747,-1.31072,11.79671,-1.31073
0.58,12.452095,-1.3107249999999948,13.10748,-0.65535999999999,11.79671,-1.96609
0.6,12.124414999999999,-1.6384050000000001,12.45212,-1.31072,11.79671,-1.96609
0.62,12.12442,-1.6384050000000001,12.45212,-1.31072,11.79672,-1.96609
0.64,11.46906,-2.293765,11.79676,-1.96608,11.14136,-2.62145
0.66,11.796735,-2.621445,12.45212,-1.96608,11.14135,-3.27681
0.68,12.12442,-2.9491300000000003,12.45212,-2.62144,11.79672,-3.27682
0.7,12.12442,-2.949135,12.45212,-2.62145,11.79672,-3.27682
0.72,12.77978,-2.949135,13.10748,-2.62145,12.45208,-3.27682
0.74,12.779775,-3.6045,13.10748,-3.27681,12.45207,-3.93219
0.76,14.418154999999999,-3.932185,14.41818,-3.27682,14.41813,-4.58755
0.78,15.0735,-4.915235,15.07352,-4.58755,15.07348,-5.24292
0.8,16.056525,-5.24292,16.38423,-4.58755,15.72882,-5.89829
0.82,17.039555,-6.22597,17.03958,-5.89828,17.03953,-6.55366
0.84,17.367235,-6.22598,17.69493,-5.89829,17.03954,-6.55367
0.86,18.350275,-6.881345,18.35029,-6.55366,18.35026,-7.20903
0.88,18.67796,-7.20903,19.00566,-6.55366,18.35026,-7.8644
0.9,25.231655,-7.5367049999999995,20.97175,-7.20902,29.49156,-7.86439
0.92,32.113075,-6.881345,33.42383,-6.55366,30.80232,-7.20903
0.94,30.802329999999998,-6.225975,30.80235,-5.89829,30.80231,-6.55366
0.96,30.474645000000002,-6.225975,30.80235,-5.89829,30.14694,-6.55366
0.98,30.14696,-6.22597,30.14698,-5.89828,30.14694,-6.55366
1.0,30.146955,-6.22597,30.14698,-5.89828,30.14693,-6.55366
1.02,30.14695,-6.22597,30.14697,-5.89828,30.14693,-6.55366
1.04,30.146945000000002,-5.57061,30.14697,-5.24292,30.14692,-5.8983
1.06,29.81926,-5.898295,30.14696,-5.24293,29.49156,-6.55366
1.08,30.14694,-6.225975,30.80232,-5.89829,29.49156,-6.55366
1.1,29.81926,-5.898295,30.14696,-5.24293,29.49156,-6.55366
1.12,29.81926,-6.225975,30.14696,-5.89829,29.49156,-6.55366
1.14,29.163899999999998,-5.898295,29.4916,-5.24293,28.8362,-6.55366
1.16,29.81927,-5.898295,29.4916,-5.89829,30.14694,-5.8983
1.18,35.71764,-5.5706050000000005,35.38997,-5.24292,36.04531,-5.89829
1.2,35.06228,-4.915235,35.38998,-4.58755,34.73458,-5.24292
1.22,34.40692,-4.915229999999999,34.73462,-4.58754,34.07922,-5.24292
1.24,34.07924,-4.587545,34.73462,-4.58754,33.42386,-4.58755
1.26,32.768525,-3.93218,33.4239,-3.93218,32.11315,-3.93218
1.28,32.11318,-1.96609,32.76856,-1.96609,31.4578,-1.96609
