t_s,x,y,x_left,y_left,x_right,y_right
0.0,0.0,0.0,0.2298123171435585,0.8550366218038354,0.22671066862110859,0.8571425779563914
0.02,-0.6553449999999984,-0.327679999999995,0.2236012400355975,0.8550366218038354,0.226710716008412,0.8546795520025785
0.04,-0.983025,-1.310715,0.2236012400355975,0.8501227100172329,0.22360514169301282,0.8522165260487657
0.06,-0.6553449999999984,-1.310715,0.2236012400355975,0.8501227100172329,0.226710716008412,0.8522165260487657
0.08,2.2937600000000002,0.65536,0.22670682597705877,0.8501226725267752,0.25155516836969527,0.8669946817716425
0.1,-8.84758,9.83042,0.1956499714253491,0.889434304233715,0.17702029489213678,0.8965511059657763
0.12,-6.55378,12.124199999999998,0.1956500188128299,0.8992623152592086,0.19875964681105482,0.903940221410008
0.14,-6.55377,12.77957,0.19565006620031067,0.9017193273881966,0.19875969419835823,0.9064032849466143
0.16,-6.226084999999999,12.779575000000001,0.1987556995292528,0.9017193273881966,0.19875969419835823,0.9064033225294078
0.18,-6.88142,13.762635,0.1987557943042144,0.9066333516461723,0.19254868772947004,0.9088664236488075
0.2,-7.86445,14.74569,0.1894390838673113,0.909090401265618,0.19254873511677345,0.9137925131392266
0.22,-8.847475,15.728745,0.18633359270081157,0.9140043880331359,0.18633763387327848,0.9162556142586262
0.24,-9.830515,15.40107,0.18012242081788898,0.9140044255235936,0.1832320595578793,0.9137925883048135
0.26,-9.830505,16.711805,0.18012242081788898,0.9164614376525816,0.1832321543324861,0.9211817413318388
0.28,-9.1751,18.350230000000003,0.18322819630927348,0.921375499401015,0.18633796558440224,0.9285708943588642
0.3,-8.84737,22.610105,0.19254523845854213,0.9312035104265087,0.18012700650281746,0.9507382782743531
0.32,-10.15807,23.26549,0.16770055092685174,0.9459454707290628,0.19254949331362778,0.9408862496246889
0.34,-2.949015,25.559260000000002,0.21117918059463708,0.9533163946446531,0.21739456170985522,0.9507384286055269
0.36,-4.25959,20.644095,0.21117984401936823,0.9361177221367732,0.20497297525780941,0.9310343337234052
0.38,-8.84697,18.022685,0.1925469917953316,0.9238329614154958,0.18012904415686354,0.9236453686103473
0.4,-15.728069999999999,17.695014999999998,0.15838635202643087,0.9213760617578811,0.14907420136163624,0.9236453686103473
0.42,-19.332425,17.367325,0.139753547189875,0.9213760242674234,0.1335468036576743,0.9211823050737411
0.44,-20.643095000000002,17.03963,0.13043712107785668,0.9189190121384355,0.1304413715041853,0.921182229908154
0.46,-17.03865,18.35031,0.13975378412727898,0.9213758368151348,0.1552857290908618,0.9285711574384186
0.48,-11.468129999999999,21.95478,0.16770382066302666,0.9336606350268699,0.18013018145214504,0.9433493131612951
0.5,-9.174365,24.903895,0.18323175037033318,0.9484024828580506,0.1863413774702468,0.95073835343994
0.52,-11.795765,25.559265,0.18323184514529475,0.9508594574965807,0.16149706727087373,0.9532014545593398
0.54,1.6394000000000002,25.231625,0.20497213142254378,0.9484026328198816,0.2670881103881546,0.9532016048905138
0.56,1.639395,26.87004,0.2391338611035028,0.9557736317163874,0.23292646120763982,0.9581276943809327
0.58,0.6563350000000008,28.18076,0.22981700850415732,0.9582306063549175,0.23292636643303305,0.9655167722423712
0.6,1.63935,29.163795,0.23292245228317623,0.963144555631978,0.2391374202892246,0.9679797606133904
0.62,4.58845,29.49148,0.24534470127405983,0.965601530270508,0.2546651970916137,0.9679797981961838
0.64,8.19293,29.819164999999998,0.2608725835938855,0.965601530270508,0.2732986903713122,0.9704428617327902
0.66,12.452774999999999,29.491495,0.2826117325715954,0.9656016052514235,0.2919321362637073,0.9679798357789772
0.68,13.763485,29.491495,0.2919284430084985,0.9656016052514235,0.2950376631918031,0.9679798357789772
0.7,12.780439999999999,28.83613,0.2888228570670372,0.9631445931224356,0.2888264671737013,0.9655168098251645
0.72,24.904604999999997,28.836105,0.27950600446769175,0.963144555631978,0.41304958195157876,0.9655166594939906
0.74,65.864855,28.83609,0.5310596504130767,0.9631444431606045,0.5496960365117277,0.9655166594939906
0.76,65.20946,29.491445,0.5372707749085185,0.9656014177991348,0.5372734549263105,0.9679796478650099
0.78,65.864825,28.180705,0.5403763608499798,0.9631443681796891,0.5403790766290132,0.9605904948379846
0.8,66.19254,24.903905,0.5434820889538835,0.9508594574965807,0.5403792661782267,0.9482754026517142
0.82,66.84795,22.937845000000003,0.5434822785038067,0.9410316339233757,0.5465906991328455,0.9433494259096756
0.84,68.81410500000001,23.92092,0.5527993680405562,0.9434887210332791,0.5559078011774703,0.9482756281484752
0.86,70.45257000000001,27.19777,0.5590108716358443,0.9533168070396884,0.5652248084474881,0.9630539717853193
0.88,73.07406499999999,32.11304,0.5714334997265743,0.9705158544521456,0.5776473426456018,0.9827584800781692
0.9,74.712515,36.04527,0.5807504944883621,0.9877149768455185,0.5838587282129172,0.9950738353439941
0.92,75.36791,38.01138,0.5838562699797466,0.99754302536147,0.5869644446902266,0.9999999624172066
0.94,77.00633,38.339065,0.5931731225790922,1.0,0.5931756880956318,1.0
0.96,76.67865,36.37299,0.5931731225790922,0.9926291135748674,0.5900701137802326,0.9926109221385617
0.98,78.97241500000001,35.062275,0.5962787085205534,0.9877151642978073,0.608703607059931,0.9876849078137295
1.0,91.096705,32.76853,0.6521798715041071,0.9803443153631323,0.6677101350874597,0.977832841581272
1.02,91.42435499999999,30.474764999999998,0.661496629328491,0.972973391447542,0.6614987021328408,0.9679807001832276
1.04,91.0966,25.231834999999997,0.6583907116746641,0.955774419016,0.6614983230344137,0.9458132411021516
1.06,90.44113,17.69512,0.6583901904123753,0.9287474355589644,0.655286653143278,0.9162566289940504
1.08,89.45799500000001,12.1245,0.6521785446546448,0.909091413507977,0.6521806523421483,0.8940891699129745
1.1,88.147155,2.2940000000000014,0.6459668515094333,0.8722364565159054,0.6459688876764057,0.8571433671950546
1.12,95.68379999999999,-4.91505,0.6739169828201427,0.8427523484585088,0.6894471176412078,0.8325128445773724
1.14,95.68374,-7.8642,0.6863391844235456,0.8280103881559546,0.6770243938938806,0.8251236539675536
1.16,94.045265,-10.15799,0.6770220001118346,0.8181823771304609,0.6708129609392618,0.8177344633577348
1.18,94.04526,-11.14103,0.6739163193954116,0.8132683528724852,0.6739185826419645,0.815271512569509
1.2,94.372955,-11.468689999999999,0.6739164141703732,0.8132684653438584,0.677024204344667,0.8128085241984897
1.22,95.028335,-11.79637,0.677022094886796,0.8108115281957861,0.6801298734346729,0.8128084866156962
1.24,95.356015,-12.45175,0.6801276808282575,0.8108114532148706,0.6801298734346729,0.8078823595424837
1.26,94.37295,-13.762495,0.6739164141703732,0.805897391466437,0.6770241569573636,0.8029562324692712
1.28,94.37294,-15.073245,0.6770219527243537,0.7985263550794734,0.673918535254661,0.8004930937670779
1.3,107.48031,-15.728615000000001,0.7080781438513323,0.798526280098558,0.7670870441738281,0.7955670418594524
1.32,115.34474499999999,-15.400920000000001,0.7764020770880583,0.7936123683119555,0.7732982401919299,0.8029561948864777
1.34,115.67242,-11.796405,0.7764019823130968,0.8083543661049671,0.7764038618946325,0.815271437403922
1.36,115.017065,-11.141024999999999,0.7732964437591162,0.8157253650014731,0.7732982875792334,0.8128084866156962
1.38,113.706305,-10.81335,0.7701907630426933,0.8157254024919308,0.7639812803092154,0.815271437403922
1.4,110.42943500000001,-16.38397,0.7546625016230212,0.7985263925699312,0.7484530770210958,0.7906409147862398
1.42,108.790955,-19.98852,0.7422397787573298,0.7813272701765583,0.7453471236072694,0.7807885854742278
1.44,110.756995,-20.316225000000003,0.7453450803739062,0.778870183066655,0.7608749004096585,0.7807885103086409
1.46,135.33335,-20.64389,0.8323025766468809,0.7764131709376672,0.9068391678239831,0.7807886606398148
1.48,144.836225,-14.74553,0.9161546765283174,0.7960693804409433,0.9130505060039951,0.8054194087542579
1.5,145.49165499999998,-14.09008,0.9161549608532021,0.8034407167515689,0.9192620337332206,0.8029566458799995
