t_s,x,y,x_left,y_left,x_right,y_right
0.06,0.6553599999999999,-1.6384050000000001,0.65535,-1.31072,0.65537,-1.96609
0.08,0.327685,-1.6384050000000001,0.0,-1.31072,0.65537,-1.96609
0.1,0.32769,-1.310715,0.0,-1.31071,0.65538,-1.31072
0.12,0.6553800000000001,-1.31072,0.65537,-1.31072,0.65539,-1.31072
0.14,0.98306,-1.3107250000000001,0.65537,-1.31072,1.31075,-1.31073
0.16,0.983055,-1.6384050000000001,0.65537,-1.31072,1.31074,-1.96609
0.18,1.638415,-1.6384,1.31073,-1.31072,1.9661,-1.96608
0.2,1.966095,-2.29376,1.31073,-1.96607,2.62146,-2.62145
0.22,2.621445,-2.2937600000000002,2.62144,-1.96608,2.62145,-2.62144
0.24,2.9491199999999997,-2.293755,2.62143,-1.96607,3.27681,-2.62144
0.26,2.621435,-2.62143,2.62143,-2.62143,2.62144,-2.62143
0.28,2.949115,-2.29375,2.62143,-1.96607,3.2768,-2.62143
0.3,2.94911,-1.96607,2.62142,-1.96607,3.2768,-1.96607
0.32,3.6044650000000003,-2.621435,3.27678,-2.62143,3.93215,-2.62144
0.34,4.259375,-2.621435,3.93124,-2.62143,4.58751,-2.62144
0.36,4.915175,-2.94912,4.58749,-3.2768,5.24286,-2.62144
0.38,5.2428550000000005,-2.62144,5.24285,-2.62144,5.24286,-2.62144
0.4,5.242850000000001,-2.621435,5.24284,-2.62143,5.24286,-2.62144
0.42,6.2258949999999995,-2.62144,5.89821,-2.62144,6.55358,-2.62144
0.44,-0.6554349999999998,-1.63836,5.24284,-2.62143,-6.55371,-0.65529
0.46,-11.79667,-0.6552899999999996,-12.45203,7.0000000000903e-05,-11.14131,-1.31065
0.48,-9.17522,-0.655305,-9.17522,-0.6553,-9.17522,-0.65531
0.5,-8.519870000000001,-0.98299,-8.51988,-0.65531,-8.51986,-1.31067
0.52,-8.519870000000001,-1.31067,-8.51988,-1.31067,-8.51986,-1.31067
0.54,-8.19219,-0.98298,-7.86452,-1.31066,-8.51986,-0.6553
0.56,-7.536825,-0.982985,-7.86451,-1.31066,-7.20914,-0.65531
0.58,-7.53683,-0.98298,-7.86452,-1.31066,-7.20914,-0.6553
0.6,-7.536825,-1.31066,-7.86451,-1.31066,-7.20914,-1.31066
0.62,-7.209149999999999,-0.6553,-7.20916,-0.6553,-7.20914,-0.6553
0.64,-7.536825,-0.6553,-7.86451,-0.6553,-7.20914,-0.6553
0.66,-7.536835,-0.6553,-7.86452,-0.6553,-7.20915,-0.6553
0.68,-7.536835,-0.6553,-7.86452,-0.65529,-7.20915,-0.65531
0.7,-7.536835,-0.982985,-7.86452,-0.6553,-7.20915,-1.31067
0.72,-6.88148,-0.655305,-7.20917,-0.6553,-6.55379,-0.65531
0.74,-6.88148,-1.31067,-7.20917,-1.31067,-6.55379,-1.31067
0.76,-6.22612,-0.9829950000000001,-6.5538,-0.65531,-5.89844,-1.31068
0.78,-5.898445000000001,-0.9830000000000001,-5.89845,-0.65532,-5.89844,-1.31068
0.8,-5.243085,-1.3106849999999999,-5.24309,-1.31068,-5.24308,-1.31069
0.82,-4.915405,-1.63837,-5.24309,-1.31068,-4.58772,-1.96606
0.84,-4.91541,-1.638375,-5.2431,-1.31069,-4.58772,-1.96606
0.86,-4.915414999999999,-2.293735,-5.2431,-1.96605,-4.58773,-2.62142
0.88,-4.915419999999999,-2.293745,-5.24311,-1.96606,-4.58773,-2.62143
0.9,-5.243095,-2.293745,-5.2431,-1.96606,-5.24309,-2.62143
0.92,-5.2431,-2.6214250000000003,-5.24311,-2.62142,-5.24309,-2.62143
0.94,-5.243105,-2.94911,-5.24311,-2.62143,-5.2431,-3.27679
0.96,-5.570785,-2.94911,-5.89847,-2.62143,-5.2431,-3.27679
0.98,-5.898465,-3.60447,-5.24311,-3.27679,-6.55382,-3.93215
1.0,-6.553825,-3.93215,-6.55383,-3.93215,-6.55382,-3.93215
1.02,-7.536860000000001,-3.60447,-7.20919,-3.93215,-7.86453,-3.27679
1.04,-8.519895,-2.29375,-8.5199,-2.62143,-8.51989,-1.96607
1.06,-7.86452,-0.65534,-9.17526,-1.96606,-6.55378,0.65538
1.08,0.6553800000000001,2.9491750000000003,-0.65538,2.6215,1.96614,3.27685
1.1,1.63842,1.96613,1.31074,1.96613,1.9661,1.96613
1.12,2.621445,1.638445,1.96608,1.96613,3.27681,1.31076
1.14,2.94912,1.63845,2.62144,1.96613,3.2768,1.31077
1.16,2.6214250000000003,1.31077,2.62142,1.31077,2.62143,1.31077
1.18,2.621415,1.310765,2.62141,1.31077,2.62142,1.31076
1.2,2.621405,1.638445,2.6214,1.96613,2.62141,1.31076
1.22,2.2937250000000002,2.2938,1.96603,2.62148,2.62142,1.96612
1.24,2.94908,2.2937950000000003,2.62139,1.96612,3.27677,2.62147
1.26,2.62139,1.966115,2.62138,1.96612,2.6214,1.96611
1.28,2.62139,1.96611,2.62138,1.96611,2.6214,1.96611
