t_s,x,y,x_left,y_left,x_right,y_right
0.06,0.327679999999995,-0.98305,0.0,-1.31073,0.65535999999999,-0.65537
0.08,0.327679999999995,-0.98305,0.65535999999999,-1.31073,0.0,-0.65537
0.1,0.327685,-1.31073,0.65537,-1.31073,0.0,-1.31073
0.12,0.327684999999993,-1.638415,0.65535999999999,-1.96609,9.9999999960687e-06,-1.31074
0.14,4.99999999803435e-06,-1.966095,9.9999999960687e-06,-1.96609,0.0,-1.9661
0.16,0.0,-1.966095,0.0,-1.96609,0.0,-1.9661
0.18,-0.983035000000005,-1.96609,-0.65535000000001,-1.96609,-1.31072,-1.96609
0.2,-0.983035000000005,-2.29377,-0.65535000000001,-2.62145,-1.31072,-1.96609
0.22,-1.638395,-2.29377,-1.31071,-2.62145,-1.96608,-1.96609
0.24,-2.2937600000000002,-2.2937600000000002,-1.96608,-2.62144,-2.62144,-1.96608
0.26,-2.94912,-1.96607,-2.62144,-1.96607,-3.2768,-1.96607
0.28,-3.93216,-1.63839,-3.93216,-1.96607,-3.93216,-1.31071
0.3,-4.58753,-1.96606,-4.58753,-1.96606,-4.58753,-1.96606
0.32,-4.587535,-2.29374,-4.58753,-2.62142,-4.58754,-1.96606
0.34,-5.242895,-2.29374,-5.24289,-2.62142,-5.2429,-1.96606
0.36,-5.24289,-2.29373,-5.24289,-2.62141,-5.24289,-1.96605
0.38,-5.570565,-1.63837,-5.89824,-1.96605,-5.24289,-1.31069
0.4,-5.89825,-1.63836,-5.89825,-1.96604,-5.89825,-1.31068
0.42,-5.89824,-0.9830000000000001,-5.89824,-1.31068,-5.89824,-0.65532
0.44,-5.89824,-1.31068,-5.89824,-1.31068,-5.89824,-1.31068
0.46,-5.570565,-0.9830000000000001,-5.89824,-1.31068,-5.24289,-0.65532
0.48,-5.89824,-1.638355,-5.89824,-1.96603,-5.89824,-1.31068
0.5,-5.898245,-1.31067,-5.89824,-1.31067,-5.89825,-1.31067
0.52,-4.91522,-1.310675,-5.24289,-1.31067,-4.58755,-1.31068
0.54,-4.58755,-0.9829950000000001,-4.58755,-1.31067,-4.58755,-0.65532
0.56,-4.587565,-0.98299,-4.58756,-1.31067,-4.58757,-0.65531
0.58,-4.58757,-0.98299,-4.58757,-1.31067,-4.58757,-0.65531
0.6,-4.587895,-0.65531,-4.58757,-0.65531,-4.58822,-0.65531
0.62,-4.58757,-0.65531,-4.58757,-0.65531,-4.58757,-0.65531
0.64,-4.587575,5.0000000000050004e-05,-4.58757,-0.65531,-4.58758,0.65541
0.66,-5.24294,0.3277349999999989,-5.24294,5.9999999997729e-05,-5.24294,0.65541
0.68,-5.24294,1.63846,-5.24294,1.31078,-5.24294,1.96614
0.7,-5.242945000000001,1.63846,-5.24294,1.31078,-5.24295,1.96614
0.72,-5.242945000000001,1.96614,-5.24294,1.96614,-5.24295,1.96614
0.74,-5.242945000000001,1.96615,-5.24294,1.96615,-5.24295,1.96615
0.76,-5.242945000000001,1.96615,-5.24295,1.96615,-5.24294,1.96615
0.78,-5.8983,2.29383,-5.8983,1.96615,-5.8983,2.62151
0.8,-5.242945000000001,2.6215149999999996,-5.24294,2.62152,-5.24295,2.62151
0.82,-5.24295,2.9492,-5.24295,2.62152,-5.24295,3.27688
0.84,-5.24295,3.2768800000000002,-5.24295,2.62152,-5.24295,3.93224
0.86,-5.57063,3.60456,-5.24295,3.27688,-5.89831,3.93224
0.88,-5.89831,4.25993,-5.89831,3.93225,-5.89831,4.58761
0.9,-5.898305000000001,3.93225,-5.8983,3.93225,-5.89831,3.93225
0.92,-5.898305000000001,3.93225,-5.8983,3.93225,-5.89831,3.93225
0.94,-5.8983,4.25993,-5.8983,3.93225,-5.8983,4.58761
0.96,-6.22598,3.93225,-5.8983,3.93225,-6.55366,3.93225
0.98,-6.55366,3.60457,-6.55366,3.27689,-6.55366,3.93225
1.0,-6.88134,3.60457,-6.55366,3.27689,-7.20902,3.93225
1.02,-7.20902,3.27688,-7.20902,3.27688,-7.20902,3.27688
1.04,-7.209015,3.60457,-7.20901,3.27689,-7.20902,3.93225
1.06,-7.209015,3.60457,-7.20901,3.27689,-7.20902,3.93225
1.08,-7.20901,3.604565,-7.20901,3.27689,-7.20901,3.93224
1.1,-7.86437,3.276885,-7.86437,3.27689,-7.86437,3.27688
1.12,-4.91521,3.9322549999999996,-5.2429,3.93225,-4.58752,3.93226
1.14,-5.242885,4.25995,-5.24288,3.93227,-5.24289,4.58763
1.16,-5.242885,4.259945,-5.24288,3.93227,-5.24289,4.58762
1.18,-5.24288,3.60458,-5.24288,3.2769,-5.24288,3.93226
1.2,-5.24288,3.2769,-5.24288,3.2769,-5.24288,3.2769
1.22,-4.58752,2.9492149999999997,-4.58752,2.62154,-4.58752,3.27689
1.24,-4.259845,2.94921,-4.58752,2.62153,-3.93217,3.27689
1.26,-3.932175,3.27689,-3.93217,3.2769,-3.93218,3.27688
1.28,-3.93218,2.621525,-3.93218,2.62153,-3.93218,2.62152
1.3,-3.932175,2.62152,-3.93217,2.62152,-3.93218,2.62152
1.32,-3.93218,2.29384,-3.93218,1.96616,-3.93218,2.62152
1.34,-4.25985,2.293845,-4.58753,1.96617,-3.93217,2.62152
1.36,-4.587535,2.293845,-4.58753,1.96616,-4.58754,2.62153
1.38,-4.587524999999999,2.293845,-4.58752,1.96617,-4.58753,2.62152
1.4,-4.58752,2.62153,-4.58752,2.62153,-4.58752,2.62153
