t_s,x,y,x_left,y_left,x_right,y_right
0.04,-0.327675,1.31073,0.0,1.31073,-0.65535,1.31073
0.06,1.0000000003174e-05,1.9661,1.0000000003174e-05,1.9661,1.0000000003174e-05,1.9661
0.08,-0.32766499999999843,3.2768249999999997,-0.65534,3.27682,1.0000000003174e-05,3.27683
0.1,-0.3276650000000004,3.27683,-0.65535,3.27683,1.9999999999243e-05,3.27683
0.12,1.9999999999243e-05,3.604515,1.9999999999243e-05,3.93219,1.9999999999243e-05,3.27684
0.14,1.9999999999243e-05,3.9322,1.9999999999243e-05,3.9322,1.9999999999243e-05,3.9322
0.16,0.65538,3.60452,0.65538,3.9322,0.65538,3.27684
0.18,1.63842,3.9322,1.31074,3.9322,1.9661,3.9322
0.2,1.9661,4.259885,1.9661,4.58756,1.9661,3.93221
0.22,1.966105,4.587565,1.9661,4.58756,1.96611,4.58757
0.24,1.96611,5.24293,1.96611,5.24293,1.96611,5.24293
0.26,1.96611,5.898295,1.96611,5.89829,1.96611,5.8983
0.28,1.63843,6.225975,1.31075,6.55365,1.96611,5.8983
0.3,1.63843,6.5536650000000005,1.96611,6.55366,1.31075,6.55367
0.32,1.63843,7.2090250000000005,1.31075,7.20902,1.96611,7.20903
0.34,1.31075,7.2090250000000005,1.31075,7.20902,1.31075,7.20903
0.36,1.310745,7.864395,1.31074,7.86439,1.31075,7.8644
0.38,0.3276999999999996,8.192074999999999,0.65538,8.51975,1.9999999999243e-05,7.8644
0.4,-0.3276650000000004,8.519755,1.9999999999243e-05,8.51975,-0.65535,8.51976
0.42,-0.9830350000000001,7.864395,-0.65535,7.86439,-1.31072,7.8644
0.44,-1.966085,7.536715,-1.96608,7.86439,-1.96609,7.20904
0.46,-2.293775,7.86439,-2.62145,7.86439,-1.9661,7.86439
0.48,-2.293775,7.86439,-2.62146,7.86439,-1.96609,7.86439
0.5,-1.96609,8.192070000000001,-1.96609,8.51975,-1.96609,7.86439
0.52,-1.6384050000000001,7.864385,-1.96609,7.86439,-1.31072,7.86438
0.54,-0.9830350000000001,8.19206,-1.31072,8.51974,-0.65535,7.86438
0.56,-0.65535,8.19206,-0.65535,8.51974,-0.65535,7.86438
0.58,1.5000000001208501e-05,8.19205,1.0000000003174e-05,8.51973,1.9999999999243e-05,7.86437
0.6,1.5000000001208501e-05,8.19205,1.0000000003174e-05,7.86437,1.9999999999243e-05,8.51973
0.62,0.65538,8.51973,0.65538,8.51973,0.65538,8.51973
0.64,1.9999999999243e-05,9.17509,1.9999999999243e-05,9.17509,1.9999999999243e-05,9.17509
0.66,0.3276999999999996,9.17509,1.9999999999243e-05,9.17509,0.65538,9.17509
0.68,0.3276999999999996,9.17509,1.9999999999243e-05,9.17509,0.65538,9.17509
0.7,10.485935000000001,8.847385,7.86444,9.17508,13.10743,8.51969
0.72,12.779725,9.175055,13.10741,9.17505,12.45204,9.17506
0.74,12.77973,10.158104999999999,12.45205,10.48579,13.10741,9.83042
0.76,-18.34987,9.50274,13.10741,9.83042,-49.80715,9.17506
0.78,12.779725,9.50273,12.45205,9.83041,13.1074,9.17505
0.8,12.452045,8.847370000000002,12.45204,9.17505,12.45205,8.51969
0.82,12.45205,8.847359999999998,12.45205,9.17504,12.45205,8.51968
0.84,12.45205,8.192,12.45205,8.51968,12.45205,7.86432
0.86,19.00576,6.553575,15.07352,7.20895,22.938,5.8982
0.88,23.92105,5.2428349999999995,24.24874,5.24283,23.59336,5.24284
0.9,23.59337,5.8982,23.59337,5.8982,23.59337,5.8982
0.92,24.24874,5.2428349999999995,24.24874,5.24283,24.24874,5.24284
0.94,24.24874,5.24283,24.24874,5.24283,24.24874,5.24283
0.96,24.90411,4.91515,24.90411,5.24283,24.90411,4.58747
0.98,24.904114999999997,4.25979,24.90411,4.58747,24.90412,3.93211
1.0,25.2318,4.58747,24.90412,4.58747,25.55948,4.58747
1.02,24.90412,4.58747,24.90412,4.58747,24.90412,4.58747
1.04,24.90413,4.91515,24.90413,5.24283,24.90413,4.58747
1.06,24.57645,4.91515,24.90413,5.24283,24.24877,4.58747
1.08,24.24877,5.570515,24.24877,5.89819,24.24877,5.24284
1.1,25.559505,5.24283,24.24877,5.24283,26.87024,5.24283
1.12,43.254545,7.536569999999999,40.63304,7.86426,45.87605,7.20888
1.14,44.892975,8.191925,45.22066,7.86424,44.56529,8.51961
1.16,44.89298,9.17497,44.5653,9.17497,45.22066,9.17497
1.18,45.548335,8.51961,45.22066,9.17497,45.87601,7.86425
1.2,46.531365,8.191925,46.53137,7.86424,46.53136,8.51961
1.22,47.186724999999996,8.847280000000001,47.18672,9.17496,47.18673,8.5196
1.24,47.514415,9.17497,47.18673,9.17497,47.8421,9.17497
1.26,48.169785000000005,9.17497,47.8421,9.17497,48.49747,9.17497
1.28,49.152834999999996,9.17496,49.15283,9.17496,49.15284,9.17496
1.3,49.80821,9.83032,49.80821,9.83032,49.80821,9.83032
1.32,50.791264999999996,9.174955,50.46358,9.83032,51.11895,8.51959
1.34,59.312385,8.847255,57.01983,9.8303,61.60494,7.86421
1.36,61.604905,8.51957,61.60491,8.51956,61.6049,8.51958
1.38,61.93258,8.847259999999999,61.6049,9.17494,62.26026,8.51958
1.4,61.932575,8.847265,62.26026,9.17494,61.60489,8.51959
1.42,5.899274999999999,8.51959,61.60488,8.51959,-49.80633,8.51959
1.44,60.62182,8.847275,60.29414,8.51959,60.9495,9.17496
1.46,60.294125,9.502645000000001,60.29413,9.17497,60.29412,9.83032
1.48,60.29411,10.813369999999999,60.29411,10.48569,60.29411,11.14105
1.5,60.294115000000005,11.796415,60.29411,11.79641,60.29412,11.79642
1.52,60.29412,12.451775,60.29412,12.45177,60.29412,12.45178
1.54,60.294115000000005,12.45177,60.29411,12.45177,60.29412,12.45177
1.56,60.6218,12.124089999999999,60.94948,12.45177,60.29412,11.79641
1.58,65.20939,12.77945,60.94948,11.79641,69.4693,13.76249
1.6,84.215215,15.073185,82.5768,15.72855,85.85363,14.41782
1.62,85.198235,14.745515000000001,85.19824,15.07319,85.19823,14.41784
1.64,85.52590000000001,14.090160000000001,85.19822,14.41784,85.85358,13.76248
1.66,86.50893500000001,12.779440000000001,86.50894,13.10712,86.50893,12.45176
1.68,86.50893,12.779440000000001,86.50893,13.10711,86.50893,12.45177
1.7,86.50893,12.451765,86.50893,12.45176,86.50893,12.45177
1.72,86.50894,13.10712,86.50894,13.10711,86.50894,13.10713
1.74,86.508945,14.090160000000001,86.50894,14.41784,86.50895,13.76248
1.76,87.491995,14.745519999999999,87.16431,15.0732,87.81968,14.41784
1.78,87.81968,14.090160000000001,87.81968,14.41784,87.81968,13.76248
1.8,88.475035,14.090150000000001,88.47503,14.41783,88.47504,13.76247
1.82,88.47503,14.090150000000001,88.47503,14.41783,88.47503,13.76247
1.84,99.288655,16.711595,93.71797,16.38392,104.85934,17.03927
1.86,108.463885,17.69461,108.79158,17.69461,108.13619,17.69461
