t_s,x,y,x_left,y_left,x_right,y_right
0.08,-0.6553350000000023,0.6553599999999951,-1.3107,0.65535999999999,2.9999999995312e-05,0.65536
0.1,-1.63837,0.655364999999995,-1.96605,0.65535999999999,-1.31069,0.65537
0.12,-1.63837,0.65537,-1.96605,0.65537,-1.31069,0.65537
0.14,-1.637085,0.98305,-1.96604,1.31073,-1.30813,0.65537
0.16,-1.966035,0.65537,-1.96603,0.65537,-1.96604,0.65537
0.18,-2.2937149999999997,0.65537,-2.62139,0.65537,-1.96604,0.65537
0.2,-2.29371,0.98305,-2.62139,1.31073,-1.96603,0.65537
0.22,-2.29371,0.65537,-2.62139,0.65537,-1.96603,0.65537
0.24,-2.6213800000000003,0.983055,-3.27674,1.31073,-1.96602,0.65538
0.26,-2.293705,0.983055,-2.62138,1.31073,-1.96603,0.65538
0.28,-2.9490600000000002,0.655375,-3.27674,0.65537,-2.62138,0.65538
0.3,-2.2937,0.983055,-2.62138,1.31073,-1.96602,0.65538
0.32,-2.6213800000000003,0.655375,-3.27674,0.65537,-1.96602,0.65538
0.34,-2.29371,0.65537,-2.62138,0.65537,-1.96604,0.65537
0.36,-1.966035,9.9999999960687e-06,-2.62139,9.9999999960687e-06,-1.31068,9.9999999960687e-06
0.38,-1.6383649999999998,9.9999999960687e-06,-1.96604,9.9999999960687e-06,-1.31069,9.9999999960687e-06
0.4,-0.983005000000005,9.9999999960687e-06,-1.31068,9.9999999960687e-06,-0.65533000000001,9.9999999960687e-06
0.42,-1.310685,0.32768999999999804,-1.96605,0.65537,-0.65532,9.9999999960687e-06
0.44,-0.9830000000000001,0.65537,-1.31068,0.65537,-0.65532,0.65537
0.46,-0.983005000000005,0.32768999999999804,-1.31068,0.65537,-0.65533000000001,9.9999999960687e-06
0.48,-0.983005000000005,9.9999999960687e-06,-1.31068,9.9999999960687e-06,-0.65533000000001,9.9999999960687e-06
0.5,-1.31069,4.99999999803435e-06,-1.31069,0.0,-1.31069,9.9999999960687e-06
0.52,-1.310690000000005,0.0,-1.96605,0.0,-0.65533000000001,0.0
0.54,-1.63837,0.327684999999993,-1.31068,0.65535999999999,-1.96606,9.9999999960687e-06
0.56,-5.570575,0.655365,-6.55362,0.65537,-4.58753,0.65536
0.58,-4.5875200000000005,0.6553599999999951,-5.24288,0.65535999999999,-3.93216,0.65536
0.6,-4.587525,0.9830400000000001,-5.24288,1.31072,-3.93217,0.65536
0.62,-4.587525,-5.000000000032756e-06,-5.24288,0.65535,-3.93217,-0.65536
0.64,-4.915205,-0.3276900000000016,-5.24288,-1.0000000003174e-05,-4.58753,-0.65537
0.66,-4.25984,-0.3276850000000016,-4.58752,-1.0000000003174e-05,-3.93216,-0.65536
0.68,-4.25984,-0.3276900000000016,-4.58752,-1.0000000003174e-05,-3.93216,-0.65537
0.7,-4.259835,-1.0000000003174e-05,-4.58751,-1.0000000003174e-05,-3.93216,-1.0000000003174e-05
0.72,-4.25983,-1.0000000003174e-05,-4.58751,-1.0000000003174e-05,-3.93215,-1.0000000003174e-05
