t_s,x,y,x_left,y_left,x_right,y_right
0.04,0.983030000000005,2.94914,0.65535000000001,2.62146,1.31071,3.27682
0.06,2.293755,3.604495,1.96607,3.27682,2.62144,3.93217
0.08,3.932155,6.22596,3.27679,5.89828,4.58752,6.55364
0.1,5.57057,7.864364999999999,5.24288,7.86437,5.89826,7.86436
0.12,5.898275,7.209004999999999,5.89827,7.86437,5.89828,6.55364
0.14,6.225985,7.5367,5.89829,7.20902,6.55368,7.86438
0.16,6.553694999999999,8.519755,6.55369,8.51976,6.5537,8.51975
0.18,6.2260349999999995,9.830485,6.55371,9.83049,5.89836,9.83048
0.2,5.570675,9.5028,5.89835,9.17512,5.243,9.83048
0.22,2.9493400000000003,10.158169999999998,3.27701,9.83049,2.62167,10.48585
0.24,1.638605,11.79659,1.96629,11.79659,1.31092,11.79659
0.26,0.6555450000000049,11.14124,0.65555000000001,11.14124,0.65554,11.14124
0.28,0.32784500000000555,10.813569999999999,0.65553000000001,10.48589,0.000160000000001,11.14125
0.3,0.0001500000000049,11.79662,0.0001500000000049,11.14126,0.0001500000000049,12.45198
0.32,0.00014500000000335002,13.107345,0.0001500000000049,12.45199,0.0001400000000018,13.7627
0.34,0.0001500000000049,14.41807,0.0001500000000049,13.76271,0.0001500000000049,15.07343
0.36,0.0001500000000049,16.05648,0.0001500000000049,15.7288,0.0001500000000049,16.38416
0.38,-0.3275199999999945,17.69488,0.000160000000001,17.69489,-0.65519999999999,17.69487
0.4,-0.3275199999999945,17.03952,0.000160000000001,17.03953,-0.65519999999999,17.03951
0.42,-1.310555,17.039515,-1.31056,17.03952,-1.31055,17.03951
0.44,-1.31055,16.38416,-1.31055,16.38416,-1.31055,16.38416
0.46,-1.310545,17.039515,-1.31055,17.03952,-1.31054,17.03951
0.48,-2.621265,15.401105000000001,-2.62127,15.72879,-2.62126,15.07342
0.5,-2.6212999999999997,13.107330000000001,-2.62129,13.10734,-2.62131,13.10732
0.52,-2.6213,12.779644999999999,-2.6213,13.10733,-2.6213,12.45196
0.54,-2.94897,12.451955,-2.62129,12.45196,-3.27665,12.45195
0.56,-3.60432,12.124275,-3.27665,12.45196,-3.93199,11.79659
0.58,-4.259665,11.796585,-3.93199,11.79659,-4.58734,11.79658
0.6,-4.9150100000000005,11.796585,-4.58734,11.79659,-5.24268,11.79658
0.62,-6.225705,12.124265000000001,-5.89803,12.45195,-6.55338,11.79658
0.64,-6.553375,12.451955,-6.55338,12.45196,-6.55337,12.45195
0.66,-7.864085,12.77964,-7.86409,12.45196,-7.86408,13.10732
0.68,-8.519435,12.45196,-8.51944,12.45196,-8.51943,12.45196
