t_s,x,y,x_left,y_left,x_right,y_right
0.06,-1.3107250000000001,-0.65538,-1.31073,-0.65538,-1.31072,-0.65538
0.08,-1.3107250000000001,-1.310755,-1.31073,-1.31076,-1.31072,-1.31075
0.1,-0.983055,-1.9661149999999998,-1.31074,-1.31076,-0.65537,-2.62147
0.12,-0.3276999999999996,-2.2938,-1.9999999999243e-05,-1.96613,-0.65538,-2.62147
0.14,-2.49999999972775e-05,-2.293805,-2.9999999995312e-05,-1.96613,-1.9999999999243e-05,-2.62148
0.16,0.6553249999999999,-2.6214950000000004,0.65532,-2.6215,0.65533,-2.62149
0.18,0.9830049999999999,-1.96614,0.65532,-1.96614,1.31069,-1.96614
0.2,1.63836,-1.31079,1.31068,-1.31079,1.96604,-1.31079
0.22,2.29372,-0.3277649999999985,1.96604,-0.65545,2.6214,-7.9999999996971e-05
0.24,2.6213949999999997,-9.0000000000146e-05,2.62139,-9.0000000000146e-05,2.6214,-9.0000000000146e-05
0.26,2.6213949999999997,-9.499999999818e-05,2.62139,-9.0000000000146e-05,2.6214,-9.9999999996214e-05
0.28,2.949065,-0.0001099999999993,2.62138,-0.0001099999999993,3.27675,-0.0001099999999993
0.3,3.9320950000000003,0.65524,3.93209,0.65524,3.9321,0.65524
0.32,4.587455,1.965955,4.58745,1.31059,4.58746,2.62132
0.34,6.22584,2.62131,5.89816,2.62131,6.55352,2.62131
0.36,7.536555,2.9489850000000004,7.20887,2.6213,7.86424,3.27667
0.38,8.847275,3.2766650000000004,8.51959,3.27666,9.17496,3.27667
0.4,9.174955,2.948975,9.17495,3.27665,9.17496,2.6213
0.42,9.17496,1.965935,9.17496,2.62129,9.17496,1.31058
0.44,8.847285,0.9829000000000001,9.17496,1.31058,8.51961,0.65522
0.46,7.86425,-0.3278250000000024,7.86424,-0.0001500000000049,7.86426,-0.6555
0.48,6.881215,-0.655505,7.20889,-0.65551,6.55354,-0.6555
0.5,6.225855,-0.6554949999999999,6.55353,-0.6555,5.89818,-0.65549
0.52,5.242815,-0.3278099999999993,5.24281,-0.65549,5.24282,-0.0001299999999986
0.54,5.242825,0.65524,5.24282,0.65523,5.24283,0.65525
0.56,4.58746,0.3275650000000004,4.58745,0.65524,4.58747,-0.0001099999999993
0.58,4.587465,0.3275750000000019,4.58746,0.65525,4.58747,-9.9999999996214e-05
0.6,4.259785,-0.32778499999999966,3.9321,-0.0001099999999993,4.58747,-0.65546
0.62,3.932115,-0.655465,3.93211,-0.65547,3.93212,-0.65546
0.64,3.932115,-1.31083,3.93211,-1.31083,3.93212,-1.31083
0.66,3.932115,-0.983155,3.93211,-1.31084,3.93212,-0.65547
0.68,2.9490749999999997,-0.655465,3.27675,-0.65547,2.6214,-0.65546
0.7,2.6213949999999997,-0.6554649999999997,2.62139,-0.0001099999999993,2.6214,-1.31082
0.72,2.6213949999999997,-1.310825,2.62139,-1.31083,2.6214,-1.31082
0.74,2.2937250000000002,-1.310815,2.6214,-1.31082,1.96605,-1.31081
0.76,1.966045,-1.310815,1.96604,-1.31082,1.96605,-1.31081
0.78,-22.937635,-1.31081,-47.18596,-1.31082,1.31069,-1.3108
0.8,1.3106849999999999,-1.310805,1.31068,-1.31081,1.31069,-1.3108
0.86,-0.32771499999999926,1.31065,-3.9999999998486e-05,1.31065,-0.65539,1.31065
0.88,-0.655395,1.966015,-0.6554,1.96601,-0.65539,1.96602
0.9,-0.32770999999999995,1.63833,-1.31076,1.96601,0.65534,1.31065
0.92,4.91533,2.62137,3.93225,2.62137,5.89841,2.62137
0.94,5.243024999999999,3.60442,5.24303,3.27673,5.24302,3.93211
0.96,4.587655,4.259805,4.58765,3.93212,4.58766,4.58749
0.98,4.58766,5.24286,4.58765,5.24285,4.58767,5.24287
1.0,3.60462,5.570555000000001,3.9323,5.24287,3.27694,5.89824
1.02,2.949265,5.89825,3.27694,5.89824,2.62159,5.89826
1.04,1.9662250000000001,5.898265,1.96622,5.89826,1.96623,5.89827
1.06,1.31086,6.5536449999999995,1.31086,6.55363,1.31086,6.55366
1.08,1.31086,6.55367,1.31085,6.55366,1.31087,6.55368
1.1,1.31086,7.209035,1.31086,7.20903,1.31086,7.20904
1.12,0.0,9.830515,1.31076,9.83051,-1.31076,9.83052
1.14,-0.98308,10.485885,-1.31076,10.48587,-0.6554,10.4859
1.16,-0.6554,10.485905,-0.65541,10.4859,-0.65539,10.48591
1.18,-0.655395,9.502859999999998,-0.6554,9.83054,-0.65539,9.17518
1.2,-0.655395,9.17518,-0.6554,9.17518,-0.65539,9.17518
1.22,-0.983075,9.175175,-0.6554,9.17517,-1.31075,9.17518
1.24,-1.31075,9.502855,-1.31076,9.17517,-1.31074,9.83054
1.26,-1.638425,10.158215,-1.31075,9.83053,-1.9661,10.4859
1.28,-2.621455,9.83053,-2.62146,9.83053,-2.62145,9.83053
1.3,-2.9491300000000003,8.847475,-2.62146,9.17515,-3.2768,8.5198
