t_s,x,y,x_left,y_left,x_right,y_right
0.06,0.655365,1.31074,0.65536,1.31074,0.65537,1.31074
0.08,0.655365,1.966105,0.65536,1.96611,0.65537,1.9661
0.1,1.0000000003174e-05,2.621475,1.0000000003174e-05,2.62148,1.0000000003174e-05,2.62147
0.12,0.32769500000000157,3.276835,1.0000000003174e-05,3.27684,0.65538,3.27683
0.14,2.94918,4.915255,2.6215,4.58757,3.27686,5.24294
0.16,3.27686,6.55368,3.27686,6.55368,3.27686,6.55368
0.18,3.27686,7.536725000000001,3.27686,7.86441,3.27686,7.20904
0.2,3.93222,7.864405,3.93222,8.51977,3.93222,7.20904
0.22,3.932225,8.51977,3.93222,8.51977,3.93223,8.51977
0.24,3.93223,8.84772,3.93223,9.17514,3.93223,8.5203
0.26,5.24295,9.17513,5.24295,9.17513,5.24295,9.17513
0.28,6.225995,9.830494999999999,5.89831,9.8305,6.55368,9.83049
0.3,7.209035,9.830494999999999,7.20903,9.8305,7.20904,9.83049
0.32,8.192070000000001,10.158169999999998,7.86439,10.48585,8.51975,9.83049
0.34,8.84743,10.485855,8.51975,11.14122,9.17511,9.83049
0.36,17.039515,8.192074999999999,11.79658,9.17513,22.28245,7.20902
0.38,29.163795,6.225975,28.83611,5.89829,29.49148,6.55366
0.4,29.491475,7.536715,29.49147,7.8644,29.49148,7.20903
0.42,30.146845,7.536715,30.14684,7.8644,30.14685,7.20903
0.44,30.14685,6.88135,30.14685,7.20903,30.14685,6.55367
0.46,29.491495,6.225985,29.49149,6.55367,29.4915,5.8983
0.48,29.163825,5.570625,29.4915,6.55367,28.83615,4.58758
0.5,28.836154999999998,4.587575,28.83615,5.24294,28.83616,3.93221
0.52,28.83616,3.2768550000000003,28.83616,3.93222,28.83616,2.62149
0.54,28.83616,1.9661300000000002,28.83616,2.6215,28.83616,1.31076
0.56,28.50847,1.3107550000000001,28.83615,1.96612,28.18079,0.65539
0.58,28.50846,0.655395,28.83614,0.6554,28.18078,0.65539
0.6,27.85309,-0.32765500000000236,28.18077,2.9999999995312e-05,27.52541,-0.65534
0.62,27.5254,-0.3276650000000004,27.5254,1.9999999999243e-05,27.5254,-0.65535
0.64,27.197725,-0.983025,26.87004,-0.65534,27.52541,-1.31071
0.66,26.87005,-1.310705,26.87005,-0.65534,26.87005,-1.96607
0.68,27.52541,-2.29376,27.52541,-1.96607,27.52541,-2.62145
0.7,27.525415000000002,-2.293765,27.52541,-1.96608,27.52542,-2.62145
0.72,27.19774,-2.949125,27.52542,-2.62144,26.87006,-3.27681
0.74,26.54238,-1.966095,26.87006,-1.96609,26.2147,-1.9661
0.76,26.214705000000002,-1.966095,26.2147,-1.96609,26.21471,-1.9661
0.78,26.21472,-1.966105,26.21471,-1.31074,26.21473,-2.62147
0.8,25.559375000000003,-3.27684,25.55937,-2.62147,25.55938,-3.93221
0.82,17.039655,-4.5875699999999995,19.66111,-4.58756,14.4182,-4.58758
0.84,15.401254999999999,-3.27683,15.07357,-3.27683,15.72894,-3.27683
0.86,15.72894,-2.62147,15.72894,-2.62146,15.72894,-2.62148
0.88,15.40127,-1.96611,15.72895,-1.96611,15.07359,-1.96611
0.9,15.0736,-0.655395,15.0736,-0.65539,15.0736,-0.6554
0.92,15.073605,-0.3277150000000012,15.0736,-3.0000000002417e-05,15.07361,-0.6554
0.94,14.418255,-1.3107550000000001,14.41825,-0.65539,14.41826,-1.96612
0.96,13.107535,-1.96612,14.41826,-1.31075,11.79681,-2.62149
0.98,-2.948945,-1.638455,-1.96587,-1.96613,-3.93202,-1.31078
1.0,-2.621285,0.9830099999999999,-3.27665,0.65533,-1.96592,1.31069
1.02,-1.96592,1.96607,-1.96592,1.96607,-1.96592,1.96607
1.04,-1.31056,1.9660700000000002,-1.31056,2.62143,-1.31056,1.31071
1.06,-1.31056,1.6384050000000001,-1.31056,1.96609,-1.31056,1.31072
1.08,-0.98289,0.6553700000000016,-0.65521,1.31073,-1.31057,1.0000000003174e-05
1.14,0.655475,2.29379,0.65548,1.96611,0.65547,2.62147
1.16,2.2938549999999998,4.587555,1.96618,4.58756,2.62153,4.58755
1.18,4.91527,6.881325,4.5876,6.55365,5.24294,7.209
1.2,7.864385,9.175095,6.55365,9.1751,9.17512,9.17509
1.22,12.12426,10.48582,11.79659,10.48582,12.45193,10.48582
1.24,12.451895,9.83046,12.4519,10.48583,12.45189,9.17509
1.26,11.79652,8.19204,11.79652,9.17509,11.79652,7.20899
1.28,10.813479999999998,5.57058,11.14116,6.55363,10.4858,4.58753
1.3,9.175075,2.29376,9.83043,3.27681,8.51972,1.31071
1.32,7.2090250000000005,-1.63843,7.86438,-0.65538,6.55367,-2.62148
1.34,6.226025,-5.242945,6.5537,-3.93221,5.89835,-6.55368
1.36,6.226055000000001,-7.53673,6.55373,-6.55368,5.89838,-8.51978
1.38,6.553765,-8.847455,6.55376,-8.51977,6.55377,-9.17514
1.4,6.553775,-8.847470000000001,6.55377,-8.51978,6.55378,-9.17516
