t_s,x,y,x_left,y_left,x_right,y_right
0.02,-0.9830300000000001,-1.638395,-1.31071,-1.31072,-0.65535,-1.96607
0.04,-0.983034999999995,-1.96608,-1.31071,-1.96608,-0.65535999999999,-1.96608
0.06,-0.32767,-1.310719999999995,-1.31071,-1.96608,0.65537,-0.65535999999999
0.1,1.6384050000000001,1.6384,0.65537,1.31072,2.62144,1.96608
0.12,2.293775,3.276795,1.31074,2.62144,3.27681,3.93215
0.14,3.276805,3.93215,2.62145,3.93215,3.93216,3.93215
0.16,5.5706,7.8643149999999995,3.93218,6.55359,7.20902,9.17504
0.18,7.20904,10.48575,6.55369,9.83039,7.86439,11.14111
0.2,8.847439999999999,13.434875,7.8644,12.45184,9.83048,14.41791
0.22,10.813514999999999,17.03934,9.83048,15.72862,11.79655,18.35006
0.24,12.779595,20.643815,11.79656,19.66078,13.76263,21.62685
0.26,13.762635,23.59294,12.45192,22.93758,15.07335,24.2483
0.28,14.74568,25.55901,13.76264,24.90365,15.72872,26.21437
0.3,16.384079999999997,27.85277,15.72872,27.52509,17.03944,28.18045
0.32,16.71304,29.16349,15.73128,28.83581,17.6948,29.49117
0.34,17.694815,30.80189,17.03946,30.14653,18.35017,31.45725
0.36,18.677855,33.09565,17.69482,32.76797,19.66089,33.42333
0.38,19.005535000000002,34.73405,18.35018,34.73405,19.66089,34.73405
0.4,19.660895,35.389405,19.00554,34.73404,20.31625,36.04477
0.42,20.31626,36.70013,19.6609,36.04477,20.97162,37.35549
0.44,19.988565,37.355495000000005,19.00552,36.70013,20.97161,38.01086
0.46,20.31626,39.97694,19.6609,39.32158,20.97162,40.6323
0.48,21.29931,41.943020000000004,20.31627,41.28766,22.28235,42.59838
0.5,22.282355,43.909105,21.627,43.25374,22.93771,44.56447
0.52,22.93772,45.219825,22.28236,45.21983,23.59308,45.21982
0.54,22.93772,45.21983,22.28236,45.21983,23.59308,45.21983
0.56,23.593085,45.219825,22.93773,45.21983,24.24844,45.21982
0.58,22.93772,45.5475,22.28236,45.21982,23.59308,45.87518
0.6,23.593085,45.21982,22.93773,45.21982,24.24844,45.21982
0.62,23.59308,45.547495,22.93772,45.87518,24.24844,45.21981
0.64,23.59308,45.219805,22.93772,45.21981,24.24844,45.2198
0.66,23.265405,44.89212,22.28237,44.56444,24.24844,45.2198
0.68,23.593085,44.564435,22.93773,44.56444,24.24844,44.56443
0.7,25.559215000000002,45.87514,23.59309,45.87514,27.52534,45.87514
0.72,29.163815,45.875105000000005,28.83615,45.8751,29.49148,45.87511
0.74,28.83612,45.87512,28.18076,45.87512,29.49148,45.87512
0.76,28.508435,45.8751,28.18076,45.8751,28.83611,45.8751
0.78,28.836109999999998,45.87509,28.18075,45.87509,29.49147,45.87509
0.8,28.836115,45.87508,28.18076,45.87508,29.49147,45.87508
0.82,29.16379,45.87507,28.18075,45.87507,30.14683,45.87507
0.84,26.87,45.87507,26.87002,45.87507,26.86998,45.87507
0.86,26.54231,45.875065,25.55927,45.87506,27.52535,45.87507
0.88,26.214635,45.875065,25.55928,45.87507,26.86999,45.87506
0.9,25.559275,45.875055,24.90392,45.87506,26.21463,45.87505
0.92,25.559275,45.87505,24.90392,45.87505,26.21463,45.87505
0.94,25.559285,45.87504,24.90393,45.87504,26.21464,45.87504
0.96,25.559285,45.87503,24.90393,45.87503,26.21464,45.87503
0.98,25.559285,45.875015000000005,24.90393,45.87502,26.21464,45.87501
1.0,25.886965,45.875005,25.55929,45.875,26.21464,45.87501
1.02,25.886965,45.875,24.90393,45.875,26.87,45.875
1.04,26.21465,45.874984999999995,25.55929,45.87499,26.87001,45.87498
1.06,24.24854,45.87498,24.24857,45.87498,24.24851,45.87498
1.08,23.92084,45.874984999999995,22.93779,45.87499,24.90389,45.87498
1.1,24.248530000000002,45.874975,23.59317,45.87498,24.90389,45.87497
1.12,23.920859999999998,45.87497,23.59318,45.87497,24.24854,45.87497
1.14,24.248535,45.87496,23.59318,45.87496,24.90389,45.87496
1.16,24.248535,45.874955,23.59318,45.87495,24.90389,45.87496
1.18,23.920855,45.874945,23.59318,45.87494,24.24853,45.87495
1.2,23.593179999999997,45.87494,22.93782,45.87494,24.24854,45.87494
1.22,23.593175,45.87494,22.93782,45.87494,24.24853,45.87494
1.24,23.593175,45.874935,22.93782,45.87493,24.24853,45.87494
1.26,23.59317,45.547245000000004,22.93781,45.87492,24.24853,45.21957
1.28,23.59317,45.21956,22.93781,45.21956,24.24853,45.21956
1.3,22.93781,45.21956,22.28245,45.21956,23.59317,45.21956
1.32,23.593175,45.21955,22.93782,45.21955,24.24853,45.21955
1.34,23.265495,45.21956,22.93782,45.21956,23.59317,45.21956
1.36,22.937820000000002,45.21956,22.28246,45.21956,23.59318,45.21956
1.38,22.937820000000002,44.56419,22.28246,44.56419,23.59318,44.56419
1.4,22.937825,44.56419,22.28247,44.56419,23.59318,44.56419
1.42,22.610149999999997,44.56419,21.62711,44.56419,23.59319,44.56419
