t_s,x,y,x_left,y_left,x_right,y_right
0.24,0.98302,0.9830599999999949,0.65534,1.31074,1.3107,0.65537999999999
0.26,0.98302,1.310745,0.65534,1.31075,1.3107,1.31074
0.28,0.98302,1.966105,0.65534,1.96611,1.3107,1.9661
0.3,0.98302,1.96611,0.65534,1.96611,1.3107,1.96611
0.32,0.98302,2.29379,0.65534,2.62147,1.3107,1.96611
0.34,1.3107,2.949155,1.3107,3.27684,1.3107,2.62147
0.36,0.98302,2.94916,0.65534,3.27684,1.3107,2.62148
0.38,0.983015,3.27684,0.65533,3.27684,1.3107,3.27684
0.4,0.9830099999999999,3.60452,0.65533,3.9322,1.31069,3.27684
0.42,0.98302,3.6045249999999998,0.65534,3.93221,1.3107,3.27684
0.44,0.98302,3.9322049999999997,0.65534,3.93221,1.3107,3.9322
0.46,1.310695,4.58757,1.31069,4.58757,1.3107,4.58757
0.48,1.3106900000000001,4.587575,0.65533,4.58758,1.96605,4.58757
0.5,1.638375,5.242935,1.31069,5.24294,1.96606,5.24293
0.52,1.3106900000000001,5.242945000000001,0.65533,5.24295,1.96605,5.24294
0.54,1.638375,5.57062,1.31069,5.24294,1.96606,5.8983
0.56,1.63838,6.22598,1.3107,6.55366,1.96606,5.8983
0.58,1.638375,6.55366,1.3107,6.55366,1.96605,6.55366
0.6,0.983015,7.5367049999999995,0.65534,7.86439,1.31069,7.20902
0.62,1.31069,7.5367049999999995,1.31069,7.86439,1.31069,7.20902
0.64,1.31069,8.192070000000001,1.31069,7.86439,1.31069,8.51975
0.66,0.9830099999999999,8.51975,0.65533,8.51975,1.31069,8.51975
0.68,0.983005,8.519755,0.65533,8.51976,1.31068,8.51975
0.7,0.9830000000000001,8.51975,0.65532,8.51975,1.31068,8.51975
0.72,0.9830000000000001,8.847435,0.65532,9.17512,1.31068,8.51975
0.74,0.9830099999999999,9.17512,0.65533,9.17512,1.31069,9.17512
0.76,0.983005,9.83049,0.65533,9.83049,1.31068,9.83049
0.78,1.31068,9.830485,0.65532,9.83049,1.96604,9.83048
0.8,1.63836,9.830485,1.31068,9.83049,1.96604,9.83048
0.82,2.29371,9.830485,1.96603,9.83049,2.62139,9.83048
0.84,2.2937149999999997,9.830485,1.96603,9.83049,2.6214,9.83048
0.86,2.9490749999999997,10.15817,2.62139,10.48586,3.27676,9.83048
0.88,2.9490749999999997,10.158169999999998,2.62139,10.48585,3.27676,9.83049
0.9,13.762715,7.864420000000001,9.17511,8.51978,18.35032,7.20906
0.92,17.694960000000002,8.51977,18.35034,7.86441,17.03958,9.17513
0.94,15.728845,10.48588,15.72884,10.48588,15.72885,10.48588
0.96,16.056525,10.813569999999999,15.72885,10.48589,16.3842,11.14125
0.98,16.05652,10.813569999999999,15.72884,11.14125,16.3842,10.48589
