t_s,x,y,x_left,y_left,x_right,y_right
0.06,-9.99999999962135e-06,1.3107199999999999,-9.9999999960687e-06,1.31073,-1.0000000003174e-05,1.31071
0.08,0.655350000000005,1.6384050000000001,0.65535000000001,1.31073,0.65535,1.96608
0.1,-9.99999999962135e-06,2.293765,-9.9999999960687e-06,1.96609,-1.0000000003174e-05,2.62144
0.12,-0.32768499999999806,2.293765,-9.9999999960687e-06,1.96609,-0.65536,2.62144
0.14,-0.32768499999999806,2.621455,-9.9999999960687e-06,1.9661,-0.65536,3.27681
0.16,-0.327685,2.949135,-0.65537,2.62146,0.0,3.27681
0.18,-0.327685,3.6045,-0.65537,3.27682,0.0,3.93218
0.2,-4.99999999803435e-06,4.259855,-9.9999999960687e-06,3.93218,0.0,4.58753
0.22,-0.655365,4.25986,-0.65537,3.93218,-0.65536,4.58754
0.24,-0.32768000000000197,4.259865,-0.65537,3.93219,9.9999999960687e-06,4.58754
0.26,-0.655354999999995,5.242905,-0.65535999999999,4.58755,-0.65535,5.89826
0.28,-0.9830300000000001,5.898275,-0.65535,5.24292,-1.31071,6.55363
0.3,-1.638385,6.881315,-1.96607,6.55364,-1.3107,7.20899
0.32,-1.310705,7.864364999999999,-1.31071,7.20901,-1.3107,8.51972
0.34,-1.966065,8.84741,-1.96607,8.51973,-1.96606,9.17509
0.36,-1.9660549999999999,9.502780000000001,-1.96606,9.17511,-1.96605,9.83045
0.38,-2.621415,9.830465,-2.62142,9.17511,-2.62141,10.48582
0.4,-2.621405,10.158145000000001,-2.62141,9.83047,-2.6214,10.48582
0.42,-2.949085,10.813505,-3.27677,10.48583,-2.6214,11.14118
0.44,-2.9490749999999997,10.813505,-2.6214,10.48583,-3.27675,11.14118
0.46,-3.2767549999999996,11.468869999999999,-3.27676,11.1412,-3.27675,11.79654
0.48,-4.915165,11.468869999999999,-3.93212,11.79656,-5.89821,11.14118
0.5,-5.570525,11.141185,-5.89821,10.48583,-5.24284,11.79654
0.52,-5.898205,12.779595,-5.89821,12.45192,-5.8982,13.10727
0.54,-5.57052,13.43496,-5.8982,13.10729,-5.24284,13.76263
0.56,-5.24285,13.43496,-5.24285,13.10729,-5.24285,13.76263
0.58,-4.5874950000000005,13.762635,-4.5875,13.10728,-4.58749,14.41799
0.6,-4.5874950000000005,14.417995,-4.5875,13.76264,-4.58749,15.07335
0.62,-4.91518,14.745674999999999,-5.24286,14.418,-4.5875,15.07335
0.64,-4.587505,14.74568,-4.58751,14.41801,-4.5875,15.07335
0.66,-4.587505,14.417995,-4.58751,14.418,-4.5875,14.41799
0.68,-1.31068,14.41799,-5.24287,13.76264,2.62151,15.07334
0.7,15.401225,13.434940000000001,13.76278,13.76263,17.03967,13.10725
0.72,15.401250000000001,14.41798,15.72893,13.76262,15.07357,15.07334
0.74,15.07356,14.745664999999999,15.07356,14.41799,15.07356,15.07334
0.76,15.07355,14.417985,15.07355,14.41799,15.07355,14.41798
0.78,14.41818,14.090305,14.41818,13.76263,14.41818,14.41798
0.8,13.762815,13.762625,13.76281,13.76263,13.76282,13.76262
0.82,13.107445,13.434944999999999,13.10744,13.10727,13.10745,13.76262
0.84,12.45208,13.434944999999999,12.45208,13.10727,12.45208,13.76262
0.86,8.84756,14.74568,9.83061,15.07337,7.86451,14.41799
0.88,7.86451,13.762635,7.86451,13.10728,7.86451,14.41799
0.9,7.20915,14.418,7.20915,14.41801,7.20915,14.41799
0.92,7.864504999999999,13.434954999999999,7.8645,13.10728,7.86451,13.76263
0.94,7.536825,13.434954999999999,7.8645,13.10728,7.20915,13.76263
0.96,7.536825,13.107275,7.8645,13.10728,7.20915,13.10727
0.98,7.2091449999999995,13.434954999999999,7.20914,13.10728,7.20915,13.76263
1.0,6.553795,12.779595,6.55379,12.45192,6.5538,13.10727
