t_s,x,y,x_left,y_left,x_right,y_right
0.08,0.32767499999999694,-0.6553750000000016,0.65535999999999,-1.31074,-9.9999999960687e-06,-1.0000000003174e-05
0.14,0.327679999999995,-0.9830700000000001,0.65535999999999,-1.31075,0.0,-0.65539
0.16,0.655355000000002,-0.6553849999999997,1.31072,-1.31075,-9.9999999960687e-06,-1.9999999999243e-05
0.18,0.655355,-0.9830749999999999,0.65535,-1.31076,0.65536,-0.65539
0.2,1.310715,-1.966125,1.31072,-1.96613,1.31071,-1.96612
0.22,1.31072,-1.966115,1.31072,-2.62148,1.31072,-1.31075
0.24,1.6384,-1.96612,1.96608,-1.96612,1.31072,-1.96612
0.26,1.6384050000000001,-1.638435,1.96608,-1.96612,1.31073,-1.31075
0.28,0.98305,-1.3107550000000001,1.31073,-1.96612,0.65537,-0.65539
0.3,0.98306,-0.6553849999999997,1.31074,-1.31075,0.65538,-1.9999999999243e-05
0.32,0.98306,-0.6553750000000016,1.31074,-1.31074,0.65538,-1.0000000003174e-05
0.52,3.93235,1.31075,5.24308,0.65538,2.62162,1.96612
0.54,0.9832150000000001,3.9322350000000004,1.31089,3.27687,0.65554,4.5876
0.56,1.3109,3.9322350000000004,1.3109,3.93223,1.3109,3.93224
0.58,1.63858,3.60455,1.96626,3.27687,1.3109,3.93223
0.6,1.3109,3.60455,1.3109,3.27687,1.3109,3.93223
0.62,1.63859,3.276865,1.96627,2.6215,1.31091,3.93223
0.64,1.63858,3.27687,1.96626,2.6215,1.3109,3.93224
0.66,1.638585,3.60455,1.96627,3.27687,1.3109,3.93223
0.68,0.6555350000000021,4.259925,1.3109,3.27687,0.0001700000000042,5.24298
0.7,-1.6382349999999999,7.209075,-1.31056,6.55371,-1.96591,7.86444
0.72,-1.965905,7.536770000000001,-1.31054,7.20908,-2.62127,7.86446
0.74,-1.63823,7.20908,-1.31055,7.20908,-1.96591,7.20908
0.76,-1.6382349999999999,6.553715,-1.31055,6.55371,-1.96592,6.55372
0.78,-0.98288,6.22603,-0.6552,5.89834,-1.31056,6.55372
0.8,-1.638245,6.553715,-1.31056,6.55371,-1.96593,6.55372
0.82,12.77988,4.259905,7.20925,3.93223,18.35051,4.58758
0.84,16.71213,5.89833,18.35054,5.24296,15.07372,6.5537
0.86,15.729085,6.5537,15.72909,5.89834,15.72908,7.20906
0.88,16.384435,6.22601,16.38444,5.89833,16.38443,6.55369
0.9,16.71211,6.226005,17.03979,5.89832,16.38443,6.55369
0.92,16.71211,6.226005,17.03979,5.89832,16.38443,6.55369
0.94,16.71211,6.55368,17.03979,5.89832,16.38443,7.20904
0.96,17.03978,6.225995,17.69514,5.89831,16.38442,6.55368
0.98,17.367465000000003,6.225995,17.69515,5.89831,17.03978,6.55368
1.0,16.7121,6.225995,17.03978,5.89831,16.38442,6.55368
1.02,16.7121,6.226005,17.03978,5.89832,16.38442,6.55369
1.04,16.71211,6.553685,17.03979,5.89832,16.38443,7.20905
1.06,16.71211,6.88137,17.03979,6.55368,16.38443,7.20906
1.08,17.039785000000002,6.88137,17.03979,6.55369,17.03978,7.20905
1.1,40.96061,8.192115,30.80244,7.20906,51.11878,9.17517
1.12,56.36174,9.50286,58.32782,8.5198,54.39566,10.48592
1.14,54.39566,10.81361,54.39566,10.48592,54.39566,11.1413
1.16,54.39566,10.15824,54.39566,9.83056,54.39566,10.48592
1.18,54.067975000000004,10.15823,54.39566,9.83055,53.74029,10.48591
1.2,54.395645,10.15823,54.39565,9.83055,54.39564,10.48591
1.22,54.39565,9.502859999999998,54.39565,9.17518,54.39565,9.83054
1.24,54.723330000000004,9.502855,55.05101,9.17517,54.39565,9.83054
1.26,54.723330000000004,9.502849999999999,55.05101,9.17517,54.39565,9.83053
1.28,54.723325,8.847484999999999,55.05101,8.5198,54.39564,9.17517
1.3,54.39564,8.847494999999999,55.051,8.51981,53.74028,9.17518
1.32,53.740275,9.502865,54.39564,9.17518,53.08491,9.83055
1.34,52.757234999999994,9.502870000000001,53.08492,9.17519,52.42955,9.83055
1.36,69.4691,10.158245,60.9493,9.17519,77.9889,11.1413
1.38,85.85337,12.124369999999999,87.16409,11.79668,84.54265,12.45206
1.4,83.559605,12.452065000000001,83.23192,11.7967,83.88729,13.10743
1.42,84.214955,12.77974,84.54264,12.45206,83.88727,13.10742
1.44,84.21494,12.124369999999999,84.54262,11.79669,83.88726,12.45205
1.46,83.55956499999999,12.45205,83.88725,12.45205,83.23188,12.45205
1.48,83.88723999999999,12.12436,84.5426,11.79668,83.23188,12.45204
1.5,83.887235,12.12435,83.88724,11.79667,83.88723,12.45203
1.52,84.54258,11.1413,85.19794,11.1413,83.88722,11.1413
1.54,84.87026,10.81361,85.19794,10.48593,84.54258,11.14129
1.56,85.19794,10.158245,85.19794,9.83056,85.19794,10.48593
1.58,85.19794,10.158245,85.19794,9.83056,85.19794,10.48593
1.6,84.87026,11.141295,85.19794,10.48593,84.54258,11.79666
1.62,84.87026,11.79666,85.19794,11.14129,84.54258,12.45203
1.64,84.54258,12.124345,85.19794,11.79666,83.88722,12.45203
1.66,93.717735,11.468975,88.47478,11.14129,98.96069,11.79666
1.68,106.16977,11.796669999999999,106.82513,11.1413,105.51441,12.45204
1.7,104.20368,12.12436,104.20368,11.79668,104.20368,12.45204
1.72,104.85904,12.124355000000001,105.5144,11.79667,104.20368,12.45204
1.74,105.186705,11.1413,105.51439,11.1413,104.85902,11.1413
1.76,105.1867,10.813604999999999,105.51438,10.48592,104.85902,11.14129
1.78,104.859015,10.48592,104.85902,9.83056,104.85901,11.14128
1.8,105.18669,10.813595,105.51437,10.48591,104.85901,11.14128
1.82,105.186695,10.813600000000001,105.51438,10.48592,104.85901,11.14128
1.84,105.51437,11.14127,105.51437,11.14127,105.51437,11.14127
1.86,105.842055,11.141265,106.16974,10.4859,105.51437,11.79663
1.88,105.84205,11.468945000000001,106.16973,11.14126,105.51437,11.79663
1.9,106.16973,10.813580000000002,106.82509,10.4859,105.51437,11.14126
