t_s,x,y,x_left,y_left,x_right,y_right
0.04,-4.58758,-0.32768,-1.31073,0.0,-7.86443,-0.65536
0.06,-12.45203,0.0,-12.45204,0.0,-12.45202,0.0
0.08,-12.12434,5.000000001587e-06,-12.45202,1.0000000003174e-05,-11.79666,0.0
0.1,-11.796665,-0.32768,-11.79667,0.0,-11.79666,-0.65536
0.12,-10.81364,-0.655365,-11.14132,-0.65536,-10.48596,-0.65537
0.14,-10.158285,-0.98305,-10.48597,-0.65537,-9.8306,-1.31073
0.16,-9.830615,-0.98305,-9.83062,-0.65537,-9.83061,-1.31073
0.18,-9.502935,-0.98306,-9.83062,-0.65538,-9.17525,-1.31074
0.2,-9.175255,-1.31074,-9.17526,-1.31074,-9.17525,-1.31074
0.22,-8.847574999999999,-0.9830650000000001,-9.17526,-0.65538,-8.51989,-1.31075
0.24,-8.519895,-0.9830650000000001,-8.5199,-0.65538,-8.51989,-1.31075
0.26,-8.519895,-0.65538,-8.5199,-0.65538,-8.51989,-0.65538
0.28,-8.19221,-0.9830650000000001,-8.51989,-0.65538,-7.86453,-1.31075
0.3,-7.86453,-0.65539,-7.86453,-0.65539,-7.86453,-0.65539
0.32,-8.519885,-0.65539,-8.51989,-0.65539,-8.51988,-0.65539
0.34,-8.192205000000001,-0.655385,-7.86453,-0.65538,-8.51988,-0.65539
0.36,-8.519885,-0.3277050000000012,-8.51989,-0.65538,-8.51988,-3.0000000002417e-05
0.38,-8.192205,-0.65539,-8.51989,-0.65539,-7.86452,-0.65539
0.4,-8.192205,-0.655385,-8.51989,-0.65538,-7.86452,-0.65539
0.42,-8.19221,-0.65539,-8.51989,-0.65539,-7.86453,-0.65539
0.44,-8.19221,-0.65539,-7.86453,-0.65539,-8.51989,-0.65539
0.46,-8.192215000000001,-1.310755,-7.86454,-1.31075,-8.51989,-1.31076
0.48,-8.51989,-1.310755,-8.51989,-1.31075,-8.51989,-1.31076
0.5,-9.830605,-0.65539,-9.83061,-0.65539,-9.8306,-0.65539
0.52,-10.813635000000001,0.3276499999999988,-10.48596,-3.0000000002417e-05,-11.14131,0.65533
0.54,-11.796675,0.6553249999999999,-11.79668,0.65533,-11.79667,0.65532
0.56,-0.983025,-0.9831049999999999,-5.89832,-0.65542,3.93227,-1.31079
