t_s,x,y,x_left,y_left,x_right,y_right
0.02,-0.9830350000000001,9.99999999962135e-06,-1.31072,1.0000000003174e-05,-0.65535,9.9999999960687e-06
0.04,-1.310705,0.3276999999999996,-1.96607,1.9999999999243e-05,-0.65534,0.65538
0.06,-0.983025,0.65538,-1.31071,0.65538,-0.65534,0.65538
0.08,-1.3107,0.9830700000000001,-1.3107,0.65539,-1.3107,1.31075
0.1,-1.638385,0.9830650000000001,-1.31071,0.65539,-1.96606,1.31074
0.12,-1.63839,0.9830650000000001,-1.96607,0.65539,-1.31071,1.31074
0.14,-2.293755,1.638435,-2.62143,1.31075,-1.96608,1.96612
0.16,-2.62144,1.310755,-3.2768,1.31076,-1.96608,1.31075
0.18,-2.2937600000000002,1.31077,-2.62144,0.65543,-1.96608,1.96611
0.2,-2.94912,0.65539,-3.2768,0.65539,-2.62144,0.65539
0.22,-2.94912,1.31075,-3.2768,1.31075,-2.62144,1.31075
0.24,-2.94912,1.63843,-3.2768,1.31075,-2.62144,1.96611
0.26,-3.60448,1.6384349999999999,-3.93216,1.31076,-3.2768,1.96611
0.28,-3.60448,1.638425,-3.93216,1.31075,-3.2768,1.9661
0.3,-3.932155,1.63843,-3.93216,1.31075,-3.93215,1.96611
0.32,-4.259835,1.310745,-4.58752,1.31075,-3.93215,1.31074
0.34,-5.242865,0.9830650000000001,-5.24287,0.65539,-5.24286,1.31074
0.36,-5.89822,0.65538,-5.89822,0.65538,-5.89822,0.65538
0.38,-6.22589,1.4999999997655852e-05,-6.55357,1.9999999999243e-05,-5.89821,9.9999999960687e-06
0.4,-7.208915,-0.32767000000000196,-7.20892,-0.65535,-7.20891,9.9999999960687e-06
0.42,-7.5365850000000005,-0.9830300000000001,-7.86427,-1.31071,-7.2089,-0.65535
0.44,-8.51962,-0.65535,-8.51962,-0.65535,-8.51962,-0.65535
0.46,-8.847290000000001,-0.9830300000000001,-9.17497,-1.31071,-8.51961,-0.65535
0.48,-9.502635000000001,-0.6553450000000001,-9.83032,-0.65534,-9.17495,-0.65535
0.5,-10.48567,-0.327665000000002,-10.48567,-0.65534,-10.48567,9.9999999960687e-06
0.52,-11.141024999999999,0.3276999999999996,-11.14103,1.9999999999243e-05,-11.14102,0.65538
0.54,-11.79638,0.9830650000000001,-11.79638,0.65539,-11.79638,1.31074
0.56,-12.779405,1.63843,-12.45173,1.31075,-13.10708,1.96611
0.58,-14.417805,1.96612,-14.41781,1.96612,-14.4178,1.96612
0.6,-15.07316,2.62149,-15.07316,1.96613,-15.07316,3.27685
0.62,-16.05619,2.62149,-15.72851,2.62149,-16.38387,2.62149
0.64,-16.711545,2.9491750000000003,-17.03923,2.6215,-16.38386,3.27685
0.66,-17.3669,3.93222,-17.69458,3.93222,-17.03922,3.93222
0.68,-17.3669,4.2599,-17.69458,3.93222,-17.03922,4.58758
0.7,-17.694575,4.91527,-17.69458,4.58759,-17.69457,5.24295
0.72,-18.349925,5.57063,-18.34993,5.24295,-18.34992,5.89831
0.74,-18.677599999999998,5.89832,-19.00528,5.89832,-18.34992,5.89832
