t_s,x,y,x_left,y_left,x_right,y_right
0.26,-0.983005,1.966085,-0.65533,1.31072,-1.31068,2.62145
0.28,-1.3106849999999999,2.293765,-0.65533,1.96608,-1.96604,2.62145
0.3,-0.983005,2.621445,-0.65533,1.96608,-1.31068,3.27681
0.32,-1.63836,2.62145,-1.31068,1.96609,-1.96604,3.27681
0.34,-1.638355,2.29377,-1.31068,1.96609,-1.96603,2.62145
0.36,-1.638355,2.62145,-1.31068,1.96609,-1.96603,3.27681
0.38,-1.31068,1.96609,-0.65532,1.96609,-1.96604,1.96609
0.4,-1.3106900000000001,1.31072,-0.65533,1.31072,-1.96605,1.31072
0.46,3.932225,-1.4999999997655852e-05,1.31074,-9.9999999960687e-06,6.55371,-1.9999999999243e-05
0.48,5.89836,-2.9999999995034e-05,7.2091,-0.65539,4.58762,0.65533000000001
0.5,5.570675,0.32765500000000536,5.89835,-1.9999999999243e-05,5.243,0.65533000000001
0.52,4.915315,-2.49999999972775e-05,5.24299,-2.9999999995312e-05,4.58764,-1.9999999999243e-05
0.54,4.91532,-2.9999999995034e-05,5.243,-0.65539,4.58764,0.65533000000001
0.56,5.243,-2.9999999995034e-05,5.89836,-0.65539,4.58764,0.65533000000001
0.58,4.91532,-0.32770999999999767,5.243,-0.65539,4.58764,-2.9999999995312e-05
0.6,4.91532,-0.6553899999999977,5.243,-1.31075,4.58764,-2.9999999995312e-05
0.62,9.17522,-0.65539,5.243,-0.65539,13.10744,-0.65539
0.64,22.28264,-0.6553999999999992,22.28262,-1.31076,22.28266,-3.9999999998486e-05
0.66,21.95497,-3.4999999995011244e-05,22.28265,-0.6554,21.62729,0.65533000000001
0.68,21.627285,-0.6554,22.28265,-0.6554,20.97192,-0.6554
0.7,21.627290000000002,-0.32771499999999765,22.28265,-0.6554,20.97193,-2.9999999995312e-05
0.72,21.29961,-0.32771499999999765,21.62729,-0.6554,20.97193,-2.9999999995312e-05
0.74,21.29961,-0.32771999999999923,21.62728,-0.6554,20.97194,-3.9999999998486e-05
0.76,21.299615,-0.32771499999999765,21.62729,-0.6554,20.97194,-2.9999999995312e-05
0.78,20.97194,-0.32771499999999765,21.6273,-0.6554,20.31658,-2.9999999995312e-05
