t_s,x,y,x_left,y_left,x_right,y_right
0.08,6.22603,0.65537,6.55371,0.65537,5.89835,0.65537
0.1,5.898345,1.31073,5.89834,1.31073,5.89835,1.31073
0.12,5.57066,1.638415,5.89834,1.31073,5.24298,1.9661
0.14,5.242985,1.96609,5.89834,1.96609,4.58763,1.96609
0.16,4.58762,1.96609,5.24298,1.96609,3.93226,1.96609
0.18,3.27689,1.638415,3.93225,1.31073,2.62153,1.9661
0.2,2.29384,1.310735,2.62152,1.31073,1.96616,1.31074
0.22,0.983105,1.31073,1.31078,1.31073,0.65543,1.31073
0.24,-0.98301,1.31073,0.65541,1.31073,-2.62143,1.31073
0.26,-2.949115,1.638415,-2.62144,1.31073,-3.27679,1.9661
0.28,-2.29374,1.9661,-1.96606,1.9661,-2.62142,1.9661
0.3,-1.9660549999999999,2.29378,-1.3107,1.9661,-2.62141,2.62146
0.32,-1.63837,2.62146,-1.31069,2.62146,-1.96605,2.62146
0.34,-1.6383649999999998,2.62146,-1.31069,2.62146,-1.96604,2.62146
0.36,-2.2937250000000002,2.62146,-1.96605,2.62146,-2.6214,2.62146
0.38,-2.621405,2.62146,-1.96605,2.62146,-3.27676,2.62146
0.4,-2.2937250000000002,2.62146,-2.62141,2.62146,-1.96604,2.62146
0.42,22.61029,2.62145,12.45205,2.62145,32.76853,2.62145
0.44,38.01158,1.966075,39.97767,1.31071,36.04549,2.62144
0.46,35.06241,2.621445,35.39008,2.62144,34.73474,2.62145
0.48,35.062405,2.62145,35.39009,2.62145,34.73472,2.62145
0.5,34.40703,2.62145,34.73471,2.62145,34.07935,2.62145
0.52,34.407025,2.62145,34.7347,2.62145,34.07935,2.62145
0.54,34.7347,2.621455,34.7347,2.62145,34.7347,2.62146
0.56,34.07933,2.621455,35.39006,2.62145,32.7686,2.62146
0.58,26.2149,2.9491449999999997,27.52564,2.62146,24.90416,3.27683
0.6,25.559525,3.276835,25.55952,3.27683,25.55953,3.27684
0.62,25.8872,3.60452,26.21488,3.27684,25.55952,3.9322
0.64,26.214885000000002,3.27684,26.21488,3.27684,26.21489,3.27684
0.66,27.19793,3.276845,27.52561,3.27684,26.87025,3.27685
0.68,27.19793,3.27685,28.18097,3.27685,26.21489,3.27685
0.7,17.36741,3.60454,19.00582,3.93222,15.729,3.27686
0.72,16.712055,3.604545,17.03973,3.27686,16.38438,3.93223
0.74,17.367415,3.93224,17.69509,3.93224,17.03974,3.93224
0.76,18.022775,3.27688,18.35045,3.27688,17.6951,3.27688
0.78,19.00583,2.9491899999999998,19.00583,3.27687,19.00583,2.62151
0.8,19.661205000000002,3.27687,19.6612,3.27687,19.66121,3.27687
0.82,19.333534999999998,3.27687,19.66121,3.27687,19.00586,3.27687
0.84,19.00586,3.27687,19.66122,3.27687,18.3505,3.27687
0.86,17.69513,3.27688,18.35049,3.27688,17.03977,3.27688
0.88,16.71208,3.276885,17.03976,3.27688,16.3844,3.27689
0.9,16.71206,3.27689,17.03974,3.27689,16.38438,3.27689
0.92,16.056685,2.9492149999999997,16.38437,2.62153,15.729,3.2769
0.94,16.05668,2.9492149999999997,16.38436,2.62153,15.729,3.2769
0.96,16.384365000000003,3.2769,16.38436,3.2769,16.38437,3.2769
0.98,16.712049999999998,3.93226,17.03972,3.93226,16.38438,3.93226
1.0,16.712065000000003,4.25994,16.38438,3.93226,17.03975,4.58762
1.02,32.44094,4.587625,27.52565,4.58762,37.35623,4.58763
1.04,41.288455,4.58763,41.94382,4.58763,40.63309,4.58763
1.06,40.63308,4.58763,41.28844,4.58763,39.97772,4.58763
1.08,40.633070000000004,4.58763,41.28843,4.58763,39.97771,4.58763
1.1,40.63306,4.587625,40.63306,4.58762,40.63306,4.58763
1.12,40.30538,4.259945,40.63306,3.93226,39.9777,4.58763
1.14,40.633065,4.25994,40.63306,4.58762,40.63307,3.93226
1.16,40.960745,4.25994,41.28842,3.93226,40.63307,4.58762
1.18,40.960745,3.93226,41.28842,3.93226,40.63307,3.93226
1.2,40.96075,3.9322549999999996,41.28843,3.93225,40.63307,3.93226
1.22,40.63307,4.58762,40.63307,4.58762,40.63307,4.58762
1.24,40.960750000000004,4.25994,41.28842,3.93226,40.63308,4.58762
1.26,40.633065,3.93226,41.28842,3.93226,39.97771,3.93226
1.28,40.633065,3.9322549999999996,41.28842,3.93225,39.97771,3.93226
1.3,45.548335,4.5879650000000005,41.94379,3.93225,49.15288,5.24368
1.32,58.00042,4.58764,57.67272,4.58764,58.32812,4.58764
