t_s,x,y,x_left,y_left,x_right,y_right
0.04,-0.65536,1.310735,-0.65536,1.31074,-0.65536,1.31073
0.06,-0.9830400000000001,2.29378,-1.31072,2.62146,-0.65536,1.9661
0.08,-1.310715,2.62146,-1.31071,2.62146,-1.31072,2.62146
0.1,-1.638395,2.62146,-1.96607,2.62146,-1.31072,2.62146
0.12,-1.966065,3.6045,-1.96606,3.93218,-1.96607,3.27682
0.14,-2.621415,3.9321849999999996,-2.62141,3.93219,-2.62142,3.93218
0.16,-2.9491,4.91523,-3.27678,4.58755,-2.62142,5.24291
0.18,-2.94909,6.22595,-3.27677,5.89827,-2.62141,6.55363
0.2,-2.94909,7.53668,-3.27677,7.209,-2.62141,7.86436
0.22,-3.27676,9.17509,-3.27676,9.17509,-3.27676,9.17509
0.24,-2.9490749999999997,11.14117,-3.27675,10.48581,-2.6214,11.79653
0.26,-2.94907,14.41798,-3.27674,13.76262,-2.6214,15.07334
0.28,-1.96603,17.367089999999997,-2.62139,17.03941,-1.31067,17.69477
0.3,-0.982985,19.98853,-1.31066,19.66085,-0.65531,20.31621
0.32,5.0000000000050004e-05,21.9546,-0.65531,21.62693,0.65541,22.28227
0.34,1.966125,22.28227,1.31077,22.28228,2.62148,22.28226
0.36,3.60452,22.282255,3.27684,22.28226,3.9322,22.28225
0.38,4.915235,22.93761,4.58756,22.93761,5.24291,22.93761
0.4,4.915235,23.920650000000002,4.58756,24.24833,5.24291,23.59297
0.42,5.242915,23.265295000000002,5.24292,23.59298,5.24291,22.93761
0.44,4.915235,22.609935,4.58756,22.93762,5.24291,22.28225
0.46,4.25987,21.954575,3.93219,22.28226,4.58755,21.62689
0.48,3.9322,21.62691,3.9322,21.62691,3.9322,21.62691
0.5,3.6045249999999998,21.29923,3.27685,21.62691,3.9322,20.97155
0.52,3.276845,20.64387,3.27685,20.97155,3.27684,20.31619
0.54,3.60453,20.316195,3.27685,20.3162,3.93221,20.31619
0.56,2.6214950000000004,20.64388,2.6215,20.97156,2.62149,20.3162
0.58,5.24301,20.971555,1.96613,20.3162,8.51989,21.62691
0.6,20.644579999999998,21.29925,19.00609,21.62693,22.28307,20.97157
0.62,20.644645,22.60999,20.97233,22.28231,20.31696,22.93767
0.64,19.9893,24.248415,19.66162,24.24841,20.31698,24.24842
0.66,19.661630000000002,25.231479999999998,19.00627,25.55916,20.31699,24.9038
0.68,19.00627,26.21453,19.00627,26.21453,19.00627,26.21453
0.7,18.35092,26.86991,18.35092,26.86991,18.35092,26.86991
0.72,17.69557,27.52528,17.69557,27.52528,17.69557,27.52528
0.74,17.040215,28.50833,17.04022,28.83601,17.04021,28.18065
0.76,16.71254,28.83602,16.38486,28.83602,17.04022,28.83602
0.78,16.38485,29.1637,16.38486,29.49138,16.38484,28.83602
