t_s,x,y,x_left,y_left,x_right,y_right
0.0,0.0,0.0,0.21904853109874994,0.8784307178531156,0.22258128376374287,0.878430359179317
0.02,4.99999999803435e-06,4.99999999803435e-06,0.21904853109874994,0.8784307178531156,0.22258133298471755,0.8784303890981863
0.04,-0.655355000000005,0.32768499999999806,0.21587398420651294,0.8784307477720142,0.21935558718604764,0.8803911221978472
0.06,-0.327675000000002,0.32768999999999804,0.21587398420651294,0.8803915127264523,0.22258133298471755,0.8784303890981863
0.08,-0.655350000000005,0.65537,0.21587403264625435,0.8803915127264523,0.21935558718604764,0.8803911521167166
0.1,-0.655350000000005,0.65537,0.21587403264625435,0.8803915127264523,0.21935558718604764,0.8803911521167166
0.12,-0.9830300000000001,0.65537,0.21587403264625435,0.8803915127264523,0.21612984138737784,0.8803911521167166
0.14,-0.983030000000005,0.65537,0.21269948575401737,0.8803915127264523,0.21935558718604764,0.8803911521167166
0.16,-1.310705,0.65537,0.21269948575401737,0.8803915127264523,0.21612989060835255,0.8803911521167166
0.18,-1.310705,1.31074,0.21269948575401737,0.8823523075997892,0.21612989060835255,0.8823519450541162
0.2,-1.96606,1.31074,0.2095249873015218,0.8823523075997892,0.21290414480968267,0.8823519450541162
0.22,-1.96606,1.31074,0.2095249873015218,0.8823523075997892,0.21290414480968267,0.8823519450541162
0.24,-1.63839,1.63842,0.2095249388617804,0.8843130725542272,0.21612984138737784,0.8823519450541162
0.26,-1.31072,2.29378,0.21269943731427596,0.8843130725542272,0.2161297921664031,0.8862734710911768
0.28,-1.31072,2.62147,0.21269943731427596,0.886273867427564,0.2161297921664031,0.886273501010046
0.3,-1.96609,2.62147,0.2095248419822976,0.886273867427564,0.21290399714675853,0.886273501010046
0.32,-1.966085,21.626915,0.2095248419822976,0.886273867427564,0.21290404636773327,0.9999977860036717
0.34,-1.966085,3.27684,0.2095248419822976,0.8882346623009009,0.21290404636773327,0.8882342939474456
0.36,-1.966085,3.9322,0.2095248419822976,0.890195427255339,0.21290404636773327,0.890195056965976
0.38,-2.293755,3.9322,0.209524890422039,0.890195427255339,0.20967834979003808,0.890195056965976
0.4,-2.293755,4.25988,0.20635034352980203,0.890195427255339,0.21290409558870796,0.8921558199845062
0.42,-3.2768,4.91525,0.20635034352980203,0.8921562221286758,0.20322680897172363,0.8941166129219058
