t_s,x,y,x_left,y_left,x_right,y_right
0.02,0.0,0.6553550000000056,0.0,1.31072,0.0,-9.9999999889633e-06
0.28,0.65534,0.6553300000000023,0.65534,1.31069,0.65534,-2.9999999995312e-05
0.3,0.3276549999999988,0.6553350000000023,-3.0000000002417e-05,1.3107,0.65534,-2.9999999995312e-05
0.34,-2.5000000000830002e-05,0.6553300000000023,-3.0000000002417e-05,1.31069,-1.9999999999243e-05,-2.9999999995312e-05
0.36,-3.0000000002417e-05,0.9830100000000049,-3.0000000002417e-05,1.31069,-3.0000000002417e-05,0.65533000000001
0.38,-0.3277100000000012,0.9830100000000049,-3.0000000002417e-05,1.31069,-0.65539,0.65533000000001
0.4,-0.3277150000000012,0.983005000000005,-0.6554,1.31069,-3.0000000002417e-05,0.65532000000001
0.42,-0.65539,0.6553300000000023,-0.65539,1.31069,-0.65539,-2.9999999995312e-05
0.48,-0.32771999999999923,-1.638435,-3.9999999998486e-05,-1.31075,-0.6554,-1.96612
0.58,-2.9491899999999998,1.63837,-3.27687,1.96606,-2.62151,1.31068
0.6,-2.62151,2.2937250000000002,-2.62151,2.62141,-2.62151,1.96604
0.62,-2.62151,1.966045,-2.62151,2.62141,-2.62151,1.31068
0.64,-1.96616,1.966045,-1.96616,1.96605,-1.96616,1.96604
0.66,-1.96616,2.2937250000000002,-1.96616,2.62141,-1.96616,1.96604
0.68,-1.96616,2.2937250000000002,-1.96616,2.62141,-1.96616,1.96604
0.7,-1.966155,1.63836,-1.96616,1.96604,-1.96615,1.31068
0.72,-1.96616,1.966045,-1.96616,2.62141,-1.96616,1.31068
0.74,-1.96616,1.96604,-1.96616,1.96604,-1.96616,1.96604
0.76,-1.96616,2.29372,-1.96616,2.6214,-1.96616,1.96604
0.78,-1.96616,1.966035,-1.96616,2.6214,-1.96616,1.31067
0.8,-1.96616,1.63836,-1.96616,1.96604,-1.96616,1.31068
0.82,-1.966155,1.3106750000000051,-1.96616,1.96604,-1.96615,0.65531000000001
0.84,-1.63848,1.3106750000000051,-1.3108,1.96604,-1.96616,0.65531000000001
0.86,-1.6384750000000001,1.3106750000000051,-1.3108,1.96604,-1.96615,0.65531000000001
0.88,-1.310795,0.6553150000000063,-1.3108,1.31068,-1.31079,-4.9999999987449e-05
