t_s,x,y,x_left,y_left,x_right,y_right
0.16,1.310695,-0.32768,1.31069,-0.65536,1.3107,0.0
0.2,1.310695,0.32768,1.31069,0.0,1.3107,0.65536
0.22,1.310695,-0.32768,1.31069,-0.65536,1.3107,0.0
0.24,1.638375,0.0,1.96605,0.0,1.3107,0.0
0.26,1.63837,-0.32768,1.96605,-0.65536,1.31069,0.0
0.28,1.63837,-0.32768,1.31069,-0.65536,1.96605,0.0
0.3,1.966045,4.999999999977245e-06,1.96604,-0.65536,1.96605,0.65537
0.32,1.96605,0.32768,1.96605,0.0,1.96605,0.65536
0.34,1.96605,0.32768,1.96605,0.0,1.96605,0.65536
0.36,1.96605,0.32768499999999806,1.96605,9.9999999960687e-06,1.96605,0.65536
0.38,1.96605,0.32768,1.96605,0.0,1.96605,0.65536
0.4,1.638375,0.655365,1.96605,0.0,1.3107,1.31073
0.42,1.638375,0.655369999999998,1.96605,9.9999999960687e-06,1.3107,1.31073
0.44,1.3107,0.98305,1.3107,0.65537,1.3107,1.31073
0.46,0.983015,1.3107250000000001,1.31069,1.31072,0.65534,1.31073
0.5,0.6553450000000001,1.96609,0.65534,1.31073,0.65535,2.62145
0.52,0.3276600000000004,2.293775,0.65534,1.96609,-1.9999999999243e-05,2.62146
0.54,0.65534,2.94913,0.65534,2.62145,0.65534,3.27681
0.56,0.6553450000000001,2.94913,0.65534,2.62145,0.65535,3.27681
0.58,0.65535,2.94913,0.65535,2.62145,0.65535,3.27681
0.6,0.65535,3.60449,0.65535,3.27681,0.65535,3.93217
0.62,0.327675,3.932175,0.65535,3.27681,0.0,4.58754
0.64,-4.99999999803435e-06,4.25985,-9.9999999960687e-06,3.93217,0.0,4.58753
0.66,-0.32767999999999803,4.259855,-9.9999999960687e-06,3.93217,-0.65535,4.58754
0.68,-0.327675,4.58753,0.0,3.93217,-0.65535,5.24289
0.7,-1.310715,4.58753,-1.31072,4.58753,-1.31071,4.58753
0.72,1.63843,4.915205,-0.65535,3.93216,3.93221,5.89825
0.74,14.745885,1.9660549999999999,13.76282,2.62142,15.72895,1.31069
0.76,15.07354,3.276805,15.07354,3.2768,15.07354,3.27681
0.78,15.728895,3.6044850000000004,15.72889,3.2768,15.7289,3.93217
0.8,15.728885,3.60448,15.72888,3.2768,15.72889,3.93216
0.82,15.72889,2.949115,15.72889,2.62143,15.72889,3.2768
0.84,16.056575000000002,2.949115,16.38425,2.62143,15.7289,3.2768
0.86,15.07354,3.276795,15.07354,2.62143,15.07354,3.93216
0.88,14.090505,4.915195000000001,14.41818,3.93215,13.76283,5.89824
0.9,14.41819,5.898235,14.41819,5.24288,14.41819,6.55359
0.92,15.073545,5.898235,15.07354,5.89824,15.07355,5.89823
0.94,16.384265,5.570555000000001,16.38426,5.24287,16.38427,5.89824
0.96,17.367305,5.570555000000001,17.03962,5.24288,17.69499,5.89823
0.98,15.073525,5.57057,17.69499,5.24287,12.45206,5.89827
1.0,1.3107450000000052,6.881345,3.27685,7.86439,-0.65535999999999,5.8983
1.02,1.966085,7.5367,1.31072,7.20902,2.62145,7.86438
1.04,3.276805,7.53669,3.2768,7.20901,3.27681,7.86437
1.06,3.6044850000000004,6.881325,3.2768,6.55364,3.93217,7.20901
1.08,3.93217,6.55364,3.93217,5.89828,3.93217,7.209
1.1,4.58753,6.88132,4.58753,6.55364,4.58753,7.209
1.12,4.587535,6.88132,4.58753,6.55364,4.58754,7.209
1.14,4.58754,6.88132,4.58754,6.55364,4.58754,7.209
1.16,4.587545,6.88132,4.58754,6.55364,4.58755,7.209
1.18,4.259865,6.55364,4.58754,6.55364,3.93219,6.55364
1.2,4.259875,6.55364,3.93219,5.89828,4.58756,7.209
1.22,3.932195,6.881315,3.93219,6.55364,3.9322,7.20899
1.24,3.9322,6.55363,3.9322,5.89827,3.9322,7.20899
1.26,3.6045249999999998,6.55363,3.9322,5.89827,3.27685,7.20899
1.28,7.20907,7.536655,3.93221,6.55362,10.48593,8.51969
1.3,16.71197,6.553595,16.38427,5.89824,17.03967,7.20895
1.32,17.367325,7.20896,17.03964,6.5536,17.69501,7.86432
1.34,17.695005000000002,7.53664,17.695,7.20896,17.69501,7.86432
1.36,17.695005000000002,7.53664,17.695,7.20896,17.69501,7.86432
1.38,17.36732,7.864319999999999,17.695,7.20896,17.03964,8.51968
1.4,17.03964,8.192,17.03964,7.86432,17.03964,8.51968
1.42,16.711959999999998,8.192005,17.03964,7.86432,16.38428,8.51969
1.44,16.384285,8.51969,16.38428,8.51969,16.38429,8.51969
1.46,16.38428,8.847370000000002,16.38428,8.51969,16.38428,9.17505
1.48,16.384285,8.847370000000002,16.38428,8.51969,16.38429,9.17505
1.5,16.711959999999998,8.19201,16.38428,7.86433,17.03964,8.51969
1.52,17.367314999999998,8.19201,17.03964,7.86433,17.69499,8.51969
1.54,17.69499,6.881285,17.69499,6.55361,17.69499,7.20896
1.56,18.67802,6.88128,18.35034,6.5536,19.0057,7.20896
1.58,18.67801,6.5536,19.00569,6.5536,18.35033,6.5536
1.6,27.853189999999998,7.8643149999999995,22.9379,7.86432,32.76848,7.86431
1.62,37.35611,6.22588,37.35611,5.24284,37.35611,7.20892
1.64,37.35609,6.8812549999999995,37.35609,7.20893,37.35609,6.55358
1.66,37.35609,6.553565,37.35609,6.55356,37.35609,6.55357
1.68,37.68376,5.89821,38.01144,5.24285,37.35608,6.55357
1.7,37.68376,5.57053,37.35608,5.24285,38.01144,5.89821
1.72,38.01144,4.587485,38.01144,4.58749,38.01144,4.58748
1.74,38.339115,4.587485,38.66679,3.93212,38.01144,5.24285
1.76,38.339105,4.58748,38.66678,4.58748,38.01143,4.58748
1.78,38.33911,3.60444,38.01143,3.27676,38.66679,3.93212
1.8,38.66678,4.259805,38.66678,3.93212,38.66678,4.58749
1.82,38.994460000000004,4.259805,38.66678,3.93212,39.32214,4.58749
1.84,38.994455,4.2598,39.32213,3.93212,38.66678,4.58748
1.86,39.32213,4.2598,39.32213,3.93212,39.32213,4.58748
1.88,39.32213,4.2598,39.32213,3.93212,39.32213,4.58748
1.9,39.322125,4.915165,39.32212,4.58748,39.32213,5.24285
1.92,43.58203,6.88125,39.97749,5.24284,47.18657,8.51966
1.94,52.75725,6.881265,51.7742,5.24286,53.7403,8.51967
1.96,53.412605,7.86432,53.74028,7.86432,53.08493,7.86432
1.98,53.740285,7.536635,53.74028,7.86431,53.74029,7.20896
2.0,54.06797,6.88128,54.39565,6.5536,53.74029,7.20896
2.02,53.740285,6.88128,53.74028,6.5536,53.74029,7.20896
2.04,53.412605,6.881285,53.74028,6.5536,53.08493,7.20897
2.06,53.084925,6.88129,53.08492,6.55361,53.08493,7.20897
2.08,52.757245,6.55361,52.42956,5.89825,53.08493,7.20897
2.1,52.757239999999996,6.22593,53.08492,5.89825,52.42956,6.55361
2.12,52.757245,6.88129,53.08492,6.55361,52.42957,7.20897
2.14,52.757245,6.8812999999999995,53.08492,6.55362,52.42957,7.20898
2.16,52.429565,7.208975000000001,52.42956,6.55361,52.42957,7.86434
2.18,52.429565,7.53666,52.42956,7.20898,52.42957,7.86434
2.2,52.10189,7.864345,52.42957,7.86435,51.77421,7.86434
2.22,52.429565,7.53667,52.42956,7.20899,52.42957,7.86435
2.24,52.101884999999996,7.53667,51.7742,7.20899,52.42957,7.86435
2.26,55.378730000000004,9.175080000000001,52.42956,7.86435,58.3279,10.48581
2.28,66.847735,10.15814,64.88162,9.83046,68.81385,10.48582
2.3,69.141525,11.468875,69.46921,11.14119,68.81384,11.79656
2.32,70.12457,11.468879999999999,70.12457,11.1412,70.12457,11.79656
2.34,70.77992,11.1412,70.77992,11.1412,70.77992,11.1412
2.36,72.09063,10.158169999999998,72.09063,9.83049,72.09063,10.48585
2.38,72.74598,9.5028,72.74598,9.17512,72.74598,9.83048
2.4,73.073655,9.5028,73.40133,9.17512,72.74598,9.83048
2.42,73.401325,9.502794999999999,73.40132,9.17511,73.40133,9.83048
2.44,72.74596,9.5028,72.74596,9.17512,72.74596,9.83048
2.46,73.07364,9.5028,73.40132,9.17512,72.74596,9.83048
2.48,73.401325,8.847435,73.40132,8.51975,73.40133,9.17512
2.5,74.05668,8.84743,74.05668,8.51975,74.05668,9.17511
2.52,74.05668,9.175115,74.05668,8.51975,74.05668,9.83048
2.54,74.056655,8.847425000000001,74.05667,8.51975,74.05664,9.1751
2.56,83.55951999999999,12.45194,78.64423,11.1412,88.47481,13.76268
2.58,93.717815,15.728774999999999,93.71781,14.41805,93.71782,17.0395
2.6,93.71779,17.694879999999998,93.71779,17.03951,93.71779,18.35025
2.62,94.04547,18.677925000000002,94.37315,18.35024,93.71779,19.00561
