t_s,x,y,x_left,y_left,x_right,y_right
0.02,3.2768300000000004,-0.655365,1.96609,-0.65536,4.58757,-0.65537
0.04,5.570615,0.9830400000000001,5.8983,0.65536,5.24293,1.31072
0.06,5.57062,1.96608,5.8983,1.96608,5.24294,1.96608
0.08,5.57062,1.966085,5.8983,1.96609,5.24294,1.96608
0.1,5.24294,1.96608,5.24294,1.96608,5.24294,1.96608
0.12,5.24294,2.293765,5.24294,2.62145,5.24294,1.96608
0.14,5.24294,1.966085,5.24294,1.96609,5.24294,1.96608
0.16,4.91526,2.621445,5.24294,2.62145,4.58758,2.62144
0.18,5.24294,2.949125,5.24294,3.27681,5.24294,2.62144
0.2,4.91526,3.276805,5.24294,3.27681,4.58758,3.2768
0.22,5.242945000000001,3.93217,5.24294,3.93217,5.24295,3.93217
0.24,4.91527,4.259855,5.24295,3.93218,4.58759,4.58753
0.26,4.91527,5.57058,5.24295,5.2429,4.58759,5.89826
0.28,5.24295,6.553625,5.24295,6.55363,5.24295,6.55362
0.3,5.24296,6.88131,5.24296,6.55363,5.24296,7.20899
0.32,5.24296,7.864355,5.24296,7.86436,5.24296,7.86435
0.34,5.57064,9.17508,5.89832,9.17508,5.24296,9.17508
0.36,5.242965,9.83045,5.24296,9.83045,5.24297,9.83045
0.38,5.24297,10.158125,5.24297,10.48581,5.24297,9.83044
0.4,5.57065,10.48581,5.89833,10.48581,5.24297,10.48581
0.42,5.57066,11.14117,5.89834,11.14117,5.24298,11.14117
0.44,5.570665,11.141175,5.89834,11.14118,5.24299,11.14117
0.46,5.570665,11.468855000000001,5.89835,11.79654,5.24298,11.14117
0.48,6.2260349999999995,11.46885,5.89835,11.14117,6.55372,11.79653
0.5,16.38424,15.40102,14.41813,14.41798,18.35035,16.38406
0.52,18.35035,17.36711,19.00571,17.03943,17.69499,17.69479
0.54,18.67804,17.694785000000003,19.00572,17.69479,18.35036,17.69478
0.56,19.00572,17.36711,19.00572,17.69479,19.00572,17.03943
0.58,18.67804,16.711745,19.00572,17.03943,18.35036,16.38406
0.6,19.333399999999997,16.38406,19.66108,16.38406,19.00572,16.38406
0.62,19.00572,16.711745,19.00572,17.03943,19.00572,16.38406
0.64,19.333399999999997,15.728695000000002,19.66108,16.38406,19.00572,15.07333
0.66,19.66108,14.745655,19.66108,15.7287,19.66108,13.76261
0.68,19.333385,12.45188,19.66107,13.10724,19.0057,11.79652
0.7,4.915315,9.17509,11.1413,9.83045,-1.31067,8.51973
0.72,-2.6214399999999998,11.141185,-3.27681,10.48582,-1.96607,11.79655
0.74,-1.310705,11.468875,-1.3107,11.79656,-1.31071,11.14119
0.76,-0.655350000000005,10.813505,-0.65535,11.14119,-0.65535000000001,10.48582
0.78,-0.65536,8.519725000000001,-0.65536,9.17509,-0.65536,7.86436
0.8,-0.327685,4.91522,0.0,5.89827,-0.65537,3.93217
0.82,-0.32769500000000157,3.2768050000000004,-1.0000000003174e-05,3.93217,-0.65538,2.62144
0.84,-0.6553799999999996,2.293755,-1.9999999999243e-05,2.62144,-1.31074,1.96607
0.86,-1.310755,1.638385,-1.31075,1.96607,-1.31076,1.3107
0.88,-1.638435,0.983025,-1.31075,1.31071,-1.96612,0.65534
0.9,-1.638445,0.983025,-1.31076,1.31071,-1.96613,0.65534
0.92,7.209005,1.310695,3.27679,1.3107,11.14122,1.31069
0.94,12.779644999999999,2.94909,13.10733,2.62141,12.45196,3.27677
0.96,12.12427,2.949095,12.45195,3.27678,11.79659,2.62141
0.98,12.45195,2.621405,12.45195,2.62141,12.45195,2.6214
1.0,12.12427,2.949085,12.45195,3.27677,11.79659,2.6214
1.02,12.124265000000001,3.276765,12.45195,3.27677,11.79658,3.27676
1.04,12.45194,3.932125,12.45194,3.93213,12.45194,3.93212
1.06,12.125535,3.93212,12.45449,3.93212,11.79658,3.93212
1.08,19.333289999999998,4.915155,15.0734,4.58748,23.59318,5.24283
1.1,29.16382,7.2089,29.4915,7.2089,28.83614,7.2089
1.12,28.50845,7.5365850000000005,28.18077,7.86427,28.83613,7.2089
1.14,28.83613,6.88122,28.83613,7.2089,28.83613,6.55354
1.16,29.163805,7.53658,28.83613,7.86426,29.49148,7.2089
1.18,29.49149,7.53658,29.49149,7.2089,29.49149,7.86426
1.2,29.819175,7.536575,30.14685,7.86426,29.4915,7.20889
1.22,29.81918,6.881215,30.14686,7.2089,29.4915,6.55353
1.24,30.14686,7.20889,30.14686,7.20889,30.14686,7.20889
1.26,30.474545,7.20889,30.14686,7.20889,30.80223,7.20889
1.28,40.632760000000005,9.174965,38.66664,8.51961,42.59888,9.83032
1.3,42.598875,10.158000000000001,42.59888,9.83032,42.59887,10.48568
1.32,42.59888,10.485675,42.59888,10.48568,42.59888,10.48567
1.34,42.92656,10.48568,43.25424,10.48568,42.59888,10.48568
1.36,42.92657,11.141035,43.25425,11.14104,42.59889,11.14103
1.38,43.25425,10.48567,43.25425,10.48567,43.25425,10.48567
1.4,43.254255,11.468710000000002,43.25426,11.79639,43.25425,11.14103
1.42,43.58194,11.7964,43.90962,11.7964,43.25426,11.7964
1.44,43.25426,10.813355000000001,43.25426,11.14104,43.25426,10.48567
1.46,49.480265,13.4348,46.5311,12.45176,52.42943,14.41784
1.48,52.757130000000004,15.073205,53.08482,15.0732,52.42944,15.07321
