t_s,x,y,x_left,y_left,x_right,y_right
0.0,0.0,0.0,0.48901135614903196,0.6893178706331533,0.4808747980844906,0.6829235596713256
0.02,-0.32768,4.99999999803435e-06,0.4835169294256749,0.6893179447047856,0.4808747980844906,0.6829235596713256
0.04,-1.31074,-0.6553599999999951,0.48351684558737656,0.6844635121286743,0.46448133905888295,0.6780455315867876
0.06,-32.440619999999996,-8.51973,0.32967147208230774,0.6456284218779456,0.09836308879846586,0.5999965612045669
0.08,-58.000055,-13.43489,2.012119161369019e-06,0.5873761198241985,1.0839422378740524e-06,0.5853630724133653
0.1,-58.000125,-10.485695,1.006059580654724e-06,0.6067942204868062,9.17181893590294e-07,0.6097536594328652
0.12,-58.000175,-10.157990000000002,6.707063871031493e-07,0.6116488012061825,4.169008606797735e-07,0.6097538082984684
0.14,-58.000225,-10.813345,1.6767659677578733e-07,0.6067944427017036,8.338017211225664e-08,0.6048758546467319
0.16,-58.00024,-10.813345,0.0,0.6067945167733361,0.0,0.6048757802139303
0.18,-58.00024,-10.813345,0.0,0.6067945167733361,0.0,0.6048757802139303
0.2,-58.00024,-11.141035,0.0,0.6019400841972247,0.0,0.6048757057811287
0.22,-58.00024,-11.468720000000001,0.0,0.6019400101255922,0.0,0.5999976776965906
0.24,-58.00024,-11.796415,0.0,0.6019399360539598,0.0,0.5951195007464494
0.26,-58.00024,-11.79642,0.0,0.6019398619823273,0.0,0.5951195007464494
0.28,-58.00024,-11.796425,0.0,0.5970854294062159,0.0,0.5999975288309874
0.3,-58.00024,-11.468734999999999,0.0,0.6019399360539598,0.0,0.5999975288309874
0.32,-58.00024,-11.468744999999998,0.0,0.6019398619823273,0.0,0.5999974543981859
0.34,-58.00024,-11.468755000000002,0.0,0.6019397879106948,0.0,0.5999973799653843
0.36,-58.00022,-11.14108,8.383829835810832e-08,0.6067940723435413,2.5014051639601507e-07,0.5999973799653843
0.38,-58.00019,-11.14108,3.3535319355157466e-07,0.6067940723435413,5.002810328512753e-07,0.5999973799653843
0.4,-58.000150000000005,-11.141085,6.707063871031493e-07,0.6067940723435413,8.338017214187922e-07,0.5999973055325827
0.42,-58.000105000000005,-10.48574,1.006059580654724e-06,0.6067939982719088,1.250702582157811e-06,0.6097532128360558
0.44,-58.00003,-10.158090000000001,1.5929276693997652e-06,0.6116481345614905,1.9177439592928445e-06,0.609752989537651
0.46,-57.999970000000005,-10.485800000000001,2.179795758144806e-06,0.6116479123465931,2.3346448200318633e-06,0.6048747381547082
0.48,-57.999935,-10.15815,2.515148951696381e-06,0.6019388990511054,2.5847853364871235e-06,0.6195086735427192
0.5,-57.99987,3.6045599999999975,2.850502145307526e-06,0.6893180928480506,3.335206885793659e-06,0.7365828362276653
0.52,-57.999790000000004,9.83057,3.688885129186463e-06,0.7524257163374986,3.835487918644935e-06,0.7658513768989017
0.54,-57.99976,12.124365000000001,4.024238322738038e-06,0.7766978792180554,4.002248262928693e-06,0.775607581933581
0.56,-57.999745000000004,13.435085,4.024238322738038e-06,0.7815521636509019,4.2523887793839535e-06,0.790241740619997
0.58,-57.999700000000004,15.07349,4.443429814707292e-06,0.7961153132359712,4.58590946795147e-06,0.7999977967890731
0.6,-57.999655000000004,16.711895,4.778783008258866e-06,0.8106783887494079,5.0028103286904885e-06,0.809753927390951
0.62,-57.999610000000004,17.694940000000003,5.19797450022812e-06,0.8155328213255193,5.336331017258006e-06,0.8195099835600271
0.64,-57.999565000000004,19.005670000000002,5.533327693779694e-06,0.8252416124061097,5.7532318779970244e-06,0.8292661141619049
0.66,-57.999520000000004,19.98873,5.952519185748948e-06,0.8349504775583324,6.0867525665645415e-06,0.8341442911120462
0.68,-57.999485,21.627139999999997,6.2878723793005225e-06,0.8446592686389227,6.336893083019802e-06,0.8487784497984621
0.7,-57.999465,22.937869999999997,6.45554897607631e-06,0.854368059719513,6.50365342730356e-06,0.8585345804003399
0.72,-57.999444999999994,24.24861,6.623225572911668e-06,0.8640769248717357,6.670413771587318e-06,0.8682907854350191
0.74,-57.999425,25.231650000000002,6.7909021696874555e-06,0.8737856418806936,6.8371741158710766e-06,0.8731688135195573
0.76,-57.99938,26.214695,7.0424170648213515e-06,0.8786400744568049,7.337455148722352e-06,0.8829248696886334
0.78,-57.999345000000005,28.508475,7.4616085567906044e-06,0.8932032240418742,7.504215493006111e-06,0.9024372053251907
0.8,-57.999325,29.819215,7.629285153566392e-06,0.907766447698576,7.670975837349114e-06,0.9073153822753319
0.82,-57.99933,30.47459,7.629285153566392e-06,0.9126208802746874,7.5875956651776125e-06,0.9121935592254731
0.84,-57.999375,30.474635,7.377770258432496e-06,0.9126212506328496,7.087314632326337e-06,0.9121938569566795
0.86,-57.999395,31.4577,6.958578766463243e-06,0.9174758313522259,7.170694804438594e-06,0.9219500619913588
0.88,-57.999335,33.751450000000006,7.4616085567906044e-06,0.9320388327940302,7.670975837349114e-06,0.9414620998967096
0.9,-57.999295000000004,34.73449,7.880800048759859e-06,0.941747549802988,7.92111635374513e-06,0.9463401279812477
0.92,-57.999285,36.372895,7.964638347117967e-06,0.9563106253164249,8.004496525916631e-06,0.9560962585831255
0.94,-57.99928,37.683634999999995,8.048476645535646e-06,0.9660194904686477,8.004496525916631e-06,0.9658524636178047
0.96,-57.99929,37.68373,7.964638347117967e-06,0.9660195645402802,7.92111635374513e-06,0.9658538034082332
0.98,-57.999275,38.66669,8.048476645535646e-06,0.9708739971163916,8.087876698028888e-06,0.9756085942196826
1.0,-57.99926,38.994365,8.216153242311433e-06,0.9757283556208702,8.17125687020039e-06,0.975608519786881
1.02,-57.99924,39.32203,8.299991540729112e-06,0.9757282074776055,8.421397386596405e-06,0.9804864734386175
1.04,-57.999210000000005,39.649705,8.551506435863008e-06,0.9805825659820845,8.671537903051665e-06,0.980486399005816
1.06,-57.99919,39.977374999999995,8.719183032638795e-06,0.9854368504149309,8.838298247335424e-06,0.9804863245730144
1.08,-57.99916,40.30505,8.886859629414583e-06,0.9854367763432984,9.17181893590294e-06,0.9853643526575526
1.1,-57.99899,41.943439999999995,1.0144434105322344e-05,0.9951454192806238,1.0756042206687513e-05,0.9999983624783653
1.12,-57.998945,42.271119999999996,1.0815140492425493e-05,0.9999997777851027,1.0839422378859015e-05,0.9999983624783653
1.14,-57.998935,42.27111,1.0898978790843172e-05,0.9999997037134704,1.0922802550971271e-05,0.9999982880455637
1.16,-57.99892,42.27111,1.1066655387618959e-05,0.9999997037134704,1.1006182723142773e-05,0.9999982880455637
1.18,-57.998905,42.271114999999995,1.1150493685977068e-05,0.9999997037134704,1.1172943067426532e-05,0.9999983624783653
1.2,-57.998895000000005,42.27111,1.1234331984394747e-05,0.9999997037134704,1.1256323239538789e-05,0.9999982880455637
1.22,-57.998885,42.27111,1.1318170282812426e-05,0.9999997037134704,1.133970341171029e-05,0.9999982880455637
1.24,-57.998875,42.271105,1.1402008581170534e-05,0.9999997037134704,1.1423083583822547e-05,0.9999982136127621
1.26,-57.99886,42.271105,1.156968517794632e-05,0.9999997037134704,1.1506463755994049e-05,0.9999982136127621
