t_s,x,y,x_left,y_left,x_right,y_right
0.02,-0.3276749999999934,0.6553749999999996,1.0000000003174e-05,1.31073,-0.65535999999999,1.9999999999243e-05
0.08,-1.3107199999999999,9.99999999962135e-06,-1.31071,1.0000000003174e-05,-1.31073,9.9999999960687e-06
0.1,-1.3107199999999999,0.3276999999999996,-1.31071,0.65538,-1.31073,1.9999999999243e-05
0.12,-1.9660799999999998,0.32768999999999804,-1.96607,0.65537,-1.96609,9.9999999960687e-06
0.14,-1.9660799999999998,1.0000000000010001e-05,-1.96607,0.65537,-1.96609,-0.65535
0.16,-1.9660799999999998,1.9999999999243e-05,-1.96607,1.9999999999243e-05,-1.96609,1.9999999999243e-05
0.18,-2.29376,1.0000000000010001e-05,-1.96607,0.65537,-2.62145,-0.65535
0.2,-2.29376,0.3276949999999996,-2.62143,0.65537,-1.96609,1.9999999999243e-05
0.22,-2.949125,-0.3276699999999984,-3.27679,1.0000000003174e-05,-2.62146,-0.65535
0.24,-3.2768100000000002,-0.6553499999999984,-3.2768,1.0000000003174e-05,-3.27682,-1.31071
0.26,-3.276805,-0.9830300000000001,-3.2768,-0.65535,-3.27681,-1.31071
0.28,-3.2768100000000002,-0.3276699999999984,-3.2768,1.0000000003174e-05,-3.27682,-0.65535
0.3,-3.6044850000000004,-0.3276699999999984,-3.2768,1.0000000003174e-05,-3.93217,-0.65535
0.32,-3.93216,-0.32767499999999844,-3.93215,1.0000000003174e-05,-3.93217,-0.65536
0.34,-3.93216,-0.327675,-3.93215,0.0,-3.93217,-0.65535
0.36,-4.587524999999999,-0.3276699999999984,-4.58752,1.0000000003174e-05,-4.58753,-0.65535
0.38,-5.2428799999999995,-0.3276699999999984,-5.24287,1.0000000003174e-05,-5.24289,-0.65535
0.4,-5.57056,-0.3276699999999984,-5.24287,1.0000000003174e-05,-5.89825,-0.65535
0.42,-5.57056,9.99999999962135e-06,-5.24287,1.0000000003174e-05,-5.89825,9.9999999960687e-06
0.44,-5.898235,9.99999999962135e-06,-5.24287,1.0000000003174e-05,-6.5536,9.9999999960687e-06
0.46,-5.8982399999999995,0.65537,-5.89823,0.65537,-5.89825,0.65537
0.48,-5.898235,0.98305,-5.89822,1.31073,-5.89825,0.65537
0.5,-4.9152000000000005,0.32768,-5.24287,0.65536,-4.58753,0.0
0.52,-3.93216,0.32768,-3.93215,0.65536,-3.93217,0.0
0.54,-3.2767999999999997,0.32768,-3.27679,0.65536,-3.27681,0.0
0.56,-2.9491300000000003,0.32768,-3.2768,0.65536,-2.62146,0.0
0.58,-2.6214399999999998,-1.0000000000010001e-05,-2.62143,0.65535,-2.62145,-0.65537
0.6,-2.6214399999999998,-0.32768999999999804,-2.62143,-9.9999999960687e-06,-2.62145,-0.65537
0.62,-2.621435,-0.32768999999999804,-2.62143,-9.9999999960687e-06,-2.62144,-0.65537
0.64,-2.621435,-0.327694999999998,-2.62143,-9.9999999960687e-06,-2.62144,-0.65538
0.66,-1.966075,-0.6553799999999996,-1.96607,-1.9999999999243e-05,-1.96608,-1.31074
0.68,-1.96607,-1.310745,-1.96606,-0.65538,-1.96608,-1.96611
0.7,-1.966075,-2.62147,-1.96607,-1.96611,-1.96608,-3.27683
0.72,-2.29376,-3.932205,-1.96607,-3.27684,-2.62145,-4.58757
0.74,-2.29376,-7.86441,-1.96607,-6.55368,-2.62145,-9.17514
0.76,-2.949115,-11.468924999999999,-2.62143,-10.48588,-3.2768,-12.45197
0.78,-3.2767999999999997,-12.45198,-3.27679,-11.79662,-3.27681,-13.10734
0.8,-4.2598400000000005,-13.76271,-3.93215,-13.10735,-4.58753,-14.41807
0.82,-4.9152000000000005,-15.07344,-4.58751,-14.41808,-5.24289,-15.7288
0.84,-5.2428799999999995,-16.711855,-5.24287,-15.72881,-5.24289,-17.6949
0.86,-5.57056,-19.005645,-5.24287,-18.35028,-5.89825,-19.66101
0.88,-5.8982399999999995,-19.661015,-5.89823,-19.66102,-5.89825,-19.66101
0.9,-6.553595,-19.005645,-6.55359,-19.00565,-6.5536,-19.00564
0.92,-6.88128,-18.67796,-6.55359,-18.35028,-7.20897,-19.00564
0.94,-7.208959999999999,-18.35028,-7.20895,-18.35028,-7.20897,-18.35028
0.96,-7.536645,-18.35028,-7.20896,-18.35028,-7.86433,-18.35028
0.98,-7.53664,-19.00564,-7.20895,-18.35028,-7.86433,-19.661
1.0,6.55375,-16.38424,-1.31066,-17.03959,14.41816,-15.72889
1.02,15.72896,-15.72888,17.03971,-15.72889,14.41821,-15.72887
1.04,14.418215,-14.090454999999999,14.41822,-13.76278,14.41821,-14.41813
1.06,14.41822,-13.435085,14.41823,-13.10741,14.41821,-13.76276
1.08,14.419495000000001,-12.779720000000001,14.42078,-12.45204,14.41821,-13.1074
1.1,14.09054,-11.79667,14.41823,-11.79667,13.76285,-11.79667
1.12,14.09054,-11.468990000000002,14.41823,-11.14131,13.76285,-11.79667
1.14,13.76286,-11.468990000000002,13.76287,-11.14131,13.76285,-11.79667
1.16,13.435185,-11.14131,13.76287,-11.14131,13.1075,-11.14131
1.18,13.107505,-10.81307,13.10751,-10.48594,13.1075,-11.1402
1.2,12.77983,-10.158259999999999,13.10752,-9.83058,12.45214,-10.48594
1.22,15.401295,-7.86449,12.45216,-9.17522,18.35043,-6.55376
1.24,19.33354,-4.915345,20.31659,-4.58767,18.35049,-5.24302
1.26,19.005845,-3.2769250000000003,19.00585,-3.27693,19.00584,-3.27692
1.28,19.333525,-2.949235,19.00585,-2.62155,19.6612,-3.27692
1.3,20.316564999999997,-2.621555,20.31658,-2.62156,20.31655,-2.62155
1.32,20.97192,-2.29387,20.97193,-1.96619,20.97191,-2.62155
1.34,21.299599999999998,-2.2938650000000003,21.62729,-1.96619,20.97191,-2.62154
1.36,21.62728,-2.29387,21.62729,-1.96619,21.62727,-2.62155
1.38,21.954954999999998,-1.6385049999999999,22.28264,-1.31083,21.62727,-1.96618
1.4,21.62728,-1.638505,21.62729,-1.31082,21.62727,-1.96619
1.42,35.717675,5.5704649999999996,29.49168,3.27669,41.94367,7.86424
1.44,44.23752,9.174975,44.56521,9.17497,43.90983,9.17498
1.46,43.909825,10.485714999999999,43.90984,10.48571,43.90981,10.48572
1.48,43.909819999999996,11.14109,43.90983,11.14109,43.90981,11.14109
1.5,43.909819999999996,12.45182,43.90983,12.45182,43.90981,12.45182
1.52,43.254459999999995,13.107195,43.25447,13.10719,43.25445,13.1072
1.54,43.254459999999995,14.090245,43.25447,14.41792,43.25445,13.76257
1.56,43.254459999999995,14.41793,43.25447,14.41793,43.25445,14.41793
1.58,43.254459999999995,14.745615,43.25447,15.07329,43.25445,14.41794
1.6,45.22056,16.056335,43.25447,15.72866,47.18665,16.38401
1.62,62.587845,20.316155000000002,60.29404,20.31616,64.88165,20.31615
1.64,63.89861,22.282265000000002,64.22631,22.28225,63.57091,22.28228
1.66,63.243235,23.59301,63.57092,23.59301,62.91555,23.59301
1.68,63.24324,23.920695000000002,62.91557,24.24838,63.57091,23.59301
1.7,62.915549999999996,24.248385,62.91556,24.24838,62.91554,24.24839
1.72,62.587869999999995,24.576065,62.91556,24.90374,62.26018,24.24839
1.74,62.260189999999994,25.23143,62.2602,25.55911,62.26018,24.90375
1.76,62.260189999999994,25.23144,62.2602,25.55912,62.26018,24.90376
1.78,61.93250999999999,25.559125,62.2602,25.55912,61.60482,25.55913
1.8,61.604820000000004,25.88681,61.60483,26.21449,61.60481,25.55913
1.82,61.277145000000004,26.21449,61.60483,26.21449,60.94946,26.21449
1.84,60.94946,26.542180000000002,60.94947,26.86986,60.94945,26.2145
1.86,60.2941,26.214495,60.29411,26.86986,60.29409,25.55913
1.88,60.2941,26.54217,60.29411,26.86985,60.29409,26.21449
1.9,62.260205,26.869845,59.63875,26.21449,64.88166,27.5252
1.92,82.57667000000001,33.751105,79.95516,33.42343,85.19818,34.07878
1.94,82.90441000000001,35.06185,83.23211,34.73415,82.57671,35.38955
1.96,82.57672,36.372605,82.57673,36.70028,82.57671,36.04493
1.98,81.92135,36.372614999999996,81.92136,36.70029,81.92134,36.04494
2.0,82.249035,36.7003,81.92136,37.35566,82.57671,36.04494
2.02,82.57670999999999,36.04494,82.57672,36.7003,82.5767,35.38958
2.04,83.55975000000001,36.04494,83.23208,36.7003,83.88742,35.38958
2.06,84.87046000000001,35.717254999999994,84.54279,36.04494,85.19813,35.38957
2.08,85.8535,35.389565000000005,85.85351,36.04493,85.85349,34.7342
2.1,86.83653,35.06188,86.50886,35.38956,87.1642,34.7342
2.12,87.164215,34.40652,87.16422,34.7342,87.16421,34.07884
2.14,88.802625,34.40652,87.81958,34.07884,89.78567,34.7342
2.16,17.696140000000003,36.7003,-56.35953,36.70029,91.75181,36.70031
2.18,91.75181,38.66641,91.75182,38.6664,91.7518,38.66642
2.2,92.407175,39.321775,92.40718,39.32177,92.40717,39.32178
2.22,92.40718,40.304825,92.40719,40.6325,92.40717,39.97715
2.24,92.734855,40.30483,92.40718,40.63251,93.06253,39.97715
2.26,93.062525,40.96019,93.06253,41.28787,93.06252,40.63251
2.28,92.73485,40.9602,93.06254,41.28788,92.40716,40.63252
2.3,92.40716,41.61556,92.40717,41.94324,92.40715,41.28788
2.32,92.40717000000001,40.9602,92.40718,41.94324,92.40716,39.97716
2.34,92.40717000000001,39.977145,92.40718,39.97714,92.40716,39.97715
2.36,91.75181,40.632515,91.75182,41.28788,91.7518,39.97715
2.38,88.47497,36.700325,91.75182,39.32178,85.19812,34.07887
2.4,42.926805,16.056345,59.63872,22.93767,26.21489,9.17502
2.42,-7.2089300000000005,0.6552999999999995,-3.27668,-7.0000000000903e-05,-11.14118,1.31067
2.44,-8.84739,4.25983,-8.5197,3.93214,-9.17508,4.58752
2.46,-8.84739,6.8812999999999995,-9.17506,6.55361,-8.51972,7.20899
2.48,-8.519715,7.209,-8.5197,7.86436,-8.51973,6.55364
2.5,-7.864355,6.881315,-7.86434,7.209,-7.86437,6.55363
2.52,-8.192035,6.881315,-7.86435,7.209,-8.51972,6.55363
2.54,-8.192029999999999,6.553635,-7.86434,7.209,-8.51972,5.89827
2.56,-8.192029999999999,4.9152249999999995,-8.5197,5.24291,-7.86436,4.58754
2.58,-17.367145,-1.63843,-11.79652,1.31071,-22.93777,-4.58757
2.6,-25.23158,-2.949165,-25.55925,-3.27685,-24.90391,-2.62148
2.62,-25.559260000000002,-1.310745,-25.55925,-1.31075,-25.55927,-1.31074
2.64,-25.559260000000002,-0.32768999999999804,-25.55925,-9.9999999960687e-06,-25.55927,-0.65537
2.66,-25.559255,-0.32768,-25.55925,0.0,-25.55926,-0.65536
2.68,-25.55925,0.327675,-25.55924,0.65535,-25.55926,0.0
2.7,-25.55925,0.32768,-25.55924,0.65536,-25.55926,0.0
