t_s,x,y,x_left,y_left,x_right,y_right
0.16,-1.5000000001208501e-05,1.3107250000000001,-1.9999999999243e-05,1.31072,-1.0000000003174e-05,1.31073
0.18,-1.0000000003174e-05,1.96609,-1.0000000003174e-05,1.96609,-1.0000000003174e-05,1.96609
0.2,-1.0000000003174e-05,1.9661,-1.0000000003174e-05,1.9661,-1.0000000003174e-05,1.9661
0.22,-0.3276900000000016,1.638415,-0.65537,1.31074,-1.0000000003174e-05,1.96609
0.24,-0.655365,2.29378,-0.65537,1.9661,-0.65536,2.62146
0.26,-0.65537,2.29378,-0.65537,1.9661,-0.65537,2.62146
0.28,-0.9830400000000001,2.6214649999999997,-0.65536,2.62147,-1.31072,2.62146
0.3,-1.31072,2.62147,-1.31072,1.96611,-1.31072,3.27683
0.32,-1.31072,2.949155,-1.31072,2.62148,-1.31072,3.27683
0.34,-1.638395,2.94916,-1.31072,2.62148,-1.96607,3.27684
0.36,-1.96608,3.27684,-1.96608,3.27684,-1.96608,3.27684
0.38,-1.966075,3.60452,-1.96608,3.27684,-1.96607,3.9322
0.4,-1.96607,3.27684,-1.96607,3.27684,-1.96607,3.27684
0.42,-1.96607,3.60452,-1.96607,3.27684,-1.96607,3.9322
0.44,-1.96607,3.276835,-1.96607,3.27684,-1.96607,3.27683
0.46,-2.29375,2.94915,-1.96607,2.62147,-2.62143,3.27683
0.48,-2.293735,4.259885000000001,-2.62142,3.9322,-1.96605,4.58757
0.5,-2.62141,4.915255,-2.62141,4.58757,-2.62141,5.24294
0.52,-2.2937250000000002,5.24294,-1.96605,5.24294,-2.6214,5.24294
0.54,-1.96604,5.57062,-1.96604,5.24294,-1.96604,5.8983
0.56,-1.96604,5.57062,-1.96604,5.8983,-1.96604,5.24294
0.58,-2.29372,5.898305000000001,-1.96604,5.89831,-2.6214,5.8983
0.6,-2.6214,6.22599,-2.6214,5.89831,-2.6214,6.55367
0.62,-2.9490749999999997,6.22599,-2.6214,5.89831,-3.27675,6.55367
0.64,-3.27675,6.88135,-3.27675,6.55367,-3.27675,7.20903
0.66,-3.2767549999999996,7.209035,-3.27676,7.20904,-3.27675,7.20903
0.68,-3.93211,7.20903,-3.93211,7.20903,-3.93211,7.20903
0.7,-3.276745,6.88135,-3.27675,6.55367,-3.27674,7.20903
0.72,-3.604425,6.55367,-3.9321,6.55367,-3.27675,6.55367
0.74,-3.276745,6.5536650000000005,-3.27674,6.55367,-3.27675,6.55366
0.76,-2.62138,6.55366,-2.62138,6.55366,-2.62138,6.55366
0.78,-2.621375,6.22598,-2.62138,5.8983,-2.62137,6.55366
0.8,-1.966015,6.225975,-1.96601,5.8983,-1.96602,6.55365
0.82,-1.966015,5.89829,-1.96602,5.89829,-1.96601,5.89829
0.84,-1.96601,5.89828,-1.96601,5.89828,-1.96601,5.89828
0.86,-1.3106550000000001,5.5706,-1.31065,5.24292,-1.31066,5.89828
0.88,-1.638335,5.242915,-1.31065,5.24292,-1.96602,5.24291
0.9,-1.63834,4.587545,-1.96602,4.58755,-1.31066,4.58754
0.92,-0.98298,3.932175,-1.31066,3.93218,-0.6553,3.93217
0.94,-0.32762999999999914,2.949125,-0.65531,3.27681,5.000000000166e-05,2.62144
0.96,5.24301,4.25986,3.27689,3.27681,7.20913,5.24291
0.98,8.84758,6.553975,9.17526,5.89829,8.5199,7.20966
1.0,8.519905,10.158165,8.5199,9.17511,8.51991,11.14122
1.02,8.51991,13.107330000000001,8.51991,12.45196,8.51991,13.7627
1.04,8.19224,14.745754999999999,8.51992,14.41807,7.86456,15.07344
1.06,7.86455,15.401135,7.86455,15.07345,7.86455,15.72882
1.08,7.536865000000001,16.056505,7.86454,15.72882,7.20919,16.38419
1.1,7.86455,16.38419,7.86455,16.38419,7.86455,16.38419
