t_s,x,y,x_left,y_left,x_right,y_right
0.02,3.276825,0.983055,1.31072,0.65537,5.24293,1.31074
0.04,5.89831,1.966115,5.89831,1.31075,5.89831,2.62148
0.06,5.8983,3.2768550000000003,5.8983,3.27685,5.8983,3.27686
0.08,6.55366,4.58759,6.55366,4.58759,6.55366,4.58759
0.1,6.225985,4.5876,5.8983,4.5876,6.55367,4.5876
0.12,6.5536650000000005,5.57065,6.55366,5.89833,6.55367,5.24297
0.14,6.5536650000000005,5.89834,6.55367,5.89834,6.55366,5.89834
0.16,6.881345,6.553715,6.55367,6.55371,7.20902,6.55372
0.18,6.881345,7.209085,6.55366,7.20908,7.20903,7.20909
0.2,7.20902,7.20909,7.20902,7.20909,7.20902,7.20909
0.22,6.88134,7.86446,6.55366,7.86446,7.20902,7.86446
0.24,7.20902,8.19215,7.20902,7.86447,7.20902,8.51983
0.26,7.20902,8.51984,7.20902,8.51984,7.20902,8.51984
0.28,7.20902,8.847535,7.20902,9.17521,7.20902,8.51986
0.3,7.86438,9.17522,7.86438,9.17522,7.86438,9.17522
0.32,7.5367,9.502915000000002,7.20902,9.83059,7.86438,9.17524
0.34,8.51974,9.8306,8.51974,9.8306,8.51974,9.8306
0.36,9.502775,10.48597,9.1751,10.48597,9.83045,10.48597
0.38,9.502770000000002,10.48598,9.17509,10.48598,9.83045,10.48598
0.4,11.141175,11.141355,10.48581,11.14135,11.79654,11.14136
0.42,21.62707,10.8137,19.66096,10.48602,23.59318,11.14138
0.44,23.265484999999998,12.77979,23.59317,12.4521,22.9378,13.10748
0.46,23.593165,13.76286,23.59316,13.76286,23.59317,13.76286
0.48,23.92084,14.745909999999999,23.59316,15.07359,24.24852,14.41823
0.5,24.24852,15.0736,24.24852,15.0736,24.24852,15.0736
0.52,24.24852,15.07361,24.24852,15.07361,24.24852,15.07361
0.54,24.5762,15.72898,24.24852,15.72898,24.90388,15.72898
0.56,24.90388,15.72899,24.90388,15.72899,24.90388,15.72899
0.58,24.903875,16.38436,24.90388,16.38436,24.90387,16.38436
0.6,25.55923,16.712049999999998,25.55923,16.38437,25.55923,17.03973
0.62,25.55923,17.03974,25.55923,17.03974,25.55923,17.03974
0.64,25.55923,17.03975,25.55923,17.03975,25.55923,17.03975
0.66,25.88691,17.03976,25.55923,17.03976,26.21459,17.03976
0.68,26.21459,17.367449999999998,26.21459,17.03977,26.21459,17.69513
0.7,26.21459,17.69514,26.21459,17.69514,26.21459,17.69514
0.72,26.21458,18.02283,26.21458,18.35051,26.21458,17.69515
0.74,25.886895000000003,18.022835,26.21458,18.35052,25.55921,17.69515
0.76,24.903835,17.36748,24.90383,17.0398,24.90384,17.69516
0.78,24.90384,18.67822,24.90384,18.35054,24.90384,19.0059
0.8,24.90383,19.0059,24.90383,19.0059,24.90383,19.0059
0.82,24.90383,19.00591,24.90383,19.00591,24.90383,19.00591
0.84,24.90383,19.66128,24.90383,19.66128,24.90383,19.66128
0.86,25.55919,19.988970000000002,25.55919,20.31665,25.55919,19.66129
0.88,25.23151,19.988979999999998,24.90383,20.31666,25.55919,19.6613
0.9,25.23151,20.31666,25.55919,20.31666,24.90383,20.31666
0.92,25.23151,20.97203,24.90383,20.97203,25.55919,20.97203
0.94,25.55919,20.972034999999998,25.55919,20.97204,25.55919,20.97203
0.96,25.55919,20.64436,25.55919,20.31668,25.55919,20.97204
0.98,25.55919,20.97205,25.55919,20.97205,25.55919,20.97205
1.0,25.55919,21.62742,25.55919,21.62742,25.55919,21.62742
1.02,25.55919,21.62743,25.55919,21.62743,25.55919,21.62743
1.04,25.55919,22.610480000000003,25.55919,22.2828,25.55919,22.93816
1.06,25.55919,22.93817,25.55919,22.93817,25.55919,22.93817
1.08,25.55919,23.921219999999998,25.55919,23.59354,25.55919,24.2489
1.1,25.55919,24.90427,25.55919,24.90427,25.55919,24.90427
1.12,25.55919,25.23196,25.55919,24.90428,25.55919,25.55964
