t_s,x,y,x_left,y_left,x_right,y_right
0.08,-0.9830300000000001,0.3276999999999996,-1.31071,0.65538,-0.65535,1.9999999999243e-05
0.1,-1.31071,0.655385,-1.3107,0.65538,-1.31072,0.65539
0.12,-1.63839,0.65539,-1.96607,0.65539,-1.31071,0.65539
0.14,-1.63839,0.655384999999995,-1.96607,0.65539,-1.31071,0.65537999999999
0.16,-0.9830350000000001,0.9830700000000001,-1.31071,1.31075,-0.65536,0.65539
0.18,-0.655359999999998,1.31075,-1.31071,1.31075,-9.9999999960687e-06,1.31075
0.2,-0.654085,1.63843,-0.65281,1.31075,-0.65536,1.96611
0.22,-0.6553599999999951,1.6384400000000001,-0.65535999999999,1.96612,-0.65536,1.31076
0.24,-0.6553599999999951,1.638445,-0.65535999999999,1.96613,-0.65536,1.31076
0.26,-0.655364999999995,1.63845,-0.65535999999999,1.96613,-0.65537,1.31077
0.28,-0.65537,1.966135,-0.65537,1.96613,-0.65537,1.96614
0.3,-0.327684999999993,1.966135,-0.65535999999999,1.96614,-9.9999999960687e-06,1.96613
0.32,0.327665000000002,1.966145,-9.9999999960687e-06,1.96615,0.65534,1.96614
0.34,-0.655375,1.96615,-0.65537,1.96615,-0.65538,1.96615
0.36,-0.655375,1.966155,-0.65537,1.96616,-0.65538,1.96615
0.38,-0.65538,1.966155,-0.65538,1.96616,-0.65538,1.96615
0.4,-0.655385,1.966155,-0.65538,1.96616,-0.65539,1.96615
0.42,-0.9830700000000001,1.966155,-0.65539,1.96616,-1.31075,1.96615
0.44,-1.310755,2.2938349999999996,-1.31075,1.96616,-1.31076,2.62151
0.46,-1.6384349999999999,2.62152,-1.96611,2.62152,-1.31076,2.62152
0.48,-1.966115,2.949205,-1.96611,3.27688,-1.96612,2.62153
0.5,-1.96611,2.621525,-1.96611,2.62153,-1.96611,2.62152
0.52,-2.2937950000000003,2.62152,-2.62147,2.62152,-1.96612,2.62152
0.54,-2.2937849999999997,2.62152,-2.62146,2.62153,-1.96611,2.62151
0.56,-2.29379,1.96615,-2.62146,1.96615,-1.96612,1.96615
0.58,-2.29379,1.310785,-2.62147,1.31079,-1.96611,1.31078
0.6,-2.29379,0.983100000000005,-2.62147,0.65542000000001,-1.96611,1.31078
0.62,-6.55368,0.9831150000000051,-2.62147,0.65542000000001,-10.48589,1.31081
0.64,-19.66108,2.62157,-19.66107,2.62157,-19.66109,2.62157
0.66,-19.00569,4.25999,-19.00569,3.93231,-19.00569,4.58767
0.68,-19.333365,4.587675,-19.66104,4.58768,-19.00569,4.58767
0.7,-19.005685,4.58767,-19.00568,4.58767,-19.00569,4.58767
0.72,-18.678005,4.915355,-19.00568,5.24304,-18.35033,4.58767
0.74,-18.350324999999998,4.587675,-18.35032,4.58768,-18.35033,4.58767
0.76,-17.694965,4.259985,-17.69496,4.58767,-17.69497,3.9323
0.78,-17.03962,3.60461,-17.03961,3.93229,-17.03963,3.27693
0.8,-15.401215,2.6215450000000002,-17.03962,3.27692,-13.76281,1.96617
0.82,-1.31073,0.9831049999999999,-3.93222,1.31079,1.31076,0.65542
0.84,0.98306,2.62151,0.65539,2.62151,1.31073,2.62151
0.86,1.310735,2.9491949999999996,0.65538,3.27688,1.96609,2.62151
0.88,1.63841,2.293825,1.31074,2.62151,1.96608,1.96614
0.9,1.966085,1.63845,1.31073,1.96613,2.62144,1.31077
0.92,2.293755,0.655405,1.96608,0.65541,2.62143,0.6554
0.94,2.293755,0.32771499999999765,1.96608,0.6554,2.62143,2.9999999995312e-05
0.96,1.966075,-0.655330000000005,1.96608,-0.65533,1.96607,-0.65533000000001
0.98,2.29375,-0.98302,1.96608,-0.65533,2.62142,-1.31071
1.0,10.485865,-3.27683,5.2429,-2.62145,15.72883,-3.93221
1.02,19.005735,-2.62148,19.6611,-3.27684,18.35037,-1.96612
1.04,18.022675,-1.31074,17.695,-1.31074,18.35035,-1.31074
1.06,17.694995,-0.655379999999995,17.695,-0.65537999999999,17.69499,-0.65538
1.08,17.03963,-0.655379999999995,17.03963,-0.65537999999999,17.03963,-0.65538
1.1,16.711955,-0.655375,16.38428,-0.65537,17.03963,-0.65538
1.12,16.384275000000002,-0.9830599999999949,16.38428,-0.65537999999999,16.38427,-1.31074
1.14,16.056595,-1.638425,15.72892,-1.31074,16.38427,-1.96611
1.16,15.40123,-1.96611,15.72891,-1.96611,15.07355,-1.96611
1.18,15.401235,-2.621475,15.07356,-2.62147,15.72891,-2.62148
1.2,14.745864999999998,-2.949165,15.07355,-2.62148,14.41818,-3.27685
1.22,14.41818,-3.6045350000000003,13.76282,-3.27685,15.07354,-3.93222
1.24,25.231814999999997,-4.915295,21.62727,-4.5876,28.83636,-5.24299
1.26,28.18102,-3.604565,28.83639,-3.93225,27.52565,-3.27688
1.28,27.52565,-2.9492,27.52565,-2.62152,27.52565,-3.27688
1.3,27.525655,-2.9491949999999996,27.52566,-2.62151,27.52565,-3.27688
1.32,27.197965,-3.6045550000000004,26.87029,-3.27687,27.52564,-3.93224
1.34,27.197965,-4.25992,26.87029,-3.93224,27.52564,-4.5876
1.36,27.853315000000002,-5.2429749999999995,27.52564,-4.58761,28.18099,-5.89834
1.38,39.322265,-8.519835,32.76857,-7.86445,45.87596,-9.17522
1.4,47.842124999999996,-8.51984,49.15287,-9.17521,46.53138,-7.86447
1.42,45.54831,-6.55375,45.22063,-6.55375,45.87599,-6.55375
1.44,45.875995,-5.89838,45.876,-5.89838,45.87599,-5.89838
1.46,45.548305,-6.22607,45.22063,-5.89839,45.87598,-6.55375
1.48,45.220625,-6.553755,45.22063,-6.55375,45.22062,-6.55376
1.5,45.220625,-6.881449999999999,45.22063,-6.55376,45.22062,-7.20914
1.52,44.892945,-7.209135,44.56527,-7.20913,45.22062,-7.20914
1.54,44.892945,-7.536825,44.56527,-7.20914,45.22062,-7.86451
1.56,44.892945,-8.519874999999999,44.56527,-8.51987,45.22062,-8.51988
1.58,44.892935,-9.175245,44.56526,-8.51988,45.22061,-9.83061
1.6,49.80821,-11.79672,46.53136,-11.14134,53.08506,-12.4521
1.62,53.412785,-11.79673,53.74048,-12.45209,53.08509,-11.14137
1.64,52.102045000000004,-10.486005,51.77437,-9.83064,52.42972,-11.14137
1.66,51.77436,-10.486005,51.77437,-10.486,51.77435,-10.48601
1.68,51.774355,-10.813690000000001,51.77436,-10.48601,51.77435,-11.14137
1.7,51.446664999999996,-11.46905,51.11899,-11.14136,51.77434,-11.79674
1.72,51.118984999999995,-12.12442,51.11899,-11.79674,51.11898,-12.4521
1.74,51.118985,-12.779785,50.46363,-12.4521,51.77434,-13.10747
1.76,50.7913,-13.762834999999999,50.46362,-13.10747,51.11898,-14.4182
1.78,56.68964,-17.367375,52.42972,-15.72894,60.94956,-19.00581
1.8,68.81409500000001,-20.64424,68.15872,-20.31656,69.46947,-20.97192
1.82,67.83106000000001,-20.31655,67.50339,-20.31655,68.15873,-20.31655
1.84,68.486415,-20.97191,68.15874,-20.97191,68.81409,-20.97191
1.86,68.81409,-21.299599999999998,68.81409,-20.97192,68.81409,-21.62728
1.88,68.15873,-21.954965,68.15873,-21.62728,68.15873,-22.28265
1.9,68.158725,-21.954965,68.15873,-21.62728,68.15872,-22.28265
1.92,68.158725,-22.610329999999998,68.15873,-22.28265,68.15872,-22.93801
1.94,68.486405,-22.610345000000002,68.15873,-22.28266,68.81408,-22.93803
1.96,68.814085,-22.93803,68.81409,-22.93803,68.81408,-22.93803
1.98,69.141755,-22.93803,68.81408,-22.93803,69.46943,-22.93803
2.0,69.797115,-23.265725,69.46944,-22.93804,70.12479,-23.59341
2.02,68.486365,-24.576455,69.46944,-23.59341,67.50329,-25.5595
2.04,26.54258,-28.508544999999998,43.25453,-27.52554,9.83063,-29.49155
2.06,-10.81357,-26.214689999999997,-11.14124,-28.18079,-10.4859,-24.24859
2.08,-8.84743,-20.31637,-9.17511,-20.97174,-8.51975,-19.661
2.1,-8.847439999999999,-17.03953,-9.17512,-17.6949,-8.51976,-16.38416
2.12,-8.84743,-14.09038,-9.17511,-15.07343,-8.51975,-13.10733
2.14,-8.847425000000001,-9.5028,-9.17511,-10.48585,-8.51974,-8.51975
2.16,-10.158125,-2.6214399999999998,-9.83045,-4.58754,-10.4858,-0.65534
2.18,-11.468834999999999,2.6215149999999996,-11.14115,2.62151,-11.79652,2.62152
2.2,-26.54233,5.89842,-22.93779,4.58767,-30.14687,7.20917
2.22,-29.16378,11.469065,-29.49147,10.48601,-28.83609,12.45212
2.24,-28.83609,15.40127,-28.83608,15.07359,-28.8361,15.72895
2.26,-29.163775,15.40127,-29.49145,15.72895,-28.8361,15.07359
2.28,-29.163775,15.07359,-29.49145,15.07359,-28.8361,15.07359
2.3,-29.163775,14.418225,-29.49145,15.07359,-28.8361,13.76286
2.32,-29.16378,13.1075,-29.49146,13.76287,-28.8361,12.45213
2.34,-28.8361,12.124445000000001,-28.8361,12.45213,-28.8361,11.79676
2.36,-28.50842,10.158339999999999,-28.8361,10.48603,-28.18074,9.83065
2.38,-31.457594999999998,6.22614,-30.80221,6.55383,-32.11298,5.89845
2.4,-32.11296,6.22614,-32.11296,6.55382,-32.11296,5.89846
2.42,-32.11296,5.898465,-32.11296,6.55383,-32.11296,5.2431
2.44,-31.78528,4.915414999999999,-32.11295,5.2431,-31.45761,4.58773
2.46,-31.785275,3.932365,-32.11295,4.58773,-31.4576,3.277
2.48,-31.78528,2.94932,-32.11296,3.277,-31.4576,2.62164
2.5,-31.785269999999997,2.293955,-32.11295,2.62164,-31.45759,1.96627
2.52,-31.785269999999997,0.98322,-32.11295,1.31091,-31.45759,0.65553
