t_s,x,y,x_left,y_left,x_right,y_right
0.02,-4.999999999921734e-06,-0.655364999999995,1.31072,-0.65537,-1.31073,-0.65535999999999
0.04,-2.94915,-0.983055,-3.27683,-0.65538,-2.62147,-1.31073
0.06,-1.638415,-0.9830450000000001,-1.31073,-0.65537,-1.9661,-1.31072
0.08,-1.63842,-1.3107250000000001,-1.31074,-1.31073,-1.9661,-1.31072
0.1,-1.63842,-0.9830450000000001,-1.31074,-0.65537,-1.9661,-1.31072
0.12,-1.31074,-1.3107199999999999,-1.31074,-1.31073,-1.31074,-1.31071
0.14,-0.98306,-1.3107250000000001,-0.65538,-1.31073,-1.31074,-1.31072
0.16,-0.98306,-1.310735,-0.65538,-1.31074,-1.31074,-1.31073
0.18,-0.98305,-1.310735,-0.65537,-1.31074,-1.31073,-1.31073
0.2,-0.98305,-1.310735,-0.65537,-1.31074,-1.31073,-1.31073
0.22,-1.310735,-1.310735,-0.65537,-1.31074,-1.9661,-1.31073
0.24,-1.63841,-0.9830700000000001,-1.31073,-0.65539,-1.96609,-1.31075
0.26,-1.638415,-1.6384400000000001,-1.31073,-1.31076,-1.9661,-1.96612
0.28,-0.983055,-3.6045800000000003,-0.65537,-2.62152,-1.31074,-4.58764
0.3,3.27679,-13.43523,1.31071,-8.51992,5.24287,-18.35054
0.32,15.40098,-40.633215,12.45183,-32.1134,18.35013,-49.15303
0.34,35.062215,-73.40163,29.4915,-66.19259,40.63293,-80.61067
0.36,48.169795,-90.76891,47.1867,-89.13049,49.15289,-92.40733
0.38,48.825215,-90.441205,49.80828,-91.75196,47.84215,-89.13045
0.4,42.59912,-79.95528999999999,45.22062,-83.8875,39.97762,-76.02308
0.42,36.700694999999996,-63.571125,38.01146,-67.50333,35.38993,-59.63892
0.44,33.751369999999994,-48.49772,34.73446,-51.77456,32.76828,-45.22088
0.46,31.45747,-37.35647,32.11286,-39.32259,30.80208,-35.39035
0.48,30.146684999999998,-29.492005,30.80206,-31.45812,29.49131,-27.52589
0.5,28.835935,-22.938285,29.4913,-24.24904,28.18057,-21.62753
0.52,27.852895,-18.67834,28.18058,-19.66141,27.52521,-17.69527
0.54,26.2145,-15.073775000000001,26.86986,-15.72916,25.55914,-14.41839
0.56,25.231455,-12.452269999999999,26.2145,-13.10765,24.24841,-11.79689
0.58,24.576095000000002,-10.486139999999999,24.90378,-11.14152,24.24841,-9.83076
0.6,23.593049999999998,-8.52001,24.24841,-9.17539,22.93769,-7.86463
0.62,22.282335,-6.881575,22.9377,-7.20927,21.62697,-6.55388
0.64,20.971615,-5.570819999999999,21.62698,-5.89851,20.31625,-5.24313
0.66,20.31626,-4.260065,20.97162,-4.58776,19.6609,-3.93237
0.68,19.66091,-2.94932,20.31627,-3.27701,19.00555,-2.62163
0.7,18.350195,-1.96625,19.00556,-1.96626,17.69483,-1.96624
0.72,18.02251,-0.9832,18.35019,-0.65553,17.69483,-1.31087
0.74,17.039475,-0.655505,17.69484,-0.65552,16.38411,-0.65549
0.76,16.7118,-0.3278049999999977,17.03948,-0.65549,16.38412,-0.0001199999999954
0.78,15.728765,0.3275700000000073,16.38413,-0.0001199999999954,15.0734,0.65526000000001
0.8,15.073405000000001,0.982950000000005,15.72877,0.65526000000001,14.41804,1.31064
