t_s,x,y,x_left,y_left,x_right,y_right
0.14,1.6383800000000002,5.000000001587e-06,1.31071,0.0,1.96605,1.0000000003174e-05
0.16,1.9660549999999999,5.000000001587e-06,1.96606,0.0,1.96605,1.0000000003174e-05
0.18,1.638375,-0.327675,1.96606,0.0,1.31069,-0.65535
0.2,1.310695,5.000000001587e-06,1.3107,0.0,1.31069,1.0000000003174e-05
0.22,1.96606,9.99999999962135e-06,1.96606,9.9999999960687e-06,1.96606,1.0000000003174e-05
0.24,2.293745,9.99999999962135e-06,1.96607,9.9999999960687e-06,2.62142,1.0000000003174e-05
0.26,1.966065,5.000000001587e-06,1.96607,0.0,1.96606,1.0000000003174e-05
0.28,2.293745,5.000000001587e-06,2.62143,0.0,1.96606,1.0000000003174e-05
0.3,2.6214250000000003,0.32768,2.62143,0.65536,2.62142,0.0
0.32,2.6214250000000003,-0.327679999999995,2.62143,0.0,2.62142,-0.65535999999999
0.34,2.293745,0.0,2.62143,0.0,1.96606,0.0
0.36,2.6214250000000003,0.0,2.62143,0.0,2.62142,0.0
0.38,2.6214250000000003,-5.000000001587e-06,2.62143,-1.0000000003174e-05,2.62142,0.0
0.4,2.6214250000000003,0.0,2.62143,0.0,2.62142,0.0
0.42,2.6214250000000003,0.655355,2.62143,0.65535,2.62142,0.65536
0.44,2.293745,0.327675,2.62143,0.65535,1.96606,0.0
0.46,2.293745,0.65536,2.62143,0.65536,1.96606,0.65536
0.48,1.96607,0.65536,1.96607,0.65536,1.96607,0.65536
0.5,1.96607,1.3107250000000001,1.96607,1.31072,1.96607,1.31073
0.52,1.310715,1.966085,1.31072,1.96608,1.31071,1.96609
0.54,1.310715,2.949125,1.31072,2.62144,1.31071,3.27681
0.56,1.6384049999999948,3.6044850000000004,0.65535999999999,3.2768,2.62145,3.93217
0.58,2.2937849999999997,4.25984,2.62147,3.93216,1.9661,4.58752
0.6,1.966105,4.9152000000000005,1.96611,4.58752,1.9661,5.24288
0.62,1.31075,5.57056,1.31075,5.24287,1.31075,5.89825
0.64,1.31075,5.57056,1.31075,5.89824,1.31075,5.24288
0.66,1.310755,5.898245,1.31076,5.89824,1.31075,5.89825
0.68,0.655395,6.553595,0.6554,6.55359,0.65539,6.5536
0.7,0.655395,6.8812750000000005,0.6554,6.55359,0.65539,7.20896
0.72,0.6554,7.208955,0.65541,7.20895,0.65539,7.20896
0.74,0.32772000000000123,7.208955,0.65541,7.20895,3.0000000002417e-05,7.20896
0.76,3.9999999998486e-05,7.8643149999999995,3.9999999998486e-05,7.86431,3.9999999998486e-05,7.86432
0.78,4.4999999996520005e-05,8.519675,4.9999999994554e-05,8.51967,3.9999999998486e-05,8.51968
0.8,-0.655315,9.175035,-0.65531,9.17503,-0.65532,9.17504
0.82,-0.9829950000000001,9.502714999999998,-0.65531,9.17503,-1.31068,9.8304
0.84,-0.655315,9.83039,-0.65531,9.83039,-0.65532,9.83039
0.86,-0.655315,10.158065,-0.65531,10.48574,-0.65532,9.83039
0.88,-0.32763999999999877,10.158065,-0.65531,9.83038,3.0000000002417e-05,10.48575
0.9,-0.3276449999999988,9.83038,-0.65532,9.83038,3.0000000002417e-05,9.83038
0.92,-0.655330000000005,10.158055000000001,-0.65533000000001,10.48573,-0.65533,9.83038
0.94,-0.9830049999999999,10.485735,-0.65532,10.48573,-1.31069,10.48574
0.96,-0.65532,10.813424999999999,-0.65532,11.1411,-0.65532,10.48575
0.98,-1.310675,10.813424999999999,-1.31067,11.1411,-1.31068,10.48575
1.0,-0.98299,10.813414999999999,-0.65531,11.14109,-1.31067,10.48574
1.02,-0.982985,10.48573,-1.31066,10.48573,-0.65531,10.48573
1.04,-0.655305,10.813410000000001,-0.6553,10.48573,-0.65531,11.14109
1.06,-0.655305,10.158045000000001,-0.6553,10.48572,-0.65531,9.83037
1.08,-0.6553,10.158045000000001,-0.6553,10.48572,-0.6553,9.83037
1.1,-0.98298,10.48572,-0.6553,10.48572,-1.31066,10.48572
1.12,-1.3106550000000001,9.830355,-1.31065,9.83035,-1.31066,9.83036
1.14,-0.6553,9.830355,-0.6553,9.83035,-0.6553,9.83036
1.16,-0.655295,9.830355,-0.65529,9.83035,-0.6553,9.83036
1.18,-0.655295,9.830355,-0.65529,9.83035,-0.6553,9.83036
1.2,-0.655295,9.50267,-0.65529,9.83034,-0.6553,9.175
1.22,-0.6553,9.502675,-0.65529,9.83035,-0.65531,9.175
1.24,-0.655295,9.174995,-0.65529,9.17499,-0.6553,9.175
1.26,11.796655,10.15804,5.89836,9.83035,17.69495,10.48573
1.28,19.988770000000002,11.141095,20.97181,11.14109,19.00573,11.1411
1.3,19.005735,11.14109,19.00574,11.14109,19.00573,11.14109
1.32,18.350375,11.14109,18.35038,11.14109,18.35037,11.14109
