t_s,x,y,x_left,y_left,x_right,y_right
0.12,-1.31074,0.327675,-1.31074,0.0,-1.31074,0.65535
0.14,-1.31074,0.327675,-1.31074,0.0,-1.31074,0.65535
0.16,-1.63842,0.327675,-1.31074,0.0,-1.9661,0.65535
0.18,-1.638415,0.32767999999999803,-1.31074,9.9999999960687e-06,-1.96609,0.65535
0.2,-1.638415,0.327675,-1.31074,0.0,-1.96609,0.65535
0.22,-1.310735,-4.99999999803435e-06,-1.31074,0.0,-1.31073,-9.9999999960687e-06
0.24,-1.63842,-4.99999999803435e-06,-1.31074,0.0,-1.9661,-9.9999999960687e-06
0.26,-2.29378,0.327675,-1.9661,0.0,-2.62146,0.65535
0.28,-2.949105,2.293755,-2.62146,0.65536,-3.27675,3.93215
0.3,-0.9828349999999999,5.570539999999999,-1.31053,5.24287,-0.65514,5.89821
0.32,-0.655165,5.570555000000001,-0.65517,5.24288,-0.65516,5.89823
0.34,-0.655635,5.570550000000001,-0.65611,5.24288,-0.65516,5.89822
0.36,-0.65517,5.570550000000001,-0.65517,5.24288,-0.65517,5.89822
0.38,-0.98285,5.898215,-0.65517,5.89822,-1.31053,5.89821
0.4,-1.31053,5.89822,-1.31053,5.89823,-1.31053,5.89821
0.42,-0.9828399999999999,5.570535,-0.65516,5.24286,-1.31052,5.89821
0.44,-1.31052,5.570535,-1.31052,5.24286,-1.31052,5.89821
0.46,-0.98285,5.570535,-0.65517,5.24286,-1.31053,5.89821
0.48,-1.310535,5.570525,-1.31053,5.24285,-1.31054,5.8982
0.5,-1.638225,5.570535,-1.31055,5.24286,-1.9659,5.89821
0.52,-1.96591,5.570535,-1.96591,5.24286,-1.96591,5.89821
0.54,-1.96591,5.570535,-1.96591,5.24286,-1.96591,5.89821
0.56,-1.96591,5.57053,-1.96591,5.24286,-1.96591,5.8982
0.58,-1.63823,5.57053,-1.31055,5.24286,-1.96591,5.8982
0.6,-1.96591,5.570525,-1.96591,5.24285,-1.96591,5.8982
0.62,-1.96592,5.57053,-1.96592,5.24286,-1.96592,5.8982
0.64,-1.96592,5.570525,-1.96592,5.24285,-1.96592,5.8982
0.66,-1.9659200000000001,5.570525,-1.96593,5.24285,-1.96591,5.8982
0.68,0.98331,6.55356,0.65561,6.55357,1.31101,6.55355
0.7,1.310985,6.881245,1.31098,6.55357,1.31099,7.20892
0.72,1.31099,6.881245,1.31099,6.55357,1.31099,7.20892
0.74,1.63867,6.881245,1.96635,6.55357,1.31099,7.20892
0.76,1.31098,6.88125,1.31098,6.55357,1.31098,7.20893
0.78,1.638655,6.881245,1.96633,6.55357,1.31098,7.20892
0.8,1.310975,6.8812549999999995,1.31097,6.55358,1.31098,7.20893
0.82,1.310975,6.8812549999999995,1.31097,6.55358,1.31098,7.20893
0.84,1.638665,6.8812549999999995,1.96634,6.55358,1.31099,7.20893
0.86,1.63867,6.8812549999999995,1.96635,6.55358,1.31099,7.20893
0.88,1.96635,6.8812549999999995,1.96635,6.55358,1.96635,7.20893
0.9,1.63867,6.8812549999999995,1.96635,6.55358,1.31099,7.20893
0.92,1.31099,6.8812549999999995,1.96635,6.55358,0.65563,7.20893
0.94,0.9833100000000001,6.8812549999999995,1.31099,6.55358,0.65563,7.20893
0.96,0.32791000000000137,6.553565000000001,0.65561,6.55358,0.0002100000000027,6.55355
0.98,-1.3105,6.225885,-1.31051,5.89821,-1.31049,6.55356
1.0,-1.31051,6.225885,-1.31051,5.89821,-1.31051,6.55356
1.02,-1.63818,6.225885,-1.3105,5.89821,-1.96586,6.55356
1.04,-2.293545,6.225885,-1.96587,5.89821,-2.62122,6.55356
1.06,-2.29354,6.225885,-1.96586,5.89821,-2.62122,6.55356
1.08,-1.965855,6.22589,-1.96586,5.89822,-1.96585,6.55356
1.1,-2.6212150000000003,6.225885,-2.62122,5.89821,-2.62121,6.55356
1.12,-2.62122,6.225885,-2.62122,5.89821,-2.62122,6.55356
1.14,2.294185,9.502675,0.65567,8.51965,3.9327,10.4857
1.16,5.898805,10.158014999999999,6.55419,9.83034,5.24342,10.48569
1.18,4.91573,9.502665,5.24341,9.17499,4.58805,9.83034
1.2,4.260365,10.15802,4.58804,9.83034,3.93269,10.4857
1.22,4.588035,9.830345,4.58803,9.83035,4.58804,9.83034
1.24,4.588035,9.502655,4.58803,9.17498,4.58804,9.83033
1.26,4.260355,9.502659999999999,4.58803,9.17498,3.93268,9.83034
1.28,4.26035,9.502655,4.58803,9.17498,3.93267,9.83033
1.3,3.93267,9.502655,3.93267,9.17498,3.93267,9.83033
1.32,3.932665,9.174975,3.93266,9.17498,3.93267,9.17497
1.34,3.93266,9.174975,3.93266,9.17498,3.93266,9.17497
1.36,3.60499,9.502655,3.93267,9.17498,3.27731,9.83033
1.38,3.604985,9.174975,3.93266,9.17498,3.27731,9.17497
1.4,3.93267,9.174965,3.93267,9.17497,3.93267,9.17496
1.42,3.604985,36.372405,3.93267,9.17497,3.2773,63.56984
1.44,2.949625,9.502645000000001,3.2773,9.17497,2.62195,9.83032
1.46,2.29426,9.502645000000001,2.62194,9.17497,1.96658,9.83032
1.48,1.96658,9.502645000000001,1.96658,9.17497,1.96658,9.83032
1.5,1.966585,9.50264,1.96658,9.17496,1.96659,9.83032
1.52,0.0005999999999999339,7.86423,1.31124,8.5196,-1.31004,7.20886
1.54,-0.32691499999999857,5.570465,0.0007700000000028,5.24279,-0.6546,5.89814
1.56,-0.982295,5.570465,-0.65462,5.24279,-1.30997,5.89814
1.58,-0.9822900000000001,5.242785,-0.65461,5.24279,-1.30997,5.24278
1.6,-1.63766,4.9151050000000005,-1.30998,4.58743,-1.96534,5.24278
1.62,-1.63765,4.9151050000000005,-1.30997,4.58743,-1.96533,5.24278
1.64,-1.30997,4.9151050000000005,-1.30997,4.58743,-1.30997,5.24278
1.66,-1.63765,4.91511,-1.30997,4.58743,-1.96533,5.24279
1.68,-1.637645,5.242785,-1.30997,5.24279,-1.96532,5.24278
1.7,-1.63764,4.91511,-1.30996,4.58744,-1.96532,5.24278
1.72,-1.30996,4.915115,-1.30996,4.58744,-1.30996,5.24279
1.74,-1.309955,5.242795,-1.30996,5.2428,-1.30995,5.24279
1.76,-1.309955,4.915115,-1.30996,4.58744,-1.30995,5.24279
1.78,-0.6546,5.2428,-0.6546,4.58744,-0.6546,5.89816
1.8,-0.32693000000000183,5.57048,0.0007499999999964,5.24281,-0.65461,5.89815
1.82,-0.6546050000000018,5.24281,0.0007499999999964,5.24281,-1.30996,5.24281
1.84,-2.620585,3.932115,-2.6206,3.93212,-2.62057,3.93211
1.86,-2.6206,3.2767549999999996,-2.6206,3.27676,-2.6206,3.27675
1.88,-2.620595,2.949085,-2.62059,2.62141,-2.6206,3.27676
1.9,-2.29291,2.949085,-1.96523,2.62141,-2.62059,3.27676
1.92,-1.96523,2.621405,-1.96523,2.62141,-1.96523,2.6214
