t_s,x,y,x_left,y_left,x_right,y_right
0.2,0.983075,-0.9830400000000001,0.6554,-1.31072,1.31075,-0.65536
0.22,1.31075,-1.31073,1.31075,-1.31073,1.31075,-1.31073
0.24,1.310745,-1.966095,1.31075,-1.96609,1.31074,-1.9661
0.26,1.966105,-2.29377,1.96611,-2.62145,1.9661,-1.96609
0.28,1.310735,-1.63841,1.31073,-1.96609,1.31074,-1.31073
0.3,0.983055,-1.63842,1.31073,-1.9661,0.65538,-1.31074
0.32,0.9830650000000001,-1.96611,1.31074,-1.96611,0.65539,-1.96611
0.34,0.655385,-2.62147,0.65539,-2.62147,0.65538,-2.62147
0.36,0.3276949999999996,-1.96611,0.65537,-2.62147,1.9999999999243e-05,-1.31075
0.38,0.3276900000000016,-1.310745,0.65537,-1.31075,1.0000000003174e-05,-1.31074
0.4,0.65536,-1.96611,0.65536,-1.96611,0.65536,-1.96611
0.42,0.9830300000000001,-1.63843,1.31071,-1.96611,0.65535,-1.31075
0.44,0.983025,-0.9830650000000001,1.3107,-1.31075,0.65535,-0.65538
0.5,0.65535,1.6384050000000001,0.65535,1.31072,0.65535,1.96609
0.52,0.3276699999999984,2.29377,0.65535,1.96609,-1.0000000003174e-05,2.62145
0.54,-0.3276850000000016,3.27682,-1.0000000003174e-05,3.27682,-0.65536,3.27682
0.56,-0.65537,3.9321900000000003,-0.65537,3.27683,-0.65537,4.58755
0.58,-1.310735,4.259875,-1.31073,3.9322,-1.31074,4.58755
0.6,-0.983055,4.91523,-0.65538,4.58755,-1.31073,5.24291
0.62,-0.9830650000000001,5.5706,-1.31074,5.24292,-0.65539,5.89828
0.64,-0.3277100000000012,5.570595,-0.65539,5.24291,-3.0000000002417e-05,5.89828
0.66,-3.50000000004515e-05,5.89828,-3.0000000002417e-05,5.89828,-3.9999999998486e-05,5.89828
0.68,-3.0000000002417e-05,6.881325,-3.0000000002417e-05,6.55364,-3.0000000002417e-05,7.20901
0.7,-3.0000000002417e-05,7.209015,-3.0000000002417e-05,7.20901,-3.0000000002417e-05,7.20902
0.72,-3.0000000002417e-05,7.209015,-3.0000000002417e-05,7.20901,-3.0000000002417e-05,7.20902
0.74,-2.00000000027955e-05,7.536695,-3.0000000002417e-05,7.20901,-1.0000000003174e-05,7.86438
0.76,-0.3276900000000016,8.192065,-1.0000000003174e-05,7.86438,-0.65537,8.51975
0.78,-0.65537,8.192070000000001,-0.65537,7.86439,-0.65537,8.51975
0.8,-0.65537,8.192074999999999,-0.65537,7.86439,-0.65537,8.51976
0.82,-0.98305,8.51975,-0.65537,8.51975,-1.31073,8.51975
0.84,-0.98305,8.519755,-0.65537,8.51975,-1.31073,8.51976
0.86,-0.3277100000000012,7.86439,-0.65539,7.86439,-3.0000000002417e-05,7.86439
0.88,0.6553199999999999,6.55365,0.65533,6.55365,0.65531,6.55365
0.9,0.655315,6.881315,0.65532,6.55363,0.65531,7.209
0.92,0.32762999999999914,7.53669,0.65531,7.20901,-5.000000000166e-05,7.86437
0.94,-0.65542,8.19206,-0.65542,7.86438,-0.65542,8.51974
0.96,-1.31078,8.84742,-1.31078,8.51974,-1.31078,9.1751
0.98,-1.63845,8.84742,-1.31077,8.51974,-1.96613,9.1751
1.0,-1.96613,9.1751,-1.96613,9.1751,-1.96613,9.1751
1.02,-1.966125,9.502780000000001,-1.96613,9.1751,-1.96612,9.83046
1.04,-1.310765,10.15814,-1.31077,9.83046,-1.31076,10.48582
1.06,-1.31076,10.48582,-1.31076,10.48582,-1.31076,10.48582
