t_s,x,y,x_left,y_left,x_right,y_right
0.08,0.6553749999999949,-1.31073,0.65537,-1.31073,0.65537999999999,-1.31073
0.1,0.65537,-1.31074,0.65537,-1.31074,0.65537,-1.31074
0.12,0.9830599999999949,-1.31074,0.65537999999999,-1.31074,1.31074,-1.31074
0.14,0.65537999999999,-1.966095,0.65537999999999,-1.96609,0.65537999999999,-1.9661
0.16,0.655384999999995,-1.31074,0.65539,-1.31074,0.65537999999999,-1.31074
0.18,0.65539,-1.966105,0.65539,-1.96611,0.65539,-1.9661
0.2,0.65539,-1.966105,0.65539,-1.96611,0.65539,-1.9661
0.22,0.65539,-1.966105,0.65539,-1.96611,0.65539,-1.9661
0.24,0.6554,-1.31074,0.6554,-1.31074,0.6554,-1.31074
0.26,0.65541,-0.98306,0.65541,-1.31074,0.65541,-0.65538
0.28,0.65541,-1.31074,0.65541,-1.31074,0.65541,-1.31074
0.32,1.966185,2.62146,1.96618,2.62146,1.96619,2.62146
0.34,2.62156,2.62147,2.62156,2.62147,2.62156,2.62147
0.36,2.6215650000000004,2.949155,2.62156,2.62147,2.62157,3.27684
0.38,2.62156,3.27684,2.62156,3.27684,2.62156,3.27684
0.4,2.293885,32.440365,2.62157,61.60388,1.9662,3.27685
0.42,1.63852,3.9322049999999997,1.9662,3.9322,1.31084,3.93221
0.44,2.621575,3.9322150000000002,0.65548,3.93221,4.58767,3.93222
0.46,18.350450000000002,2.6215149999999996,17.0397,2.62152,19.6612,2.62151
0.48,17.367404999999998,3.6045550000000004,17.03973,3.27687,17.69508,3.93224
0.5,17.695075000000003,3.93225,17.69508,3.93225,17.69507,3.93225
0.52,17.69507,4.259945,17.69507,3.93226,17.69507,4.58763
0.54,17.69507,4.25995,17.69507,3.93227,17.69507,4.58763
0.56,18.022759999999998,5.2429950000000005,18.35044,5.24299,17.69508,5.243
0.58,18.02277,5.89836,17.69509,5.89836,18.35045,5.89836
0.6,18.35046,6.553725,18.35046,6.55372,18.35046,6.55373
0.62,18.350465,6.553725,18.35046,6.55372,18.35047,6.55373
0.64,17.695104999999998,6.55373,17.6951,6.55373,17.69511,6.55373
0.66,18.350479999999997,7.5367750000000004,17.69511,7.20909,19.00585,7.86446
0.68,19.66123,7.20909,19.66123,7.20909,19.66123,7.20909
0.7,19.66123,7.8644549999999995,19.66123,7.86445,19.66123,7.86446
0.72,19.66123,7.86446,19.66123,7.86446,19.66123,7.86446
0.74,19.66123,8.19214,19.66123,7.86446,19.66123,8.51982
0.76,19.66123,8.192145,19.66123,7.86446,19.66123,8.51983
0.78,19.66123,9.17519,19.66123,9.17519,19.66123,9.17519
0.8,20.316595,35.061910000000005,19.66123,8.51983,20.97196,61.60399
0.82,38.33923,9.5029,33.42395,9.83058,43.25451,9.17522
0.84,42.59916,8.847529999999999,42.59916,8.51985,42.59916,9.17521
0.86,42.926845,9.502894999999999,42.59916,9.17521,43.25453,9.83058
0.88,42.599165,10.158265,42.59917,9.83058,42.59916,10.48595
0.9,42.926845,10.158270000000002,43.25452,9.83059,42.59917,10.48595
0.92,42.59917,10.48595,42.59917,10.48595,42.59917,10.48595
0.94,42.59917,10.81364,42.59917,10.48596,42.59917,11.14132
0.96,42.271495,11.14132,42.59917,11.14132,41.94382,11.14132
0.98,41.94382,11.14133,41.94382,11.14133,41.94382,11.14133
1.0,47.84213,11.469014999999999,42.59918,11.14133,53.08508,11.7967
1.02,10.159210000000002,11.14135,62.91566,11.14135,-42.59724,11.14135
1.04,64.22644,11.796705,64.22644,11.7967,64.22644,11.79671
1.06,64.55412,11.796714999999999,64.8818,11.79671,64.22644,11.79672
1.08,64.22644,12.124410000000001,64.22644,11.79673,64.22644,12.45209
1.1,64.22644,12.4521,64.22644,12.4521,64.22644,12.4521
1.12,64.22644,13.10747,64.22644,13.10747,64.22644,13.10747
1.14,63.2434,13.435155,63.57108,13.10747,62.91572,13.76284
1.16,62.91572,14.090525,62.91572,13.76284,62.91572,14.41821
1.18,67.17561500000001,15.073585000000001,63.57108,14.41821,70.78015,15.72896
1.2,80.283065,15.40128,79.95536,15.72896,80.61077,15.0736
1.22,78.97235,16.056645,79.30003,15.72896,78.64467,16.38433
1.24,78.97236,17.039695000000002,79.30004,17.03969,78.64468,17.0397
1.26,78.64468,17.039859999999997,78.64468,17.04001,78.64468,17.03971
1.28,78.64468,17.36739,78.64468,17.03971,78.64468,17.69507
1.3,77.989315,17.69507,77.98931,17.69507,77.98932,17.69507
1.32,78.316995,17.695075000000003,77.98932,17.69507,78.64467,17.69508
1.34,78.97234,17.69508,78.64466,17.69508,79.30002,17.69508
1.36,80.28305,17.695085,79.95537,17.69508,80.61073,17.69509
1.38,80.28305,18.022775000000003,79.95537,17.69509,80.61073,18.35046
1.4,80.61073,18.022785,80.61073,17.6951,80.61073,18.35047
1.42,80.61073,18.67816,80.61073,18.35048,80.61073,19.00584
1.44,80.61073,18.35048,80.61073,18.35048,80.61073,18.35048
1.46,80.28305,18.678165,80.61073,18.35048,79.95537,19.00585
1.48,88.14749,19.00586,81.92146,19.00584,94.37352,19.00588
1.5,101.58267000000001,18.678215,102.89339,18.35054,100.27195,19.00589
1.52,98.63353000000001,19.661254999999997,98.30585,19.66125,98.96121,19.66126
1.54,99.28889,19.988934999999998,99.61657,19.66125,98.96121,20.31662
1.56,99.61657,19.661265,99.61657,19.66126,99.61657,19.66127
1.58,99.28889,19.661265,99.61657,19.66126,98.96121,19.66127
1.6,99.61656500000001,19.66127,99.61657,19.66127,99.61656,19.66127
1.62,99.61656,19.33359,99.61656,19.00591,99.61656,19.66127
1.64,99.944235,19.33359,100.27191,19.00591,99.61656,19.66127
1.66,100.27192,19.33359,100.27192,19.66127,100.27192,19.00591
1.68,100.27192,19.33359,100.27192,19.00591,100.27192,19.66127
1.7,100.271925,19.661275,100.27192,19.66127,100.27193,19.66128
1.72,100.59961,19.66128,100.92729,19.66128,100.27193,19.66128
1.74,94.37358499999999,18.6782,100.27193,19.00591,88.47524,18.35049
1.76,32.113344999999995,15.07349,52.42979,15.72891,11.7969,14.41807
1.78,-7.864135,18.350175,-8.51951,17.03945,-7.20876,19.6609
1.8,-4.587275,19.333225,-4.58727,19.66091,-4.58728,19.00554
1.82,-2.6212,17.367130000000003,-3.27656,18.35018,-1.96584,16.38408
1.84,0.00023999999999996247,12.451885,-0.65512,13.76261,0.6556,11.14116
1.86,1.638655,7.536645,1.31097,8.51969,1.96634,6.5536
1.88,2.621715,5.2428550000000005,1.96635,5.24286,3.27708,5.24285
1.9,-3.2765750000000002,9.830404999999999,-1.96584,9.17504,-4.58731,10.48577
1.92,-3.604235,9.17505,-3.93192,9.17505,-3.27655,9.17505
1.94,-3.60423,9.830415,-3.27655,9.83041,-3.93191,9.83042
1.96,-3.931905,9.502745,-3.93191,9.17506,-3.9319,9.83043
1.98,-5.24262,10.813485,-4.58726,10.4858,-5.89798,11.14117
2.0,-5.5703,11.46885,-5.24262,11.14117,-5.89798,11.79653
2.02,-5.897995,12.124225,-5.89799,11.79654,-5.898,12.45191
2.04,-5.898015,13.107285000000001,-5.89801,12.45192,-5.89802,13.76265
2.06,-6.225715,16.056445,-5.89803,15.0734,-6.5534,17.03949
2.08,-6.88108,18.350235,-6.5534,17.69487,-7.20876,19.0056
2.1,-2.2934950000000005,21.299394999999997,-4.5873,20.9717,0.0003099999999989,21.62709
2.12,0.9833749999999999,22.937825,1.31106,22.28246,0.65569,23.59319
2.14,0.6556850000000001,24.248559999999998,0.65569,23.5932,0.65568,24.90392
2.16,0.32800499999999905,24.90394,0.0003299999999981,24.90394,0.65568,24.90394
2.18,-0.32736000000000753,25.231634999999997,0.0003199999999949,24.90395,-0.65504000000001,25.55932
2.2,-0.32736000000000753,25.887005000000002,0.0003199999999949,25.55933,-0.65504000000001,26.21468
2.22,6.554015,25.231659999999998,1.31105,25.55933,11.79698,24.90399
2.24,19.333735,25.23167,19.66141,24.90399,19.00606,25.55935
2.26,19.00606,26.542395,19.00606,26.21471,19.00606,26.87008
2.28,19.00606,26.870085000000003,19.00606,26.87008,19.00606,26.87009
2.3,19.00606,27.85313,19.00606,27.52545,19.00606,28.18081
2.32,19.33374,28.508495,19.66142,28.18081,19.00606,28.83618
2.34,19.006055,28.508499999999998,19.00606,28.18082,19.00605,28.83618
2.36,19.00605,29.16387,19.00605,28.83619,19.00605,29.49155
2.38,27.52583,29.491574999999997,21.62751,29.49156,33.42415,29.49159
2.4,39.97786,28.83623,39.97785,28.83623,39.97787,28.83623
2.42,40.306830000000005,29.16391,39.97787,28.83623,40.63579,29.49159
2.44,40.633235,29.4916,40.63323,29.4916,40.63324,29.4916
2.46,40.63324,29.819290000000002,40.63324,29.49161,40.63324,30.14697
2.48,40.63324,30.14697,40.63324,30.14697,40.63324,30.14697
2.5,39.97788,30.80233,39.97788,30.80233,39.97788,30.80233
2.52,39.97788,30.47465,39.97788,30.14697,39.97788,30.80233
2.54,39.650195,30.80233,39.97787,30.80233,39.32252,30.80233
2.56,46.531585,30.146985,43.91009,30.80234,49.15308,29.49163
2.58,48.17004,29.81931,48.49773,29.49163,47.84235,30.14699
2.6,48.49772,30.146985,48.49772,30.14698,48.49772,30.14699
2.62,47.842355,30.14699,47.84235,30.14699,47.84236,30.14699
2.64,47.842355,30.14698,47.84236,30.14698,47.84235,30.14698
2.66,47.84235,29.819305,47.84235,30.14698,47.84235,29.49163
2.68,48.170015,29.49162,47.84234,29.49162,48.49769,29.49162
2.7,49.153045,28.83627,49.15305,28.83627,49.15304,28.83627
2.72,49.808395000000004,28.83627,49.8084,28.83627,49.80839,28.83627
2.74,49.48071,28.18091,49.80839,28.18091,49.15303,28.18091
2.76,52.757535000000004,27.19787,49.15302,27.52555,56.36205,26.87019
2.78,75.367785,24.904125,72.09091,24.90412,78.64466,24.90413
2.8,76.023215,25.231805,76.67858,24.90412,75.36785,25.55949
2.82,76.35088999999999,25.55949,76.02321,25.55949,76.67857,25.55949
2.84,76.023215,26.21485,76.02322,26.21485,76.02321,26.21485
2.86,76.02321,26.542635,76.02321,26.21505,76.02321,26.87022
2.88,76.35088999999999,27.1979,76.67857,26.87022,76.02321,27.52558
2.9,76.35088999999999,27.1979,76.67857,26.87022,76.02321,27.52558
2.92,76.35088999999999,27.1979,76.67857,26.87022,76.02321,27.52558
2.94,76.0232,26.87021,76.0232,26.87021,76.0232,26.87021
2.96,76.0232,26.87021,76.0232,26.87021,76.0232,26.87021
2.98,76.02319,26.54252,76.02319,26.21484,76.02319,26.8702
3.0,75.367825,26.21484,75.36783,26.21484,75.36782,26.21484
3.02,83.887635,26.87023,79.30003,26.21485,88.47524,27.52561
3.04,89.78603000000001,27.853279999999998,90.4414,27.5256,89.13066,28.18096
3.06,89.13065499999999,28.83632,88.47529,28.83632,89.78602,28.83632
3.08,89.45833,28.83632,89.78601,28.83632,89.13065,28.83632
3.1,89.78601,29.49168,89.78601,29.49168,89.78601,29.49168
3.12,89.78602,30.147035000000002,89.78602,30.14703,89.78602,30.14704
3.14,90.1137,30.14703,89.78602,30.14703,90.44138,30.14703
3.16,90.1137,30.14703,89.78602,30.14703,90.44138,30.14703
3.18,89.786025,30.14703,89.78602,30.14703,89.78603,30.14703
3.2,90.113705,29.81934,89.78602,30.14702,90.44139,29.49166
3.22,86.18275,26.870195000000002,90.44139,28.83629,81.92411,24.9041
3.24,27.198150000000002,22.93788,49.15301,22.28255,5.24329,23.59321
3.26,-20.316074999999998,27.853015,-18.34998,27.52533,-22.28217,28.1807
3.28,-19.0053,28.836084999999997,-19.0053,28.83608,-19.0053,28.83609
3.3,-18.022255,29.16378,-18.34994,28.8361,-17.69457,29.49146
3.32,-16.056165,28.8361,-16.38385,28.8361,-15.72848,28.8361
3.34,-14.417765,28.50842,-15.07312,28.8361,-13.76241,28.18074
3.36,-13.10705,28.18074,-13.10705,28.18074,-13.10705,28.18074
3.38,-11.79633,27.52538,-11.79633,27.52538,-11.79633,27.52538
3.4,-11.14097,27.197699999999998,-11.14097,27.52538,-11.14097,26.87002
3.42,-10.813289999999999,26.870025,-10.48561,26.87002,-11.14097,26.87003
3.44,-10.485605,26.87002,-10.48561,26.87002,-10.4856,26.87002
3.46,-7.864125,26.870025,-9.83024,26.87001,-5.89801,26.87004
3.48,-4.259575,26.21467,-4.58726,26.21467,-3.93189,26.21467
3.5,-3.6042050000000003,26.21467,-3.93189,26.21467,-3.27652,26.21467
3.52,-3.27652,26.214675,-3.27652,26.21467,-3.27652,26.21468
3.54,-1.310425000000005,25.887,-3.27652,25.55931,0.65566999999999,26.21469
3.56,15.073809999999998,24.903979999999997,13.10769,25.55935,17.03993,24.24861
3.58,15.07383,24.24861,15.07383,24.24861,15.07383,24.24861
3.6,15.07383,24.24861,15.07383,24.24861,15.07383,24.24861
3.62,15.073825,24.57629,15.07382,24.24861,15.07383,24.90397
3.64,15.07382,25.231650000000002,15.07382,24.90397,15.07382,25.55933
3.66,15.07382,24.90398,15.07382,24.90398,15.07382,24.90398
3.68,15.401499999999999,24.90398,15.07382,24.90398,15.72918,24.90398
3.7,15.401495,24.90398,15.72917,24.90398,15.07382,24.90398
3.72,32.44104,24.248645,22.9382,24.90399,41.94388,23.5933
3.74,47.84227,23.593285,49.15299,23.59329,46.53155,23.59328
3.76,45.876175,23.59328,45.22081,23.59328,46.53154,23.59328
3.78,46.53153,23.593285,46.53153,23.59328,46.53153,23.59329
3.8,46.203845,24.248645000000003,46.53152,24.24864,45.87617,24.24865
3.82,45.87616,24.24865,45.87616,24.24865,45.87616,24.24865
