t_s,x,y,x_left,y_left,x_right,y_right
0.04,-0.32767499999999694,1.31074,-0.65535999999999,1.31074,9.9999999960687e-06,1.31074
0.06,-0.32767000000000196,1.9661,-0.65535,1.9661,9.9999999960687e-06,1.9661
0.08,9.99999999962135e-06,2.2937849999999997,1.0000000003174e-05,2.62146,9.9999999960687e-06,1.96611
0.1,2.00000000027955e-05,2.29379,2.0000000006348e-05,2.62147,1.9999999999243e-05,1.96611
0.12,-0.3276600000000004,2.621475,-0.65534,2.62147,1.9999999999243e-05,2.62148
0.14,1.999999999996449e-05,2.621475,-0.65534,2.62147,0.65538,2.62148
0.16,-0.3276600000000004,2.94916,-0.65534,3.27684,1.9999999999243e-05,2.62148
0.18,-0.655335,2.949165,-0.65534,3.27684,-0.65533,2.62149
0.2,-0.32765000000000233,2.949165,-0.65533,3.27684,2.9999999995312e-05,2.62149
0.22,-0.65532,3.276845,-0.65532,3.27684,-0.65532,3.27685
0.24,-0.9830000000000001,3.27685,-1.31068,3.27685,-0.65532,3.27685
0.26,-0.9830000000000001,3.27685,-1.31068,3.27685,-0.65532,3.27685
0.28,-0.9829950000000001,3.6045249999999998,-1.31068,3.9322,-0.65531,3.27685
0.3,-1.9660549999999999,2.293805,-1.96604,3.27685,-1.96607,1.31076
0.32,-5.242965,3.0000000002417e-05,-5.24296,3.0000000002417e-05,-5.24297,3.0000000002417e-05
0.34,-5.24296,-0.3276449999999988,-5.24296,3.0000000002417e-05,-5.24296,-0.65532
0.36,-5.57064,-0.32764000000000076,-5.89832,3.9999999998486e-05,-5.24296,-0.65532
0.38,-5.570645,4.5000000000073004e-05,-5.89832,3.9999999998486e-05,-5.24297,5.000000000166e-05
0.4,-5.57065,5.000000000166e-05,-5.89833,5.000000000166e-05,-5.24297,5.000000000166e-05
0.42,-4.9153,-0.32762999999999914,-5.24298,5.000000000166e-05,-4.58762,-0.65531
0.44,-5.24298,5.4999999999694494e-05,-5.24298,5.000000000166e-05,-5.24298,5.9999999997729e-05
0.46,-4.9153,0.65542,-5.24298,0.65542,-4.58762,0.65542
0.48,-4.9153,0.65542,-5.24298,0.65542,-4.58762,0.65542
0.5,-5.570665,5.500000000002725e-05,-5.89835,0.65542,-5.24298,-0.65531
0.52,-5.57067,-0.32762999999999914,-5.89835,5.000000000166e-05,-5.24299,-0.65531
0.54,-5.24299,0.3277349999999989,-5.24299,0.65541,-5.24299,5.9999999997729e-05
0.56,-5.57068,5.9999999997729e-05,-5.89836,5.9999999997729e-05,-5.243,5.9999999997729e-05
0.58,-5.243,-0.32761500000000116,-5.243,5.9999999997729e-05,-5.243,-0.65529
0.6,-5.570675,6.4999999999316e-05,-5.89836,5.9999999997729e-05,-5.24299,7.0000000000903e-05
0.62,-5.57067,0.32775000000000043,-5.89835,0.65543,-5.24299,7.0000000000903e-05
0.64,-5.24299,0.655435,-5.24299,0.65543,-5.24299,0.65544
0.66,-5.242985,0.983115,-5.89835,1.31079,-4.58762,0.65544
0.68,-4.915305,0.983115,-5.24299,1.31079,-4.58762,0.65544
0.7,-4.9153,1.638485,-5.24298,1.96616,-4.58762,1.31081
0.72,-4.9153,1.638495,-5.24298,1.96617,-4.58762,1.31082
0.74,-5.24298,1.96618,-5.24298,1.96618,-5.24298,1.96618
0.76,-5.24298,2.62155,-5.24298,2.62155,-5.24298,2.62155
0.78,-5.57065,2.949235,-5.89833,3.27691,-5.24297,2.62156
0.8,-5.89833,3.27692,-5.89833,3.27692,-5.89833,3.27692
0.82,-6.226005,3.60461,-6.55369,3.93229,-5.89832,3.27693
0.84,-6.55368,3.932295,-6.55368,3.93229,-6.55368,3.9323
0.86,-7.20904,3.9323,-7.20904,3.9323,-7.20904,3.9323
0.88,-7.86439,3.60462,-7.86439,3.9323,-7.86439,3.27694
0.9,-8.519745,3.9323050000000004,-8.51975,3.9323,-8.51974,3.93231
0.92,-4.259655,13.762715,-5.89818,10.48591,-2.62113,17.03952
0.94,-4.259460000000001,19.0056,-3.93177,19.0056,-4.58715,19.0056
0.96,-5.570185,20.31633,-5.89787,20.31633,-5.2425,20.31633
0.98,-5.570185,20.316345,-5.89786,20.31634,-5.24251,20.31635
1.0,-5.57019,20.31635,-5.89787,20.31635,-5.24251,20.31635
1.02,-5.897875,20.971715000000003,-6.55324,20.97171,-5.24251,20.97172
1.04,-6.22556,21.627085,-6.55324,21.62708,-5.89788,21.62709
1.06,-6.553235,22.93782,-6.55324,22.93782,-6.55323,22.93782
1.08,-7.208595,24.248545,-7.2086,24.24854,-7.20859,24.24855
1.1,-7.536255000000001,25.886955,-7.86394,25.55927,-7.20857,26.21464
1.12,-7.536245,27.85304,-7.86393,27.52536,-7.20856,28.18072
1.14,-8.519275,28.83607,-8.51928,28.83607,-8.51927,28.83607
1.16,-8.51927,29.49143,-8.51927,29.49143,-8.51927,29.49143
1.18,-8.846955000000001,29.16376,-9.17464,29.49143,-8.51927,28.83609
1.2,-8.84695,29.163764999999998,-9.17463,29.49144,-8.51927,28.83609
1.22,-9.502320000000001,28.508415,-9.83,28.83609,-9.17464,28.18074
1.24,-7.863815000000001,33.09594,-9.82999,30.14682,-5.89764,36.04506
1.26,4.9160900000000005,39.321865,2.62228,39.32187,7.2099,39.32186
1.28,5.243795,38.99417,5.2438,39.32185,5.24379,38.66649
1.3,5.57148,38.3388,5.2438,39.32184,5.89916,37.35576
1.32,6.22682,36.70039,5.89914,37.35575,6.5545,36.04503
1.34,6.88217,34.406620000000004,6.55449,34.7343,7.20985,34.07894
1.36,7.8652,31.785175000000002,7.8652,32.76821,7.8652,30.80214
1.38,7.5375,28.1807,7.20983,29.49142,7.86517,26.86998
1.4,8.192835,23.920845,7.86516,25.55925,8.52051,22.28244
1.42,9.17712,19.333305,9.1784,20.31635,9.17584,18.35026
1.44,9.175815,17.69489,9.17582,17.69489,9.17581,17.69489
1.46,19.66173,22.9378,13.10802,20.9717,26.21544,24.9039
1.48,26.543195,27.19766,27.52625,26.86998,25.56014,27.52534
1.5,24.904764999999998,29.491415,24.90476,28.83605,24.90477,30.14678
1.52,23.594034999999998,31.4575,22.93868,31.4575,24.24939,31.4575
1.54,24.577045,31.457485,24.24937,32.11285,24.90472,30.80212
1.56,25.887729999999998,29.163690000000003,24.9047,30.14674,26.87076,28.18064
1.58,28.836815,25.23148,27.5261,26.86989,30.14753,23.59307
1.6,34.73502,18.677815000000002,32.76895,20.31623,36.70109,17.0394
1.62,41.943934999999996,12.12415,39.32251,13.76256,44.56536,10.48574
1.64,54.72267,6.55354,50.46358,7.86427,58.98176,5.24281
1.66,77.005945,4.91512,72.74603,5.2428,81.26586,4.58744
1.68,84.54262,4.915115,83.23191,4.58743,85.85333,5.2428
1.7,90.76855,4.91511,89.13014,5.24279,92.40696,4.58743
1.72,94.37304499999999,4.587405,93.06232,4.58741,95.68377,4.5874
1.74,98.30521999999999,5.57044,97.64986,5.24276,98.96058,5.89812
1.76,100.59898,6.2258,99.61594,6.55348,101.58202,5.89812
1.78,101.254355,6.553495,100.92667,6.55349,101.58204,6.5535
1.8,100.599,7.208865,100.27132,7.86422,100.92668,6.55351
1.82,99.943635,7.86424,99.61596,7.86424,100.27131,7.86424
1.84,98.63289499999999,8.51961,98.96058,8.51961,98.30521,8.51961
1.86,96.011425,9.17496,96.33911,9.17496,95.68374,9.17496
1.88,93.062275,9.83031,93.71764,9.83031,92.40691,9.83031
1.9,90.44082,10.15796,91.09618,10.48565,89.78546,9.83027
1.92,87.49169499999999,7.53646,87.81938,8.51952,87.16401,6.5534
1.94,85.85329,3.2765500000000003,85.85329,4.58729,85.85329,1.96581
1.96,85.197935,-4.587885,84.54257,-1.31105,85.8533,-7.86472
1.98,86.508675,-14.090724999999999,85.85331,-11.79694,87.16404,-16.38451
2.0,87.81941499999999,-21.955135,87.16405,-19.66135,88.47478,-24.24892
2.02,89.13016999999999,-29.49186,89.13016,-27.52576,89.13018,-31.45796
2.04,89.45788999999999,-37.356255000000004,89.1302,-35.39016,89.78558,-39.32235
2.06,89.45789,-41.288444999999996,89.13021,-40.63308,89.78557,-41.94381
2.08,88.80253,-43.909915,89.13021,-43.25455,88.47485,-44.56528
2.1,87.81948,-44.56528,87.81948,-44.56528,87.81948,-44.56528
2.12,86.181065,-43.90993,86.50875,-43.90993,85.85338,-43.90993
2.14,84.54265,-43.254565,84.54265,-43.25457,84.54265,-43.25456
2.16,82.57657,-42.27152,82.57657,-42.5992,82.57657,-41.94384
2.18,81.59352,-40.960795000000005,81.9212,-41.28848,81.26584,-40.63311
2.2,79.955105,-40.305435,80.61048,-39.97775,79.29973,-40.63312
2.22,68.81365,-44.893,71.43518,-44.56531,66.19212,-45.22069
2.24,66.19215,-41.94385,65.53678,-42.59923,66.84752,-41.28847
2.26,65.53679,-37.683945,65.53679,-38.667,65.53679,-36.70089
2.28,64.553755,-33.096375,64.22607,-34.07943,64.88144,-32.11332
2.3,64.553765,-29.491855,64.22608,-30.14723,64.88145,-28.83648
2.32,65.86450500000001,-25.23196,65.53682,-26.21502,66.19219,-24.2489
2.34,65.864525,-18.35059,65.53684,-20.3167,66.19221,-16.38448
2.36,64.553825,-9.503125,64.8815,-11.14155,64.22615,-7.8647
2.38,61.932410000000004,-3.932495,62.26008,-4.58787,61.60474,-3.27712
2.4,60.294035,-2.294075,60.29403,-1.9664,60.29404,-2.62175
2.42,58.983325,-1.9664,58.98332,-1.9664,58.98333,-1.9664
2.44,58.00029,-1.63873,58.32797,-1.31105,57.67261,-1.96641
2.46,57.67262,-1.6387399999999999,57.67262,-1.31106,57.67262,-1.96642
2.48,56.3619,-0.98337,56.3619,-0.6557,56.3619,-1.31104
2.5,58.328005000000005,0.32735500000000095,56.36191,-0.0003299999999981,60.2941,0.65504
2.52,85.19832,7.8640300000000005,77.98911,5.89794,92.40753,9.83012
2.54,95.029325,10.81317,95.02932,11.14084,95.02933,10.4855
2.56,95.029305,12.12449,94.37394,11.79624,95.68467,12.45274
2.58,96.34004,14.09004,95.68468,13.76235,96.9954,14.41773
2.6,96.99541,15.40079,96.99541,15.0731,96.99541,15.72848
2.62,96.012375,17.69457,96.34005,17.0392,95.6847,18.34994
2.64,92.40791,20.31602,93.06327,20.31602,91.75255,20.31602
2.66,87.49273,21.626739999999998,88.47576,20.97138,86.5097,22.2821
2.68,81.59451,23.26513,82.57754,23.59281,80.61148,22.93745
2.7,75.040925,21.954385000000002,76.67932,22.28206,73.40253,21.62671
2.72,68.48734,19.66061,69.47038,20.31597,67.5043,19.00525
2.74,63.57214999999999,17.36685,64.22751,18.34989,62.91679,16.38381
2.76,59.967675,15.728445,60.29535,16.3838,59.64,15.07309
2.78,58.001595,13.762375,58.32927,14.41773,57.67392,13.10702
2.8,56.363215,12.779345,56.36321,13.10702,56.36322,12.45167
2.82,55.707865,11.468630000000001,55.70786,11.79631,55.70787,11.14095
2.84,55.05252,10.81327,55.05252,11.14095,55.05252,10.48559
2.86,54.39717,9.830225,54.39717,10.48559,54.39717,9.17486
2.88,45.22157,-1.966325,50.46474,3.27659,39.9784,-7.20924
2.9,3.27747,-23.265635,9.17592,-16.38433,-2.62098,-30.14694
2.92,-4.91488,-30.14695,-6.5533,-31.45768,-3.27646,-28.83622
2.94,-2.2934,-26.542425,-2.62108,-26.87011,-1.96572,-26.21474
2.96,-1.31036,-24.248645,-1.96572,-24.90401,-0.655,-23.59328
2.98,-0.6549999999999997,-21.954855000000002,-1.31036,-22.28254,0.0003600000000005,-21.62717
3.0,0.6557200000000003,-19.3334,0.0003600000000005,-19.66109,1.31108,-19.00571
3.02,1.31108,-18.35034,0.65572,-18.35034,1.96644,-18.35034
3.04,2.29412,-17.03961,1.31108,-17.03962,3.27716,-17.0396
3.06,4.5878749999999995,-16.056549999999998,3.93252,-16.38424,5.24323,-15.72886
3.08,5.57091,-15.073495,5.24323,-15.0735,5.89859,-15.07349
3.1,2.949375,-17.36725,3.27708,-17.03957,2.62167,-17.69493
3.12,2.9493650000000002,-17.039565000000003,2.62168,-17.03957,3.27705,-17.03956
3.14,2.94937,-16.384195,2.62169,-16.3842,3.27705,-16.38419
3.16,2.94937,-16.0565,2.62169,-15.72882,3.27705,-16.38418
3.18,2.29401,-15.72881,2.62169,-15.72881,1.96633,-15.72881
3.2,1.966335,-16.056485000000002,1.96633,-15.72881,1.96634,-16.38416
3.22,1.638655,-16.384145,1.31097,-16.38415,1.96634,-16.38414
3.24,1.310980000000005,-16.711815,0.65562000000001,-16.38414,1.96634,-17.03949
3.26,1.63866,-17.36717,1.31098,-17.03949,1.96634,-17.69485
3.28,2.621695,-18.022525,1.96633,-17.69485,3.27706,-18.3502
3.3,3.60473,-18.022525,3.27705,-17.69485,3.93241,-18.3502
3.32,5.243155,-16.71181,3.93241,-17.69485,6.5539,-15.72877
3.34,9.50327,-7.864445,9.17552,-9.83053,9.83102,-5.89836
3.36,8.192635,-4.91533,8.52032,-5.24301,7.86495,-4.58765
3.38,7.53729,-3.60461,7.20961,-3.93229,7.86497,-3.27693
3.4,6.88193,-1.966215,6.55425,-1.96621,7.20961,-1.96622
3.42,6.22658,-1.31086,5.8989,-1.31086,6.55426,-1.31086
3.44,6.881945,-0.655505,6.55426,-0.65551,7.20963,-0.6555
3.46,6.881955,-0.3278200000000009,6.55427,-0.0001400000000018,7.20964,-0.6555
3.48,6.22659,-0.6554949999999999,5.89891,-0.6555,6.55427,-0.65549
3.5,8.84809,-0.32780499999999996,6.55428,-1.31086,11.1419,0.65525
3.52,17.36799,1.310625,16.38493,1.96598,18.35105,0.65527
3.54,16.38494,-0.9831149999999985,16.38494,-7.9999999996971e-05,16.38494,-1.96615
3.56,16.05724,-3.276865,15.72957,-2.62151,16.38491,-3.93222
3.58,16.057215,-5.24294,15.72954,-4.58758,16.38489,-5.8983
3.6,15.40183,-6.55366,15.07415,-5.8983,15.72951,-7.20902
3.62,15.40182,-6.5536650000000005,15.07414,-6.55366,15.7295,-6.55367
3.64,15.7295,-5.89832,15.7295,-5.89832,15.7295,-5.89832
3.66,15.07414,-4.915295,15.07414,-4.58761,15.07414,-5.24298
3.68,14.41878,-4.58764,14.41878,-4.58764,14.41878,-4.58764
3.7,15.40182,-3.60462,13.7634,-3.9323,17.04024,-3.27694
3.72,22.283265,-1.63855,21.62789,-1.31087,22.93864,-1.96623
3.74,19.989475,-1.96624,20.31716,-1.96624,19.66179,-1.96624
3.76,19.33409,-1.966245,19.66178,-1.96624,19.0064,-1.96625
3.78,18.678705,-2.293935,18.35103,-1.96626,19.00638,-2.62161
3.8,18.67869,-2.62162,18.35101,-2.62162,19.00637,-2.62162
3.82,18.67868,-1.96627,18.351,-1.96627,19.00636,-1.96627
3.84,19.33404,-1.310915,19.00636,-1.31091,19.66172,-1.31092
3.86,19.98941,-0.65556,19.66173,-0.65556,20.31709,-0.65556
3.88,20.31709,-0.0002050000000011,19.66173,-0.0002100000000027,20.97245,-0.0001999999999995
3.9,21.30013,-0.0002050000000011,20.97245,-0.0002100000000027,21.62781,-0.0001999999999995
3.92,21.955489999999998,0.32747500000000024,21.62781,0.65515,22.28317,-0.0001999999999995
3.94,22.93853,0.982845,21.6278,0.65516,24.24926,1.31053
3.96,38.339675,3.27661,36.70124,3.27661,39.97811,3.27661
3.98,38.995045,2.94893,38.66737,3.27661,39.32272,2.62125
4.0,39.32273,3.2766149999999996,38.66737,3.27661,39.97809,3.27662
4.02,39.650405,4.259665,39.32272,3.93198,39.97809,4.58735
4.04,39.65041,4.915035,39.32273,5.24271,39.97809,4.58736
4.06,39.6504,5.5703949999999995,39.32272,5.24271,39.97808,5.89808
4.08,39.32272,5.5704,39.32272,5.89808,39.32272,5.24272
4.1,39.32272,5.5703949999999995,39.32272,5.89807,39.32272,5.24272
4.12,39.6504,5.5703949999999995,39.32272,5.89808,39.97808,5.24271
4.14,40.305769999999995,5.57038,39.97808,5.89806,40.63346,5.2427
4.16,40.96114,5.57037,40.63346,5.89805,41.28882,5.24269
4.18,45.87641,6.22572,41.28882,5.24268,50.464,7.20876
4.2,65.865515,11.140945,63.57158,11.14094,68.15945,11.14095
4.22,67.504135,11.796305,67.50414,11.7963,67.50413,11.79631
4.24,67.50413499999999,12.123995,66.84877,12.45167,68.1595,11.79632
4.26,67.17646,12.45168,66.84878,12.45168,67.50414,12.45168
4.28,67.17646,12.45168,66.84878,12.45168,67.50414,12.45168
4.3,67.17646500000001,13.107035,66.84878,13.10703,67.50415,13.10704
4.32,67.176475,13.762395,66.84879,13.76239,67.50416,13.7624
4.34,67.176485,13.762395,66.8488,13.76239,67.50417,13.7624
4.36,67.83185,14.745435,67.50417,15.07311,68.15953,14.41776
4.38,68.15953,15.073115,67.50417,15.07311,68.81489,15.07312
4.4,67.83185,15.4008,67.50417,15.72848,68.15953,15.07312
4.42,68.4872,15.07312,68.15952,15.72848,68.81488,14.41776
4.44,68.81491,14.417755,68.15952,15.07312,69.4703,13.76239
4.46,69.79805,13.434709999999999,69.47037,13.76239,70.12573,13.10703
4.48,68.48732,12.779340000000001,68.15964,13.10702,68.815,12.45166
