t_s,x,y,x_left,y_left,x_right,y_right
0.16,0.655365,-1.6384,0.65536,-1.31072,0.65537,-1.96608
0.18,0.6553599999999999,-1.966075,0.65535,-1.96607,0.65537,-1.96608
0.2,0.655365,-0.9830400000000001,0.65536,-1.31072,0.65537,-0.65536
0.22,0.655365,-1.31072,0.65536,-1.31072,0.65537,-1.31072
0.24,0.655365,-1.6384,0.65536,-1.31072,0.65537,-1.96608
0.26,0.655365,-1.6384,0.65536,-1.96608,0.65537,-1.31072
0.28,0.6553599999999999,-1.966075,0.65535,-1.96607,0.65537,-1.96608
0.3,0.655365,-2.293755,0.65536,-2.62143,0.65537,-1.96608
0.32,0.655365,-2.2937600000000002,0.65536,-2.62144,0.65537,-1.96608
0.34,0.65537,-2.293755,0.65536,-2.62143,0.65538,-1.96608
0.36,0.655375,-2.293755,0.65537,-2.62143,0.65538,-1.96608
0.38,0.3277000000000012,-2.94912,0.65537,-2.62144,3.0000000002417e-05,-3.2768
0.4,1.999999999924285e-05,-2.94912,9.9999999960687e-06,-3.2768,3.0000000002417e-05,-2.62144
0.42,-0.32766000000000195,-2.94912,9.9999999960687e-06,-3.2768,-0.65533,-2.62144
0.44,-0.32765500000000036,-3.2768,1.9999999999243e-05,-3.2768,-0.65533,-3.2768
0.46,-0.655335,-3.60448,-0.65534,-3.93216,-0.65533,-3.2768
0.48,-1.310695,-3.604485,-1.3107,-3.93216,-1.31069,-3.27681
0.5,-1.31069,-3.93216,-1.31069,-3.93216,-1.31069,-3.93216
0.52,-1.3106900000000001,-3.604485,-1.3107,-3.93216,-1.31068,-3.27681
0.54,0.6554249999999999,-1.966075,-1.96605,-3.2768,3.2769,-0.65535
0.56,7.209155,1.4999999999987246e-05,7.86451,-0.65534,6.5538,0.65537
0.58,6.5537849999999995,1.63842,6.55378,1.31074,6.55379,1.9661
0.6,6.2261050000000004,1.966095,6.55378,1.9661,5.89843,1.96609
0.62,6.2261050000000004,1.966095,6.55378,1.9661,5.89843,1.96609
0.64,5.898425,2.29378,5.89842,1.9661,5.89843,2.62146
0.66,5.898435,2.29378,5.89843,1.9661,5.89844,2.62146
0.68,5.898435,2.29378,5.89843,1.9661,5.89844,2.62146
0.7,5.57076,2.62146,5.89843,2.62146,5.24309,2.62146
0.72,5.24308,1.966095,5.24307,1.9661,5.24309,1.96609
0.74,5.898435,0.6553700000000016,5.89843,1.31073,5.89844,1.0000000003174e-05
0.76,4.915375,-0.6553450000000001,6.55379,-0.65535,3.27696,-0.65534
0.78,1.9662099999999998,-0.32765500000000036,1.31084,-0.65533,2.62158,1.9999999999243e-05
0.8,3.60462,-0.32765500000000036,3.27693,-0.65533,3.93231,1.9999999999243e-05
0.82,3.9323050000000004,-0.65534,3.9323,-0.65534,3.93231,-0.65534
0.84,17.367385,3.9999999998486e-05,14.4182,3.9999999998486e-05,20.31657,3.9999999998486e-05
0.86,19.66119,0.6553999999999992,19.6612,3.9999999998486e-05,19.66118,1.31076
0.88,19.33349,1.6384400000000001,19.0058,1.31076,19.66118,1.96612
0.9,19.661175,1.3107600000000001,19.66117,0.6554,19.66118,1.96612
0.92,19.661164999999997,1.96612,19.66116,1.96612,19.66117,1.96612
0.94,19.661155,2.2938,19.66115,1.96612,19.66116,2.62148
0.96,19.661155,3.276845,19.66115,3.27685,19.66116,3.27684
0.98,19.661155,2.949165,19.66115,2.62149,19.66116,3.27684
1.0,19.661144999999998,3.276845,19.66114,3.27685,19.66115,3.27684
1.02,19.66114,2.62148,19.66113,2.62148,19.66115,2.62148
1.04,20.6442,2.62148,19.00578,2.62148,22.28262,2.62148
1.06,39.32228,4.259905,34.07929,3.93222,44.56527,4.58759
1.08,48.4975,4.915275,48.4975,4.5876,48.4975,5.24295
1.1,48.49749,5.57063,48.49748,5.24295,48.4975,5.89831
1.12,49.152855,6.55367,49.15285,6.55367,49.15286,6.55367
1.14,49.15285,6.88135,49.15284,6.55367,49.15286,7.20903
1.16,49.152855,7.53671,49.15285,7.20903,49.15286,7.86439
1.18,49.808205,8.192070000000001,49.8082,7.86439,49.80821,8.51975
1.2,49.808205,9.17511,49.8082,8.51975,49.80821,9.83047
1.22,49.480525,10.15815,49.8082,9.83047,49.15285,10.48583
1.24,49.152845,10.48583,49.15284,10.48583,49.15285,10.48583
1.26,49.152834999999996,10.81351,49.15283,10.48583,49.15284,11.14119
1.28,49.8082,10.81351,49.15283,10.48583,50.46357,11.14119
1.3,67.8309,13.107315,62.91559,13.10731,72.74621,13.10732
1.32,76.350765,14.418050000000001,76.02309,13.76269,76.67844,15.07341
1.34,76.023065,16.384140000000002,76.02306,15.72878,76.02307,17.0395
1.36,77.006095,19.33326,76.67841,18.35022,77.33378,20.3163
1.38,77.33376,22.61007,77.33376,21.62703,77.33376,23.59311
1.4,77.33375,24.90383,77.33375,24.24847,77.33375,25.55919
1.42,77.33374,27.197595,77.33373,26.21455,77.33375,28.18064
1.44,77.661415,29.49136,77.33373,28.836,77.9891,30.14672
1.46,77.989085,31.457445,77.98908,30.80209,77.98909,32.1128
1.48,77.989085,33.09584,77.98908,32.76816,77.98909,33.42352
1.5,78.31675,33.42352,77.98907,33.42352,78.64443,33.42352
1.52,78.972105,33.751205,78.64442,33.42352,79.29979,34.07889
1.54,79.95514,33.75121,79.95514,33.42353,79.95514,34.07889
1.56,79.955125,34.73425,79.95512,34.73425,79.95513,34.73425
1.58,79.95510999999999,35.061930000000004,79.9551,34.73425,79.95512,35.38961
1.6,78.972055,34.73424,79.29973,34.73424,78.64438,34.73424
1.62,89.785685,34.734265,85.19806,34.73426,94.37331,34.73427
1.64,99.61629500000001,34.40659,99.61629,34.07891,99.6163,34.73427
1.66,98.63323,34.734265,98.9609,34.73427,98.30556,34.73426
1.68,98.633225,34.734255000000005,98.9609,34.73426,98.30555,34.73425
1.7,98.30554,34.73425,98.30554,34.73425,98.30554,34.73425
1.72,97.32249,33.751205,97.65017,34.07889,96.99481,33.42352
1.74,96.33944,32.440475,96.9948,32.76816,95.68408,32.11279
1.76,95.0287,30.474384999999998,95.68406,30.80207,94.37334,30.1467
1.78,93.06259,26.542205,93.06259,27.52525,93.06259,25.55916
1.8,91.09649,19.988570000000003,91.75185,20.97162,90.44113,19.00552
1.82,88.475025,15.401025,89.13039,16.38407,87.81966,14.41798
1.84,85.525885,9.83044,86.50892,11.14117,84.54285,8.51971
1.86,78.31686,2.6214700000000013,83.23211,5.24291,73.40161,3.0000000002417e-05
1.88,21.95517,-15.728645,40.63316,-11.14111,3.27718,-20.31618
1.9,-25.886675,-23.920665,-23.59289,-24.24833,-28.18046,-23.593
1.92,-24.903640000000003,-21.626915,-25.55901,-22.28227,-24.24827,-20.97156
1.94,-24.903644999999997,-19.005485,-24.90365,-19.66084,-24.90364,-18.35013
1.96,-23.920614999999998,-16.71172,-24.2483,-17.0394,-23.59293,-16.38404
1.98,-23.265255,-14.41797,-23.59294,-15.07333,-22.93757,-13.76261
2.0,-23.265265,-12.77957,-22.93759,-13.10725,-23.59294,-12.45189
2.02,-23.26527,-11.79653,-22.93759,-12.45189,-23.59295,-11.14117
2.04,-23.592965,-10.813490000000002,-23.59297,-11.14117,-23.59296,-10.48581
2.06,-34.40653,-12.77956,-27.52517,-11.79652,-41.28789,-13.7626
2.08,-41.61558,-12.77956,-42.59863,-13.7626,-40.63253,-11.79652
2.1,-39.977185,-10.4858,-39.97719,-11.14116,-39.97718,-9.83044
2.12,-40.960235,-9.502765,-40.63256,-9.83044,-41.28791,-9.17509
2.14,-40.632554999999996,-9.83044,-40.63256,-9.83044,-40.63255,-9.83044
2.16,-41.287925,-9.83044,-41.28793,-9.83044,-41.28792,-9.83044
2.18,-40.96026,-10.485805,-41.28794,-10.4858,-40.63258,-10.48581
2.2,-40.6326,-10.813479999999998,-40.6326,-11.14116,-40.6326,-10.4858
2.22,-39.649555,-11.46884,-40.63261,-11.79652,-38.6665,-11.14116
2.24,-25.231425,-9.83043,-28.83597,-9.83043,-21.62688,-9.83043
2.26,-20.64385,-9.502749999999999,-20.31616,-9.83042,-20.97154,-9.17508
2.28,-20.97156,-8.84739,-20.97156,-9.17507,-20.97156,-8.51971
2.3,-20.97158,-8.84739,-20.97158,-9.17507,-20.97158,-8.51971
2.32,-21.626945,-8.519715,-21.62695,-8.51971,-21.62694,-8.51972
2.34,-21.626955000000002,-8.847394999999999,-21.62696,-9.17507,-21.62695,-8.51972
2.36,-21.299275,-8.847394999999999,-21.62696,-9.17507,-20.97159,-8.51972
2.38,-20.9716,-8.519715,-20.97161,-8.51971,-20.97159,-8.51972
2.4,-18.350125,-8.51972,-21.62697,-9.17508,-15.07328,-7.86436
2.42,6.881635,-6.22594,0.65559,-6.55363,13.10768,-5.89825
2.44,15.401465,-5.8982600000000005,15.72915,-6.55361,15.07378,-5.24291
2.46,15.401440000000001,-4.91522,15.07376,-5.2429,15.72912,-4.58754
2.48,15.729115,-3.9321849999999996,15.72911,-3.93218,15.72912,-3.93219
2.5,15.729105,-3.60451,15.7291,-3.93219,15.72911,-3.27683
2.52,16.056775000000002,-3.6045049999999996,15.72909,-3.93218,16.38446,-3.27683
2.54,16.384455000000003,-3.60451,16.38445,-3.93219,16.38446,-3.27683
2.56,16.384455000000003,-3.27683,16.38445,-3.27683,16.38446,-3.27683
2.58,16.056765,-2.94915,16.38444,-3.27683,15.72909,-2.62147
2.6,16.056765,-2.621475,16.38444,-2.62147,15.72909,-2.62148
2.62,16.05676,-2.2937950000000003,16.38444,-2.62147,15.72908,-1.96612
2.64,15.72908,-2.62148,15.72907,-2.62148,15.72909,-2.62148
2.66,25.23192,-1.63843,18.35053,-1.96612,32.11331,-1.31074
2.68,50.46371,-2.94913,46.53147,-3.27681,54.39595,-2.62145
2.7,54.068255,-2.29377,54.39593,-2.62145,53.74058,-1.96609
2.72,54.39593,-1.31073,54.39592,-1.31073,54.39594,-1.31073
2.74,55.051294999999996,-0.983055,55.05129,-1.31073,55.0513,-0.65538
2.76,55.0513,-0.3276949999999996,55.05129,-0.65537,55.05131,-1.9999999999243e-05
2.78,55.051305,0.6553450000000001,55.0513,0.65535,55.05131,0.65534
2.8,55.70667,0.6553450000000004,55.70666,-1.9999999999243e-05,55.70668,1.31071
2.82,56.034355000000005,1.63839,55.70667,1.31071,56.36204,1.96607
2.84,55.706675000000004,2.29375,55.70667,1.96607,55.70668,2.62143
2.86,56.36203,1.3107,56.36203,1.3107,56.36203,1.3107
2.88,60.62192,0.32767499999999844,58.32812,-1.0000000003174e-05,62.91572,0.65536
2.9,65.2095,0.9830450000000001,64.88182,0.65537,65.53718,1.31072
2.92,65.537155,0.655354999999995,65.53715,0.65535999999999,65.53716,0.65535
2.94,59.31117,-3.2768050000000004,64.88179,-1.31073,53.74055,-5.24288
2.96,3.2771399999999993,-17.367055,20.97208,-14.41793,-14.4178,-20.31618
2.98,-32.44043,-19.660809999999998,-32.76811,-21.62689,-32.11275,-17.69473
3.0,-28.180585,-14.74561,-28.83594,-15.72865,-27.52523,-13.76257
3.02,-27.19757,-11.14113,-27.52525,-11.79649,-26.86989,-10.48577
3.04,-25.55919,-7.864330000000001,-26.21455,-9.17505,-24.90383,-6.55361
3.06,-24.248489999999997,-4.5875200000000005,-24.90385,-5.89824,-23.59313,-3.2768
3.08,-22.93779,-1.966075,-22.93779,-2.62143,-22.93779,-1.31072
3.1,-22.937804999999997,-0.9830350000000001,-22.93781,-1.31071,-22.9378,-0.65536
3.12,-22.61014,-0.9830350000000001,-22.93783,-1.31071,-22.28245,-0.65536
3.14,-23.92088,-1.966075,-22.28247,-1.31071,-25.55929,-2.62144
3.16,-37.68361,-5.242865,-36.0452,-5.24286,-39.32202,-5.24287
3.18,-37.35595,-3.93215,-38.01131,-4.58751,-36.70059,-3.27679
3.2,-36.700595,-2.94911,-36.7006,-3.27679,-36.70059,-2.62143
3.22,-36.700590000000005,-2.29375,-36.7006,-2.62143,-36.70058,-1.96607
3.24,-36.045230000000004,-1.96608,-36.04524,-1.96608,-36.04522,-1.96608
3.26,-36.045225,-1.638395,-36.04523,-1.96607,-36.04522,-1.31072
3.28,-36.700590000000005,-1.6384,-36.7006,-1.96608,-36.70058,-1.31072
3.3,-36.700590000000005,-1.31072,-36.7006,-1.31072,-36.70058,-1.31072
3.32,-37.028275,-1.63841,-36.7006,-1.96609,-37.35595,-1.31073
3.34,-37.355945,-1.31073,-37.35595,-1.31073,-37.35594,-1.31073
3.36,-37.683625,-1.96609,-38.01131,-1.96609,-37.35594,-1.96609
3.38,-21.95476,-0.65538,-28.83616,-0.65538,-15.07336,-0.65538
3.4,-6.88122,-0.65538,-7.20892,-0.65538,-6.55352,-0.65538
3.42,-6.55354,-0.3277050000000012,-6.55354,-0.65538,-6.55354,-3.0000000002417e-05
3.44,-6.553535,-3.0000000002417e-05,-6.55354,-3.0000000002417e-05,-6.55353,-3.0000000002417e-05
3.46,-6.553535,-0.32771499999999926,-6.55354,-0.65539,-6.55353,-3.9999999998486e-05
3.48,-6.881215,-0.32771999999999923,-6.55354,-3.9999999998486e-05,-7.20889,-0.6554
3.5,-7.20889,-0.3277250000000008,-7.2089,-0.6554,-7.20888,-5.000000000166e-05
3.52,-7.536569999999999,-0.3277250000000008,-7.2089,-0.6554,-7.86424,-5.000000000166e-05
3.54,-7.864245,-4.5000000000073004e-05,-7.86425,-3.9999999998486e-05,-7.86424,-5.000000000166e-05
3.56,-4.2597149999999955,-0.983085,-7.86425,-1.31076,-0.65517999999999,-0.65541
3.58,13.107605,-0.655405,9.83075,-0.6554,16.38446,-0.65541
3.6,17.03981,-0.983085,17.03981,-1.31076,17.03981,-0.65541
3.62,17.367475,-1.31077,17.03979,-1.31077,17.69516,-1.31077
3.64,17.69515,-1.96613,17.69515,-1.96613,17.69515,-1.96613
3.66,17.367449999999998,-2.62149,17.69513,-2.62149,17.03977,-2.62149
3.68,16.712075,-2.94917,17.03975,-3.27685,16.3844,-2.62149
3.7,15.07365,-3.6045249999999998,15.72901,-3.9322,14.41829,-3.27685
3.72,13.7629,-3.9322,14.41826,-3.9322,13.10754,-3.9322
3.74,12.77984,-5.24292,13.10752,-5.24292,12.45216,-5.24292
3.76,12.779835,-5.5706,11.79678,-5.89828,13.76289,-5.24292
3.78,26.87031,-4.915235,23.59344,-4.58755,30.14718,-5.24292
3.8,30.47486,-5.5706050000000005,30.80254,-5.89828,30.14718,-5.24293
3.82,31.13022,-5.57061,30.80253,-5.89829,31.45791,-5.24293
3.84,30.80255,-6.55365,30.80254,-6.55365,30.80256,-6.55365
3.86,30.802554999999998,-7.536695,30.80255,-7.86437,30.80256,-7.20902
3.88,30.802554999999998,-7.536695,30.80255,-7.86438,30.80256,-7.20901
3.9,30.47486,-7.536695,30.80254,-7.86437,30.14718,-7.20902
3.92,30.147174999999997,-7.536695,30.14717,-7.86437,30.14718,-7.20902
3.94,29.491805,-8.192055,29.4918,-7.86437,29.49181,-8.51974
3.96,35.06244,-9.175095,29.4918,-9.1751,40.63308,-9.17509
3.98,61.932649999999995,-9.17507,57.01735,-9.17507,66.84795,-9.17507
4.0,68.1587,-9.175065,68.1587,-9.83042,68.1587,-8.51971
4.02,68.158695,-7.53667,68.15869,-7.86435,68.1587,-7.20899
4.04,68.814055,-6.881315,68.81405,-7.20899,68.81406,-6.55364
4.06,68.814055,-6.225955,68.81405,-6.55363,68.81406,-5.89828
4.08,68.814055,-5.5706,68.81405,-5.89828,68.81406,-5.24292
4.1,68.814055,-5.5706,68.81405,-5.89828,68.81406,-5.24292
4.12,68.486375,-4.91524,68.81405,-5.24292,68.1587,-4.58756
4.14,68.158695,-4.91525,68.15869,-5.24293,68.1587,-4.58757
4.16,68.158695,-4.259885,68.15869,-4.58756,68.1587,-3.93221
4.18,67.50333499999999,-4.58757,67.50333,-4.58757,67.50334,-4.58757
4.2,67.50333499999999,-5.242935,67.50333,-5.24293,67.50334,-5.24294
4.22,66.84798,-4.91526,66.84797,-5.24294,66.84799,-4.58758
4.24,66.52030500000001,-6.225985,66.84798,-5.8983,66.19263,-6.55367
4.26,39.322545,-16.711750000000002,55.05139,-11.79654,23.5937,-21.62696
4.28,-26.86966,-30.801989999999996,-14.41767,-29.49128,-39.32165,-32.1127
4.3,-43.253870000000006,-28.508225,-45.21997,-29.49126,-41.28777,-27.52519
4.32,-38.99402,-26.21447,-39.3217,-26.86983,-38.66634,-25.55911
4.34,-38.010999999999996,-25.55912,-38.66636,-25.55912,-37.35564,-25.55912
4.36,-35.71725,-24.90376,-36.04493,-25.55912,-35.38957,-24.2484
4.38,-35.389585,-24.248404999999998,-35.38959,-24.2484,-35.38958,-24.24841
4.4,-34.078875,-23.26536,-34.07888,-23.59304,-34.07887,-22.93768
4.42,-34.40656,-23.26536,-34.07888,-23.59304,-34.73424,-22.93768
4.44,-34.73425,-24.2484,-34.73426,-24.2484,-34.73424,-24.2484
4.46,-43.909395,-26.54215,-37.35572,-25.55912,-50.46307,-27.52518
4.48,-56.361395,-27.525185,-57.01676,-28.18054,-55.70603,-26.86983
4.5,-53.739940000000004,-26.214460000000003,-53.73995,-26.86982,-53.73993,-25.5591
4.52,-53.084575,-25.559109999999997,-53.08458,-26.21447,-53.08457,-24.90375
4.54,-52.42921,-25.231425,-52.42922,-25.55911,-52.4292,-24.90374
4.56,-52.10153,-24.57607,-52.42922,-24.90375,-51.77384,-24.24839
4.58,-51.773845,-24.90375,-51.77385,-24.90375,-51.77384,-24.90375
4.6,-51.773845,-25.23143,-51.77385,-25.55911,-51.77384,-24.90375
4.62,-51.77384,-25.55911,-51.77384,-25.55911,-51.77384,-25.55911
4.64,-45.875515,-25.559115,-51.11848,-26.21447,-40.63255,-24.90376
4.66,-26.214405,-25.886805,-28.83589,-26.21448,-23.59292,-25.55913
4.68,-23.92061,-25.88681,-23.59293,-26.21449,-24.24829,-25.55913
4.7,-24.248295,-24.903765,-24.2483,-24.90376,-24.24829,-24.90377
4.72,-23.920614999999998,-25.231450000000002,-24.2483,-25.55913,-23.59293,-24.90377
4.74,-23.592934999999997,-24.24841,-23.59294,-24.24841,-23.59293,-24.24841
4.76,-23.592934999999997,-24.576085,-23.59294,-24.90376,-23.59293,-24.24841
4.78,-23.592934999999997,-24.24841,-23.59294,-24.24841,-23.59293,-24.24841
4.8,-23.92062,-24.57609,-23.59295,-24.90377,-24.24829,-24.24841
4.82,-20.316090000000003,-23.92073,-24.2483,-24.90377,-16.38388,-22.93769
4.84,3.60493,-22.28232,-0.655,-22.28232,7.86486,-22.28232
4.86,7.537165,-21.29928,7.86485,-21.62696,7.20948,-20.9716
4.88,7.209474999999999,-20.971600000000002,7.20947,-21.62696,7.20948,-20.31624
4.9,7.53714,-20.316245000000002,7.86482,-20.31625,7.20946,-20.31624
