t_s,x,y,x_left,y_left,x_right,y_right
0.02,-4.587585,-0.3276899999999946,-7.20906,-0.65535999999999,-1.96611,-1.9999999999243e-05
0.04,-4.259905,-1.4999999997655852e-05,-6.5537,-9.9999999960687e-06,-1.96611,-1.9999999999243e-05
0.06,-3.93223,0.327665000000002,-6.5537,-9.9999999960687e-06,-1.31076,0.65534
0.08,-3.932225,-1.999999999569035e-05,-6.5537,-9.9999999960687e-06,-1.31075,-2.9999999995312e-05
0.1,-3.276865,-0.655384999999995,-5.89834,-0.65537999999999,-0.65539,-0.65539
0.12,-3.276865,-0.655395,-5.89834,-0.65539,-0.65539,-0.6554
0.14,-3.2768599999999997,-1.6384349999999999,-5.89833,-1.96611,-0.65539,-1.31076
0.16,-3.6045399999999996,-1.96612,-6.55369,-1.96612,-0.65539,-1.96612
0.18,-3.932215,-2.621485,-6.55369,-2.62148,-1.31074,-2.62149
0.2,-3.60453,-2.9491750000000003,-6.55368,-3.27685,-0.65538,-2.6215
0.22,-3.6045249999999998,-3.2768550000000003,-6.55368,-3.27685,-0.65537,-3.27686
0.24,-3.27685,-3.93222,-5.89832,-3.93222,-0.65538,-3.93222
0.26,-3.276845,-4.25991,-5.89832,-4.58759,-0.65537,-3.93223
0.28,-2.6214899999999997,-4.587595,-5.24296,-4.58759,-1.9999999999243e-05,-4.5876
0.3,-2.621484999999998,-4.915285,-5.24296,-5.24296,-9.9999999960687e-06,-4.58761
0.32,-1.966124999999995,-4.915285,-4.5876,-5.24296,0.65535000000001,-4.58761
0.34,-1.9661199999999948,-5.57065,-4.58759,-5.89833,0.65535000000001,-5.24297
0.36,-1.6384399999999997,-5.2429749999999995,-4.58759,-5.24297,1.31071,-5.24298
0.38,-1.310755,-5.570655,-3.93223,-5.89833,1.31072,-5.24298
0.4,-0.98307,-6.553710000000001,-3.93222,-6.5537,1.96608,-6.55372
0.42,-3.60454,-8.19212,-3.27686,-7.86444,-3.93222,-8.5198
0.44,-15.728845,-9.175180000000001,-17.69495,-9.17517,-13.76274,-9.17519
0.46,-14.745795,-9.502885,-17.69495,-9.83056,-11.79664,-9.17521
0.48,-14.418125,-8.519845,-17.0396,-9.1752,-11.79665,-7.86449
0.5,-14.745805,-8.51984,-17.0396,-9.1752,-12.45201,-7.86448
0.52,-14.745805,-8.192155,-17.0396,-8.51983,-12.45201,-7.86448
0.54,-15.073474999999998,-8.847505,-17.69495,-9.17519,-12.452,-8.51982
0.56,-15.40115,-8.8475,-17.69494,-9.17518,-13.10736,-8.51982
0.58,-15.401155,-9.502855,-18.35031,-9.83053,-12.452,-9.17518
0.6,-14.74579,-10.158214999999998,-17.69494,-10.48589,-11.79664,-9.83054
0.62,-14.090430000000001,-10.813569999999999,-17.03958,-11.14125,-11.14128,-10.48589
0.64,-13.762754999999999,-10.48589,-16.38423,-11.14125,-11.14128,-9.83053
0.66,-13.107405,-10.1582,-15.72888,-10.48588,-10.48593,-9.83052
0.68,-12.779725,-9.830525,-15.72888,-9.83052,-9.83057,-9.83053
0.7,-12.45205,-9.830525,-15.07352,-10.48588,-9.83058,-9.17517
0.72,-12.45205,-9.502849999999999,-15.07352,-9.83053,-9.83058,-9.17517
0.74,-11.79669,-9.830535,-14.41816,-9.83053,-9.17522,-9.83054
0.76,-12.124369999999999,-10.813585,-14.41816,-11.14126,-9.83058,-10.48591
0.78,-11.796685,-11.14127,-14.41816,-11.79663,-9.17521,-10.48591
0.8,-11.79669,-12.124315,-14.41816,-12.45199,-9.17522,-11.79664
0.82,-11.79669,-12.779675000000001,-14.41816,-13.10735,-9.17522,-12.452
0.84,-3.2769000000000004,-12.451995,-12.45207,-13.76272,5.89827,-11.14127
0.86,17.039625,-9.502804999999999,13.10739,-9.83049,20.97186,-9.17512
0.88,18.022675,-7.8644,15.72889,-8.51976,20.31646,-7.20904
0.9,19.005699999999997,-6.225995,16.38423,-6.55367,21.62717,-5.89832
0.92,19.005695,-5.5706299999999995,16.38422,-5.8983,21.62717,-5.24296
0.94,19.00569,-4.915275,16.38422,-5.24295,21.62716,-4.5876
0.96,19.00569,-4.915275,16.38422,-5.24295,21.62716,-4.5876
0.98,19.66104,-4.915275,17.03957,-5.24295,22.28251,-4.5876
1.0,19.98872,-4.915275,17.03957,-5.24295,22.93787,-4.5876
1.02,20.64407,-4.5876,17.69492,-4.5876,23.59322,-4.5876
1.04,20.971755,-4.915285,18.35028,-5.24296,23.59323,-4.58761
1.06,20.971755,-4.915275,18.35028,-5.24295,23.59323,-4.5876
1.08,26.870075,-4.259905,19.66101,-5.24295,34.07914,-3.27686
1.1,38.666785,-2.94914,36.0453,-3.27682,41.28827,-2.62146
1.12,38.3391,-1.966095,36.04531,-2.62145,40.63289,-1.31074
1.14,38.01142,-1.6384050000000001,35.38995,-1.96608,40.63289,-1.31073
1.16,38.339095,-1.96609,35.38994,-1.96609,41.28825,-1.96609
1.18,38.011415,-1.63841,35.38994,-1.96609,40.63289,-1.31073
1.2,38.66677,-2.293775,36.0453,-2.62145,41.28824,-1.9661
1.22,38.339085,-2.293775,35.38993,-2.62145,41.28824,-1.9661
1.24,38.339085,-2.6214649999999997,35.38993,-2.62146,41.28824,-2.62147
1.26,38.666765,-3.27683,36.04529,-3.27682,41.28824,-3.27684
1.28,46.85889,-4.587555,39.32213,-4.58756,54.39565,-4.58755
1.3,55.05106,-6.553625,52.42959,-6.55362,57.67253,-6.55363
1.32,55.37872,-6.225965,52.42957,-6.55364,58.32787,-5.89829
1.34,56.03407,-6.55364,53.08492,-7.209,58.98322,-5.89828
1.36,57.017089999999996,-6.225965,54.39562,-6.55364,59.63856,-5.89829
1.38,57.017084999999994,-6.22596,54.39561,-6.55364,59.63856,-5.89828
1.4,56.689404999999994,-5.570600000000001,54.39561,-5.89827,58.9832,-5.24293
1.42,56.361720000000005,-5.242925,53.74025,-5.89828,58.98319,-4.58757
1.44,56.361725,-5.5706050000000005,53.74025,-5.89828,58.9832,-5.24293
1.46,56.034045,-6.225975,53.08489,-6.55365,58.9832,-5.8983
1.48,61.604679999999995,-6.88134,58.9832,-6.55366,64.22616,-7.20902
1.5,61.604675,-6.88134,58.98321,-7.20902,64.22614,-6.55366
1.52,61.60467,-6.22598,58.9832,-6.55366,64.22614,-5.8983
1.54,60.621624999999995,-5.57062,58.32783,-5.8983,62.91542,-5.24294
1.56,59.638594999999995,-5.242935,57.01712,-5.24293,62.26007,-5.24294
1.58,59.638594999999995,-5.57062,57.01712,-5.89829,62.26007,-5.24295
1.6,59.63859,-5.24294,57.01712,-5.89829,62.26006,-4.58759
1.62,58.98322,-5.898305000000001,57.01712,-5.8983,60.94932,-5.89831
1.64,27.197875000000003,-10.158135,39.32218,-8.51973,15.07357,-11.79654
1.66,-26.870019999999997,-18.35017,-19.66096,-17.6948,-34.07908,-19.00554
1.68,-42.598910000000004,-15.073374999999999,-46.53111,-17.03945,-38.66671,-13.1073
1.7,-40.30515,-9.502804999999999,-43.25429,-11.14121,-37.35601,-7.8644
1.72,-38.994455,-5.24295,-41.9436,-6.55367,-36.04531,-3.93223
1.74,-36.70071,-0.65541,-39.97754,-1.96613,-33.42388,0.65531
1.76,-34.734645,1.966050000000005,-38.01147,0.65533000000001,-31.45782,3.27677
1.78,-33.42393,4.259825,-36.0454,3.27678,-30.80246,5.24287
1.8,-32.76857,6.88128,-35.39004,5.89824,-30.1471,7.86432
1.82,-33.09625,9.502745,-35.39004,8.5197,-30.80246,10.48579
1.84,-34.40697,11.141165,-36.70076,10.4858,-32.11318,11.79653
1.86,-35.06233,12.451895,-37.35612,11.79654,-32.76854,13.10725
1.88,-35.390010000000004,12.77958,-38.01148,12.4519,-32.76854,13.10726
1.9,-24.248735,15.073360000000001,-32.76856,13.76263,-15.72891,16.38409
1.92,-14.745795000000001,15.728745,-17.03959,15.07339,-12.452,16.3841
1.94,-15.728855000000001,16.711785,-17.69497,16.38411,-13.76274,17.03946
1.96,-16.71189,16.711785,-19.00568,16.38411,-14.4181,17.03946
