t_s,x,y,x_left,y_left,x_right,y_right
0.1,-0.98302,-0.6553599999999951,-1.3107,-0.65535999999999,-0.65534,-0.65536
0.22,0.3276900000000016,2.29378,1.0000000003174e-05,1.9661,0.65537,2.62146
0.24,0.327685,2.29378,0.0,1.9661,0.65537,2.62146
0.26,4.999999999977245e-06,2.94915,-0.65536,2.62148,0.65537,3.27682
0.28,0.3276999999999996,2.94915,1.9999999999243e-05,2.62147,0.65538,3.27683
0.3,0.3276999999999996,3.276835,1.9999999999243e-05,3.27683,0.65538,3.27684
0.32,0.3276999999999996,2.949155,1.9999999999243e-05,2.62148,0.65538,3.27683
0.34,0.3276999999999996,3.276835,1.9999999999243e-05,3.27684,0.65538,3.27683
0.36,2.50000000043825e-05,3.60451,3.0000000002417e-05,3.27683,2.0000000006348e-05,3.93219
0.38,-1.9660799999999998,4.587555,-1.3107,3.9322,-2.62146,5.24291
0.4,-2.9491300000000003,4.587555,-3.27682,4.58756,-2.62144,4.58755
0.42,-2.949135,4.259865,-3.27682,3.9322,-2.62145,4.58753
0.44,-2.94913,5.898225,-3.27681,5.24288,-2.62145,6.55357
0.46,-3.60449,8.847325,-3.93217,7.8643,-3.27681,9.83035
0.48,-2.94912,11.79642,-3.2768,11.14107,-2.62144,12.45177
0.5,-2.949135,14.417864999999999,-3.27682,13.76251,-2.62145,15.07322
0.52,-2.621455,17.366985,-3.27681,16.38395,-1.9661,18.35002
0.54,-1.96609,19.005365,-2.62145,18.35001,-1.31073,19.66072
0.56,-1.63841,21.2991,-1.96609,20.31607,-1.31073,22.28213
0.58,-1.63841,23.592835,-1.96609,22.93749,-1.31073,24.24818
0.6,13.435039999999999,30.801814999999998,5.8983,28.83571,20.97178,32.76792
0.62,24.576345,31.7849,24.24868,32.11258,24.90401,31.45722
0.64,23.593285,30.801885,23.59328,31.45724,23.59329,30.14653
0.66,22.61025,29.81886,22.93793,29.49118,22.28257,30.14654
0.68,21.95488,30.801905,21.6272,30.14655,22.28256,31.45726
0.7,22.610245,34.0787,22.28257,33.42334,22.93792,34.73406
0.72,22.93792,35.38944,22.28256,35.38944,23.59328,35.38944
0.74,22.93792,34.73409,22.28256,34.73409,23.59328,34.73409
0.76,22.93792,33.75107,22.93792,34.07875,22.93792,33.42339
0.78,22.610239999999997,31.784985,22.28256,32.11267,22.93792,31.4573
0.8,21.62721,30.474285000000002,21.62721,30.80196,21.62721,30.14661
0.82,21.299535,28.180529999999997,20.97185,28.8359,21.62722,27.52516
0.84,21.299545000000002,25.559095,20.97187,26.21445,21.62722,24.90374
0.86,20.644190000000002,23.59303,20.31651,23.59303,20.97187,23.59303
0.88,20.316515000000003,21.954645,20.31651,22.28232,20.31652,21.62697
0.9,19.33348,20.97161,19.0058,20.97161,19.66116,20.97161
0.92,19.661155,20.971625000000003,19.66116,20.97163,19.66115,20.97162
0.94,20.31651,20.31627,19.66115,20.31627,20.97187,20.31627
0.96,19.98883,19.66092,19.66115,19.66092,20.31651,19.66092
0.98,20.644190000000002,19.005564999999997,20.31651,19.00557,20.97187,19.00556
1.0,20.316505,20.316254999999998,19.66115,19.66091,20.97186,20.9716
1.02,24.576385000000002,24.248399999999997,20.31651,22.28232,28.83626,26.21448
1.04,42.2714,31.457405,39.97759,30.80205,44.56521,32.11276
1.06,42.9268,31.785095,42.59912,32.11278,43.25448,31.45741
1.08,43.254490000000004,32.440445,42.59913,32.11277,43.90985,32.76812
1.1,43.25449,32.768125,43.25449,32.76813,43.25449,32.76812
1.12,42.9268,32.440435,42.59912,32.76811,43.25448,32.11276
1.14,42.92681,30.146680000000003,42.59913,30.80204,43.25449,29.49132
1.16,42.599135000000004,28.18061,42.59914,28.18061,42.59913,28.18061
1.18,42.92681,27.852925,42.59913,27.52525,43.25449,28.1806
1.2,43.254495000000006,26.54221,42.59913,26.86989,43.90986,26.21453
1.22,42.926825,25.559185,42.59914,25.55919,43.25451,25.55918
1.24,42.92683,25.886865,42.59915,25.55919,43.25451,26.21454
1.26,0.983789999999999,25.559195000000003,42.59915,25.5592,-40.63157,25.55919
1.28,43.25452,24.576155,43.25452,24.90384,43.25452,24.24847
1.3,42.92684,23.265435,42.59916,23.59312,43.25452,22.93775
1.32,47.186724999999996,24.576175,42.59917,22.93776,51.77428,26.21459
1.34,57.672619999999995,24.90392,57.01725,25.55928,58.32799,24.24856
1.36,58.000294999999994,22.610174999999998,57.67261,22.93785,58.32798,22.2825
1.38,57.344945,20.97176,57.01727,20.97177,57.67262,20.97175
1.4,57.34495,20.316384999999997,57.01727,20.31639,57.67263,20.31638
1.42,57.01728,21.954745000000003,56.36192,20.97172,57.67264,22.93777
1.44,56.6896,23.26545,56.36192,22.93777,57.01728,23.59313
1.46,56.6896,24.903840000000002,56.36192,24.24849,57.01728,25.55919
1.48,56.6896,25.23151,56.36192,24.90383,57.01728,25.55919
1.5,56.6896,24.903835,56.36192,24.90384,57.01728,24.90383
1.52,56.689595,24.57615,56.36192,24.90383,57.01727,24.24847
1.54,57.017275,23.265445,57.01728,22.93777,57.01727,23.59312
1.56,57.017275,22.937765,56.36191,22.93777,57.67264,22.93776
1.58,57.344955,22.282404999999997,57.01728,22.2824,57.67263,22.28241
1.6,57.67264,21.954729999999998,57.01728,22.28241,58.328,21.62705
1.62,58.00032,20.971690000000002,57.67264,21.62705,58.328,20.31633
1.64,58.00032,20.316335000000002,57.67264,20.31634,58.328,20.31633
1.66,57.672625,19.66098,57.67263,19.66098,57.67262,19.66098
1.68,58.000294999999994,19.988680000000002,57.01725,19.661,58.98334,20.31636
1.7,67.17545,20.971775,65.53702,21.62713,68.81388,20.31642
1.72,68.486175,19.005724999999998,68.15851,19.00572,68.81384,19.00573
1.74,67.830785,16.38431,67.50311,17.03967,68.15846,15.72895
1.76,67.830775,13.107524999999999,67.5031,13.76288,68.15845,12.45217
1.78,67.83077,10.486115,67.50309,11.14147,68.15845,9.83076
1.8,66.847725,8.847745,66.84773,9.17542,66.84772,8.52007
1.82,67.175395,8.192415,66.84772,8.52009,67.50307,7.86474
1.84,66.52003,7.209405,66.19235,7.2094,66.84771,7.20941
1.86,70.12458000000001,7.537125,66.84773,7.20943,73.40143,7.86482
1.88,75.36757,6.881830000000001,75.36757,7.2095,75.36757,6.55416
