t_s,x,y,x_left,y_left,x_right,y_right
0.02,1.31071,0.32768,1.31071,0.0,1.31071,0.65536
0.04,1.638385,0.0,1.96606,0.0,1.31071,0.0
0.06,1.3107,-0.327675,1.3107,-0.65535,1.3107,0.0
0.08,0.9830100000000049,-0.32768,1.31069,-0.65536,0.65533000000001,0.0
0.1,0.9830000000000001,-0.327675,1.31068,-0.65535,0.65532,0.0
0.22,-1.63848,-0.32766499999999843,-1.3108,-0.65534,-1.96616,1.0000000003174e-05
0.24,-1.63848,-0.3276699999999984,-1.3108,-0.65535,-1.96616,1.0000000003174e-05
0.26,-1.966165,1.5000000001208501e-05,-1.96617,1.9999999999243e-05,-1.96616,1.0000000003174e-05
0.28,-1.63849,1.5000000001208501e-05,-1.31081,1.9999999999243e-05,-1.96617,1.0000000003174e-05
0.3,-2.293845,-0.32766499999999843,-1.96617,-0.65534,-2.62152,1.0000000003174e-05
0.32,-1.966165,1.9999999999243e-05,-1.96617,1.9999999999243e-05,-1.96616,1.9999999999243e-05
0.34,-1.638485,1.5000000001208501e-05,-1.31081,1.9999999999243e-05,-1.96616,1.0000000003174e-05
0.36,-1.63848,1.5000000001208501e-05,-1.3108,1.9999999999243e-05,-1.96616,1.0000000003174e-05
0.38,-5.570695000000001,0.9830699999999997,-3.93227,1.9999999999243e-05,-7.20912,1.96612
0.4,-5.89837,1.6384400000000001,-5.89838,1.31076,-5.89836,1.96612
0.42,-6.22605,1.6384349999999999,-5.89837,1.31076,-6.55373,1.96611
0.44,-6.226045,1.9661149999999998,-5.89837,1.31076,-6.55372,2.62147
0.46,-6.226045,1.96612,-5.89837,1.31076,-6.55372,2.62148
0.48,-6.226045,2.2938,-5.89837,1.96612,-6.55372,2.62148
0.5,-6.553725,1.6384349999999999,-6.55373,1.31076,-6.55372,1.96611
0.52,-6.553715,2.2938,-6.55372,1.96612,-6.55371,2.62148
0.54,-6.8813949999999995,1.966115,-6.55372,1.96612,-7.20907,1.96611
0.56,-6.88139,1.9661149999999998,-6.55371,1.31076,-7.20907,2.62147
0.58,-7.209065,2.2937950000000003,-7.20907,1.96612,-7.20906,2.62147
0.6,-7.536745,1.96612,-7.20907,1.31076,-7.86442,2.62148
0.62,-7.536735,2.2938,-7.20906,1.96612,-7.86441,2.62148
0.64,-7.864415,2.62148,-7.86442,2.62148,-7.86441,2.62148
0.66,-8.192085,2.94916,-7.86441,2.62148,-8.51976,3.27684
0.68,-8.847445,2.94916,-8.51977,2.62148,-9.17512,3.27684
0.7,-4.91523,3.60451,-8.51976,3.27684,-1.3107,3.93218
0.72,0.6554050000000063,3.6045100000000003,1.31077,2.62147,4.0000000012697e-05,4.58755
0.74,2.50000000043825e-05,4.259875,1.9999999999243e-05,3.9322,3.0000000009522e-05,4.58755
0.76,0.9830600000000049,4.587555,1.31074,4.58756,0.65538000000001,4.58755
0.78,0.9830600000000049,4.587555,1.31074,4.58756,0.65538000000001,4.58755
0.8,0.9830600000000049,4.91524,1.31074,4.58756,0.65538000000001,5.24292
0.82,0.983065000000005,5.24292,1.31074,5.24292,0.65539000000001,5.24292
0.84,0.983070000000005,4.91524,1.31075,4.58756,0.65539000000001,5.24292
0.86,0.655390000000005,5.24292,0.65539,5.24292,0.65539000000001,5.24292
0.88,0.655390000000005,4.91524,0.65539,4.58756,0.65539000000001,5.24292
0.9,0.6553900000000048,4.91524,1.31075,4.58756,3.0000000009522e-05,5.24292
0.92,0.3277100000000048,5.24292,0.65539,5.24292,3.0000000009522e-05,5.24292
0.94,-7.5367049999999995,5.8983,-6.55366,5.24294,-8.51975,6.55366
0.96,-6.55364,6.22599,-6.55364,5.89831,-6.55364,6.55367
0.98,-6.225965,6.88135,-5.89829,6.55367,-6.55364,7.20903
1.0,-5.242915,6.5536650000000005,-5.24292,6.55367,-5.24291,6.55366
1.02,-4.9152249999999995,6.55366,-4.58755,6.55366,-5.2429,6.55366
1.04,-4.9152249999999995,6.22598,-4.58755,5.8983,-5.2429,6.55366
1.06,-5.2429,6.22598,-4.58754,5.8983,-5.89826,6.55366
1.08,-5.242895,6.22598,-5.2429,5.8983,-5.24289,6.55366
1.1,-5.242895,6.55366,-5.2429,5.8983,-5.24289,7.20902
1.12,-5.570575,6.225985,-5.2429,5.89831,-5.89825,6.55366
1.14,-5.570565,6.55366,-5.24289,6.55366,-5.89824,6.55366
1.16,-5.570565,6.88134,-5.24289,6.55366,-5.89824,7.20902
1.18,-6.2259150000000005,6.225985,-5.89824,5.89831,-6.55359,6.55366
1.2,-6.2259150000000005,6.22599,-5.89824,5.89831,-6.55359,6.55367
1.22,7.8645249999999995,6.881325,5.24302,7.20901,10.48603,6.55364
