t_s,x,y,x_left,y_left,x_right,y_right
0.1,1.31072,-3.5526493042965096e-15,1.31072,-1.0000000003174e-05,1.31072,9.9999999960687e-06
0.12,1.96608,-0.655355000000005,1.96608,-0.65536,1.96608,-0.65535000000001
0.14,2.29375,-0.6553450000000001,2.62143,-0.65535,1.96607,-0.65534
0.16,2.62144,-0.6553450000000004,2.62144,-1.31071,2.62144,1.9999999999243e-05
0.18,3.2768,-0.32765500000000236,3.93216,-0.65534,2.62144,2.9999999995312e-05
0.2,3.60448,1.9999999999243e-05,3.93216,1.9999999999243e-05,3.2768,1.9999999999243e-05
0.22,3.60448,1.9999999999243e-05,3.93216,1.9999999999243e-05,3.2768,1.9999999999243e-05
0.24,3.604485,1.9999999999243e-05,3.93216,1.9999999999243e-05,3.27681,1.9999999999243e-05
0.26,3.60449,0.32770499999999964,3.93217,1.9999999999243e-05,3.27681,0.65539
0.28,3.93217,0.32770499999999964,3.93217,1.9999999999243e-05,3.93217,0.65539
0.3,3.604485,0.9830650000000001,3.93216,0.65538,3.27681,1.31075
0.32,3.6044850000000004,0.9830650000000001,3.93217,0.65538,3.2768,1.31075
0.34,4.259845,1.310745,4.58753,0.65538,3.93216,1.96611
0.36,4.25983,1.638425,4.58751,1.31074,3.93215,1.96611
0.38,4.259835,1.96611,4.58751,1.31075,3.93216,2.62147
0.4,4.259825,1.966105,4.5875,1.9661,3.93215,1.96611
0.42,4.25984,2.2937849999999997,4.58752,1.9661,3.93216,2.62147
0.44,4.25984,2.9491449999999997,4.58752,2.62146,3.93216,3.27683
0.46,3.9321599999999997,2.94915,4.58752,2.62147,3.2768,3.27683
0.48,3.60448,3.6045049999999996,3.93216,3.27682,3.2768,3.93219
0.5,3.2768,3.6045049999999996,3.93216,3.27682,2.62144,3.93219
0.52,3.60448,3.60451,3.93216,3.27683,3.2768,3.93219
0.54,3.60448,3.6045049999999996,3.93216,3.27682,3.2768,3.93219
0.56,2.94911,3.9321849999999996,3.27679,3.93218,2.62143,3.93219
0.58,2.94912,4.25986,3.2768,3.93218,2.62144,4.58754
0.6,2.94911,4.58754,3.27679,3.93218,2.62143,5.2429
0.62,2.62144,5.242895,3.2768,4.58753,1.96608,5.89826
0.64,2.293745,5.242905,2.62143,5.2429,1.96606,5.24291
0.66,2.2937250000000002,5.242915,2.62141,5.24291,1.96604,5.24292
0.68,2.2937149999999997,5.242925,2.6214,5.24292,1.96603,5.24293
0.7,2.2937149999999997,4.91524,2.62139,4.58756,1.96604,5.24292
0.72,1.9660449999999998,4.915235,2.6214,4.58755,1.31069,5.24292
0.74,1.63837,3.93219,1.96605,3.93219,1.31069,3.93219
0.76,1.638365,2.293775,1.96605,2.62145,1.31068,1.9661
0.78,1.638345,0.3276999999999996,1.96603,1.9999999999243e-05,1.31066,0.65538
0.8,1.6383450000000002,0.32769500000000157,1.96602,1.0000000003174e-05,1.31067,0.65538
0.82,1.31068,0.98305,1.96604,0.65537,0.65532,1.31073
0.84,0.9830099999999999,1.31073,1.31069,1.31073,0.65533,1.31073
0.86,0.9830099999999999,1.310725,1.31069,0.65536,0.65533,1.96609
0.88,0.6553350000000003,1.6384,1.31069,1.31072,-1.9999999999243e-05,1.96608
0.9,-0.3276999999999996,2.293755,-1.9999999999243e-05,1.96607,-0.65538,2.62144
0.92,-0.3276949999999996,2.6214250000000003,-1.9999999999243e-05,2.62142,-0.65537,2.62143
