t_s,x,y,x_left,y_left,x_right,y_right
0.04,0.32765999999999684,-2.29381,-2.0000000006348e-05,-1.96613,0.65534,-2.62149
0.06,0.6553399999999968,-3.93223,-2.0000000006348e-05,-2.6215,1.3107,-5.24296
0.08,1.310695,-8.19212,1.3107,-7.20907,1.31069,-9.17517
0.1,1.638375,-10.158214999999998,1.31069,-9.83054,1.96606,-10.48589
0.12,1.3107,-10.485885,0.65534,-10.48589,1.96606,-10.48588
0.14,1.3107,-10.48587,0.65534,-10.48587,1.96606,-10.48587
0.16,1.63838,-9.830505,1.3107,-9.8305,1.96606,-9.83051
0.18,2.29374,-9.175155,1.96606,-9.17515,2.62142,-9.17516
0.2,2.62142,-8.519795,1.96606,-8.51979,3.27678,-8.5198
0.22,2.9491,-7.864445,2.62142,-7.86444,3.27678,-7.86445
0.24,2.621415,-9.50288,2.62142,-8.51982,2.62141,-10.48594
0.26,2.94908,-11.469000000000001,2.6214,-11.14132,3.27676,-11.79668
0.28,2.6214,-11.79668,2.6214,-11.79668,2.6214,-11.79668
0.3,2.2937149999999997,-13.107405,1.96604,-12.45204,2.62139,-13.76277
0.32,2.293705,-14.745840000000001,1.96603,-14.41815,2.62138,-15.07353
0.34,1.9660250000000001,-14.090475000000001,1.96602,-14.41816,1.96603,-13.76279
0.36,1.96603,-13.435099999999998,1.96603,-13.76278,1.96603,-13.10742
0.38,1.63834,-14.09047,1.31066,-13.76278,1.96602,-14.41816
0.4,0.9829600000000001,-23.265605,1.31065,-17.03963,0.65527,-29.49158
0.42,-13.43471,-101.581905,-7.8643,-65.53672,-19.00512,-137.62709
0.44,-24.90229,-259.85324,-28.83492,-237.89824,-20.96966,-281.80824
0.46,-32.11001,-281.80809,-24.24548,-281.80834,-39.97454,-281.80784
0.48,-41.941205,-281.807435,-42.59653,-281.80733,-41.28588,-281.80754
0.5,-5.240410000000001,-281.80800999999997,-13.76021,-281.80795,3.27939,-281.80807
0.52,4.261815,-276.56494,3.93446,-281.80796,4.58917,-271.32192
0.54,1.96673,-227.74003,3.27766,-242.48578,0.6558,-212.99428
0.56,-5.57046,-173.67227,-4.58735,-186.12424,-6.55357,-161.2203
0.58,-8.84744,-128.45193,-9.1751,-138.28244,-8.51978,-118.62142
0.6,-7.209115000000001,-95.028195,-7.86446,-102.23723,-6.55377,-87.81916
0.62,-5.243055,-70.779595,-5.89841,-75.36718,-4.5877,-66.19201
0.64,-3.932335,-55.050754999999995,-4.5877,-57.67223,-3.27697,-52.42928
0.66,-2.9492849999999997,-44.564890000000005,-3.27697,-46.53099,-2.6216,-42.59879
0.68,-2.293915,-36.700500000000005,-2.6216,-38.6666,-1.96623,-34.7344
0.7,-1.6385399999999999,-31.12988,-1.96622,-32.11293,-1.31086,-30.14683
0.72,-0.6555049999999989,-28.50843,-1.31086,-28.18074,-0.0001499999999978,-28.83612
0.74,-0.32783500000000054,-29.16382,-0.65551,-28.83613,-0.000160000000001,-29.49151
0.76,0.3275149999999995,-29.16383,-0.000160000000001,-29.49151,0.65519,-28.83615
0.78,0.6551849999999979,-27.197744999999998,-0.0001700000000042,-27.52542,1.31054,-26.87007
0.8,0.6551699999999949,-23.920925,0.65517999999999,-24.90397,0.65516,-22.93788
0.82,0.3274800000000002,-19.988745,-0.0001999999999995,-20.97179,0.65516,-19.0057
0.84,0.3274649999999986,-17.367285000000003,-0.0002100000000027,-17.69497,0.65514,-17.0396
0.86,-0.0002300000000019,-15.72888,-0.0002300000000019,-15.72888,-0.0002300000000019,-15.72888
0.88,-0.327910000000001,-15.72888,-0.65559,-15.72888,-0.0002300000000019,-15.72888
0.9,-0.327910000000001,-15.073509999999999,-0.65559,-15.07352,-0.0002300000000019,-15.0735
